AccX,AccY,AccZ,GyroX,GyroY,GyroZ
26,-54,-112,2622,-574,-4928
-117,-114,25,1807,-1228,-5849
21,5,-30,562,-3417,-6607
-53,-21,20,-2180,-2551,-6458
52,118,78,-2652,-1254,-5399
-111,-103,-87,-2228,749,-2928
-120,114,-42,4429,1520,2937
-51,-34,52,44,2854,8951
-63,-83,-104,1450,2849,10104
96,125,60,2090,4084,14565
98,-57,-94,6523,4779,2442
-90,-50,-51,-4117,-7073,-10695
-72,-10,-13,3843,-2737,-8330
-19,-41,119,-3931,-4750,-8336
-110,66,33,-2388,-1201,-7706
64,-51,-24,-1991,1328,-4902
106,70,-42,770,2366,6347
-64,-71,-72,-909,746,9795
62,-125,-36,2837,2619,9960
117,-85,-21,6655,3457,12676
-51,-51,67,-1164,11421,3605
1,114,89,-217,-12130,-11537
-74,-3,101,663,-3588,-7681
37,69,101,-6492,-6688,-10213
24,70,-23,-864,-4537,-12774
13,47,-41,-1829,-4938,-9611
-15,-9,110,270,-2697,-7429
-78,-31,-11,3502,-2222,-4717
-70,60,117,3409,635,933
-103,27,56,154,2328,2614
-79,-123,-89,3051,1869,6094
21,96,26,3030,3167,9809
56,-112,-116,-271,4282,11001
-105,-126,120,-7894,2674,2966
-29,53,75,8329,-2872,-2961
-18,18,127,5113,3513,-371
82,-69,71,-187,2326,1133
88,0,-8,2493,-3591,103
-117,-10,-125,-1432,-967,3019
108,-64,58,139,2743,5204
-109,1,-84,1751,3361,5096
47,-70,40,1631,1603,5912
-97,-128,-40,-285,1044,4875
40,-57,-31,6367,70,3068
38,101,-112,1562,915,3223
-87,-115,110,-2031,1414,2705
-46,15,-108,-1561,-1094,328
-121,83,3,516,-2627,-2127
-43,79,15,1391,-1554,-1876
14,67,-7,469,504,-1022
59,-117,32,2112,881,-6067
-107,26,-19,1572,-832,-8192
-124,24,-80,-461,-914,-8470
-60,68,60,-1178,-1454,-7898
-113,49,-109,-2957,-768,-5066
103,-1,-90,1009,-323,-3211
-36,-105,7,2497,3278,7311
104,76,26,-1534,2588,8382
-102,75,27,2099,1398,10490
95,109,-35,5126,2252,13294
45,32,53,6198,6854,3422
119,-91,22,-8865,-9204,-8930
21,20,-95,4797,-1777,-7111
103,-64,55,-3106,-3496,-9103
64,-37,4,-1985,-1564,-8065
-102,-90,97,-916,-643,-6569
-45,-80,-128,3867,-642,1706
2,28,34,-2940,5240,9086
81,125,125,-964,4263,8816
62,-14,96,2201,1464,12956
-62,-110,0,14516,1560,15150
-79,30,-87,-23843,11839,-1790
-70,-83,-58,10559,-14570,-7216
-53,-77,84,-2200,1391,-7077
-23,-72,3,-2500,-4494,-11337
46,69,-33,3090,-6414,-11502
-120,103,-9,-3133,-8107,-10525
-14,-77,5,-2577,-3868,-9395
59,27,-25,-12,-2604,-6276
-73,-48,41,1203,619,-2887
-24,13,-56,-390,-613,1729
-28,84,118,939,1531,2028
126,37,88,2446,502,8205
56,-82,90,5287,-674,10260
121,103,95,8410,3245,10448
-88,-120,21,-12289,12695,3622
-42,-30,22,6384,-3862,-2153
56,-98,-53,4098,-5844,4233
-28,-62,73,722,1714,4471
-18,59,-33,1142,1318,5085
-23,-67,57,2158,4760,4445
-124,-2,-94,3112,398,4038
-80,-2,-18,-1250,877,4795
76,-72,116,174,-2219,2498
-66,-78,-67,-164,-682,1129
43,-124,108,4353,259,-1101
-22,-41,115,2626,397,-233
-71,-73,108,1092,515,-762
-63,96,109,175,651,-855
-55,78,-95,-604,-379,-504
106,71,-124,1370,-344,-7694
-54,-98,-107,238,-1731,-8212
26,-60,59,-281,-2438,-7047
-56,99,-71,-1515,-984,-3511
-82,-84,24,1488,-1220,-1151
112,-59,47,1900,2311,2984
-4,117,-5,716,4040,5718
29,17,101,798,3491,6762
10,-91,108,221,1319,9376
41,-80,52,-8175,2689,7610
90,47,-25,7558,-4759,-5748
-65,119,-40,785,1048,-5336
-105,-117,-109,-1198,-584,-7744
99,-22,41,250,-2728,-8602
-74,-75,-1,-2721,-2713,-6793
-125,-114,34,1241,-1405,-3153
-58,18,114,1289,1884,4933
-64,80,101,-2292,1319,6765
-69,35,15,2029,2644,6827
99,-99,57,3318,-114,11087
72,-97,-90,3296,4083,10454
112,-7,-23,-2186,-4721,-1337
-35,-126,125,3741,763,-8922
68,38,119,-1464,-1102,-7804
70,-127,83,-988,-4231,-9557
-60,90,39,-1384,-4152,-11457
38,-23,-38,-3363,-5496,-10138
43,-2,-52,-739,-2062,-8686
91,-34,102,-1321,434,-4490
-76,72,85,2496,2132,-1938
9,-17,87,2230,1921,1598
45,9,43,-1427,1795,3489
-11,33,5,2517,-174,8657
123,-98,63,3706,1889,10446
-67,69,-57,1697,1491,12571
-32,93,45,-18034,-1561,4869
93,-115,60,19149,-5055,-3868
-91,27,-95,4954,1011,1894
-121,98,-78,-2441,568,2632
-60,-73,-66,-7,503,4066
23,-42,67,3012,1592,3963
10,-93,75,4071,991,1620
-121,87,84,979,1379,3918
127,-15,-54,1232,2434,4182
89,72,-62,1638,1378,2890
9,-62,0,1108,2,2964
108,98,-86,598,-2132,1898
22,27,-71,14088,-339,-2049
-79,-21,105,2186,-1874,-2077
-1,-87,-84,-3780,456,106
73,1,-87,-136,-1290,-7144
86,-88,93,-1589,-402,-7299
76,119,106,-1732,-520,-7049
-60,-110,72,-726,397,-3952
-120,-45,-120,3645,369,726
111,89,2,-490,1330,6017
70,-82,-120,-136,917,7751
86,60,24,3218,292,9773
15,73,41,3333,-1839,12150
-13,-50,-73,8796,6004,1501
108,97,-59,-4926,-5152,-6726
120,34,114,1886,842,-6766
35,60,35,-3004,-3784,-8030
104,53,-39,-2402,-2311,-8527
83,-29,-29,-3473,99,-5251
-125,-116,60,2435,136,-2533
-17,-108,32,-1783,2294,9239
119,-31,89,-166,-400,8281
41,-34,-26,3680,-574,10495
92,18,5,8571,-275,12314
-88,122,-62,-3108,146,-4436
66,86,-33,1787,-3565,-7532
21,31,31,-929,-2616,-9657
-96,126,25,-3444,-3286,-11834
119,85,-20,-50,-5384,-12575
68,103,-123,-1626,-3840,-9110
-121,95,-78,726,27,-3257
19,16,32,561,808,-3274
-126,110,115,1016,1709,-563
-81,-27,125,2639,-511,1304
20,80,-99,-204,2359,5596
-86,19,-125,2973,-376,9160
116,-54,15,3092,1041,11018
16,9,-73,-17,5509,6886
-106,69,67,-3197,2792,1373
-80,2,-81,1121,-3568,-376
-38,-113,92,932,-1812,704
93,-28,94,-1059,429,2283
86,-38,21,197,-1789,2506
126,-72,-31,2529,-1474,2770
-69,58,-19,680,-713,3278
13,104,-122,221,-252,3834
-41,102,-87,2033,-1383,3445
75,56,-39,1258,-482,3733
26,61,-60,3485,-271,2388
-57,-3,-97,3174,600,1168
17,-83,8,1264,-550,1056
-8,31,-14,1092,338,951
-41,-6,-8,194,103,1083
-68,-72,25,735,-702,874
23,35,-92,2110,276,-5917
45,-115,98,-534,572,-6152
-128,18,52,-152,-108,-6530
-37,97,100,70,-829,-4767
67,57,-119,235,-679,-3051
78,84,-42,4390,1661,2195
1,47,67,-1891,2650,7538
43,-16,111,126,236,8005
21,67,2,3295,-350,11629
67,-17,109,4891,1507,5159
-40,-53,0,-4975,1525,-8195
-18,-103,36,6264,-3311,-5834
-35,85,-30,-3396,-1509,-7818
-22,-2,1,94,-2647,-6771
-118,69,-124,-819,-2003,-6811
-88,25,-3,4470,1762,439
56,-42,75,-4160,3343,11738
105,-85,120,-1704,833,10023
115,-65,-30,2696,-257,10336
-49,11,-72,13885,3029,12732
-92,48,74,-6190,10454,-6765
-101,38,117,4073,-13801,-7472
58,-32,-99,-2259,-364,-9952
125,-58,-27,-940,-7059,-10253
42,-10,50,-1156,-4244,-13122
-43,55,-24,-1478,-5598,-12367
51,-110,101,-2508,-3142,-11549
0,-99,65,1755,-2830,-6416
118,69,75,1672,1172,-1358
-69,-55,51,3151,2112,1513
56,-121,-77,4678,2180,2101
53,-54,-2,1413,2984,6749
-44,-128,-47,1974,3172,5716
-41,-76,-107,-198,3068,8604
10,82,-49,-1604,2530,9332
-119,-10,79,-2742,3012,3178
-38,117,24,3320,-1426,85
14,-39,-69,5178,-1968,102
-119,84,78,798,970,2389
75,-35,-31,869,1076,1657
-90,110,102,-675,1126,2540
-48,-35,25,2830,1042,2678
-3,31,21,2528,2422,4064
36,7,72,375,798,4923
-100,-13,104,493,-32,3493
100,-30,-36,-52,624,1901
38,91,-69,1262,916,1943
-83,-10,-15,1578,-493,1752
-73,41,-65,9448,-1381,103
25,64,64,2201,-110,-195
31,32,59,-5827,2341,157
-45,71,-119,-4612,1276,-81
-22,-10,105,-1507,-28,-746
4,15,-108,380,-361,-1385
19,0,-93,1560,-292,-1468
37,8,-74,1530,-197,-1273
43,11,-68,690,-71,-891
43,4,-73,242,-46,-585
34,-6,-86,245,-190,-177
31,9,-98,261,-122,255
45,67,-109,-292,-101,504
53,104,-118,-690,-204,626
60,-121,125,-676,-233,529
63,-91,110,-320,-179,397
60,-80,111,540,-190,74
100,-58,-78,1178,752,-539
80,-43,-89,589,-289,6
85,-50,114,-16,-170,73
88,-55,99,-317,126,-185
95,-87,77,135,332,-311
92,-83,82,437,30,-15
98,-65,84,333,-29,76
117,-52,81,252,91,62
125,-43,83,321,92,117
124,-41,70,524,12,-50
-124,-36,78,503,-206,-188
-108,-45,83,528,-63,-194
-120,-51,92,564,-132,-140
-113,-46,100,552,-113,-11
-107,-39,93,626,105,-74
-106,-34,79,382,107,-120
-105,-44,66,350,-52,-47
-109,-47,82,412,-161,-322
-54,44,124,-26,177,-906
-3,41,109,1712,187,-2477
115,-79,-121,2325,-171,-3702
73,-9,-21,595,918,-7014
93,-50,-18,1220,-1077,-5975
-81,69,-22,-1395,143,-7452
-13,41,41,615,-1925,-8367
13,-55,-6,-758,1032,-4001
-52,-44,102,3212,1420,3651
-64,111,16,-1328,3242,8556
15,-34,-125,597,873,11980
-9,47,92,7078,1547,13057
72,-111,28,-4278,3329,-7590
-23,-103,-98,4907,-6575,-6567
-56,94,120,-1796,-2124,-7868
-68,42,1,-2276,-3503,-7734
-90,-53,105,-1806,-1120,-6107
14,-114,-17,3155,-732,-4202
-102,-54,-39,-2168,5431,9242
42,107,-112,-1905,347,8154
-61,-104,0,3458,903,9627
-45,48,-106,4841,852,12309
-106,117,83,4281,11865,12814
-106,-90,1,-5989,2148,-11997
-118,-7,57,7586,-12061,-3757
-97,15,91,-7652,-3061,-9983
127,36,-49,-824,-6288,-10387
-82,-31,24,-2157,-4630,-12567
28,48,-100,-5135,-6012,-10466
-16,86,65,-1647,-592,-10153
1,53,106,2397,-1318,-6038
110,42,115,-8,716,-2476
-54,-107,-47,234,1382,1808
-103,-91,-80,1567,1199,4375
-74,69,119,1461,909,7018
-25,-106,35,5108,1466,11596
33,28,50,8400,3670,14852
35,92,-77,-9969,9692,6520
-99,-92,105,2865,1221,-2470
75,-7,65,1664,-8667,-665
11,-30,-83,288,-3802,1015
14,-18,-34,-902,-998,2745
16,-46,-81,236,-299,1363
35,96,23,247,71,1564
-32,-52,-54,3452,-661,3104
-16,69,58,1542,116,3316
63,-8,-33,2961,868,3220
-94,113,-62,1675,1697,3489
23,-30,-60,2071,-314,1984
64,-121,3,533,-556,1480
65,14,-88,1683,543,942
-23,-83,-44,2204,-171,159
8,75,-59,2509,-26,133
-5,73,-26,2068,-331,169
13,55,-20,1237,-90,15
7,70,0,47,-132,34
-7,44,-5,-472,-276,-242
14,3,-27,231,61,-444
27,8,-31,186,101,-439
21,15,-55,76,95,-430
11,19,-68,-106,132,-546
29,1,-103,228,296,-519
43,12,-111,244,179,-304
52,25,-126,250,162,-105
68,47,117,360,6,-97
80,59,111,534,72,-221
86,84,114,359,-149,-194
78,85,-60,-732,-1176,-7068
-36,-70,59,-99,-461,-7038
-122,98,-54,933,-1316,-4629
81,-33,109,1702,3531,7071
118,24,40,-1225,2180,9756
124,-77,86,-254,279,11130
-17,-45,-95,4056,1306,14995
12,-101,-106,-5771,-6263,-7526
-44,105,74,5328,3861,-8100
-118,-45,-64,3545,-1347,-8173
-42,-52,47,-1921,-794,-9019
92,124,116,-329,-1604,-7993
10,-119,-57,-1032,-762,-5423
-10,26,96,3210,671,-1454
-99,36,2,-1528,3169,9645
-106,101,66,-1809,907,9071
-110,-19,107,1164,568,10930
44,96,-109,2789,-320,14612
65,10,-106,-5300,-267,5799
17,-125,95,1414,5130,-12790
78,-56,20,7560,-7098,-4726
-28,-115,2,-6196,-814,-9452
-104,-41,110,2284,-3015,-11715
-34,-104,-56,-846,-3065,-11233
-54,100,-38,-1621,-3598,-10768
82,36,122,-12,-2010,-7087
-5,38,-52,2036,-259,-2706
-114,33,-25,-1111,-665,-1562
12,76,-1,2603,-1244,1687
46,-10,-46,1029,510,3377
37,-24,-49,3500,50,9210
-14,-93,-80,5147,2239,11784
32,-58,-26,-3215,6657,7316
-24,-69,3,-6724,3218,2068
-71,109,-35,5516,-1730,247
-4,-90,57,4913,-5399,399
27,-86,39,-2203,-503,2267
-51,40,-72,-151,36,2748
116,66,-3,2324,-2104,2574
-99,-27,21,1032,-1680,3562
-128,-58,-93,2433,97,2666
-47,22,-16,3269,464,2672
-108,90,125,2728,170,2051
88,-82,18,-660,-515,1055
-3,66,-49,2866,475,-41
-75,-28,-35,3108,591,-517
-104,104,-67,2539,58,-753
-88,98,2,761,-170,-34
-32,61,6,273,337,-109
2,-36,-30,1256,588,-308
-53,-70,-58,856,-2107,-5890
-36,-37,-94,1762,-6361,-4809
102,121,95,-3384,-1158,-3387
-1,104,-103,-3019,-1832,-3581
-46,-25,-110,-526,724,-4132
-76,69,80,89,1368,-127
-4,78,107,2119,2743,2678
-23,111,-67,349,3080,6733
88,23,-18,1846,1403,8983
121,60,-9,6089,2616,9782
60,15,48,-2130,805,1893
15,93,-40,-2721,-2501,-7564
22,-87,-15,2529,-646,-7398
37,91,-52,-3055,-2730,-7576
79,55,-8,-3585,-1116,-6710
-72,24,71,-573,-611,-4673
-36,21,29,5476,978,-1778
-88,92,-19,-2724,3860,8319
64,-69,107,-814,1021,8171
94,-2,-24,2989,1471,9818
29,12,70,9416,3754,10198
60,94,-110,-11178,-1387,-819
76,15,124,2989,-1611,-5236
-117,-23,83,2157,-1584,-7115
96,79,-112,-1996,-4553,-7146
42,-108,-28,-1356,-4220,-9342
87,47,-43,-1762,-5648,-9383
6,-28,-73,-3065,-4509,-9766
68,-61,-114,8,-3830,-7814
101,-113,120,1855,-1391,-2948
-88,-98,114,-2894,-327,-2218
-122,109,64,2748,2026,512
64,-107,33,2177,2848,3320
-7,76,53,1417,2613,7348
-50,25,41,5425,7838,12746
122,107,-12,-4537,4551,7137
-113,-104,-103,-6854,2699,-6
16,6,-17,11405,-3498,24
-18,24,62,1258,-628,287
-10,-125,-66,-763,877,3446
26,20,-20,891,2931,4089
68,49,-125,224,1348,5802
124,-70,-14,607,1885,4187
-78,14,-66,2056,2021,4551
65,-80,4,1886,675,4497
-56,72,112,40,481,1685
42,21,17,-1377,-284,2406
-42,122,19,-2835,-405,2030
-81,-89,-54,550,-251,927
-84,60,-82,3133,590,-391
113,65,-96,2898,-2249,-4958
-53,71,21,977,-1981,-5647
-124,46,-23,-1333,-3083,-5151
0,52,-70,-1839,-1599,-5001
-102,-116,-53,-2929,-991,-4401
-19,-40,-23,-2239,-937,-3055
34,-12,115,2892,1075,-2333
-105,-69,-126,868,1145,3030
-124,100,25,1565,2358,4907
56,101,70,2908,3109,5456
-74,66,116,4583,4545,6303
63,-89,-3,-6455,-5243,-1173
63,-26,-104,4818,745,-7031
110,-13,99,-1739,-2443,-6976
-39,30,97,-1774,-2110,-4640
91,-14,-117,1241,-489,-2579
-114,-116,103,514,1125,2143
80,53,-16,-784,1265,5967
58,-86,49,2563,2220,5970
-73,-92,-3,2222,-490,9159
54,-74,30,-924,-750,8043
-52,28,-22,-693,-3788,-3711
21,-111,-87,1577,1840,-6595
127,-103,-28,-3543,-602,-6630
37,10,-75,-2340,-1542,-9195
-112,82,110,-2325,-3121,-9369
24,-115,-22,-2280,-3111,-8532
36,-116,-10,709,-2825,-5074
47,90,-116,-549,-1274,-1338
-107,-1,43,1980,-547,-1322
-86,81,69,2314,856,-50
10,22,-12,1480,1646,1212
79,50,115,1465,2681,2221
-89,-68,50,4796,1922,5433
38,43,-26,6157,4415,7970
-115,-21,30,-9383,4152,8708
-77,7,-121,3732,-1218,1087
106,-122,-51,2040,-1327,163
51,88,15,1790,-321,915
52,111,-5,1797,493,1665
65,-17,-99,3308,528,1252
-120,33,-126,1900,253,1330
-108,43,94,3225,875,2198
-67,-87,-104,2078,1346,3858
-106,103,-65,1209,1476,5934
121,30,77,763,2081,3973
16,-89,-44,-138,-864,2878
-5,-33,-9,1200,618,610
-81,2,30,2640,621,-748
-125,110,50,2478,-97,-725
1,-3,115,-1783,-2242,-6406
-74,36,-48,-2880,-2268,-6558
103,-52,-17,-4013,-917,-4018
63,-104,79,2279,-478,-2459
-56,88,4,3332,2351,4011
-116,101,-108,-366,2629,7439
-121,14,-98,3397,1756,7753
48,-23,2,6220,3724,11177
-66,47,59,-7840,-5383,-3984
53,42,73,5385,1363,-6937
69,-36,37,-506,-573,-7116
-20,111,25,-186,-732,-7498
102,-27,51,-2066,-2111,-5088
-73,77,-120,4765,583,-1529
-89,-59,97,-1549,1609,7577
91,36,49,443,1915,7213
61,19,-3,2651,-89,9453
-13,26,15,6006,2655,4831
-6,-55,57,-10604,-6133,-1239
-47,-59,-100,6331,2005,-9464
99,-92,14,-1905,-1639,-9152
64,3,-50,-1918,-3586,-10813
-27,-7,59,-3214,-4185,-10401
-86,92,77,-834,-4450,-10051
-86,-1,102,-1308,-1301,-1457
80,89,38,-315,139,-1502
-111,79,-56,2801,1233,-1023
-46,-93,-77,2272,2314,2528
-67,97,104,-2147,2358,7665
67,114,-40,2532,-858,9239
45,-40,-77,3096,828,8040
34,75,-77,-950,1642,2379
-40,125,-57,2511,-2244,4
-99,100,114,928,-805,1106
89,-67,41,2395,271,1755
62,24,-37,1229,-713,2750
-105,-48,116,3203,1058,2531
-95,-90,-57,1444,596,3257
-80,7,56,3487,1110,4168
-9,16,24,1932,2065,3964
102,-34,127,44,142,4903
62,76,-5,2739,1135,1814
-31,-48,-47,2670,-721,787
-35,105,-10,470,410,396
-68,-92,2,1092,27,207
-43,92,24,938,448,-51
-57,38,21,1793,-130,-183
-69,56,32,857,2,-70
-62,49,26,191,0,-208
-59,3,4,483,-2,-304
108,-45,-19,-1381,-1624,-5447
2,-92,22,-1774,-1463,-4941
56,92,79,-509,-710,-2856
-64,-74,-73,4062,-270,-556
-95,57,25,367,4133,6110
48,-88,109,-378,2682,8143
-24,126,18,2034,1888,11082
96,-89,-21,-2672,384,-2403
2,-18,33,2608,-4156,-8126
36,-69,-110,-1930,-915,-7464
-28,82,-90,-786,-905,-7244
61,-31,-73,-723,-1890,-5456
-125,44,28,2253,751,904
49,69,7,-3052,2529,6859
-51,90,64,1721,1672,6407
87,95,-12,4282,2477,7746
93,61,82,2279,1578,10306
44,0,-65,-2083,4102,3829
52,-122,113,1034,-4931,-9799
-26,75,13,-61,-365,-7286
-67,120,-75,-1767,-5148,-8641
73,4,-39,-987,-4244,-9842
-125,-5,10,138,-6552,-8746
-80,83,36,966,-5172,-6585
23,-78,101,-3602,-1429,-2982
19,97,-12,-1356,758,-3119
64,-40,42,1866,1424,-1294
-115,-44,15,-1706,995,1170
-32,91,-78,-50,1064,5542
33,-78,-78,24,611,10855
-37,90,87,257,-1131,12811
-98,-37,-83,123,4184,1375
70,-124,-66,4081,-4510,-2153
-21,114,43,1813,-3128,1124
107,-59,119,-107,444,3339
83,77,-12,3202,-910,2650
-1,99,-22,1487,790,3538
15,-32,127,3568,940,3837
-113,69,55,2910,1375,4055
-76,-60,64,765,554,5035
-63,-32,105,1237,1037,4582
63,24,-91,4050,243,3371
-97,-16,-25,3328,732,1157
-50,-85,-10,2572,42,-1034
-110,64,-42,3119,114,-1976
-50,-63,21,346,-506,-1772
72,-31,9,-541,-306,-1303
48,121,7,214,-818,-988
22,93,48,49,-882,-330
10,125,47,-1089,-546,363
-91,30,87,-973,-986,-7398
57,-92,-2,-123,62,-7979
-99,-123,28,-2969,-1120,-4598
75,-1,101,4259,-1784,-2809
-77,80,92,838,2528,5022
18,-52,-54,-682,3017,6516
34,-7,13,2898,2468,6444
-99,96,-76,7930,1746,6551
-39,-64,56,-7483,375,115
-88,-23,-35,4844,-3532,-6210
8,-67,-18,-1420,-588,-5717
-123,9,-36,-1906,-902,-6149
-94,23,-93,-1741,-627,-3879
-13,-61,-112,-1164,372,-1070
41,-25,-83,1792,1070,836
87,86,-87,516,1917,4926
43,-103,94,1455,1119,7039
28,-21,37,2035,579,8690
40,79,-36,5384,2545,9989
22,57,1,-5042,-668,-369
82,118,-71,5182,-2458,-7798
125,40,114,-3543,-1631,-6348
64,-123,-83,-1173,-3286,-8082
-85,116,-40,-945,-2560,-11095
14,-88,-12,-1327,-4425,-9915
73,-28,99,-1233,-2019,-8559
89,78,74,876,-1066,-6144
98,-84,77,1862,1091,-2285
-35,-52,-8,-875,777,-272
-91,39,78,-1318,460,2192
16,57,103,37,24,5043
-50,40,-18,1083,-1688,9867
93,-20,-42,-1112,-1879,8941
-25,-111,29,3257,424,3662
-112,49,43,5165,82,-2304
-62,115,-60,866,-2238,593
94,-56,-112,2111,-808,1621
56,-35,-30,688,-823,2912
73,-119,-77,532,-505,4247
-128,49,118,4044,1549,4138
-38,57,-119,3249,1819,4600
10,9,117,244,969,5624
-55,-59,-116,1808,720,4371
82,-33,118,1173,-964,3151
50,68,56,1153,1286,2214
-73,124,47,2276,-505,869
-18,53,95,366,-506,721
-25,-53,21,1085,804,659
-87,120,-43,2151,738,-69
-110,-119,-53,1465,63,-441
-28,113,-91,3487,367,-6386
-4,-1,92,-3258,785,-6429
-17,-20,-48,-679,-72,-7236
36,-72,-71,-2635,365,-6134
80,-39,-46,-1859,-133,-4816
64,33,6,25,-182,-3369
37,-80,-119,2096,-1012,-631
32,-85,-48,2305,524,3068
-70,-9,-51,1932,2110,4822
-10,20,95,3011,2101,6419
2,59,64,3097,1590,8992
7,-8,-36,10179,727,9507
-14,80,-97,3421,9272,2947
70,83,-31,-8268,-3841,-4395
87,15,-2,4466,-4184,-6030
-47,-4,24,-5111,1104,-6478
-95,90,-31,-947,-2284,-6056
-60,-77,68,-1084,279,-5812
42,105,-121,-912,-48,-3355
53,-84,-27,1085,-1092,-2303
-89,75,-6,2545,2281,4851
31,105,23,-1347,3179,6713
-99,-2,-103,-742,1055,8757
33,21,71,3102,1484,9943
64,-11,41,239,-3993,-3902
33,79,-90,-279,-342,-4831
-33,100,-89,-971,-228,-5349
-74,91,5,37,-2217,-7045
-72,-44,127,-1683,-1789,-10400
127,122,112,1783,-4558,-11334
-127,-69,8,-948,-3816,-7470
-8,23,-120,-165,-573,-3473
-78,127,-109,1719,1130,-1325
37,86,86,2740,4,-210
24,80,-70,5596,4031,5538
107,-65,-118,2719,5050,7476
-36,-125,-67,-5538,5759,8376
84,105,73,-2464,962,7332
-88,87,-101,-747,3826,2269
120,-121,62,1392,-1537,1572
5,73,57,-2159,-4554,-2090
53,-71,-17,-422,-2734,573
41,119,-26,-116,-1986,3807
-35,78,77,-955,-3109,5179
-12,-70,8,1076,-1860,5032
-41,-10,108,1468,-1063,4729
-64,22,35,3746,-579,3719
4,-111,3,1243,-1991,884
-121,103,-67,2740,933,133
-12,124,51,4043,1351,-659
-22,86,109,1777,-1926,-6625
-121,-76,63,-2034,-141,-7606
0,-111,-14,-596,-1434,-7965
88,67,-27,-2009,-1132,-7171
96,0,8,-971,-970,-4438
96,-105,76,946,-441,-2169
-128,64,-74,1964,287,2169
-68,-62,-55,167,1923,5152
88,-35,122,1425,1889,7041
-55,10,38,2174,1725,8443
