AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-64,-96,96,-2727,-1210,-4269
126,-13,84,-797,-590,-4102
0,29,-9,-369,-638,-5533
24,-65,72,-3059,-1273,-4337
-110,-3,104,-2684,366,-3336
2,33,126,3526,1640,-264
-59,58,29,1596,4597,4364
-40,51,115,2388,4750,7714
5,-83,87,2934,6722,3061
123,41,-71,-6388,-3760,6071
74,9,18,2320,-2579,-8161
39,-44,-89,-6488,-1997,-5410
98,-103,-20,-5145,-1199,-5089
-117,-114,122,-4641,487,-4278
44,-121,-91,1730,986,-2511
-41,47,50,4377,2173,4455
60,-102,93,2072,4650,7685
-124,-124,-89,3312,4424,5208
-81,-84,23,-3651,-220,3892
33,-46,-41,5076,1536,-7517
-39,-22,4,-6674,416,-4443
49,-125,-34,-5469,1428,-7022
3,8,78,-7058,-26,-6614
87,91,70,-6557,958,-7787
-28,42,85,-4645,58,-7644
7,-81,-123,-180,2616,-7517
-57,-115,-39,28,1347,-4663
91,-72,-99,2410,4056,-2959
69,-117,-71,2178,6648,3438
58,-53,126,4711,6268,10782
12,127,73,-139,4127,11073
-127,54,110,-1686,-1581,2873
-48,68,-74,6255,2637,-5890
-18,127,-91,-4831,-2733,-735
21,22,-79,109,-399,-1118
102,-36,-128,-1886,-100,-574
-7,-47,-65,-1327,-1440,1422
-70,59,-13,216,997,1969
-15,-23,-63,752,2596,3683
-18,-21,41,-725,2342,5318
-59,-79,63,2507,1857,4119
50,38,-5,-2116,302,5188
-35,12,42,2364,1911,138
-73,-33,73,-2367,968,3620
-77,-89,118,4043,1516,-296
-43,69,-39,-646,743,-248
13,84,22,-682,2268,-228
-26,24,73,-22,226,114
39,68,45,-1149,529,-83
42,29,4,-1012,218,-211
-84,-44,32,1084,686,-7307
-25,-23,-64,-1996,-902,-6861
25,41,71,-3619,-1637,-5927
60,-13,-121,-3780,-1268,-5555
30,-28,6,-3844,289,-3534
-124,-77,62,1066,1309,-2991
-23,-110,-100,3687,2525,2659
12,-91,43,2138,2008,8074
39,-18,-107,4048,2949,7385
-127,124,-106,-4773,-2116,6278
10,14,12,2052,-1967,-9136
-117,97,7,-5614,-2654,-5185
125,10,37,-4933,-980,-5213
-8,7,114,-5314,1265,-4032
115,-103,26,1229,1432,-4261
-85,-112,123,3187,2337,3721
-89,5,-68,1917,3807,7400
100,71,47,3777,3121,7384
107,-123,-32,-5232,1713,7143
-96,35,-82,5319,1638,-7392
79,-75,-46,-5226,686,-3276
41,-86,-2,-4082,2629,-4955
115,96,27,-7121,2303,-3798
64,-82,86,-5773,3125,-4462
-126,-117,-56,-4980,2896,-5394
111,35,18,-6720,2904,-7137
53,121,-87,-1536,101,-6555
