AccX,AccY,AccZ,GyroX,GyroY,GyroZ
105,-102,-12,-246,3488,-4622
-41,70,10,1904,889,-3309
-102,-29,-39,2636,-132,-4335
38,49,20,1098,-92,-5022
96,83,98,921,-420,-5469
99,-23,-3,4478,70,-4946
-33,52,11,8186,-374,-4453
22,-94,25,4442,2145,-3108
99,13,74,3488,3023,-2456
-76,9,91,2148,4950,-1216
56,91,-119,1653,1652,-755
-81,94,-26,-382,-432,-182
-15,50,35,-356,7,297
-51,123,-1,18,473,-253
-86,-67,-59,836,-549,-247
-8,-33,-61,-383,-1562,73
-113,-29,8,-3834,-3868,1271
-80,-71,42,-6122,-4879,1864
-14,94,11,-6658,-2941,2727
51,49,14,-3438,-899,3104
125,-22,55,-729,-3864,5620
-31,-51,105,-1108,-3098,6923
-86,16,-65,-1292,-3156,5171
-44,12,116,-1677,-1656,3920
-114,-12,16,4454,-1256,2700
-7,55,-66,4820,-66,3250
-118,-107,100,2296,206,592
-44,-56,-59,1798,-1034,-2869
19,104,-96,1564,608,-2256
-28,32,-79,957,883,-1328
-71,36,-73,607,325,-155
-59,34,-89,-306,306,-318
-9,47,-106,-359,115,-118
14,64,125,-334,54,-162
7,60,98,67,-88,-269
20,53,80,322,290,-283
17,69,92,221,166,2
16,104,117,102,246,97
18,-122,-121,227,-13,172
-11,115,-118,907,-40,97
2,-90,-114,303,5,78
5,-82,-125,631,108,-126
-4,-95,117,900,31,-288
0,-22,-122,-2039,165,469
-12,-14,119,-1361,-58,514
0,-91,-120,1708,-218,-189
7,-9,-111,709,85,-425
-6,-10,-111,250,76,-460
11,-18,-121,324,144,-440
16,13,-119,-196,7,-517
-82,-58,-123,2833,1256,-4319
-90,-115,-68,7127,-3098,-5666
-31,86,-84,996,-2958,-4782
-46,70,-71,-1311,-1494,-3611
-89,108,-25,2153,-540,-3120
-111,27,114,2515,739,-3478
-58,13,-91,4956,2840,-2876
-16,104,100,2011,2852,-1300
-124,-59,-82,2775,3715,-1833
-25,31,39,-48,-308,-397
-86,34,-23,-1189,-1311,402
-62,65,-32,-652,-1977,265
47,-57,-22,-4830,-3155,398
42,-66,-15,-4964,-3219,2074
111,-125,-33,-4283,-2460,3595
-30,38,90,-3699,-1520,4545
-40,-119,-70,-1585,-1988,5198
70,-83,-43,1604,-2946,4956
8,98,24,-619,208,2194
-54,15,75,4456,419,952
124,33,125,-42,137,3165
109,-23,-46,1960,615,2450
-52,117,117,3327,899,2522
-96,-115,-128,2245,1031,2112
24,95,-80,1518,0,955
37,8,-85,840,373,-365
36,-37,-90,1488,369,-454
-37,-41,-44,1538,-268,-157
18,16,-28,-72,29,-266
5,6,-46,-230,165,-819
23,-44,-76,710,292,-1265
70,-28,-85,612,353,-1363
99,-15,-96,303,147,-1363
100,-14,-94,257,58,-1142
84,-11,-96,294,131,-944
68,-6,-96,442,172,-553
59,-4,-104,620,229,-154
49,17,-95,618,119,394
44,37,-84,531,433,574
-75,36,-114,986,482,1034
41,50,-102,978,-142,832
41,75,-65,352,89,876
103,71,-102,439,762,603
63,41,-113,1564,241,173
84,76,-91,961,290,-62
35,56,-78,852,313,-593
46,38,-60,781,261,-664
77,46,-55,390,270,-541
76,35,-58,472,40,-359
59,58,-48,103,-102,-136
107,71,-6,3680,84,-4755
95,0,-92,793,-309,-4979
-104,-79,-7,1459,-953,-6691
84,-118,75,-284,-1564,-6077
-63,-33,117,2434,-808,-5300
35,-61,-60,5815,-231,-4373
63,-68,80,4157,2446,-3021
-47,101,20,4352,3267,-3422
68,80,44,2729,4153,-2679
-70,86,-30,1073,4539,-2192
123,5,4,681,1275,-1147
-124,-3,58,-728,-1344,1084
-32,70,-73,1514,-2313,464
17,-45,-106,-1070,-2788,986
26,83,-53,-8014,-2743,2773
-89,57,-49,-9015,-2582,1219
112,117,53,-6729,-1999,1249
88,100,-67,-2417,-2430,2183
47,-101,93,-734,-3106,3619
85,-116,-59,-852,-5449,6413
-83,104,-121,2232,-6217,6173
-22,-122,22,661,-2965,4566
-27,-106,-71,2218,79,862
92,-12,-63,5057,1204,1177
88,119,-22,671,197,3955
-16,101,70,-1328,-2404,1109
-78,105,-52,1590,776,-2358
-42,47,-97,1914,2424,-2833
-70,4,-111,1564,809,-1491
-72,-2,-106,747,-467,-122
-49,-6,-122,310,213,-135
-22,-12,99,349,347,-186
-59,-2,111,278,-282,-98
-48,69,124,-509,-196,-299
13,40,93,702,243,-850
-12,43,124,1339,-519,-724
-85,106,-93,197,-399,-534
-82,87,123,310,408,-443
-30,58,107,1194,317,-73
-40,113,-102,960,-243,380
-30,123,-101,533,270,121
-43,118,-122,691,601,-97
-26,115,126,734,481,-76
-10,116,105,790,538,-64
-11,113,98,919,453,-159
3,104,97,1075,388,-212
34,104,118,898,404,-118
4,87,-127,956,286,-260
16,64,-117,1019,347,-171
32,69,-104,700,266,0
121,-119,32,3532,-942,-3738
-43,63,-4,4121,-1797,-4989
-84,-38,-5,1630,-2890,-5356
-60,37,72,282,-3557,-4830
54,78,-61,-133,-2211,-3917
-94,92,76,3294,-348,-4058
-60,-93,11,3957,1449,-4030
94,-24,32,5398,2103,-4005
3,-12,18,3067,2634,-2868
21,-35,-99,1451,1322,-667
-94,-85,52,-859,655,-216
121,-43,5,-204,-442,134
-98,-98,-29,374,-1093,290
-16,-34,-87,-3445,-2578,1843
-21,60,-43,-6254,-2671,3054
102,-21,-41,-7525,-1382,3571
-18,84,30,-5377,-1258,4550
-27,126,-80,-1757,-1224,4948
-121,40,58,1687,-1725,5141
51,88,120,-992,-1868,6088
-40,-54,69,-5532,180,4192
-25,-79,92,3578,325,-213
127,-88,18,7490,-10,1966
24,99,62,1613,1,2741
89,-30,-36,532,-285,273
60,78,-41,1335,-144,-1327
42,52,-11,1119,195,-1427
-9,20,-34,678,521,-1282
-3,7,-46,429,223,-951
14,5,-68,523,279,-415
36,21,-91,386,202,-337
49,37,-89,390,65,-262
51,38,-95,560,111,-343
41,54,-82,521,53,-263
59,52,-75,915,107,-69
-20,50,-95,1050,181,-677
100,25,-112,868,85,-127
55,93,-51,-532,-748,1477
-36,-96,-53,-1033,-412,1284
11,124,-97,558,420,90
38,-126,-117,1305,277,-248
25,-84,-118,446,181,-458
49,-105,-118,335,74,-368
-3,-111,-111,445,112,-420
-1,-117,-112,681,413,-505
37,-116,127,857,270,-616
47,-111,-107,578,-85,-672
9,125,-105,443,252,-696
6,100,-103,864,133,-190
27,120,-112,811,90,341
-51,-73,8,1443,2746,-3847
54,127,106,4753,1015,-5938
-75,5,12,4197,614,-6813
84,-29,63,2443,-1876,-6621
37,27,-97,-579,-2357,-5244
49,-25,68,2091,-1402,-4626
-2,67,-91,6152,1699,-5964
-34,69,-127,4509,5011,-5378
70,-31,43,2679,3543,-3327
-86,-42,-112,-217,2844,-817
73,35,50,-3613,-3694,1828
-4,-19,91,-5806,-3936,3353
-18,82,-107,-7313,-3726,3152
41,-53,-96,-4978,-2698,3569
-77,-104,88,-3941,-3327,4697
-103,26,-10,-537,-4101,5879
42,-88,-121,2227,-5592,5750
4,14,111,821,-1738,3458
-3,9,55,1579,89,1779
-28,1,16,5354,140,245
41,79,-26,4218,-373,3409
-113,-77,-73,-664,706,2519
-104,-75,-75,1186,-227,-901
-95,34,102,2975,1180,-2152
-89,46,109,2214,1166,-1665
-103,19,127,1600,522,-810
-101,-17,-110,1038,-72,-55
-69,-8,-84,716,-774,-379
-58,36,124,1151,11,-324
0,20,-121,1164,535,-924
29,2,-107,804,288,-864
3,-3,-73,243,-260,-647
10,-2,-79,-41,-66,-422
-4,-17,-119,519,507,-444
-27,-21,96,1025,413,-231
-28,17,96,534,32,464
-8,73,107,-431,-25,844
-2,87,82,-355,202,749
21,78,104,219,-62,359
13,92,120,593,-7,-45
9,80,114,832,142,-437
-6,93,121,539,130,-79
-20,104,115,163,8,39
-20,123,99,-20,-17,179
-20,-118,90,9,-60,98
-1,-89,89,166,-48,-35
30,-73,79,706,-158,-444
15,-78,94,506,-73,-1032
4,-91,109,254,178,-907
-11,-112,97,301,274,-716
103,-110,41,-8738,-962,955
50,-9,-35,-1867,828,-2126
54,97,-17,2058,2975,-4192
73,30,77,2059,1573,-5907
124,-103,-81,2877,1454,-6558
36,-92,-89,-1557,2446,-4943
-35,-11,-72,2572,1510,-3415
67,-47,84,5525,4031,-4085
112,69,-92,9663,4181,-4873
-66,-111,-75,7400,4172,-3275
47,-62,99,542,2781,-589
-106,108,-17,-1897,250,1088
8,-14,104,765,-1105,237
47,40,-92,1023,-1213,-151
-126,-121,48,-1645,-2786,652
53,32,117,-5759,-3051,3634
-84,-34,-87,-7807,-2613,4134
-77,101,3,-5183,-2803,4190
83,-122,-61,-5227,-2032,4630
-67,-25,-122,-3426,-2099,3696
87,-110,-103,4785,-3210,1963
122,-32,52,2602,-1477,3698
79,88,-116,3141,-1168,2823
-64,-70,-60,4879,172,2533
8,119,62,4383,762,2319
0,-30,-79,2479,-994,3244
-19,-119,-66,1648,-811,462
-90,8,-51,1264,147,-2011
-25,-116,-53,2158,1423,-1869
-68,-83,-30,1236,612,-991
-102,-61,-19,3,-234,-125
-77,-47,-53,-777,-31,-45
-49,-59,-106,-180,242,-560
0,-67,118,760,123,-1005
17,-51,121,921,13,-1290
15,-48,-125,689,-69,-1332
31,-45,-98,353,-39,-967
27,-53,-104,517,-7,-621
41,-45,-100,697,-120,-225
34,-13,-91,255,-21,116
-8,-13,-110,296,84,283
-22,-5,121,524,71,789
10,28,104,527,237,1195
14,66,98,388,140,1189
23,96,102,255,169,734
10,89,109,450,-5,-133
