AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-95,120,-108,-3764,3253,-1156
-17,-85,-80,3155,2108,-6142
-99,-70,-87,3732,-330,-6693
-38,75,3,5874,-3079,-5911
66,123,113,8907,-8578,-8314
26,10,109,5096,-7007,-3389
20,50,52,7176,-3284,-5597
31,-60,21,-1867,1822,-3692
-88,-84,44,-1741,5907,-5703
64,-12,21,-1661,9120,-4845
-60,-42,45,3443,-5203,692
-120,-56,-32,-1611,-2152,7245
8,-92,-28,-466,-3810,1191
85,108,66,-6903,-2008,4340
-124,-25,30,-9013,-3062,2913
-65,10,0,-6438,352,4758
81,-77,-25,-4549,-115,7380
-54,15,100,-43,-2672,8915
-101,-28,30,2496,-1396,6958
-66,-5,-81,1812,-1063,6480
102,97,-62,10580,-693,2820
-2,92,-115,11625,-1249,5771
118,-109,3,-4106,4327,3483
-26,105,97,-5542,-1847,-6131
-35,-48,30,-5042,-680,-4751
-103,-126,-37,-3047,3423,2609
-43,-5,72,1251,-920,-61
45,-36,52,5229,-1148,-850
125,28,28,4771,25,-1000
-102,84,99,782,513,-710
-81,108,104,-2277,531,-179
-92,54,42,-2209,-27,-101
-96,40,34,-593,-307,-354
-100,57,53,329,-469,-217
-113,-104,-122,-810,-334,-91
-45,-68,-55,-279,983,41
-109,106,123,2499,-395,-134
-72,-106,103,1996,25,18
-72,-92,89,1074,150,172
-84,-81,48,-378,185,335
-89,-89,35,-380,76,321
-93,-117,36,790,-75,36
-78,-95,67,1061,166,-220
-38,-50,-126,390,544,-157
-56,-83,118,795,-81,-75
-58,-70,93,208,-37,30
-64,-81,63,76,54,-25
-62,-81,58,75,40,-2
-60,-70,66,3,60,24
-56,-59,76,122,125,-42
1,81,-52,2926,3286,-5875
14,-82,-29,7826,-1032,-8135
-75,24,85,6895,-6259,-9757
60,-58,41,6676,-9727,-7050
-92,121,-53,5635,-6392,-2787
40,-45,37,4853,-2828,-2370
-19,0,-32,-1722,4744,-6423
114,17,112,-1185,7994,-7896
-62,-2,-103,615,7675,-6126
-10,-97,52,-2252,-6584,5049
112,115,113,1682,-1731,2937
-2,-127,70,-2439,-3694,2621
-95,6,-34,-7252,-5273,3106
-99,78,-78,-9429,-5543,2224
27,-8,119,-13629,-3264,2576
115,24,46,-8110,-3603,2812
17,127,93,4818,-4375,5785
1,-65,126,8211,-4257,8131
10,83,-91,-1875,-5151,9338
-17,57,-25,-791,-2836,4222
-92,-85,122,6117,-1475,-50
19,-54,-25,8151,-3189,2007
41,-42,-14,2935,-2155,3506
98,-68,-51,1104,-1426,-1281
36,-72,-38,-108,2564,-3647
11,69,112,-3541,1393,-848
-15,-5,45,-10,658,482
-20,-61,42,2144,705,-565
12,-19,75,1976,357,-1079
74,31,106,245,-352,-498
