AccX,AccY,AccZ,GyroX,GyroY,GyroZ
106,-43,78,763,-2124,-9955
124,-106,118,-1366,-1916,-7724
7,127,-59,-2437,-1976,-6829
-72,-49,105,-3193,206,-7020
63,71,51,-5233,10460,-11293
32,43,-104,2116,13350,-19821
-92,39,-112,-7434,7801,-355
33,-112,77,487,-2133,1199
-96,-94,74,-1124,-1907,1138
43,47,-62,1086,162,-361
-118,31,42,-947,-2545,472
43,-44,-80,-553,-2361,875
127,-45,37,-508,-865,343
-105,-10,-101,-2764,-1947,1264
97,-12,66,-5888,-2684,2961
-77,-24,-50,-12171,-3614,4115
-103,-8,5,-9135,-4902,5228
110,12,-109,-6070,-3878,5645
-112,97,-58,-347,-3913,3764
127,72,69,2903,-2717,2829
73,-99,-112,763,-1711,4549
101,-122,56,-3043,-5382,6636
111,102,53,126,-2770,1711
-21,-28,18,3288,-809,-1871
63,-36,103,1038,-2198,1330
73,66,-92,-1310,-921,507
-16,-3,124,1265,708,-3305
-19,-37,122,677,2594,-3000
9,57,-114,-1893,1810,-1102
-8,-47,99,37,400,-828
-3,-60,74,963,226,-1228
67,13,74,-696,831,-877
84,-14,39,-607,748,-1064
93,-13,30,-610,749,-1114
106,0,26,-829,697,-1085
109,0,21,-590,660,-910
110,16,29,-719,520,-719
118,48,35,-867,304,-464
-122,50,35,-531,207,-551
-96,78,42,-560,270,-553
-92,91,45,-591,279,-578
-88,106,52,-685,275,-565
-90,110,60,-612,254,-665
-86,119,70,-654,290,-625
-74,124,66,-559,401,-653
-71,-127,69,-472,339,-661
-65,-119,68,-521,435,-755
-59,-122,65,-405,533,-799
-58,-118,60,-447,519,-756
-56,-110,58,-549,443,-670
60,49,-83,-498,-1380,-6818
126,103,-101,248,-3062,-9972
-18,-127,28,-1103,-3608,-7344
25,-6,-67,-4549,-1640,-2908
-84,64,96,-2359,690,-6647
21,-38,22,-2805,4418,-8548
30,-80,-35,-1758,13480,-17236
8,-29,53,-1967,15166,-15009
95,-86,-91,-5760,-5605,6873
-76,45,98,3274,-459,-332
