AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-1,-68,20,236,4045,-5002
59,-87,8,-1159,4769,-4701
114,34,-118,-2141,5177,-4613
-72,-118,39,-1883,5207,-4047
36,71,25,-2092,4721,-3398
-103,-56,-52,-2190,3964,-3190
-98,-49,8,-3485,3326,-2273
1,100,-52,180,2603,-1802
53,84,-38,-149,1995,-1262
58,64,-12,2061,1589,-1996
-32,6,34,-406,-800,260
47,8,-104,770,-1634,1159
-98,0,90,468,-2098,1561
-41,92,84,1191,-2544,1514
56,-85,72,1210,-2959,1192
-75,8,52,-864,-3746,2251
44,-107,3,972,-4034,1252
-58,5,-122,1090,-4436,1438
-113,-25,-23,3537,-4426,1242
-56,51,1,201,-5050,2644
-18,47,101,569,-6625,1164
-124,-46,66,2043,-5797,2456
-50,-2,45,1229,-4000,1515
110,-49,86,3341,-3062,273
-59,28,83,2083,-1086,408
87,42,-105,1089,-1994,-462
31,-15,-18,4568,111,-1557
68,-45,-97,-2114,-303,-70
89,-98,77,1046,-61,-739
65,-91,23,698,156,-507
31,-100,-36,257,-76,-205
76,116,-38,1519,-305,-298
116,-67,-57,149,820,127
96,-67,-78,-557,826,187
111,-123,-119,45,1128,-195
-121,109,112,1100,1155,-298
-120,-120,110,806,781,-199
121,-123,105,252,495,-259
-66,67,69,743,657,-547
-4,74,76,615,177,-9
4,108,-126,-339,116,-246
-2,124,-81,-467,-304,163
1,114,-83,-313,-97,606
10,124,-97,-376,15,591
-4,121,-112,393,-145,248
-16,116,-112,669,-181,-221
13,-116,113,224,164,-189
8,118,80,168,229,-77
19,-120,60,-237,-61,215
29,-105,45,-356,-279,233
-70,38,64,-2913,2688,-2713
111,-69,-74,-1298,2605,-3864
48,-53,-32,-1837,2950,-2638
-109,48,81,-1388,5062,-2018
106,121,-127,-3069,4622,-2307
37,41,121,-3465,4553,-1841
108,-116,125,-3030,4393,-2057
-55,-102,4,-4498,3725,-124
4,123,105,-1450,5478,-1663
-75,91,48,384,3217,-1666
-57,-34,78,2048,3846,-1637
-71,-95,-122,-947,156,-1536
58,-27,24,277,-1994,957
119,61,-10,487,-1760,673
14,-11,110,761,-2839,1735
120,123,65,117,-3252,1321
4,-45,54,99,-3824,884
-80,48,7,937,-5761,1016
51,63,113,136,-5515,1112
48,2,7,3338,-3764,-1935
56,-68,14,2927,-5030,1253
-110,103,-97,1323,-4658,385
-45,-3,23,5930,-4434,-153
-85,68,51,4786,-6095,1653
43,-25,81,1367,978,830
-27,111,-39,-1052,-932,2694
99,49,43,2812,1559,-542
-104,-77,98,117,-2357,694
1,-97,-112,3101,-935,371
-75,-66,101,2913,633,-257
-114,-74,95,2078,591,15
102,-93,48,1510,508,347
75,-119,40,1136,333,202
69,121,24,244,331,-268
85,76,-5,323,460,-810
122,-1,-43,1058,475,-1233
-106,-13,-41,1124,229,-1158
-92,-19,-35,579,-25,-861
-74,-18,-24,-252,-238,-368
-87,-33,-39,-588,-149,-245
-51,-44,-51,-397,-190,40
-35,2,-64,-812,-39,285
-43,-4,-88,-557,473,-84
-50,-25,-112,439,19,-7
-37,26,-123,288,-34,200
-20,43,116,16,275,37
-5,35,90,176,371,-74
-3,33,74,218,-25,38
-15,39,102,316,-221,170
-2,48,101,397,299,176
41,-60,21,-2759,2025,-3519
43,-5,-1,-3439,5124,-2151
-54,-117,54,-2714,4355,-1571
-101,-56,41,-5054,4238,-752
-46,-67,69,-2852,4766,-621
11,-118,-101,-2837,4518,-623
96,37,-11,-3244,4602,-11
-72,-16,-24,-5030,2531,1825
