AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1,-94,125,2298,3328,-4037
120,-122,-3,3677,4599,-4444
-95,-73,-106,3574,5070,-4631
-91,-41,-80,3306,5290,-5049
-96,94,-101,1933,3654,-4866
-77,52,10,-333,2507,-6791
63,-115,114,230,2498,-5136
125,-60,-8,-431,1343,-3824
-109,-11,100,-1168,518,-1901
-92,123,40,730,202,44
-76,-107,-57,2016,-729,410
-119,32,-28,2080,-1057,-723
-101,22,-47,2460,-1246,-439
-12,6,66,3271,-1228,841
63,90,15,1642,-2052,1371
13,-124,102,745,-1581,782
43,-116,63,-2069,-3250,2136
-41,64,97,-145,-4055,4667
7,-98,-90,-1739,-5152,3427
84,95,107,-4705,-5761,3599
97,-106,-121,-877,-1933,1467
70,62,29,541,-726,-6
-86,-43,-7,1752,1037,-1836
71,-97,-76,152,587,-566
18,74,-10,196,417,-461
40,29,53,643,736,-901
35,-9,3,1823,-265,-273
30,-65,-63,1876,-741,284
67,-5,-89,998,-192,848
57,68,-54,-12,-759,1258
36,55,-28,1103,-483,1841
111,87,8,2006,-295,2604
98,-125,-26,1479,718,2463
97,-47,40,654,-510,2816
-111,-98,80,1574,114,2360
-108,-60,101,913,952,2173
97,-126,-101,229,159,1477
89,19,100,562,657,1546
64,2,98,829,465,1096
47,-47,55,851,104,708
46,-48,19,-208,-12,248
40,-73,45,-579,-115,-381
84,117,5,-176,667,-823
79,87,-14,-93,391,-908
92,68,-30,-483,208,-954
84,33,-23,-241,-57,-667
85,14,-34,113,517,-427
96,57,-35,-504,304,-437
115,56,-33,-151,456,-443
120,113,-32,-764,382,-54
-32,121,-103,3174,3464,-4151
86,-109,88,3184,4608,-5212
-121,-87,-104,3007,5991,-5146
-19,-92,39,4688,5802,-4651
-90,101,42,2850,4175,-5636
89,117,78,895,1941,-6222
-26,83,23,363,1324,-1468
17,40,-30,-1037,-1795,-115
-58,-97,-42,177,-993,155
-64,76,1,1449,-1924,264
-24,-91,120,1662,-2722,-1283
-13,-94,115,2911,-2164,-906
68,-90,14,2358,-2352,-1110
-62,-113,6,1629,-1558,-8
-125,52,84,-4077,-2849,-1613
36,109,-26,495,-4542,2659
-55,-68,70,-2469,-6412,2936
28,-65,58,-2906,-7653,5898
-3,68,-107,-859,-3335,597
67,-112,68,2968,2192,-1653
57,-77,-15,-206,-376,-1033
17,26,-41,717,688,-312
10,54,-46,691,815,-152
37,81,31,682,-57,-771
49,-6,-68,1799,-92,-523
49,23,-97,973,-539,-30
41,40,-72,-120,-273,1152
53,41,-94,558,-595,1373
97,-107,-70,911,-1281,2828
111,84,40,2567,-857,3073
-60,-69,46,2098,-401,3695
-15,-16,92,1419,-491,3778
-54,7,-86,2357,-271,2757
-94,-71,104,2069,877,2194
104,-108,-123,1010,308,1651
32,-128,-128,1030,178,685
2,27,106,784,622,-131
-11,-42,80,542,466,-351
13,-122,66,455,286,-512
35,55,55,399,391,-663
48,26,38,392,455,-779
49,18,27,204,395,-686
70,25,15,-564,177,-431
67,10,-1,-316,109,-442
65,48,-2,-693,157,-284
75,50,-5,-317,98,-276
74,67,0,-101,102,-116
115,74,-14,38,484,-49
101,-118,-24,-696,-147,-270
73,120,-36,-498,51,-553
-76,125,-119,1998,3066,-3608
3,90,-12,2672,3797,-4023
-94,-83,97,3676,5689,-4734
-128,-27,-104,2841,4857,-5590
-107,107,-118,1922,3812,-5428
114,102,35,660,2546,-5167
1,16,-90,146,1619,-4267
33,61,-99,-788,644,-3240
82,-65,66,450,400,-1205
-123,-104,3,755,-897,-678
-74,19,-19,1908,-1273,-1254
-86,104,-9,2924,-1482,-1364
