AccX,AccY,AccZ,GyroX,GyroY,GyroZ
61,75,-83,1681,2035,-4988
122,60,122,4360,3902,-4653
-128,88,7,4146,4226,-4646
-68,-31,-117,1636,5648,-3126
73,63,3,4409,5103,-976
-69,-72,60,519,6602,2114
-101,19,-128,-3021,3936,5383
97,-64,-78,-5436,1911,7799
106,52,-22,-5132,-8675,3490
-107,-32,-50,-2946,-6430,789
-106,-126,-16,-2860,-6817,-4917
88,-103,31,-1607,-1425,-5687
96,-53,-36,-1120,1075,-5104
-71,-79,-33,-463,3818,-4760
-17,-27,-66,3,5874,-2875
-51,75,-62,-1085,6043,-459
85,-9,-107,-1838,5619,2973
113,-73,-41,-3075,4147,5912
-74,7,-90,-5747,-689,5246
-47,-98,-26,635,-2193,3052
-29,-122,33,-4522,-6352,2378
-47,46,-118,-7306,-9585,410
24,2,-25,-2834,-9556,-2531
-15,121,-26,-1476,-3744,-2884
43,50,-81,775,-1918,-1962
16,-14,1,-2262,-679,-170
125,-50,34,-1222,-609,234
-32,63,-111,-93,467,468
103,-52,39,-1605,123,2052
-122,122,-64,-2286,1557,2201
-25,-83,117,-1710,2307,1957
95,22,50,-1615,1591,2519
-41,-102,6,-2623,1701,2671
17,-110,-33,-641,1712,2581
-126,-12,5,-1763,1664,2689
-87,-4,-11,-447,1251,3335
29,-6,51,1465,1264,3046
42,52,11,1849,30,2496
-29,66,93,72,-295,1388
-88,81,-125,1020,1655,503
-83,40,-106,1717,1287,720
-53,-33,116,1634,987,783
-65,-64,-118,329,456,345
-61,-126,-113,540,392,193
-59,105,-106,280,368,-84
-56,63,-79,369,182,-149
-60,55,-85,159,234,-165
-62,42,-78,-114,79,-349
-43,27,-75,-67,202,-147
-35,38,-87,-448,301,-11
26,102,65,5425,1194,-4448
22,-28,-70,4052,1155,-4765
57,36,-37,2806,3044,-4601
-14,-121,-125,3011,4067,-1831
76,15,-11,753,6083,-180
-47,-71,20,-1752,5643,2160
-29,-100,108,-4477,5127,7116
107,-40,79,-7735,-2737,5702
