AccX,AccY,AccZ,GyroX,GyroY,GyroZ
122,29,7,-1688,2943,-3539
-35,-69,-47,-3361,4342,-4292
106,24,-12,-2696,4885,-5133
120,-35,-20,-3060,3854,-4285
111,-119,69,-2697,3499,-3741
-107,79,-75,-2580,3104,-2521
-52,-23,-107,-2049,2990,-2108
17,109,113,-1557,2692,-1632
23,42,-10,-944,3187,-2385
1,101,-111,-1886,1508,-1434
13,92,87,214,388,-667
-37,95,-127,-405,-1455,882
-113,-8,14,98,-2084,1078
-23,20,57,998,-2047,1052
69,83,56,1355,-2054,1320
-95,-73,49,1244,-2822,1607
-32,-22,60,1250,-3352,1381
105,11,71,1258,-3338,1742
-95,14,105,2525,-3843,1577
-84,89,118,603,-4088,1830
-22,-92,117,3255,-2051,550
25,110,-63,1641,-2787,1735
-56,-70,-104,3010,-1736,1597
14,57,-11,1952,-2740,3043
-41,-35,-66,2217,-1256,2588
-107,-2,69,1957,-1564,2178
-121,-34,-22,2478,757,1239
-48,-9,-34,1141,300,250
-101,102,-93,1173,582,-205
124,66,92,-567,99,-84
-93,-35,29,41,65,-336
-56,-76,-45,-669,495,-787
-33,-109,-74,-479,324,-716
-7,-114,-97,-538,247,-687
7,-115,-108,-603,99,-783
30,117,127,-343,451,-782
14,109,121,-268,44,-455
18,121,113,-368,-77,-107
36,-121,115,-143,-201,84
29,-95,114,-170,-89,119
41,-79,118,-79,-61,211
40,-60,119,-169,-170,229
58,-47,-128,-23,93,190
57,-48,-126,502,109,241
62,-32,121,469,-63,291
56,-25,108,240,-34,241
69,-29,99,173,46,157
74,-10,88,-331,58,-9
72,-19,81,-229,52,-235
78,-29,64,-351,92,-314
107,-59,-7,-2312,3860,-2772
13,-31,-100,-2644,4722,-3159
-27,-94,59,-2844,4619,-3036
51,105,115,-2484,3612,-2204
-127,54,-99,-2780,3310,-1424
-94,-111,-65,-1829,3472,-1228
42,119,-48,-2034,3491,-890
-63,77,-42,-1403,3618,-1037
-85,-105,-106,-181,2903,-1415
21,120,111,-996,1706,-617
91,-72,59,826,858,-624
54,-36,60,505,-43,-96
100,-23,78,593,-457,436
-72,32,81,922,-1001,515
8,65,69,1040,-1216,400
120,118,27,768,-1582,664
-96,-114,30,605,-2895,952
13,-35,87,823,-3771,1213
85,-23,-101,1647,-4086,837
120,-5,-89,1540,-3054,570
117,-64,-83,2267,-3033,553
-125,-41,-114,1552,-2970,853
123,89,115,2917,-2602,1091
-71,-102,-82,1692,-3563,2182
-58,75,113,2769,-2082,1924
8,-43,-15,1515,-3363,2881
-32,124,-52,1995,-1411,2317
-90,-10,123,1536,-1608,2599
-118,-52,-10,2313,707,666
-84,43,43,-464,-203,585
-79,74,-101,1400,856,-830
96,29,45,381,459,-885
127,-28,-15,-512,411,-640
-124,-111,-41,-235,271,-531
-90,95,-93,-308,403,-497
-69,120,-92,-570,207,-264
-46,88,-120,129,376,-330
-25,109,127,255,322,-249
-38,97,106,121,216,-272
-27,97,-98,116,-103,-13
-13,98,-109,105,293,182
0,-119,-99,-87,3,238
31,-121,-118,450,112,322
14,-70,-115,-169,-90,378
