AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-80,-37,-126,2173,-5882,-1708
-125,101,14,1837,-7233,-634
17,-8,40,1641,-6580,750
5,81,-97,-3147,250,2134
-45,-78,-5,-4620,4585,702
-86,118,-124,-7405,4078,426
-54,-116,48,-10599,2463,1199
35,-74,109,-8007,-63,189
64,-106,-61,-4886,-2016,-1651
-113,-94,117,-682,-1202,-3978
36,98,9,-1941,-3724,-4324
65,-29,-14,-1391,-2866,-4310
125,126,125,-1259,-2204,-2898
-28,-78,81,862,852,-564
38,-52,-2,795,3117,3748
-103,-1,-128,1903,3782,6853
96,-55,42,2228,4343,4892
104,-41,-107,647,1946,3337
14,17,-39,3771,762,1555
47,0,95,2885,22,2339
63,123,-46,1897,-1021,3466
122,-15,21,2479,-596,3620
-66,89,-1,1148,618,3546
-42,102,-25,1656,979,4135
-33,-51,57,-184,-406,4528
-54,72,43,1751,-41,2715
-77,-57,80,3224,287,765
-96,9,98,910,524,770
53,100,-105,1069,13,-298
75,30,-89,1035,46,-370
90,35,-80,-450,146,-364
111,-86,-89,20,15,-703
-117,-93,-104,183,130,-525
-106,-106,-112,-233,132,-611
-78,-113,-125,-333,50,-235
-85,-108,122,-373,41,134
-94,-73,108,-494,-11,305
-71,-38,90,-597,19,467
-84,-44,71,187,372,235
-85,-7,57,102,245,300
-85,46,44,-412,69,347
-72,-4,25,523,181,52
-73,25,43,252,15,227
-86,32,46,-85,-80,341
-87,43,59,-378,-167,473
-68,41,50,-66,157,336
-58,42,39,312,175,237
-66,60,35,66,104,295
-71,62,34,147,120,268
-74,69,33,131,174,234
-9,99,14,1076,-4911,-2596
-84,-98,-14,1419,-6004,-2585
-103,33,95,814,-6021,-1275
-11,64,-30,3024,-6052,-96
-21,62,-90,1787,-5392,769
83,-14,81,-1123,-1711,971
-63,-85,66,-3567,3273,1108
-42,-77,-106,-8150,2899,1929
-44,-49,-58,-11376,3083,2124
-14,-125,125,-11405,-970,708
43,-22,-49,-4185,-1586,-1727
-108,26,-62,-531,-179,-3270
43,-3,-60,-968,-1393,-4218
32,55,-4,-1130,-1618,-4755
39,-97,-86,428,-2787,-3764
-15,-120,24,45,69,-295
-86,91,-55,1747,2806,4944
-24,19,99,2640,4949,6567
92,-10,62,1490,3818,4641
-119,-50,-16,1419,2410,3080
-14,-117,59,2828,153,1124
28,112,-117,3010,-975,2652
48,19,-22,1923,-1939,3308
75,41,29,1741,-1299,4030
-122,-83,-4,3037,212,3663
-91,-81,32,64,366,5341
-127,7,86,1317,16,3491
-84,-31,37,2524,-35,1545
-78,-91,79,3426,-67,1040
89,-84,-118,1839,23,944
10,113,-100,1137,275,-34
-9,5,-90,1256,344,-709
-2,-19,-61,-84,238,-784
23,122,-71,376,173,-1233
72,125,-73,-46,280,-919
-121,124,-86,-482,9,-814
-128,104,-100,-519,-210,-719
-126,99,-86,-290,-280,-3
-123,-127,-127,-345,107,251
-115,-106,121,-282,168,266
126,-78,88,-188,105,154
-120,-51,81,-335,15,260
-125,-54,66,-33,86,313
125,-18,59,-241,200,177
-111,2,60,152,368,-2
-96,-2,45,449,274,270
-104,49,70,-171,-158,782
-112,49,52,-96,-124,762
-111,55,49,-134,73,355
-97,60,34,-85,245,143
96,-124,100,1746,-3866,-2446
-8,-61,107,6487,-6210,-1251
63,-128,8,4924,-9444,-254
-48,70,-118,-4831,716,1940
-56,58,-48,-3733,3997,54
14,-89,-49,-8516,4183,1020
-17,-122,68,-8752,1037,426
89,55,118,-9634,-9,366
99,123,-86,-2317,-1774,-2548
