AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-88,-35,96,-674,-2489,-5353
-90,48,40,-358,-4629,-7175
98,-64,-52,-244,-4858,-8453
122,-77,-102,-317,-4307,-7493
-66,9,46,1261,-5642,-5150
9,17,8,690,-3703,-2568
-40,-98,0,-971,897,1475
66,71,-36,466,1099,594
-68,58,54,70,115,-662
106,-88,20,77,1201,104
-107,-50,-115,521,869,341
-52,-70,-18,-524,1235,1589
44,-97,-43,-254,2913,1434
-119,-63,-101,-1027,2695,2880
-79,40,25,-1441,2559,4237
13,55,-54,859,2271,3738
90,-107,125,367,3472,4351
-116,-108,68,652,3992,4751
-18,-50,42,-1961,2454,4506
-27,76,98,1034,2073,4312
6,69,-31,1444,817,4291
45,124,-17,-736,1379,2930
-93,-122,0,352,60,2403
81,109,-9,1507,-188,798
0,-13,24,2430,135,-339
1,-59,15,938,742,-698
-13,127,19,826,466,-462
-6,90,26,89,-83,-699
18,45,41,75,-99,-676
40,7,46,159,214,-856
51,-8,38,-61,242,-480
43,-27,31,247,84,-224
53,3,30,-173,31,63
30,34,2,-343,-189,-126
65,39,8,-192,552,-74
80,38,7,203,287,-12
50,70,0,-214,-152,51
65,72,-1,-220,244,40
76,80,-22,11,385,-23
68,96,-30,-133,139,-10
71,96,-38,-65,201,-38
85,110,-48,-124,254,-105
84,112,-51,-53,131,-191
112,98,-56,-35,294,-237
92,89,-56,-47,348,-165
90,95,-64,-67,280,-141
111,83,-66,184,337,-83
117,103,-78,-73,262,6
111,107,-75,-34,172,21
114,120,-73,-35,294,-7
30,71,-65,-628,-1879,-5641
-95,14,6,638,-3129,-7095
96,-22,56,2275,-3453,-7111
-57,-110,-85,1653,-3003,-7221
28,-4,-56,3699,-3398,-3701
-99,-89,-70,-961,-2559,-533
-35,-36,102,-858,1747,1114
-6,52,19,385,692,165
-16,-91,-47,-35,25,-646
117,-42,-119,-366,988,489
121,91,-25,383,187,105
-26,-126,-28,-118,1629,1843
66,-54,-85,-1696,2290,1717
-34,-98,81,-1102,2806,3520
7,23,-33,-1446,2723,4498
125,110,103,-734,2976,4367
-54,-2,83,-736,3154,5040
-6,2,116,-317,2827,4259
108,-105,-118,-1760,1805,4473
101,62,-74,23,1082,3791
125,-13,-7,2361,606,4486
49,-61,-30,218,299,2416
-125,-41,-24,1125,-451,310
59,-18,-5,2728,263,-1551
