AccX,AccY,AccZ,GyroX,GyroY,GyroZ
126,18,-112,3736,2112,-6252
-110,-43,18,4712,-354,-7416
-111,-88,-121,2146,-2662,-6943
113,45,-103,-1446,-2296,-5242
60,87,-109,1472,-1675,-2044
91,-66,93,-1100,726,2099
-120,26,-126,-330,3258,5763
-105,102,-106,-3123,3642,7644
-86,-113,122,4366,2926,6966
121,-62,65,-4840,-38,1520
-49,113,-53,3118,-1647,-6166
36,75,-68,-1077,-2680,-7674
127,-107,-12,-2061,-2033,-6795
121,3,81,-517,-1237,-4271
107,-126,125,-608,340,-611
-15,-84,-37,-321,1916,3849
-80,53,43,-139,4573,7218
123,-68,78,1260,4403,7575
-24,-21,-84,-3278,2741,1798
-92,-126,118,3885,2138,-2940
114,90,100,1469,1028,-5345
40,120,2,-169,-890,-6813
-103,5,-100,-512,-2141,-6594
50,55,45,-255,-2903,-5683
37,46,32,2613,-2699,-4175
-126,-38,103,3489,-2865,-2326
38,-89,-105,2356,-1066,258
-126,-100,-95,326,1030,982
14,-85,-87,1050,48,3562
-24,22,-76,-1318,1300,4136
7,-8,98,-438,553,-65
9,-2,98,-451,507,-132
8,-7,106,-389,514,-93
4,-7,107,-429,484,-125
5,-10,111,-451,552,-83
11,-3,111,-458,637,-132
5,-6,120,-425,531,-80
8,-8,122,-432,629,-51
11,-3,119,-420,648,-77
19,5,118,-577,730,-153
33,8,-104,-303,398,-43
20,1,-107,-333,439,-40
23,0,-112,-298,543,13
22,4,-120,-325,561,-4
22,3,-124,-207,508,-40
19,1,-124,-198,396,-32
25,5,-125,-252,582,-133
22,-9,-114,15,641,-218
21,-18,-119,-177,636,-111
22,-14,-118,-248,640,-142
57,58,-62,3992,-462,-5402
75,-32,77,2333,-3183,-5812
94,-99,31,-2235,-2721,-5992
-4,-102,114,-617,-1725,-3991
-96,-80,-15,1085,-242,-1162
117,-70,65,-1674,2420,3217
-32,30,62,-2125,3857,6608
90,-67,38,2583,3526,8113
-52,16,50,-3775,124,1445
-75,-82,-18,2779,-2574,-4990
-59,120,125,-555,-3276,-6915
-26,7,54,-2258,-2804,-6556
119,-51,-50,-2,-766,-3750
-79,-21,15,-1973,1478,1099
7,68,91,145,3887,5898
-90,10,115,-411,5183,7446
-102,118,18,143,4210,3272
97,-42,80,1267,1486,-1704
92,-101,20,2588,1256,-5833
-29,-89,85,692,-726,-6324
63,-70,-28,1307,-1368,-5660
-82,-67,69,-1937,-3027,-4222
18,-26,87,1793,-2470,-3000
65,-112,127,2656,-2429,-1328
-127,-9,-126,-567,-1510,-66
59,-56,-56,1343,-223,1691
46,45,-42,-2112,454,3865
-90,-85,6,-1071,32,6866
35,10,-25,-3122,3075,6402
115,50,59,-3776,-730,4070
-58,-59,89,834,-884,-1750
-62,74,-49,2071,229,-1325
-113,109,-117,350,58,-709
80,-11,64,44,-359,727
106,-91,-2,-104,51,1172
-127,-9,-52,-1344,52,1390
119,-11,-78,-66,721,2019
-126,42,-75,262,585,2606
-81,104,-126,-203,1321,2764
-32,-96,-61,-147,621,3407
-26,-117,-41,174,958,2775
-24,-98,-40,-996,747,3099
-16,72,-35,273,391,2672
-48,100,45,-846,293,2402
-91,35,29,404,767,1279
-115,2,58,747,1246,802
125,2,25,-16,998,225
78,-82,19,-90,167,-21
78,-117,37,-850,129,-249
-118,36,-6,12,1157,-447
71,107,16,3862,1613,-4878
73,98,-51,4358,-1744,-5730
-120,60,53,3,-3860,-5609
-125,91,57,-284,-3441,-4637
-16,61,-76,-409,-2453,-2596
107,-70,-127,467,82,-105
75,-105,105,-1310,4076,4981
48,-114,87,-4394,4380,7141
6,-87,58,5471,3817,5899
100,-60,2,-214,-595,-2301
72,95,98,514,-3325,-6200
34,-29,14,-2396,-3340,-5799
-7,-67,-62,173,-2090,-3565
-126,-106,-72,-2025,662,-442
16,-28,9,750,3920,4546
-67,-111,34,-1291,4912,6705
115,-65,-27,1933,3969,3944
64,-8,88,294,1497,-1862
-100,-127,-61,1836,848,-5084
33,125,48,861,-659,-5679
-122,-53,69,-299,-1685,-5586
80,-125,-19,-4096,30,-6754
32,13,-113,-1048,-1912,-4915
112,-7,-3,1769,-1477,-3398
-28,126,66,2930,-1470,-325
-2,-23,7,1072,21,482
-71,-2,109,-55,-482,4234
-14,-122,-93,-1568,933,3423
-62,77,99,-3436,-784,5377
-120,9,-79,-2791,624,4544
-76,-52,40,-3221,-2071,2919
-79,22,-99,2499,907,-1394
79,52,35,1623,-654,-390
70,-73,-66,-499,-1184,417
98,-38,106,-713,311,124
-126,-25,69,-372,225,841
112,-46,23,-759,101,1264
-108,31,28,-857,758,696
-91,-107,63,-729,1935,580
-104,125,-14,-360,472,2485
98,-89,39,-741,152,2988
-42,107,-24,-100,608,3032
9,-112,-5,229,941,3365
-51,-104,1,-691,-254,3255
-22,-106,55,-440,-665,3058
-14,124,59,901,553,2650
-114,92,122,495,-362,2087
121,46,126,-162,657,1377
86,-2,-92,496,303,1300
75,32,85,-1110,391,127
38,82,77,1877,1369,-5723
56,54,71,4525,-2531,-5804
20,-119,-73,2340,-2497,-6993
45,-115,93,-1438,-3311,-6168
-13,-82,60,-378,-2860,-4623
14,-65,37,-942,-702,-689
101,-98,49,-307,3226,3024
2,-18,123,-1186,4494,6338
-34,-3,-59,-640,4372,7738
-73,1,2,4047,5136,2881
-102,-115,115,130,-2504,-2956
65,99,90,-691,-3652,-5319
-65,39,111,-2147,-4571,-5477
27,-48,-4,-778,-2592,-4015
3,59,121,-1331,-111,-832
124,-56,95,527,3802,4026
53,79,-27,-2627,5804,6998
56,-30,-85,4777,5651,4913
-60,-31,87,-3228,1853,-660
1,-90,-121,3631,957,-4701
-84,-47,115,262,-643,-6132
98,116,80,931,-1987,-6030
63,46,53,730,-2648,-5157
119,-52,-75,-649,-3291,-3783
125,-69,-93,2711,-3164,-2315
-13,-102,113,1227,-2318,-264
-4,-103,-68,1323,-437,824
-44,-53,-28,962,1509,3375
-44,76,17,-2860,1802,4144
97,87,29,-2773,839,5422
92,-57,-102,-2971,445,7427
35,59,126,-5427,968,3145
