AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-58,70,-85,9808,4649,-5030
31,-95,7,2001,3504,-10748
-62,25,101,875,2323,-7651
106,-93,-67,-529,2919,-5741
-32,-74,-70,718,-910,443
-68,14,-124,-1134,-5164,10280
60,-2,-106,-5056,-4245,10945
47,-103,-34,1507,-5783,375
-23,-56,-59,7621,2255,-11003
-89,-20,61,-1101,6099,-5792
-64,-43,113,7993,-2720,9990
55,94,114,-10153,360,9041
-70,34,-104,-10,5991,-11148
-93,28,59,4616,671,-9193
-39,71,29,447,-5063,-13123
76,82,-68,-6192,10317,-7245
-54,-80,49,7249,-2831,2226
-57,-124,75,-1710,-2310,16055
-70,-13,-15,-4005,6663,1593
86,125,114,-5306,-3758,-7110
20,4,-55,802,-265,-3796
-10,62,-21,1374,-968,1397
69,-68,-95,1631,-1291,4086
30,-17,-71,2048,-2386,8905
-65,113,-78,-1426,-134,8780
60,-18,-44,994,1416,5026
11,-98,34,-4680,1339,5675
51,88,-34,-1233,1093,518
21,117,54,-1386,-1574,4166
-106,-58,-7,-1421,-1100,2901
59,34,-70,-1757,-860,524
-30,-85,-113,-77,1273,-2123
111,124,48,1891,109,-1049
105,-49,90,52,-612,392
-124,-63,75,325,-165,16
-100,-74,81,426,-52,-106
-99,-44,93,-295,-111,-266
-111,-75,95,-119,-6,-224
-102,-39,87,-138,116,-62
-89,-25,77,-11,66,-56
45,-93,-10,3873,3913,-3491
-20,-73,-92,9376,3632,-3196
127,70,112,1055,2146,-7122
-98,127,105,1243,663,-7346
114,-82,-88,-508,1889,-7356
72,-8,-28,-719,3444,-3586
124,-71,17,2501,-2399,7013
-55,16,61,-4955,-6569,11675
-56,108,-103,7986,-2585,7839
-108,-62,47,4129,1763,-12578
114,118,46,-1483,1142,-10115
-30,-65,4,3232,-2161,2257
-68,-57,115,-8166,-5722,13220
87,-99,41,3689,-2142,6808
-106,-21,72,1311,1433,-11681
-104,-52,42,7105,-3636,-12425
-43,6,96,-98,-1499,-12128
-93,98,-70,-1107,4751,-6006
10,32,87,2294,-2861,-155
39,86,65,574,-380,10493
127,79,50,-3896,3713,5736
54,126,40,-2331,-697,2411
-108,36,-119,-737,-401,-5018
126,-112,-128,2546,-1689,-2650
1,87,108,-989,-578,-1255
28,-8,105,1213,-511,1582
-2,25,80,1523,849,3626
-94,-120,9,152,-291,4807
11,-49,0,2183,1421,4903
-83,74,51,518,2554,5505
-70,115,76,413,-787,4026
108,38,76,-3383,3149,2838
66,-126,54,1374,-2214,4216
-82,14,125,-2792,581,2312
-103,11,88,-989,-824,2940
-10,93,-104,-2630,382,2105
-34,-98,119,-2767,478,1829
-91,-46,-122,-1710,100,60
98,67,86,130,344,-1156
74,-39,96,1945,-837,-231
-82,-73,29,7636,3330,-6586
-12,121,78,3457,-292,-7678
79,12,-52,-508,943,-8990
94,104,-82,709,-20,-6828
71,62,0,-2425,1258,-5767
-80,-98,47,-1054,2920,537
-84,-52,-68,-1822,-4314,12343
33,30,96,-4439,-2371,10734
34,-17,91,7262,3686,2580
22,102,-12,3525,-3470,-10760
-110,94,-31,-2076,3634,-8972
-127,19,80,2610,2901,3307
-99,-79,52,-8851,-5058,11823
