AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-46,104,-50,2567,8156,-4313
33,-12,-124,117,-4371,-4671
110,20,-68,-1212,-2169,-5539
124,-53,-101,-3247,-751,-6921
-124,-17,-49,-1956,2222,-3085
-98,0,-53,-768,763,1285
17,86,101,275,-733,3530
-120,-22,70,1962,1018,4179
62,28,-106,-680,-761,-747
-53,59,-71,-2394,123,-3592
-111,-33,-72,-293,-511,-1050
104,64,92,1337,-340,114
62,-16,12,-315,1405,-1132
-122,96,35,921,-2076,1028
120,-75,86,945,-2345,2256
12,26,125,493,-646,1814
15,-50,104,1371,-583,3431
57,1,-28,-1359,-1476,3309
-11,71,1,-1329,698,2584
84,38,16,922,-2088,3219
23,-3,35,163,-63,2048
-22,-98,20,-228,-845,2165
-46,34,-12,885,-140,2193
-45,41,-64,296,-405,2057
-72,21,-80,1055,-894,1459
-90,-126,-91,-577,148,-583
108,-28,-122,602,-45,-800
78,123,-115,817,-169,-264
85,106,116,901,-349,-279
107,123,-128,-479,135,-409
94,78,100,261,-16,-348
119,94,111,-159,32,-44
121,106,89,-130,-140,-157
-121,117,104,-186,139,-22
-128,-115,85,47,-146,162
-114,-75,96,-137,47,-31
-115,-86,85,139,-45,-4
-108,-74,90,-103,44,21
-106,-74,81,16,-111,29
-97,-71,82,49,31,-56
39,7,74,6759,-9,-3438
3,-12,7,-1010,-2313,-5929
-38,-47,4,-1748,671,-7098
-57,8,-97,-1946,2299,-6144
87,90,116,-1264,730,-3822
124,83,-125,-925,2029,-783
-92,110,40,-417,298,1582
-31,100,106,-2202,887,3149
29,122,53,1619,-251,4586
60,95,23,691,-417,-3518
-90,-27,101,331,1611,-3655
-126,96,34,2006,-2134,-758
62,55,-103,1089,-2598,372
-93,-8,-65,-1417,-1448,-402
-68,72,123,1127,-1721,1706
22,-103,83,3469,-1535,2848
-34,-65,-58,-2541,2224,2777
113,95,85,2596,-1300,4203
11,85,-47,-2179,165,3938
88,13,5,1187,-858,3306
104,11,42,-99,-1026,3561
86,-100,1,594,-233,2226
-3,39,-28,650,-740,2716
-60,78,-28,163,-471,1858
-104,-110,-52,-751,-81,168
77,15,-94,668,-560,-406
54,-106,-72,726,-266,-496
73,-113,-96,-54,231,-669
87,114,118,-346,123,-561
89,118,101,-328,-178,-450
89,114,112,-409,141,-513
126,105,109,197,91,-75
120,-128,88,58,-137,-120
117,-122,92,-156,-115,-73
126,-116,82,-150,87,-44
-125,-110,89,91,-121,269
-110,-49,74,-280,4,-53
-117,-69,90,245,-115,16
-108,-54,92,9,81,60
-95,-23,78,-425,62,-204
-105,82,120,4698,-4360,-2703
-17,21,-19,-1416,1369,-5471
59,53,45,-4660,1327,-6554
-102,-61,8,-2921,2427,-6833
-7,-56,-64,-1222,2013,-2808
43,-74,46,-115,2533,1159
37,-22,-2,3137,-5408,6457
-112,-80,23,-2427,5667,-311
-115,122,-31,-1919,-95,-5106
60,21,102,43,-1128,-1257
52,118,80,1923,562,-276
-119,-93,21,-348,-2693,1648
-85,-25,54,2022,-288,491
-53,-19,-61,1182,-1217,2291
-9,-93,-80,2207,140,2805
-113,-38,104,1153,106,3630
-95,-8,-102,575,-713,2913
59,82,-33,-2098,565,2519
2,-68,-44,681,-1290,2558
38,-103,36,-992,430,2026
-5,-26,-50,985,-370,2427
22,-26,-31,-132,-599,2231
4,2,-28,-271,-202,1710
-70,69,-47,-497,-545,598
127,33,-113,148,-370,-639
103,-96,-91,823,-363,-666
112,-60,-71,-1714,570,-1063
96,94,102,631,-90,118
122,-92,125,-62,26,-295
-123,-101,107,-338,-89,-246
-112,-111,112,43,48,-202
-112,-115,99,113,-18,33
-108,-99,89,18,-7,-102
-103,-99,94,48,-54,64
-103,-86,88,199,-37,15
-92,-71,89,-39,-39,114
-90,-65,87,99,-115,89
-88,-62,90,108,13,17
-86,-51,90,-156,-102,4
-86,-63,86,45,-27,-7
84,-61,-26,-3260,1227,-7395
-16,-10,51,-2054,905,-5718
-47,-44,-109,-1265,945,-1969
-110,-84,103,-868,995,1514
121,29,-33,-1247,-561,7030
-53,98,-18,1614,-2036,3904
107,3,-44,-375,1722,-6833
21,91,79,171,-2246,-1306
98,-111,-91,819,1803,-1438
-15,91,8,-337,-1328,703
-54,-68,25,1891,-875,411
7,-40,-21,-315,-1518,2417
-36,31,-17,1270,-645,1316
49,-25,-38,773,-1163,2514
67,-117,-46,3414,-484,3734
-72,34,6,-1307,1804,2396
-39,-112,-104,-247,-606,3506
17,-1,-5,-667,-1101,2687
17,127,9,59,-598,2495
-18,58,-4,-17,-361,1935
-43,-47,-35,444,-778,2247
-69,-38,-57,205,-600,2255
-107,-18,-51,160,-701,1365
114,-7,-89,202,-143,-414
47,-98,-98,311,-193,-835
52,86,-76,523,-84,-148
54,-113,-116,70,-104,-343
69,-122,-115,-152,-69,-370
90,-116,114,-175,66,-621
106,117,98,-158,-87,-561
117,122,98,-498,101,-574
111,83,94,220,-97,-299
113,92,91,125,37,-77
116,111,80,26,21,49
126,-125,68,26,-48,85
-121,-115,75,57,-91,184
-119,-92,69,28,-8,131
-119,-84,80,53,-64,281
-110,-60,73,6,-81,129
-100,-57,84,0,55,27
-114,6,74,-2457,1857,-5691
51,62,-27,-2336,1394,-2517
-124,-97,-9,-2614,1193,-796
-93,-110,-117,-792,1135,7235
-33,42,47,1605,-316,3432
-5,-25,-77,-716,190,-4694
82,-51,19,965,-153,-3057
-68,-118,6,190,-1245,-905
32,79,70,868,621,-993
97,95,46,131,-1714,1412
-9,108,52,2367,218,1211
-50,26,-117,804,-1122,1630
69,-83,-86,1851,-1119,2813
89,124,99,3824,-899,4118
-85,-120,-45,-1884,403,2355
-57,-8,-89,-488,580,2398
-71,-105,-82,698,-1034,2749
-13,-89,-29,-1449,30,2001
-49,51,-31,-412,-141,2054
-46,-21,-77,-152,-482,2025
-39,-47,-54,-79,-535,2116
-64,-15,-79,-497,-545,1688
-101,0,-100,-215,-388,883
105,-22,-97,-428,-422,-73
80,-39,-112,-9,-89,-240
82,-50,-114,160,-49,-506
84,-95,126,95,-96,-481
91,-93,108,-144,32,-567
103,-125,98,146,124,-481
108,113,78,340,-36,-354
117,115,73,100,47,-197
119,118,68,-12,-2,-109
124,118,66,142,-99,40
-126,-117,62,-99,18,80
-120,-95,65,-30,-33,147
-121,-84,71,65,-73,206
-108,-59,69,-35,8,97
-105,-58,67,-9,-7,39
-103,-53,63,-40,-45,11
