AccX,AccY,AccZ,GyroX,GyroY,GyroZ
33,-18,-126,4812,4334,-5614
34,-15,-119,4925,-121,-5163
35,-37,-57,1795,3303,-7649
-50,3,-120,4693,2376,-5670
-121,3,97,-518,2751,-8498
75,-46,-67,304,3017,-7310
31,88,61,1766,1523,-4432
66,54,81,4371,-2760,-494
116,-33,-10,1508,-2061,61
-61,78,-35,1605,-671,1303
-27,-97,100,-707,-2816,3702
84,52,16,-2570,-2109,2833
16,-112,-19,-3149,-5971,4382
-43,-84,-31,274,-5511,5297
-4,-80,94,4057,60,-1079
-46,-59,-121,672,-1330,-1819
-81,-101,-99,653,-2026,-84
-19,25,-3,1063,-1718,259
124,25,-87,-976,-2040,184
101,36,-78,-510,-788,1235
40,115,-75,-859,-697,1790
69,-94,-118,1010,-1060,3099
-20,-40,-79,1528,-729,3866
68,-58,119,2815,-1117,4210
-67,111,-104,1287,-216,4401
-1,-12,7,-1573,-484,2968
-82,-125,47,-214,-273,3262
-119,-38,23,916,-766,3143
-104,-99,85,540,-420,3245
-38,47,35,1945,634,3327
-94,-63,-57,707,-485,2478
93,8,-44,-470,-496,12
41,50,-57,63,159,-1077
-14,-34,-99,36,-405,-454
-21,-37,-105,-923,-139,-447
6,-94,-105,598,62,-475
32,-83,-122,320,200,-412
40,-95,125,-133,-187,-437
44,-117,115,-60,-186,-583
36,123,121,-108,-68,-432
104,-66,-124,5793,3318,-4185
51,-28,-13,6331,3676,-5994
-61,47,86,3822,2383,-6695
115,101,-20,2676,2452,-8334
-71,22,59,468,4498,-8994
-3,-17,-9,1552,4609,-7186
10,89,-3,5122,-8288,3544
-67,89,-47,5462,-2495,-370
97,-114,-81,2272,-1043,615
94,-104,-112,2331,-1095,3494
50,67,-79,-494,-3195,3344
-37,59,100,300,-10603,8104
-67,-101,-59,-11416,756,3430
88,114,-51,5382,-1054,-2889
-77,-43,42,2201,-3901,-1935
-62,-78,44,143,-138,-1169
126,34,-28,1840,-4042,-116
-102,-46,85,-176,-2494,766
43,74,66,1237,-795,854
-10,77,-24,-1317,-970,2035
91,88,-62,308,-514,2961
115,-68,-77,3392,-1653,3520
27,-2,-100,451,77,3507
125,8,-118,435,-707,4614
-36,6,-63,2271,-678,3818
-18,125,-39,-734,-5,3210
-90,-59,3,1726,-935,3210
-66,12,95,-516,392,2321
-118,86,-12,1465,-133,2524
90,47,-42,1172,-768,2411
80,77,-4,754,-159,1920
46,122,-47,356,-269,906
1,91,-91,-333,-606,-304
-13,25,-71,-798,-95,-865
-12,-43,-91,-377,-99,-780
-11,-80,-111,-245,-13,-900
6,-106,-109,85,-57,-877
22,119,126,104,91,-736
26,104,115,-63,78,-726
25,86,109,-107,-41,-266
72,100,-79,17518,4956,-6036
94,-110,-83,7046,-2154,-9181
-25,3,-64,-1418,3946,-10548
-55,-125,-24,972,806,-8109
-11,117,-18,2536,-4415,-5267
-110,-19,-48,-1971,999,-2726
-12,10,114,2629,-6418,-795
-67,1,61,1299,-2441,833
102,-45,-14,-1326,-1544,2890
-22,68,-116,1,-1229,4912
-82,35,-106,-1842,-339,5126
-77,77,67,3677,-4053,-1710
109,81,92,-2754,-1140,-1548
116,69,-111,-574,-1068,255
-125,-72,-6,1007,-1961,656
13,-26,113,1501,-440,-1073
-67,117,54,1181,173,22
-99,21,-37,1494,-1164,1019
-92,-128,-91,-219,-343,908
-116,27,-107,140,312,2000
-38,94,83,-108,-1793,3001
-8,-96,103,-573,-451,3029
52,119,-123,1977,-389,3621
-107,-32,-112,1250,-1106,3083
-64,-39,-95,91,928,2781
-27,-27,-31,487,-764,3014
-8,-100,-20,1002,591,2631
