AccX,AccY,AccZ,GyroX,GyroY,GyroZ
74,-8,95,14289,6976,-12677
102,100,-19,-562,13484,-2202
105,13,-68,1091,-9954,2031
97,-12,28,-802,15749,-1852
62,-91,2,7765,1846,3703
20,-107,-65,1825,6508,3875
5,-51,-116,3283,-5473,3321
-91,12,-11,-7710,-4451,4549
69,-128,-98,-6328,-6312,-277
36,-50,-82,-7059,-9077,-421
108,55,-55,-5627,-4495,-3570
108,53,-107,-2364,-199,-4675
-108,36,12,-2540,-1042,866
114,15,99,-2502,4383,3665
-23,68,-19,410,2560,4792
-122,-14,51,-275,1599,5405
-103,13,-66,305,1544,5167
103,-34,-84,8,900,4487
-106,104,-121,1600,-264,3103
29,-75,-33,-2084,1098,2885
-78,-15,63,1375,1723,1458
-86,-1,-122,911,130,566
-73,105,122,1643,-1425,-485
-63,-2,-14,759,557,-691
-60,-112,-49,-122,12,-820
-67,78,-90,-329,-237,-597
-71,101,-110,-428,171,-1270
-55,29,126,-244,533,-898
-49,-5,85,612,-556,-190
-51,30,107,-190,190,-26
-55,65,81,132,-6,-106
-47,94,88,-207,-42,247
-37,-116,83,-365,247,101
-34,-85,85,146,-139,77
-34,-71,92,-147,282,-1
-32,-65,81,193,-172,-9
-32,-71,90,26,63,-15
-30,-72,94,102,148,-191
-31,-88,88,334,20,-18
-31,-82,95,55,277,15
-46,-104,-97,-9400,-2537,994
27,108,97,-2277,1127,-9764
-35,-111,-119,32529,-5954,-14009
63,-113,-22,-2555,-3989,11201
107,-62,-87,-8970,4497,426
-94,121,95,10754,4414,252
64,31,37,9691,4125,772
22,127,43,-2639,8776,2445
-69,42,63,4099,57,3292
-47,29,-86,-507,-5035,5130
92,20,104,-6265,-467,574
124,-85,-42,-4683,-7952,1057
83,48,-37,-8205,-5461,-1669
40,58,-119,-4898,-6679,-3646
1,-20,32,-1874,-3268,-3635
-39,-45,38,-5691,329,-2739
99,-11,-127,-1749,862,287
-9,7,-109,-1282,3675,2949
