AccX,AccY,AccZ,GyroX,GyroY,GyroZ
62,124,-70,3974,3966,-6701
59,-85,25,1794,2780,-8730
95,34,-80,-1031,92,-10211
-72,-96,45,-2142,-2733,-10437
5,50,57,-766,-2218,-6253
-120,-113,61,-596,2192,-2434
45,91,82,-1573,1746,10735
33,111,91,-2776,-1250,-5049
0,119,-18,-1745,-203,-3855
-6,-53,25,8217,-3439,-3932
-111,21,-71,-5702,2550,5173
115,103,1,2006,2207,9351
-97,-69,22,-2580,2404,-2117
-113,-101,63,-5685,1081,-1077
7,-64,81,7280,-7641,3610
-94,92,13,3188,-3214,6568
5,98,10,-2844,2487,9548
-39,-106,-39,374,-1928,4915
63,-10,120,2001,-2615,4812
114,127,44,-2096,-337,4092
44,-7,-64,192,-770,2908
-33,-45,33,-1287,-791,2653
-63,61,-75,-221,-740,2516
107,-127,-6,-1596,-625,2052
98,39,-34,-1004,-86,1895
82,101,-29,-1565,534,1269
58,-87,127,-30,26,-117
51,114,114,599,-95,-863
19,-11,120,794,-77,-552
9,-56,89,135,187,-331
24,-74,67,-166,226,-180
47,-87,31,-108,112,-289
44,-106,21,251,-423,15
48,-75,36,150,-39,-220
76,-21,44,35,-33,-318
109,106,83,153,-387,-338
37,-53,60,1923,-1996,-3170
90,-81,127,648,2363,-6888
16,-35,-120,2291,5201,-8836
-29,112,-38,2846,3986,-7677
-92,81,-51,-1904,-1177,-8714
-66,38,-77,-2799,-5284,-9221
64,0,57,-426,-1166,-8024
107,88,79,-4321,6906,-6958
-42,-63,-57,838,-2684,7781
-7,-92,0,-3885,4645,5478
-57,3,-11,-3469,-2460,-3811
-80,-67,58,5243,-1650,-6003
-59,6,77,-573,-1274,-1772
-2,-83,-13,-3026,3076,3971
-52,27,72,704,2851,7609
-35,37,-6,578,2677,4174
117,-31,29,-1546,-2002,2284
108,39,-121,3776,-7076,3007
95,-20,-96,3420,-4734,5977
76,-1,-11,-1626,1938,5007
75,-56,-75,-122,-1972,5486
