AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-105,88,106,90,4800,-5356
25,-87,93,217,6445,-4436
72,-105,-115,1016,6613,-1243
-82,82,-110,4416,5963,930
-97,-18,59,2671,-1797,3823
117,-58,31,-3716,-2947,2235
-26,-52,9,-3401,-3463,-6483
19,16,41,-2399,751,-6598
-98,59,106,733,6388,3837
14,110,80,3535,2430,1937
94,69,91,-6443,3584,4143
110,62,-77,1728,-9680,2867
33,-122,92,-1111,-2460,-3777
-84,-28,58,-2886,2549,-5601
-125,-98,-55,7333,546,-2049
-92,113,-95,1262,4045,1227
-15,-61,-101,-64,880,2967
83,-82,43,261,-1366,2529
-116,-23,89,-1250,-2630,3391
-76,-57,-85,-2442,-2085,2749
-89,-74,-99,198,-3157,3359
54,-36,51,-497,-3315,3589
33,-39,118,-182,-2594,3567
62,-14,-118,1105,-1708,3183
-65,27,-5,601,-980,3036
111,53,-47,-155,-205,1968
25,15,117,853,65,844
109,127,-28,1876,-553,75
84,33,-53,822,571,-215
34,-76,-126,9,172,-28
57,-111,123,0,-33,139
83,-121,103,-614,327,-270
74,108,83,151,233,-22
98,106,90,369,228,-3
99,121,88,-177,49,-28
103,-123,90,-352,169,-28
111,117,103,252,-52,195
115,-111,95,-39,85,132
118,-93,88,-266,-56,53
-127,-88,93,-180,241,-44
-95,115,75,-5748,3627,-5633
-64,87,-98,2740,4265,-8779
-29,-32,52,-1734,9996,-7119
-59,-10,8,2224,7276,-1750
-72,36,45,2621,1346,2853
67,47,33,1934,-5961,2570
60,-55,23,-3695,-4281,1660
-20,-70,-107,-3808,-1089,-6387
-14,-125,-9,-2730,785,-4955
10,3,43,9752,-2679,4161
-70,-128,-10,-1301,6879,2665
37,27,34,1434,-2863,4512
17,48,-89,1594,-9225,3590
-41,52,81,-3178,-948,-3737
-65,49,24,-116,147,-4790
-79,-19,-99,-3203,14075,-2342
-102,14,-127,3723,-777,1177
-122,-122,-26,-2288,3252,1674
21,42,44,402,-1853,2294
-36,26,-77,-963,-1415,2008
45,-19,30,-3322,506,1795
107,85,-10,-2367,-403,1291
89,112,61,357,-2790,2162
68,90,105,-246,-1932,1715
19,57,-29,-1903,-1045,1894
38,41,-81,256,-1767,1587
-76,28,4,-907,-1741,1440
-74,-55,-78,-322,-1105,1507
-116,-6,-72,-1164,-1293,1110
87,-114,-50,-12,-644,1257
123,80,114,819,-83,1289
118,-121,24,46,-663,615
78,67,30,50,-184,667
108,66,2,330,-9,163
91,51,-22,-55,-48,34
102,-20,-34,526,105,256
116,-3,-55,272,334,-137
119,-28,-83,-271,78,-121
-112,-49,-75,-2,188,-41
-119,-46,-84,136,110,-147
-2,45,84,-503,7166,-3540
-76,26,-86,3224,6552,-822
-68,-7,18,2756,4809,1387
96,54,-88,842,-375,2571
61,-53,63,-946,-4519,3626
-8,-2,-8,-3594,-1955,-3618
92,-42,71,-1987,4244,-2626
4,-106,2,4875,-3715,-3020
57,-115,-35,913,4778,642
-32,97,13,2097,2699,2173
-92,-41,115,-302,-1383,3111
82,36,-61,-167,-5586,3944
-54,-12,110,-2482,-2687,-2430
74,-126,-35,-1717,465,-3745
124,55,-30,4033,861,-3449
-124,-57,-54,1519,6237,-218
-31,104,-116,3517,2455,1647
120,5,126,-1051,213,2085
3,105,67,21,-1421,2198
97,71,38,-1763,-2528,1730
47,-94,26,-3259,-1277,1732
12,11,-30,-1046,-1171,2730
84,45,62,1513,-3130,3725
116,-89,107,163,-960,3172
111,124,-88,16,-2002,3399
114,-100,-104,-365,-282,3055
-5,-104,92,-516,-1427,2958
-15,89,90,608,415,2492
-82,107,11,-394,-12,1951
119,62,-22,411,-183,1564
60,108,3,647,-282,562
47,88,-8,306,-109,-290
39,-24,-47,130,242,-724
34,-83,-78,167,215,-680
57,113,-110,350,284,-563
88,63,124,384,328,-628
91,44,111,145,299,-501
100,17,108,-87,130,-80
102,44,110,-51,-27,17
100,85,126,-181,-108,191
-43,-33,83,-200,4053,-6561
-31,54,68,-87,3216,-7028
34,9,63,489,5075,-5063
119,56,78,1109,6308,-3512
23,121,-89,2350,3442,-183
84,50,84,-533,613,3221
-42,-104,-24,-848,-4277,4063
-80,-114,-22,-3354,-4541,870
-122,49,-103,-895,-2287,-4944
73,-86,-69,-4925,6858,-5155
19,-16,-91,5265,4213,96
12,-17,112,2151,1929,3323
-23,-28,-104,-246,-2248,4412
86,2,70,-2986,-4810,2329
-125,-52,-21,-1839,-2002,-4697
-103,-98,-17,1265,5494,-4576
118,20,-17,8878,-2069,-2019
-89,63,55,-1420,4790,741
75,-5,-71,-1157,96,1870
115,-93,-80,-259,-2191,2494
-90,68,-97,-359,-2569,3178
84,28,97,-3407,-2447,4020
-48,82,-107,-313,-841,3619
6,34,82,366,-2157,3932
-29,103,-95,-224,-660,3676
-100,57,77,-832,-866,2852
95,-77,91,1426,-229,3128
-9,-74,-10,-923,-696,2416
-51,-12,55,-2038,-520,1485
-116,104,50,2254,-152,835
-116,105,-18,994,174,-460
37,39,-87,-599,318,-908
19,-113,-118,-325,149,-310
45,-95,125,693,220,180
96,-79,96,-15,495,-185
-128,-110,64,215,68,-537
-125,-128,87,-307,44,-612
114,55,102,-3,205,-512
123,73,102,79,316,147
113,81,91,71,-22,187
-54,-41,2,-3184,3093,-5112
51,71,90,2056,1891,-5614
-81,50,58,-2329,6628,-5848
95,32,100,762,5594,-2528
118,-98,-24,1251,6993,-1236
-78,115,-15,4636,1448,1926
-71,-107,40,-883,1786,3022
66,-102,-114,-2958,-4219,4308
-67,26,104,-2515,-2975,-587
-109,34,-50,-1901,-1351,-4963
-61,-14,-60,901,64,-4844
-52,-113,-92,2561,5723,-2409
88,-125,-106,3049,3331,3192
78,34,-127,-1329,2493,4827
-77,-78,96,-2233,-6054,4518
116,44,80,-6719,-4580,-2863
66,1,118,-375,-1598,-5147
50,-61,-17,962,6147,2856
-51,-30,-88,3089,4581,-1519
30,4,-88,3270,2703,242
81,80,74,-874,-2095,1606
74,-126,43,-337,-967,2691
-11,-47,85,-2879,-1400,2982
101,85,31,-828,-2911,3359
