AccX,AccY,AccZ,GyroX,GyroY,GyroZ
93,-20,33,-1606,-2937,-6830
126,-101,-101,-2254,-3436,-6759
124,-72,81,-2466,-5669,-5461
-114,-113,61,-1209,-664,-2611
102,19,48,1680,-1366,1711
89,14,91,-524,8692,4786
-81,-109,-87,-1155,1956,3126
4,24,-45,217,634,1913
-73,-86,94,-751,575,1982
-94,125,92,916,-828,3172
118,105,-16,1388,-989,3341
-88,97,101,-163,-410,3905
69,-70,83,340,76,4137
-17,83,-124,1476,-1034,3664
-64,-13,13,802,-165,3707
-68,-56,-26,1205,695,3136
81,-101,-92,846,-347,2829
-3,-116,-66,168,-32,1705
-94,87,-74,790,-167,941
82,10,-80,1493,-402,118
54,-48,-58,467,24,-497
49,124,-72,239,161,-529
45,13,-84,467,-88,-335
69,12,-85,268,176,-337
74,-12,-110,124,185,-339
84,-23,-116,211,36,-87
81,-4,-125,-258,120,-174
90,29,-126,-334,107,160
109,56,-125,-10,296,88
114,78,106,-8,193,-107
111,81,108,-105,145,31
120,86,102,85,195,-73
-124,90,91,121,170,-91
-118,90,87,97,170,-78
-120,90,87,304,126,-99
-113,94,76,11,123,-44
-108,105,83,-66,54,32
-110,124,88,-37,91,-96
-103,-124,92,129,101,4
-92,-95,88,-115,151,-94
37,-21,92,2410,1387,-7999
56,3,-68,-42,-3432,-7812
-81,-58,17,-135,-6806,-6478
93,112,-126,-5777,-9343,-4251
-2,41,11,-6239,9111,-377
-24,9,-82,2478,-2790,3004
-98,-128,79,-97,8391,4187
-88,99,-113,2106,1192,3616
87,-15,-127,2099,1375,1586
63,45,-66,-792,531,749
-118,-103,-27,2184,1172,2513
107,-48,68,6,619,4459
-64,-97,-108,346,-991,2658
-82,119,-40,-896,401,4870
92,-90,15,2435,605,3281
-97,-125,18,275,1098,4291
-69,95,-117,1640,1116,3313
110,-11,-64,1795,72,3672
28,-31,109,-1639,628,1208
81,125,85,-1022,304,-164
57,20,-92,1020,-304,-514
4,-99,-77,1373,-712,-617
21,90,-40,107,79,-729
41,27,-51,72,26,-761
44,-19,-68,-100,40,-575
54,-46,-82,284,-32,-65
50,-27,-96,-31,118,19
54,15,-116,-15,-66,-99
81,41,-103,-181,461,220
81,74,124,-42,163,-33
96,110,117,-138,116,84
101,126,109,-278,139,-62
107,-104,85,-258,41,-437
123,101,127,135,148,-186
102,85,100,373,115,-162
117,111,109,-244,127,-83
-128,103,93,419,334,88
-96,-7,38,-674,-401,229
-102,-28,20,-3713,194,-2125
76,-125,16,-341,508,-2939
88,47,111,4651,2987,-5789
-32,-120,20,286,-8676,-9955
-47,-94,88,-5715,-3507,-10037
-90,-55,71,-5097,-5236,-5247
-87,-73,-98,-2882,-276,-4733
-32,-89,-106,710,-3129,-1367
-3,100,-115,851,388,5074
23,-94,63,872,5781,5921
-63,-34,-85,996,1007,2789
9,-22,87,749,2581,-1033
13,112,-1,312,862,2233
-49,114,31,-1232,2023,4811
34,-6,-17,1396,175,3715
8,32,86,75,1938,4108
88,86,38,1160,197,4088
-75,-83,27,838,-397,4143
-106,-78,-81,-821,-153,3645
126,85,-73,1422,475,3255
53,95,-77,460,-173,2928
-10,93,-55,359,256,1872
-96,-4,-42,1081,-181,1881
63,14,-44,-158,218,1202
50,29,-63,177,-99,83
38,-26,-55,919,-174,-347
19,-118,-36,551,-20,-515
7,87,-46,204,-109,-578
12,22,-61,-161,-7,-524
24,-3,-70,-78,-86,-314
28,-18,-93,-81,-270,-94
41,3,-94,-56,130,-79
32,6,-110,244,417,-152
62,55,121,113,232,244
68,99,98,-459,128,-179
79,95,110,325,3,0
86,112,116,-44,343,-237
89,115,110,150,-180,2
86,126,108,-695,345,-296
104,108,120,-97,-6,38
102,-94,-128,210,451,-246
-123,16,116,-140,57,-321
-75,86,-112,-361,-3552,-7824
-63,-71,-36,629,-8706,-7917
-94,54,73,-4696,-5817,-4926
-98,69,-47,-5958,4275,-1008
-47,-24,15,4017,-205,4107
-105,63,81,-2231,9209,4495
42,-8,-113,2349,-2931,1385
86,-47,-7,1547,2353,496
84,9,-27,493,3700,3982
76,-100,-43,463,1847,4524
-20,45,74,2024,-258,3570
-23,94,-79,-1006,2151,3780
102,122,47,-97,498,3901
94,-117,42,1865,-289,3763
79,-55,-112,-378,296,3759
46,86,-74,1807,649,2464
-56,93,-107,-283,225,2503
-69,14,-86,577,99,1994
101,23,-20,323,36,1949
86,-15,-55,599,195,1639
54,73,-90,-6,-277,437
34,24,-90,-102,-616,-946
38,-111,-40,413,-278,-732
-18,73,-49,215,-154,-682
-6,44,-45,-51,-227,-467
24,15,-42,35,473,-259
33,7,-89,292,69,-263
36,16,-97,-135,231,-90
39,36,-128,-107,231,-82
61,75,114,-25,75,100
71,88,112,-139,297,16
73,103,109,208,-34,-51
80,111,115,-128,177,-26
76,117,108,51,0,43
102,-124,98,-138,196,-201
92,-127,96,161,-112,13
93,-72,106,-510,172,-170
46,117,-80,-458,-748,270
-38,74,-78,-836,228,-2754
-77,119,60,1513,2399,-5930
-29,117,-51,2669,-5386,-7723
-61,60,-119,-2306,-5382,-7144
-99,-27,91,-5862,-4368,-5894
-120,94,-101,-4110,-3630,-6029
-8,-106,36,-958,-4477,-5614
99,115,95,-2226,255,-835
-102,92,-77,884,-2644,1944
34,-126,106,241,5654,5005
-89,116,53,271,6491,3772
4,85,-87,1437,-1076,1712
88,-60,-6,438,550,525
-108,9,-108,-2042,3445,1910
-87,-95,122,481,1297,3536
-118,-51,44,2626,-814,4922
-120,-6,58,-560,1037,2712
74,21,21,143,1428,3778
22,47,87,109,-417,3919
101,57,-124,1089,1057,4004
-117,75,111,835,277,4297
104,-86,-123,-384,-339,3300
33,-48,-43,-656,246,2257
-86,-122,-77,1806,-411,1521
93,110,-74,733,-269,792
-18,37,-72,-64,-114,-73
1,-34,-31,257,-66,-62
-3,-95,-57,217,105,-431
-8,71,-53,522,-273,-508
-6,44,-52,406,136,-470
7,13,-76,112,124,-287
13,-3,-90,245,72,-92
30,19,-101,347,27,54
49,57,-114,-129,357,104
40,59,122,6,-85,-108
60,86,-127,-15,168,-14
57,83,-125,-34,157,52
59,96,117,100,68,-22
77,119,121,-161,265,-56
78,120,104,99,39,-97
83,-118,103,-43,136,-111
105,-106,90,-116,120,-252
7,-78,-21,-3790,2114,-4426
73,-5,30,3503,537,-6085
-112,43,58,4106,-2899,-8424
-92,-52,-103,-2498,-7334,-10633
-85,-53,34,-3280,-8106,-9696
72,60,-4,-3249,-4066,-4851
120,-82,20,-2600,788,-2604
39,121,-123,341,4777,7423
-4,-103,47,527,2597,5469
101,120,-47,482,3087,1178
-62,72,-33,-23,1565,2084
36,-119,69,509,844,5091
-101,-49,-41,130,1330,3615
-70,44,60,582,-371,4067
31,-36,39,-239,889,3166
85,-62,15,214,-144,3876
40,-48,27,1000,-612,2950
66,-128,123,1027,142,3542
21,-109,121,893,-576,2592
-30,87,-62,166,856,2109
-127,5,-19,351,-90,2390
-100,63,-3,375,268,1671
123,17,-100,-1346,236,323
23,-11,-77,2517,-887,-861
-5,-120,-36,-235,-54,-525
-21,77,-80,-511,190,-620
11,35,-63,203,202,35
25,29,-112,203,363,-531
49,48,-110,270,2,-110
46,29,126,235,91,19
47,69,-126,117,106,-202
72,68,114,-203,311,132
57,76,109,-133,-45,36
81,-128,112,-61,247,-129
84,107,115,-73,185,108
86,-117,93,-93,59,-57
107,-85,95,-275,91,-142
109,-97,69,290,-85,-368
91,-101,103,46,-57,-304
114,-120,114,137,375,34
-111,-48,-43,2933,-4354,-8062
-53,49,79,-5369,-5526,-8792
-124,-89,-87,-4295,-9011,-7819
-4,19,51,-3202,-4165,-4800
80,-45,24,-2921,3213,-5751
-117,-55,-41,1857,-924,5753
-123,108,91,-570,5682,4101
122,54,-34,1217,4362,3007
60,-30,68,236,2507,1874
-46,27,109,1328,907,2685
-115,-41,96,1570,1280,1825
-128,-92,-91,331,-433,3291
-87,-69,64,-132,1197,3451
123,10,48,1616,252,3610
26,86,104,616,1493,3443
15,-8,23,952,662,3547
91,95,-16,-701,411,3345
38,58,65,-1052,575,3305
-4,89,112,944,-397,2947
-43,-118,-42,569,608,1827
122,65,-121,822,-139,1235
68,80,-95,-160,-449,419
14,19,-56,64,-242,-607
2,-70,-22,547,-187,-278
-14,126,-36,61,112,-545
9,99,-54,-394,227,-352
19,31,-86,458,282,-311
22,32,-116,368,-64,-234
36,36,127,-279,531,-246
39,18,101,331,-19,-61
55,53,89,114,84,106
73,95,98,-240,249,64
59,91,97,62,-55,93
74,122,105,-76,75,-44
80,122,113,-90,144,84
79,-106,92,-213,142,-166
100,-128,96,167,-30,-87
100,-115,101,96,245,60
94,-101,85,-209,181,-81
120,-35,64,295,124,635
81,14,-87,4391,1437,-7301
61,-77,-21,2518,-4801,-9202
-44,-58,-47,-3879,-3788,-8117
-37,-20,-76,-2619,-4721,-6805
-2,114,-66,-769,-6066,-5443
-85,-111,-98,-2604,-3095,-2929
-118,-65,-64,5219,-4744,1165
79,41,-100,1373,3825,5341
-32,-43,64,-177,8038,3943
-127,-109,96,757,3113,1299
-69,-39,63,1575,305,2690
-49,-37,71,1123,-773,1943
-54,106,-71,-1227,3272,3101
53,-103,35,-231,761,3926
-22,96,-28,1040,296,3771
24,-121,-26,1021,-127,3547
76,126,121,340,1201,3265
47,57,18,1672,158,3300
81,79,115,80,696,2972
-12,61,119,578,584,2194
-68,35,-110,-38,258,1960
-117,31,-90,-247,58,1873
91,0,-60,638,-114,1401
38,3,-62,664,12,981
55,76,-67,-70,37,-22
41,-27,-92,778,-287,-651
19,-111,-47,871,-362,-722
13,86,-33,-324,139,-632
23,15,-71,-174,9,-705
35,-18,-82,62,-40,-401
39,-25,-96,-123,258,-9
39,7,-120,-51,128,-107
57,43,117,-84,38,100
62,70,-127,-43,144,153
75,117,111,104,206,-30
84,-121,104,-310,95,13
83,124,104,94,44,52
92,-109,108,94,184,-175
98,-114,102,-104,68,-68
107,-112,94,-13,189,-71
39,-2,-4,1643,-2109,-8806
2,25,-27,-2045,-5859,-9900
-59,0,-40,-2344,-9115,-9419
117,3,-113,-2483,-4863,-4320
-105,76,93,-6103,4928,-3204
63,-17,-73,2081,-2708,3275
-28,-60,101,563,5852,5729
-38,36,86,2043,1567,3651
-23,-124,87,1482,964,405
17,14,91,-247,2187,1060
-48,88,105,-470,2527,3898
36,41,-72,2199,-33,3944
-21,-12,-71,113,479,4275
30,-122,-37,-27,595,3174
103,106,34,534,357,3828
96,102,57,1069,145,3281
61,104,53,247,130,3245
51,44,115,1255,-172,3082
-10,84,-122,-489,70,2403
-61,50,-99,-539,80,1874
121,22,-79,1206,-263,1814
52,37,-63,457,-350,1092
37,55,-10,-727,338,612
45,73,-77,-336,273,-570
13,-47,-83,1066,-538,-716
8,-127,-52,947,187,-1293
-2,11,-71,739,48,-895
10,-37,-77,396,-27,23
26,-29,-102,-53,185,-101
42,14,-111,-326,443,-103
38,7,121,-46,83,172
65,104,111,-202,380,-79
60,88,104,24,120,84
69,105,100,-115,94,-1
77,117,104,-30,93,-80
78,113,101,136,112,-85
85,112,99,58,174,-19
95,127,96,59,105,-120
106,124,92,-75,125,-45
102,-115,77,-17,90,-151
46,-66,-61,-6281,1704,-2044
9,40,111,-179,2931,-3720
95,-81,85,6806,4404,-4516
-37,27,35,1852,-704,-7744
47,46,40,-5227,-300,-10590
-81,92,20,2542,-5067,-10631
91,-49,-7,-2138,-1220,-8325
-82,39,-115,928,-2275,-1910
-115,72,-110,2235,-2314,2666
40,-121,79,-71,4655,7994
-83,119,-70,-1610,5369,2178
-57,122,-107,1577,-763,2596
55,-92,16,949,1215,615
-80,-45,-110,5101,1146,4500
46,-29,-31,914,248,3731
51,-124,84,236,2486,3160
-79,4,84,-845,1569,4396
85,-115,-12,-545,778,3038
93,113,95,708,264,3329
62,44,-117,358,786,3362
26,56,85,954,-647,3168
-10,64,-43,411,443,2323
-76,-47,-107,1126,170,2234
125,-18,-94,356,-71,1929
58,-49,-76,222,-226,1624
39,-33,-20,232,-231,1840
25,73,-36,-927,275,244
16,66,-76,362,-685,-490
-31,-23,-42,639,-1450,-1106
-8,-114,19,79,504,-781
-15,61,-87,28,410,-977
-12,-11,-118,335,-42,-678
-9,-18,-121,75,47,-689
2,-41,-128,-148,177,-256
1,-39,118,-125,152,106
3,25,105,-195,64,97
36,92,115,-346,254,51
36,104,95,-106,115,163
54,-115,101,-176,97,64
61,-88,93,-182,284,-49
9,-95,-21,-3910,3614,-4188
100,15,-68,3335,-2395,-7855
-84,56,-3,-615,-6036,-9032
-82,-83,9,-5870,-2609,-8305
-93,-119,-16,-4811,-4468,-7371
19,43,-116,-1984,-3414,-6078
-7,45,-37,-804,-3813,-4927
-110,-36,123,2733,-1323,-17
94,-42,-82,1319,323,3818
-102,-114,56,2929,5952,6870
104,85,-63,-794,1442,2106
15,71,22,865,66,501
29,-123,-37,-1053,1495,716
42,-18,-90,-677,1318,1970
-89,-83,-77,3407,-1466,3704
-25,43,-35,22,1840,3171
73,86,-123,276,567,2533
-80,88,124,460,864,3337
-92,45,93,1438,639,2975
-35,89,106,96,885,3140
-40,37,59,1614,-176,3361
-28,81,-93,61,922,2990
-66,33,110,575,100,2570
-70,-23,-74,474,479,2632
-127,-67,-107,758,249,2356
112,-24,-76,441,-242,2085
75,5,-55,57,123,1311
28,-2,-41,911,-157,692
6,-6,-44,220,73,-58
-9,-42,-55,-105,-134,-507
-22,102,-37,-3,-86,-713
-32,57,-55,132,-133,-613
-17,12,-63,19,255,-453
-15,-14,-89,284,-47,-300
-4,-14,-103,153,18,-32
2,14,-108,-294,267,-83
14,25,-121,177,-14,149
26,79,120,-458,331,-1
37,99,113,-54,147,22
51,113,101,86,33,-10
-44,-91,-77,2238,494,-7890
-34,-32,92,1732,-3012,-8840
-22,84,-47,-5936,-7078,-11807
-88,30,88,-2836,-7508,-4704
-85,87,-69,-5762,3333,-4256
-70,-3,-114,11070,-10483,3721
118,-67,126,-4255,10556,4284
-104,84,-14,1115,759,2833
-26,-18,39,1050,349,1235
-11,-128,114,-393,2122,541
-109,-95,-7,743,1402,2759
-28,116,105,954,1312,2964
97,-8,44,272,854,3613
-63,63,12,321,502,3089
4,92,45,842,478,3392
27,21,103,809,630,3365
1,-12,40,-561,417,3985
62,59,109,538,291,3683
85,94,-85,202,101,3569
3,108,-89,-286,287,2712
-26,112,-30,159,166,2290
-128,88,-86,918,-302,1556
47,94,-65,727,-425,634
14,49,-37,288,6,-125
-28,-49,-44,788,-458,-293
-15,-105,-14,560,-239,-414
-2,122,-31,-419,353,-967
-10,23,-61,244,-157,-534
3,1,-68,106,117,-410
10,-6,-82,146,97,-190
21,14,-90,-101,200,-63
25,38,-101,129,63,-75
46,69,-124,-126,353,-37
47,62,121,129,206,86
59,90,102,-68,145,4
64,102,102,-41,49,-1
72,117,105,-97,142,50
79,-123,108,-17,111,37
87,-87,107,-252,58,-78
100,-86,109,196,101,-201
-57,-119,57,1063,-2352,-6726
122,-115,76,-2641,-3561,-6302
126,59,54,-2467,-2290,-8092
111,-9,100,-3543,-4823,-7107
69,4,102,-2113,-3841,-7369
-126,-8,-14,-4533,-435,-4438
-55,63,-90,4569,-5681,2909
-26,26,-127,-287,4716,3413
-99,-127,28,-1029,2795,3971
32,65,-56,2963,-302,2219
65,-57,-62,-426,1383,-148
90,102,-5,598,1931,1502
118,25,-10,2773,822,3105
-30,-98,-76,-610,1957,3095
-83,-35,16,763,670,2853
-76,-36,87,555,984,3924
0,33,-4,748,84,2963
73,21,57,0,1007,3919
62,49,74,974,647,3389
49,64,101,993,-10,3171
65,57,-126,400,988,3225
-12,107,-85,409,-2,2191
-94,86,-76,118,344,1726
107,70,-79,355,-143,1363
39,47,-78,734,-301,740
14,12,-53,206,-239,-74
-22,-65,-36,470,-415,-315
-17,-120,-20,-3,-1,-466
-22,78,-37,208,-158,-674
-6,38,-44,-9,1,-530
-4,10,-56,109,220,-402
3,-13,-83,279,-64,-172
13,17,-95,-42,175,-118
26,31,-96,-318,351,170
33,54,121,376,84,19
56,105,125,-277,241,74
58,107,113,-153,120,93
60,119,116,3,142,19
73,-101,89,-202,95,-254
101,-60,97,-275,224,-516
-26,-21,57,4063,935,-7530
-10,-19,38,155,-3634,-7969
-16,-50,-7,-2994,-3717,-8753
25,69,80,-1931,-9018,-3276
39,81,73,-2908,-3773,-5034
95,79,23,-3479,905,-1145
-51,-63,-97,3323,344,2911
-56,71,79,2919,3982,4489
-47,15,-25,1186,4201,2422
-4,-11,118,989,2253,626
-82,27,-34,943,-716,1870
-58,12,-8,115,1502,2073
-34,-68,-76,552,1738,3320
48,-70,-70,1611,1445,3086
-37,13,73,523,824,3537
-29,-36,103,-256,1181,3563
81,33,19,1170,-130,3405
63,56,109,-240,921,4054
13,28,102,1620,234,3006
1,86,-116,410,-206,2817
-46,64,-71,-600,547,1772
125,7,-52,-64,217,1646
77,-39,-54,706,153,1439
35,-49,-55,877,-234,1014
12,-35,-38,-80,-30,727
19,-10,-61,-589,21,-331
-3,-88,-58,356,-233,-628
-29,74,-34,591,-187,-306
-15,74,-49,-54,233,-439
-11,25,-71,45,172,-391
8,16,-97,65,146,-191
14,4,-100,132,180,-71
21,28,-125,-25,-35,-34
36,54,-122,-60,269,118
44,69,-126,-83,230,87
48,93,111,103,-32,-16
62,117,120,-266,231,0
61,105,110,183,-17,-4
85,-91,94,-475,253,-207
91,-46,78,-746,256,-890
-51,-81,-95,-1336,-2377,-7685
104,-5,86,-405,-1935,-8171
-109,-10,-106,-764,-9740,-8502
-47,-106,-102,3067,-6810,-1882
119,106,-12,-317,-1147,-1243
-1,-48,-69,2767,1322,5392
108,-27,97,1301,8283,4299
41,-106,-51,-950,2684,1341
111,-63,-49,1815,-1238,748
98,-81,28,-750,3847,2010
-84,-71,-70,-892,3014,2251
-87,-115,46,2583,790,4426
125,-28,9,69,762,3065
23,11,-66,-424,1887,3233
46,49,85,455,1079,3701
45,64,72,1104,40,3172
60,36,83,-25,1552,3048
27,18,115,411,155,3276
-47,83,-86,-59,-236,2692
-71,99,-69,-274,629,1673
103,84,-88,545,-181,1058
48,50,-78,988,-372,281
21,-25,-54,743,-197,-264
-12,-88,-47,299,-344,-584
1,77,-26,101,-27,-496
-1,48,-37,-85,140,-576
10,13,-69,-16,-147,-303
29,6,-63,-52,204,-199
20,10,-85,36,50,-136
33,32,-102,-114,118,-66
51,59,-103,-186,399,-44
55,73,112,113,-77,76
73,121,126,-363,248,-78
75,118,112,116,-48,-74
75,106,123,75,202,-58
86,116,117,-52,135,-77
95,114,107,-168,61,-52
79,116,114,121,70,18
103,-58,125,-853,439,32
-103,119,58,-1319,494,-550
107,91,-94,1152,-777,-8192
-84,65,113,-2604,-4005,-8653
-122,-121,90,-1454,-3842,-10483
69,-54,-77,-673,-6918,-5798
-34,-88,31,-3084,4784,-3023
24,-68,-85,-793,900,7505
-108,-113,67,1739,4964,6218
40,50,96,228,2919,1964
27,19,-86,1577,-72,3642
-112,-89,-81,770,1418,1839
61,-91,32,-5,1494,3422
72,-54,-111,1172,-217,4025
-9,-123,-19,94,1342,2846
-56,118,-37,-643,853,2904
23,27,-43,2906,-6,4076
33,-112,74,306,517,3198
-36,100,64,-170,918,2476
-14,11,-105,511,-44,2680
-51,54,-48,-517,518,2378
-125,28,-76,688,1,1677
120,-97,-65,-1123,17,776
76,81,-93,553,-223,-175
18,-21,-67,1146,-269,-706
3,-113,-63,533,202,-592
5,84,-94,-1,-119,-333
24,51,-88,-150,448,-710
