AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-91,-99,-96,3866,-4694,-3595
40,-126,-122,-547,-4389,-5344
-76,-65,25,-1158,-12340,-5744
-17,100,-104,-6425,-3527,-4321
95,-39,-62,-3886,108,-3609
60,70,120,1902,-6828,-879
-24,-29,-114,-144,-2997,472
-96,5,-102,-780,1788,-6
93,-1,-122,1428,1978,-86
-126,1,-22,606,2679,-89
-92,13,-12,-924,4621,1863
67,119,-66,-1066,3047,2661
-55,77,0,2792,2312,4025
114,102,-120,-1614,4808,3629
-29,-126,102,-710,2983,3960
-59,-79,77,-913,1975,4207
-121,7,-61,362,843,2820
125,-40,49,1370,417,3700
118,-105,67,1751,114,3562
-115,-73,113,-121,613,3111
28,-56,78,243,291,1899
-81,-30,111,574,-335,552
95,-104,-126,662,-171,-405
97,68,-107,1097,-301,-279
96,53,-94,182,-495,-462
68,-23,-72,-284,-157,-599
89,-38,-79,-32,-76,-274
98,-65,-98,121,-106,-286
102,-39,-123,-48,-191,-414
120,-53,-115,55,-32,-212
127,-11,113,68,-132,-254
123,-10,120,-125,-192,42
-117,40,121,-411,5,-170
-121,57,107,-221,-196,-119
-121,72,120,-396,155,114
-102,94,95,-170,-67,-199
-89,106,98,-306,36,-153
-93,85,92,170,-69,-162
-90,94,96,-67,28,-174
-89,88,84,28,46,-156
-25,92,-55,-1507,-5735,-6320
-44,91,1,-1384,-7812,-7011
-75,119,-54,-5439,-6421,-6034
-110,-45,-45,-2022,-1046,-3707
-88,-62,108,-2166,-1671,-1160
79,-122,79,-192,2270,1231
-49,3,-84,1265,3007,2691
-71,4,-54,257,4035,3736
88,-70,-82,-805,3288,3471
-40,121,-83,95,1761,5095
-9,56,77,-1352,2334,4686
117,-78,63,-162,1343,3609
90,-117,11,1179,687,3728
92,-86,62,1507,432,2888
119,-8,66,685,969,3213
72,-36,56,1747,26,2550
25,-79,85,710,131,2252
-39,-74,81,200,210,1314
-114,-57,-121,-197,63,406
104,109,92,1391,-845,440
93,104,-84,921,-865,-430
79,30,-74,-519,370,-505
74,-35,-89,357,-415,-213
88,-36,-86,-101,13,-313
80,-58,-116,430,-345,-196
92,-58,-84,308,-266,-27
98,-27,-97,-628,418,-124
106,0,-124,-288,-202,125
112,22,121,14,140,-190
118,21,104,326,-79,-65
-124,35,87,-228,-60,10
-124,46,84,-99,-178,-51
-116,59,96,-194,-110,-81
121,51,76,401,-581,24
