AccX,AccY,AccZ,GyroX,GyroY,GyroZ
72,9,-47,-339,-3208,-7372
29,107,-78,-1594,2977,-3712
56,-115,-28,-2619,763,4792
-70,41,54,7919,-12958,-828
-36,21,-120,-4505,7028,-4877
94,-128,-107,-541,-2672,-1330
108,90,-112,-1378,27,-6110
-20,47,99,-3735,-482,-7579
-112,31,92,-2906,719,-6607
-43,77,13,236,289,-3658
-68,-113,44,1952,-883,-754
105,108,72,1651,2262,3018
-46,-47,86,-197,-763,7087
2,-44,94,-3792,873,6419
18,6,0,-2839,1861,-2881
39,78,119,1508,-399,-3706
-109,28,-48,1736,-3539,730
111,-81,5,-391,-1738,868
53,-114,-49,-444,-1340,2019
33,-39,-123,-1077,850,2571
-96,-96,54,-283,747,4705
92,49,4,32,-1371,3878
-110,78,39,381,-180,4626
40,90,-80,-242,128,3666
15,102,-86,2084,-1500,4670
-112,-39,59,-3165,-435,2917
41,76,83,-717,-1478,2271
-53,50,103,2858,-824,2960
-84,101,52,1346,247,2242
-99,71,-31,1720,380,1350
97,41,-108,871,259,73
58,-66,121,288,-496,-683
56,72,-100,210,-189,-484
55,55,-117,-654,97,-382
48,9,124,348,-389,9
76,34,-104,27,81,-229
86,35,123,123,-96,-137
91,42,124,-245,-152,-7
91,47,120,-146,-27,-131
96,60,120,-199,-22,62
20,-22,-126,5089,-5433,-5574
-21,118,96,3046,-5086,-11052
9,-11,-48,-5953,617,-9303
58,81,-111,2854,-1879,-2028
-86,-119,58,-1830,-2727,9317
-35,121,120,10373,-14294,-249
-15,-77,-118,-21743,-29856,-829
86,21,65,7874,-16876,4108
46,118,-38,-2055,1698,-870
127,-27,-76,-4777,4806,-8076
-86,11,109,-3439,-1458,-5879
-88,-42,62,-1037,719,-5491
47,50,15,-722,-1457,-1925
57,-80,85,254,1508,134
119,-11,-124,1934,1406,4514
68,-101,52,-52,-677,5243
103,34,49,-3251,2777,228
-103,121,-51,730,478,-1435
24,107,92,2681,-3346,180
-11,-75,-83,146,2570,149
103,34,23,578,-1936,1671
-63,26,25,1121,1897,931
-13,67,91,559,618,2480
