AccX,AccY,AccZ,GyroX,GyroY,GyroZ
30,-10,67,8662,-3762,-4375
18,-27,117,3350,-9899,-3441
49,-59,-125,1740,-9214,-4321
100,85,113,1997,-7129,-2254
-34,58,112,-4212,1220,-1951
-82,1,-51,6173,3555,-1997
96,25,-97,4313,857,-3475
69,-28,96,2784,5571,-2483
-120,-95,8,-4945,-2228,2146
103,-31,46,-5033,-2647,1667
47,-96,-36,-4283,-576,942
-128,-118,-112,-4654,-730,951
-3,28,70,-6447,1272,1112
37,106,-74,-8692,3244,1242
-105,122,-112,-3072,105,3315
7,43,-120,-1075,-1107,3360
-23,88,-56,-26,-257,3794
-120,117,-25,3,-1362,4131
-13,-52,8,-866,-314,2580
-84,-104,-42,1797,-753,3137
-104,54,-93,1405,-964,3005
126,28,122,823,-142,2190
41,42,115,-475,-7,1359
-53,2,88,15,-487,-313
-57,-77,106,492,291,-492
-94,64,76,1268,-116,-320
-86,89,81,-117,-34,-354
-86,55,70,-247,120,-353
-74,17,76,163,-145,-95
-71,40,63,-191,176,-268
-63,35,63,-42,-170,95
-61,59,62,-251,16,-17
-54,90,64,-455,-89,104
-51,113,59,-149,-59,13
-50,-127,66,28,-65,-71
-46,-127,64,-227,109,-15
-40,-124,61,-107,-73,17
-14,-95,83,-625,414,313
56,13,120,-1315,666,-2256
-11,45,-17,4471,-2261,-7188
99,101,1,3830,-14797,-6955
-29,13,-37,-466,-8967,-4370
55,36,-112,-1543,1548,-2865
41,31,-29,6116,1742,-2816
-83,98,-118,707,4855,-3530
30,-90,8,1981,6893,-1258
-49,-87,-42,-3938,-5612,1301
48,25,-96,-5069,3454,1482
-89,66,56,-1537,-2807,720
45,109,100,-923,-1566,1508
-94,81,127,-5270,1655,339
-81,-119,-9,-7014,3408,470
119,-44,57,-4088,1751,562
112,104,-35,-2500,1211,2880
-67,116,88,-791,-473,3382
78,98,-105,-2130,767,3447
-121,-4,-5,-1782,-146,3288
-86,66,-43,-1337,-655,2334
120,-99,-36,-168,-1005,2399
89,53,-54,11,-945,2282
51,-35,-50,90,-481,2080
30,-111,-112,976,-723,1976
-1,-84,-111,1,-618,1397
-60,-84,-101,-977,10,467
-94,98,-115,466,-450,394
-96,-117,-119,275,-36,-364
-106,45,119,610,-36,-316
-104,49,117,-29,70,-66
-110,48,93,-204,30,-227
-98,21,93,200,82,-106
-83,52,77,-267,52,20
-82,63,65,-97,-103,-100
-72,58,78,105,11,-50
