AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-23,27,4,7459,-6824,233
-124,-43,-106,15093,1849,-8550
-47,-20,64,-5530,5134,-11250
-48,-118,45,6293,-3958,-9958
-121,33,9,3699,-7800,-9502
22,-123,51,-9942,71,-8337
108,118,100,-24411,795,-4777
35,47,89,-9922,11777,-1577
102,34,125,-22941,16660,4998
-32,86,-90,30131,-1859,3123
-77,-126,112,-26754,31429,-13965
-44,7,-70,-31222,-16100,-4342
33,-105,93,-6596,-8596,19790
-86,-72,88,-27019,9482,-28995
96,65,121,-30105,15460,-9951
102,73,-14,-4463,30773,-5624
-59,41,96,10012,9655,20143
88,124,77,-17200,-28228,15904
106,-76,116,-16401,5503,9473
52,35,-112,13602,-24241,11960
69,-72,-107,-4806,-11725,10893
94,-56,21,20496,-13953,10739
41,-20,-43,778,-4981,6759
-37,-62,-76,5745,-1135,-256
-72,55,-12,11182,-612,-503
12,35,37,-1004,2166,3022
53,29,65,3109,1973,2983
-122,-20,-74,6170,169,1970
-113,-22,-115,2958,-2824,-81
-117,-14,-95,2901,-946,22
-118,-44,-102,4153,-2078,1007
-100,-37,-112,1705,-559,-823
108,-86,107,4983,-3473,542
122,-39,-96,-2764,-389,1192
-127,-37,-78,4803,330,411
-98,-58,114,1936,-1257,1087
-106,-40,116,2009,-2016,-276
-119,-80,100,3490,-716,1399
-110,-64,102,1535,-2585,97
118,-98,91,4217,-437,885
-80,-34,-19,-3668,3563,-10015
19,0,25,3446,1839,-1727
-53,109,-1,20998,-4791,2197
79,13,104,8520,24475,-8360
-59,123,35,-17763,12251,-3541
63,98,16,2336,16869,-14428
-114,118,-74,-21602,6546,-24863
-100,-83,-28,237,13642,-12877
102,39,45,-11867,14055,-9830
-7,56,101,25124,20589,17170
46,88,-24,-12515,-25771,-3748
-91,-100,9,-32370,27197,21599
-16,6,-28,8630,-4502,-27594
-93,30,-80,11208,-13924,-27413
108,110,99,-15552,6981,-15128
0,125,-32,-30109,-16222,-17131
-68,84,-92,2958,9617,-6791
-99,-35,-72,-8157,14253,-2038
-12,-115,15,9178,12690,3886
-80,-87,113,18010,-3962,8095
-31,9,-25,6159,-5234,17618
28,127,-9,22728,-11787,20886
77,7,-9,-2610,-17922,11986
49,118,32,4160,-14752,4875
-90,114,-71,2641,5277,3109
101,-8,110,6971,-12652,6114
74,-65,89,-487,7522,2586
-19,42,12,-2698,-921,2099
-4,3,-63,7533,-1641,-181
-2,-28,-58,2813,-3475,1565
-25,-55,-47,6957,542,-673
-10,92,-38,5737,-2465,1047
-30,111,9,1113,-1756,452
-18,108,-2,5963,-874,380
-50,75,9,129,-4019,806
-61,118,-7,838,-149,317
-52,121,2,3316,-1022,1258
-47,103,-12,3895,-1948,2010
-54,-124,-13,846,-881,1841
-62,-113,-33,3371,-1775,1440
-121,82,-90,-29057,3240,-14421
-123,-82,-40,10713,19546,-10708
5,-58,79,-14553,14420,-22921
117,6,92,-17326,8902,-22993
97,1,-99,-5885,11467,-23103
16,66,-24,-22835,15070,-8359
6,-94,-59,29365,22310,-8265
-7,-34,28,-9109,26473,-5139
110,-114,76,-31992,31419,-32524
-18,28,120,-31814,-646,5303
114,4,-77,32533,13342,-3768
-88,-65,69,-18222,12909,-13021
-79,116,-85,-30109,9717,-7864
91,-110,45,27690,-1823,-10100
20,-98,15,-2775,30220,2288
-124,9,85,28161,-6902,6390
-21,15,-66,22745,6694,17038
-28,-68,-3,4790,2708,3484
99,57,31,22808,-9336,18038
30,102,21,4078,-5121,24634
75,-27,64,8906,-25683,21726
32,-84,-8,-10278,-13470,22729
5,-68,-54,-4064,-6259,5404
-26,-125,-116,7804,-7472,4058
6,-94,118,-5386,-2169,848
-9,50,55,11849,1049,-2583
50,-94,32,-2199,-2299,308
30,-71,3,4258,989,-1489
39,62,-59,4178,-2358,2796
37,80,-57,3829,-166,1149
62,75,-49,2824,-3012,2296
25,44,-65,6244,-2874,1966
13,49,-50,1647,-2571,-87
-37,0,-71,4395,-2697,1757
-53,85,-34,-1487,-2738,1904
-58,106,-28,4119,-1114,671
-23,87,-19,3700,-706,617
-18,54,-44,3663,-778,897
-8,31,-41,3094,-750,398
-12,18,-65,2335,-2463,1793
-91,-127,44,9761,1281,-6945
-52,-70,-105,4533,4760,-12331
