AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-12,52,85,3672,3102,-4910
-5,-6,-53,5831,2120,-5454
31,112,-85,4123,-342,-6867
-17,8,94,2137,1727,-7573
-99,39,70,2426,-896,-8902
-31,84,-90,1946,1741,-8948
-90,-54,66,-1659,479,-3265
105,59,-72,2097,-1218,-2404
-66,-57,3,549,-3143,-629
58,56,-23,-5370,-886,4022
-9,-2,-77,-2159,-6348,2214
102,-83,51,-7762,-5521,1799
122,-99,7,-2761,-8862,1505
-72,47,100,3194,-8851,2491
-37,-112,-101,868,1271,-1204
88,34,-23,3143,894,-1995
-38,-91,-127,-1011,1645,-473
27,20,-124,2968,-606,478
-119,2,-16,2380,4602,1739
35,57,-49,4517,-3112,731
32,119,0,5223,3228,3428
54,125,-95,1432,2214,2887
111,-16,56,-1590,1739,2629
10,103,81,-115,-646,7163
-79,94,-97,-2565,-1947,5662
70,-128,23,-7721,-1667,8254
-79,-73,120,986,-4560,1956
20,-19,81,10295,-3755,-338
1,45,-28,-5582,5637,-2625
52,36,-35,-3069,1895,-2853
-1,-104,60,-1479,1710,-2089
1,-82,96,-944,-1118,130
-26,-39,91,12,546,613
1,75,103,168,-37,438
64,93,107,-606,133,162
93,107,-113,5,-379,137
82,106,-8,-411,782,-520
64,61,-54,-413,176,-230
67,40,103,205,-348,146
83,74,-124,143,-137,142
-7,48,-27,4777,4134,-3052
124,-98,-112,9999,919,-4941
14,93,-1,6301,2574,-9106
65,75,74,2998,3777,-9764
-100,47,-95,1088,4436,-11836
19,-31,-120,6046,2064,-6788
-23,71,-3,3100,85,-4724
30,9,-54,-340,-1103,-399
2,-84,2,-1652,-5860,2303
114,115,-112,-2047,-11234,4691
-125,82,15,-6997,-2194,5703
125,17,82,588,-5982,506
73,99,-51,-2775,-2708,1542
81,102,99,2158,129,-3742
-113,-35,97,5811,836,-4029
16,44,53,2086,-2254,-262
32,11,4,2241,-3336,1614
80,-12,-1,4284,-869,3068
-9,16,81,6398,-39,4896
-111,-40,-117,4062,475,7203
-1,22,25,1895,2478,5426
5,-55,23,236,-801,7864
68,104,103,4164,-202,4988
-91,60,-95,4606,-1558,4322
-106,-113,85,-816,-1019,2199
14,-48,-55,-3506,1953,-5516
-75,-48,-31,-2474,323,-1153
117,105,-122,-490,259,-234
-117,-100,110,-73,623,-127
-56,-22,-127,-1018,373,-19
-13,23,-112,-2010,184,-513
0,57,-81,-2898,386,-1047
12,28,-86,-2698,916,-1024
4,-10,-110,-816,513,-133
-6,-1,-125,354,120,180
10,45,122,1133,-462,418
32,83,-121,539,-452,394
59,106,-112,-77,-102,294
67,116,-124,-326,220,3
73,111,116,-282,98,-155
-34,58,-76,8630,1013,-2872
-113,100,-88,6220,1469,-5177
-111,115,-66,5665,-1384,-8667
-93,74,-27,1918,292,-10866
111,-14,4,1680,2811,-11577
78,-84,-45,2463,2037,-7099
84,-53,-120,2104,2083,-4786
51,31,107,659,-1139,1063
-73,-104,62,-2910,-4823,3362
-18,106,23,-4804,-6475,4816
-99,-84,-82,-1833,-9258,5335
-2,-107,-64,-7829,-5553,1398
52,80,-69,896,-5346,2039
-119,-20,66,656,4196,-2400
102,-18,44,3261,1656,-1582
108,66,44,4864,-3206,1432
28,-83,81,3155,-4575,3386
78,-19,-88,1170,-2623,3364
77,12,108,3688,-3045,6271
30,-121,-40,1599,-870,4883
-117,-54,32,1445,-902,5348
-84,-127,-56,496,-1287,4133
-18,24,-103,1509,-2718,2534
47,3,7,-898,1489,2591
1,-1,4,4914,1317,-1035
32,-62,-99,1538,-786,-2063
-85,-53,-47,-2481,807,-1116
-94,-106,106,-844,712,-261
-56,-102,98,292,450,19
-35,-78,64,-805,671,124
-4,22,112,-2643,-55,-404
49,60,-69,-2527,793,-581
34,30,-46,-981,821,-520
24,-11,74,345,240,-152
35,7,90,648,-248,65
55,37,99,-21,-1,53
68,48,95,-232,42,-20
71,46,100,-151,-153,20
77,50,113,-87,-112,97
84,61,116,2,-38,30
82,-98,104,6001,1393,-3226
105,1,41,5829,1575,-5984
-61,103,1,2194,973,-8909
106,-48,-93,2411,-32,-8921
30,91,-76,2233,346,-9981
-107,5,-82,1611,1716,-8338
14,125,-87,544,451,-4365
60,116,107,1256,-1139,-1005
41,-127,-104,-2284,-1890,1562
-15,-127,2,-2568,-5183,5010
-14,-78,-69,-2611,-6626,4437
-71,41,-98,-8055,-7002,3599
71,20,90,-2626,-4486,-1036
-3,-22,1,-852,-5505,74
33,-82,122,1865,1320,-2307
-22,11,-115,4328,1760,-3109
21,-5,3,6970,-2223,590
-109,-120,-44,2500,-1814,2251
-127,92,-33,3000,-854,3413
86,57,-70,5137,-853,5045
64,-96,-24,1196,1195,5365
100,115,-98,710,1820,5170
78,92,-115,1257,168,4342
-112,-116,-17,1021,-531,4525
95,83,-49,-3706,800,1033
127,-29,-39,137,56,2761
-81,59,14,2811,-3876,3293
-126,15,93,2607,-2442,1584
54,33,-59,-4358,4128,-4280
-22,-125,72,-269,371,-2065
-51,65,84,660,304,-467
-100,91,81,686,-297,-68
-51,-126,98,-58,-282,382
-5,-36,-88,-1408,-296,72
0,-34,-98,-711,-373,274
4,-5,-33,116,648,-380
16,-38,-109,309,64,-15
15,-31,99,-275,119,-17
37,-14,97,-414,170,-12
40,-5,88,-293,200,-206
-85,115,96,5639,1321,-4914
-46,113,99,5130,-1048,-8662
-100,101,49,1086,829,-11592
119,60,7,2273,-1198,-11365
-111,-32,72,949,2986,-8843
-122,-3,18,2312,1935,-5039
-86,-100,-124,291,1500,-1291
5,24,-13,-1515,-1949,2116
-109,-18,-55,-2803,-4402,3894
-122,-103,113,-3667,-4753,4059
-24,4,38,-7501,-5289,1767
3,-77,44,-5221,-10793,2308
21,-34,16,-900,-2616,1250
102,99,-78,2312,2194,-2706
13,-78,-42,4424,5058,-2908
34,-94,71,1096,-918,365
76,61,95,3125,-2826,1911
64,82,121,2782,-3436,3772
72,35,39,3712,-2638,3530
-101,16,54,4582,-2611,6028
31,46,-82,-407,717,6182
4,94,111,-611,612,5847
90,82,-39,-468,-1813,3949
5,122,-58,4209,-1920,5299
-58,40,-38,953,-1668,3265
20,-19,53,6668,-2376,-763
68,-113,23,706,59,-2917
-66,-33,-60,-1615,-66,-1172
-71,-121,-83,-2571,1218,-1256
-79,105,76,92,987,-238
-77,-125,69,-29,1060,-216
-56,-70,85,-1139,-483,12
-19,9,-99,-2675,-482,-160
15,30,-74,-1542,-235,-9
27,52,30,-394,1248,-568
26,-12,102,363,284,-143
47,-15,101,707,23,59
34,16,88,145,-27,21
32,14,80,-76,38,121
45,21,81,-158,-5,173
39,52,-3,-1492,-934,-9633
-79,68,-57,11,2320,-10796
-45,67,67,1664,1810,-9006
102,74,102,951,1372,-4231
32,102,-73,422,-350,-1077
3,111,62,-2621,-3217,2747
-16,121,-9,-3354,-5131,4370
7,-111,-119,-3243,-5780,3399
-91,87,-55,-9250,-5992,2201
-68,66,83,-711,-9567,-2213
-88,5,1,1996,-3656,2040
87,-48,13,1280,6257,-5823
42,-107,-50,5369,-2467,-775
-53,107,-80,3724,-5464,2242
122,-46,0,970,-3587,2091
99,-63,-57,3211,-1886,1643
-1,78,-60,4227,-2214,4685
-127,-5,-88,4882,-1404,5711
115,50,-122,2594,1618,5266
18,53,-118,2094,1037,4902
23,-40,21,4756,-612,4157
57,-72,-37,-3927,-5100,1206
-49,87,91,3156,3827,-2240
5,68,-48,792,397,-2687
-80,107,41,-3066,2098,-1722
-42,105,64,-1895,712,-596
-32,-118,82,264,-1066,589
-24,-34,126,-1324,341,10
7,-3,-113,-1235,-398,-43
9,31,-84,-1544,-442,-199
15,34,-46,-446,-38,-218
36,21,29,78,654,-102
29,0,121,709,130,84
44,31,107,312,56,6
61,39,104,-580,318,-90
74,38,93,-697,364,-52
77,35,79,0,-107,53
82,50,94,-59,-193,-23
90,61,120,-437,-18,-209
90,45,-126,-307,-52,-90
-8,121,91,3903,1948,-4901
-86,-24,118,3891,832,-6679
-47,104,92,1706,1357,-10130
-83,-105,-10,1249,877,-11589
-28,17,-38,953,2161,-10181
97,75,-77,2032,2401,-7010
-73,-62,92,1400,2304,-3044
-53,-59,110,215,1073,189
32,-105,105,-3969,-2027,3689
0,-109,-2,-4659,-11144,4337
67,69,-33,-4683,-8569,5118
76,-29,-114,-8565,-5733,685
-22,-116,-55,-905,-4068,-2327
-69,-69,-62,1850,2130,-566
122,68,-66,1145,5567,-3294
-50,10,-123,5946,-1918,-460
11,79,-18,3330,-5115,784
48,78,118,1416,-2813,2577
-55,-5,111,4440,-3857,4686
-19,121,7,1561,-1157,5683
104,-128,-16,2450,-1332,4821
-121,-10,-85,5485,-2461,6115
-47,-108,-65,5373,-149,6848
-102,-59,27,3887,258,5291
-104,-110,114,-3171,687,3467
-92,-124,12,-2717,-1380,1162
24,72,-38,49,-555,-2303
