AccX,AccY,AccZ,GyroX,GyroY,GyroZ
36,-73,-14,3554,-457,-8221
-34,56,63,1205,-1032,-10052
124,-79,127,576,4337,-9231
93,61,107,9106,7624,3698
0,-66,-65,-8845,17072,9348
-45,-68,-98,-1297,-10118,10845
-1,-120,74,-1240,-11338,-743
-6,-99,116,-8084,-21168,-10599
80,-3,64,-4048,7756,-5163
-112,-8,-67,8542,6799,-564
124,68,-50,-5415,23699,7526
121,-122,38,6294,-7656,6325
-106,-124,-42,-3140,-7484,938
109,96,99,655,-8085,-2349
59,1,90,-1122,-9995,-8615
80,-51,-53,-2864,-340,-9472
55,27,-47,1959,-1572,1698
122,86,-50,-5453,-8003,3842
12,-16,-110,-6860,7870,-4982
-102,-120,8,1604,-2449,-2623
-119,92,-9,2538,-2177,-8
66,-25,82,-279,1205,810
77,0,13,-3000,-796,4079
-119,-100,12,-2172,-1199,9157
81,-27,126,-1100,-232,9629
4,82,51,-1289,-83,8791
-124,86,-69,480,-1598,2400
-120,83,-16,-2155,-116,114
77,-34,-12,-1758,1034,1925
47,-110,59,-286,44,-749
-98,-66,-9,-574,-444,-727
-90,88,-11,319,491,-434
-116,69,-104,643,-476,147
-97,-123,-66,-607,78,169
-114,64,-86,1300,-833,427
-83,-124,-59,-309,-422,47
-92,74,-71,235,-264,356
-95,87,-84,529,-582,31
-90,36,-87,1355,-763,381
-95,64,-82,924,-647,194
-31,-104,-37,8342,5270,-11401
77,-81,-61,6032,120,-7142
-14,89,121,8310,11272,-1
-35,12,35,3032,11733,2642
-34,62,-55,-8397,9580,10552
-58,-126,78,-3348,-22099,1125
127,81,-97,-8984,-12613,-10657
-93,79,85,2797,18116,-6380
-43,-15,119,1375,13247,-758
47,-115,-57,-2252,9515,9723
-31,24,3,-3585,2748,10845
-45,8,-109,-6991,-5653,2766
27,40,-88,2220,-7509,942
78,59,-68,-2938,-6317,-8636
-36,74,-99,1945,-8311,-7268
69,58,-10,1390,-7437,-4249
111,7,122,-1809,-10868,-1353
-40,-11,36,-7375,-8648,-1455
-10,-12,-60,-6827,-924,2755
-58,-99,81,-2888,-345,-1511
99,-58,-63,2656,-2756,1338
49,101,11,1316,-2669,2112
61,-54,-113,2356,-1039,5964
122,-45,61,4517,1655,7230
64,-118,-64,1217,4024,9535
16,-5,1,4109,-2272,10235
79,93,-57,-2018,-341,7068
-42,81,-13,-6806,-1350,5306
-25,-73,-124,4073,4240,-7555
98,-4,-11,2193,-609,-3801
-14,-31,-46,267,-175,-559
-104,31,32,-1671,1665,-903
65,23,70,146,160,309
122,-116,100,-448,-1160,1179
96,-18,66,-2792,208,117
85,-25,55,-1457,23,-28
-121,-1,-22,1838,1105,-528
122,-33,115,1784,-1426,429
105,-40,46,346,-474,351
122,-24,61,-133,271,44
-36,62,110,7573,4869,-11563
-31,-103,119,12894,-6412,-12081
76,105,-94,-4099,26093,-796
52,-68,39,11071,9967,5979
-31,29,30,-18963,-22624,3871
124,104,-21,-5438,-14641,-14740
-17,31,32,13365,18762,1005
10,-84,48,660,12715,2056
-24,-101,-68,-2931,10651,21669
83,127,-60,1499,-9608,-8003
115,80,114,-4172,-11147,-2042
-50,-87,-108,-6765,-9869,-10029
0,-63,23,-2770,-10395,-10726
-120,73,-47,-8164,-6071,-1434
-50,-125,39,460,-1429,2078
-13,4,96,-2877,-2598,1907
48,125,-43,-2083,-1148,-220
42,89,-116,-176,882,354
-82,75,2,1665,-3573,4473
79,-19,-24,2558,-2237,6960
117,116,-66,6205,1189,7777
91,25,94,-3127,4742,8460
119,-35,56,5934,-5428,4973
73,1,44,1156,191,7171
-57,-44,-18,-3249,-2718,6520
123,-42,29,11714,-6061,-2352
-127,-52,-89,-1140,2865,-5140
98,113,15,-1511,-1360,-504
-28,75,1,-5509,2943,-548
24,-126,-46,-3435,2966,-1050
92,55,-34,2231,-799,-13
72,-82,51,802,-2277,378
99,35,123,-2457,343,3
-72,20,-62,-900,2425,-545
-125,-65,48,1503,-1650,65
123,-36,68,548,-761,388
-107,6,106,158,504,302
-114,25,88,558,-645,250
-113,10,56,207,-203,84
-98,-3,49,145,144,9
-58,-48,94,6273,-2750,-3742
-53,-51,-2,1071,4354,-12533
-72,58,87,8785,-2427,-12004
17,22,-21,-3291,15598,-5309
91,-119,-96,2128,12671,2443
-76,122,-50,-14696,-10584,23067
19,-27,73,1764,-12184,-443
-23,-73,110,-9058,-4677,-10075
-76,-44,85,31,12565,-6348
12,28,25,814,12152,1954
-89,-79,92,-2003,6727,5901
68,67,99,-5999,1169,11300
-16,94,4,1231,-4153,7657
36,24,-20,331,-6787,5301
-62,69,55,-10063,3052,-5642
109,18,-69,-1239,-9288,-10302
-80,86,-23,-2738,-9718,-7542
-94,18,-33,-6283,-7740,-6790
113,119,124,-4434,-4795,-6073
80,62,-78,-5153,758,-516
76,-30,-70,-2987,-3349,2860
35,86,-102,2404,-5965,3229
1,-74,-95,-241,-806,1732
59,-79,9,-942,-529,5011
89,-96,-49,3620,-378,5283
38,-48,-70,2685,2639,7470
34,113,39,2537,-1535,5905
82,75,0,-24,47,5988
27,39,11,2995,-2537,3178
-121,-91,-50,-4040,2462,1501
48,89,101,543,-794,673
-46,-114,81,-964,-3076,-469
-24,73,-25,1966,781,-1297
-94,75,74,-997,265,-1479
80,-76,28,367,-607,-52
71,-44,85,290,-576,-154
114,-60,62,314,205,28
100,-36,33,42,-140,81
125,-10,70,-98,-329,68
-105,-2,-119,284,48,28
109,38,-91,9726,1948,-7113
-104,-26,-16,7160,-1067,-9311
-117,-59,13,10254,3590,-9216
-105,2,-115,-667,18264,-1561
88,-27,-73,1527,14058,4079
85,58,65,-1987,-13321,16992
109,-3,-104,-9415,-8738,-586
72,15,86,796,-24708,-4541
-37,8,86,-9271,12493,-6257
83,59,-71,7541,7661,1290
15,-95,-84,6247,8120,2230
-69,-76,83,-4609,4394,4300
15,-103,71,-5364,-63,15383
9,-108,-115,-1528,-8488,1550
-34,38,107,-5328,-2158,1198
33,57,-33,-2534,-5938,-9800
-42,-53,-52,-1834,-5139,-8351
7,-14,99,-1033,-5763,-6476
-28,56,123,-6096,-9118,-5971
123,38,120,-6869,-2291,-6007
9,-24,33,-402,-2519,140
11,84,71,-2593,-1591,422
80,29,91,-1292,-2329,145
-69,24,-17,2465,-2627,1495
-73,-65,-59,227,-2098,4767
36,-22,-3,991,534,5674
-65,58,-18,6047,-1813,9575
23,114,-32,404,1350,7443
-62,-70,-126,4501,-1955,5337
2,-4,110,-2329,1110,5807
29,31,6,2977,-3142,3683
27,76,-33,-3792,-1199,2376
-54,9,71,128,591,-563
-119,96,53,3515,1347,-3099
55,82,89,-718,-466,-1979
19,-109,100,-770,119,624
-14,-86,90,1370,-1103,-75
19,-59,106,1066,-1036,-341
71,-60,87,-466,694,-2
67,-71,56,-47,580,-450
-66,-1,-50,-6665,3853,364
-30,-29,94,9404,-2233,-10335
-106,52,95,10624,-1788,-16588
-98,94,-107,-5574,20449,-3517
-79,51,12,1989,9630,5384
-108,26,104,-7994,-17417,11124
61,-66,122,-1086,-15901,-7591
-119,45,-79,-774,5304,-6529
10,-115,-77,1187,15172,66
107,82,6,-1606,12938,8168
18,-52,-128,-2580,-9561,11515
18,72,-28,-1483,-5918,2857
4,121,-18,4130,-11329,-4852
-14,22,-83,-8570,-6281,-14324
41,75,-65,4739,-5266,-7229
-21,85,9,-2015,-3479,-4722
79,95,-63,-5504,-8247,-272
-87,49,74,-6157,-7174,1001
-106,-5,10,-2400,2542,-2070
89,17,-9,4704,-1710,-2466
-2,106,117,994,-2712,1218
26,110,126,-957,-1534,3988
104,-82,127,5958,-1553,8553
45,-96,-59,6264,4296,11216
-53,-81,6,-5260,2203,14557
45,68,-73,-152,-1662,4626
-29,45,-18,7052,-6779,4859
96,9,-68,-4945,1195,-3535
-20,65,-60,804,3318,-2586
85,-127,41,3624,-1684,126
-26,-9,86,-1006,-1465,-1516
24,121,82,-2805,2095,-279
16,-96,123,260,-259,890
50,-44,105,2021,-931,359
87,-50,75,773,-400,-115
81,-88,121,1216,-844,601
117,-20,-120,-60,288,520
107,-4,53,-634,953,-719
120,-115,0,-147,535,-609
97,-75,35,-259,-931,595
-65,-101,76,10117,-1679,-12024
96,7,37,2305,-2065,-11640
31,-102,124,-1257,15396,-7423
86,-57,57,4951,13353,1431
60,26,12,-14296,14695,10467
-104,-84,9,3157,-19056,14468
-57,-115,-83,-11117,-7851,-6763
122,-71,-92,-2845,-4495,-7138
-14,-45,16,-4264,10290,-8366
76,-115,-65,6236,9272,579
110,-128,98,-9109,7045,6654
-4,13,-16,1797,1765,16603
75,53,-87,-1804,-6833,1271
-46,-46,67,-5776,-13799,2897
9,69,80,-8512,57,-14047
22,84,122,1149,-191,-10922
