AccX,AccY,AccZ,GyroX,GyroY,GyroZ
15,107,-11,6057,-1893,-4619
-61,37,-65,614,2949,-8571
-90,-14,116,2882,2241,-7822
-84,12,93,3008,3539,-7993
-80,-96,-80,-1987,5831,-7604
-25,22,-35,1880,-5708,-4854
95,53,20,-3018,-9024,-8608
108,-49,66,-2568,652,-8853
-53,-87,16,-3184,5112,3180
-94,-45,117,-9168,397,13576
-88,-64,-51,4330,-1703,6802
60,30,-15,1417,-5738,-362
11,79,46,2292,2239,-8961
55,23,-123,10295,-8843,-10341
-118,-128,-76,-8011,5975,-9347
97,-114,100,736,3430,8287
122,90,-11,-5189,1233,10923
108,79,-46,-4092,1601,6940
8,74,-112,432,-2854,5914
118,-111,7,62,-5782,7607
-66,-19,127,-3165,-5597,6156
-1,64,5,-2989,-4130,9335
-28,4,119,-4921,-2987,5010
95,-72,-33,796,720,5721
-108,-10,-127,-3957,375,5094
-2,-67,-62,-1892,-12369,1659
-111,119,-85,-3191,8580,-6378
-116,109,22,5241,232,-2334
-101,86,-100,-1894,981,-1604
-91,-43,9,1884,-1145,1936
-52,26,34,870,374,1052
50,118,62,-1992,749,810
123,-16,89,-4104,382,777
-126,40,123,-4431,322,-281
72,87,33,-4525,6,-1918
7,21,-75,1297,1180,351
68,-4,-127,1159,48,418
92,-7,-111,828,-208,509
113,33,-88,-106,-74,-431
-127,-47,115,-507,869,-242
0,71,-56,7283,-2133,714
20,92,-105,4582,-1031,-3897
-98,88,-55,5381,1218,-5823
-12,-84,83,2613,3234,-8050
-71,6,-6,2009,3050,-9161
-26,-99,-83,1319,2095,-9391
63,-71,58,-1859,4197,-8943
71,20,-51,-231,-6959,-7892
-112,74,88,331,384,-9407
66,-68,40,1837,-700,-2851
56,-22,27,-10046,5009,9048
-3,12,109,-8500,-4620,11158
-59,-22,108,10931,-7620,2843
-117,-123,-76,-7147,3662,-5943
-124,-18,78,8204,-2939,-6358
-51,-84,48,2992,-3255,-9974
125,113,-33,4527,2018,-3002
-52,-29,-23,-10227,559,11473
-106,-97,-55,-6437,5008,4479
110,117,68,-3844,-2385,3062
79,-3,-125,-4117,-6095,4089
-70,-97,51,-396,-9412,3912
7,-42,-35,-719,-9113,3164
48,47,-67,1262,-7889,4176
84,-32,-63,-2739,-3255,2552
-75,-126,-2,2689,-151,1710
41,-113,30,2447,-3786,5800
32,15,32,-2285,-3063,4067
-42,14,-48,-8242,-5035,3449
-25,-115,55,-6388,20704,-3130
-3,-77,-110,4919,-4962,-1663
-25,-120,-117,-1449,1019,-1373
51,70,-66,821,-473,641
37,106,-97,1049,536,911
-120,-86,-122,-709,1547,1294
71,15,-83,-2330,875,1404
93,102,-52,-4031,610,708
40,-114,2,-3303,118,-349
68,25,92,177,1046,-1006
-11,-85,-25,40,703,-734
61,-73,-64,5977,-1744,-3287
-67,91,-36,3543,3683,-6205
93,94,127,2587,5421,-8082
-123,70,112,2962,4589,-8600
-6,-71,53,664,3986,-8863
15,-110,52,-2428,-679,-8976
-9,-22,-99,-396,-915,-9244
-17,46,105,5050,2286,-7551
-106,-65,-33,-7126,3071,4682
85,-27,50,-8497,-2614,12449
-47,-74,26,451,-7696,4174
-115,101,52,3951,-1598,-1053
-45,106,73,3858,1543,-7412
