AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-88,-58,93,-3976,3850,-3907
102,116,-118,161,1596,-6163
42,-101,-27,-981,299,-8049
15,-43,126,-7532,3960,-12637
108,57,-17,-388,2316,-10296
73,-126,-113,-485,7268,-3594
9,0,124,-3729,7611,5365
-108,55,-51,-5819,1530,9240
-30,79,-91,-4353,-2860,2187
94,-113,122,8398,-14783,-2084
42,-41,11,5341,-6506,-1745
1,91,-101,-5592,2632,-9573
-22,38,67,-700,9755,-2225
-111,35,-123,-1931,5111,3142
101,97,42,-1676,7024,2969
13,-51,-58,-5820,1922,4912
-38,-71,-14,-4421,-1299,7405
-12,121,-31,-4784,-3683,8320
125,9,-127,-2974,-5073,7988
-106,108,-49,1146,-2186,5491
-107,118,89,-6847,-544,4876
116,-8,27,-5846,-4349,4874
76,-68,-72,9870,-3391,1312
91,-91,47,-7954,7000,-7967
-46,-50,1,1649,862,-2825
-57,125,-4,-855,-552,153
-74,-91,-18,146,-1099,1505
-51,26,29,-1307,292,339
75,-92,-121,-4260,1047,-503
-95,-49,-35,-3756,1524,134
108,-71,-29,-1730,799,-492
115,-128,-93,-451,1125,-783
69,-107,119,1025,-286,-467
77,-88,112,651,-328,-144
114,-64,120,-579,-86,473
-125,-56,-121,-519,-44,371
-123,-66,-111,99,-308,133
-123,-88,-60,1058,-649,31
-104,-84,-97,230,303,-217
-116,-115,99,98,0,14
-8,104,91,5860,-758,-4402
-34,28,-81,-2882,2621,-9117
44,-68,58,-4338,1071,-11503
-110,103,-90,-2997,1447,-12322
-74,61,17,269,4765,-3530
78,-11,-49,-1021,5423,2053
-91,-29,-85,-6248,7208,5485
13,13,-48,856,-3324,2868
53,-3,-56,-3993,-2845,-2682
19,-75,14,8363,-14250,651
-16,-49,-72,-1597,-5065,-5055
117,98,92,-4267,8381,-9049
48,15,-101,-991,5203,2876
-8,116,-26,2155,5818,2779
49,-69,63,-5666,6622,-600
-15,-114,-115,-2690,2103,3903
-114,-87,65,-3282,-2825,4753
-3,40,21,-5105,-2134,4968
97,-118,44,-3484,-6193,5957
-30,28,-2,-1069,-3058,5031
94,127,32,-3214,-3193,4737
-90,-43,65,-2087,-2941,4378
-45,-16,-19,692,-5934,6766
-51,-39,-75,-159,-4716,3544
93,34,72,-11545,7171,-3150
82,-128,-108,133,1807,-1704
-122,-98,75,2954,-710,-1499
-49,-19,80,-548,253,-129
11,63,97,-1592,996,297
-2,66,87,-1281,1232,286
35,73,35,-498,560,363
70,-123,86,-792,-345,26
89,-108,111,-1416,-761,-290
88,-34,-37,-3399,-464,-859
74,-121,54,-1354,416,393
60,111,83,805,1019,-262
104,-104,113,1011,488,240
107,-98,109,1128,-839,-3
120,-106,102,172,-112,40
117,-117,90,-239,115,-99
-5,-26,-24,-1952,4100,-8745
-54,-93,9,-4326,2044,-11619
-79,47,-74,-174,151,-10100
77,-27,-45,-1408,6543,-2834
-79,-23,53,-738,4013,3297
119,-68,1,-5018,5744,5107
54,127,-25,-4832,-3198,3887
-7,-60,76,-667,-4255,-3257
-102,16,35,14352,-13080,-1663
-1,106,-85,-8514,2170,-7628
46,-68,-121,-4315,8217,-6971
107,-10,-4,-1668,5978,4602
-128,117,-100,-347,4566,4929
-127,52,-18,-6617,8581,-792
-23,-104,48,-2705,2914,990
18,-82,0,-5400,-6738,1235
-117,89,49,-6190,-6095,5990
-108,-13,25,4035,-13195,4483
-106,-83,29,-9824,3301,2774
100,95,38,3514,-8879,6254
-107,39,-96,-3876,648,5671
-105,64,20,-5148,-11684,3467
22,-9,8,9177,1543,-1011
16,-82,-86,-1965,4328,-3079
-47,-9,18,-1684,1252,-2057
-9,-68,87,-1753,1597,-64
-75,-96,20,2591,-1667,649
-63,6,49,-78,-223,439
16,44,97,-1644,73,607
62,65,63,-1957,-518,101
-20,122,-79,-1929,-2590,92
21,-2,-107,2116,1786,-362
39,45,27,1922,47,550
98,-121,99,-2394,907,148
92,112,69,-2351,1200,-666
125,40,-12,-1088,1856,-409
52,99,-17,-811,-695,-472
37,-77,119,-3172,-720,-805
71,-85,-116,2928,-890,1455
-93,-80,20,-812,844,-205
123,84,3,3163,3160,-4058
-11,63,-12,5876,-613,-4956
-115,-47,7,362,4731,-6645
74,-105,54,295,4503,-5889
4,109,-122,-5448,5636,-7125
-116,-83,-70,6421,-6148,-7408
47,-93,-64,-1646,-2245,-7102
61,-42,-44,-5803,11824,-720
-4,88,-122,-2793,3010,6572
123,91,-128,-2882,-4063,4069
-25,4,-34,-6859,-2493,-2219
-125,103,103,10891,-14776,721
30,-112,-84,2286,-5132,-3204
122,-51,111,-6067,7560,-12145
-121,-86,-58,-874,7969,1298
-108,102,81,-1947,5207,6075
-30,-44,-112,-3098,2656,2191
25,-92,-51,-6236,2738,1295
46,15,81,-5246,-2058,3071
83,44,99,-3126,-7343,6299
126,-100,21,-3176,-8148,8156
-47,-49,4,-1379,-3885,7843
-15,-2,-16,3692,-4454,8504
38,92,-123,-1238,-2235,5755
-91,-119,122,-8414,-3851,4591
120,-48,-118,-6115,15327,-8179
-13,71,-66,5921,-4291,-373
-17,-114,55,-6128,2788,-698
-108,-69,-3,-1833,3,-56
-27,11,97,-1805,188,-27
-37,80,-62,-2173,294,-257
-28,84,-54,-620,172,-364
-35,93,-43,-813,818,-510
-13,44,-100,1028,29,295
24,102,124,366,-258,181
60,-105,114,-1009,350,100
43,-120,108,-105,-220,-134
47,122,-121,-59,-95,-100
56,-115,-108,-389,134,-6
80,111,-122,94,178,-115
-41,-124,82,4633,-1153,-5254
78,-124,-94,-958,597,-7991
-46,104,-95,-3536,2345,-9732
60,40,-27,-8416,1661,-11108
10,-87,-109,5256,-2731,-7161
-61,121,-36,492,-3666,-2540
-56,-107,8,-7706,10255,3765
-35,-16,-46,-3579,1092,7727
7,28,36,-883,-5373,-942
-26,-114,123,-1955,-5956,53
97,58,-88,13382,-19710,-1697
21,-61,40,-12865,10584,-11837
-117,-107,-113,-5446,8367,-4881
-32,105,59,-2309,5966,12353
-112,-72,-63,6267,-274,-874
79,-48,50,-12578,9342,4081
5,-72,42,-911,-3843,5374
-54,43,-115,-4444,-5094,2473
104,-87,25,-5343,-3924,4777
107,31,-70,1662,-12535,5723
-59,-66,83,-4216,-258,3156
117,-108,1,-294,-6368,6779
88,31,8,5487,-5989,7484
77,-74,82,4574,-8387,6105
22,-51,91,-7664,12179,-843
117,33,-75,5968,-5518,-5965
-98,-20,-49,1352,1677,-3237
75,96,-117,-1087,-206,344
89,-89,123,-812,-861,1319
-84,-39,98,-895,1046,1061
-22,62,88,-1232,-529,607
5,-106,-99,-3115,-292,980
95,-86,-125,-712,1053,-649
43,78,-64,-120,1192,-851
51,64,99,310,1002,-790
24,29,51,1320,-352,-465
-2,45,48,120,-119,-90
13,54,95,-344,-639,549
61,75,-102,-27,-602,850
89,99,-107,-111,122,213
41,87,22,-635,5228,-4606
-112,70,-30,-4070,3923,-6304
-32,79,54,-8243,-1149,-10050
-98,-55,-87,3026,2399,-9554
-115,-47,-9,-1928,4783,-10998
-111,-97,85,-3034,11336,-1220
51,44,73,-5150,3634,7262
98,-125,-70,-4357,-3297,4647
37,71,-66,-583,-2519,-3337
59,32,-127,17260,-13271,-3210
-71,48,-126,-12913,6323,-10001
-70,106,-128,50,7212,-2049
106,111,-66,-2782,5624,3309
-22,59,-4,91,2658,2959
-78,-58,-100,-7071,4786,2214
-32,54,-63,-4896,-2385,5050
-65,-113,-48,-4620,-3705,1313
68,-50,23,-1491,-8274,6382
117,86,90,981,-6966,3754
30,107,92,-6164,444,3120
119,73,22,-2086,-6515,5171
-89,-84,-107,-1029,-8119,4547
121,98,86,3208,-13119,7601
-56,94,-125,17633,-910,78
120,6,-107,-8477,5658,-7422
-89,81,-84,-1554,4930,-3422
-55,-114,-96,-587,3557,-1110
-71,-21,59,3339,-5544,2004
-59,4,-118,-1926,2194,433
-28,53,67,-2038,1302,59
-9,-107,-122,-2896,-1284,-371
59,-97,-10,-4047,243,198
63,61,92,544,1055,-332
54,109,-84,418,1426,-316
34,92,107,1728,-425,58
36,111,98,684,-567,55
77,106,103,-293,109,352
93,121,104,-587,219,87
104,100,90,-95,47,-49
97,87,91,89,-498,-107
52,-17,9,2863,6329,-5901
100,89,56,6088,431,-4255
5,-14,88,836,1531,-8111
90,124,-53,-2377,4604,-7400
117,46,72,-2229,2184,-6657
-70,117,81,-840,-5429,-7800
16,17,70,6313,-4117,-6017
120,-109,120,-4675,5499,-5669
127,-5,3,-6274,5355,5939
35,-99,96,1600,3999,7782
-50,-55,-47,-6061,2004,1532
31,-79,-59,-4377,19,-1116
-58,80,29,2623,-7605,-269
-116,-8,123,8622,-16169,-1376
-112,-128,48,-7398,4542,-8270
7,15,62,532,4502,-7926
-8,77,-128,-6625,6330,-1173
34,55,44,2906,3526,7938
83,85,71,-2904,6130,-2431
97,-3,36,-7194,5842,3492
102,-121,-43,-2762,-4069,2531
-105,53,-2,-4917,-2552,932
67,13,-36,-1959,-9083,6118
-107,105,23,1258,-5316,4367
39,69,-127,-5985,-2045,4722
-103,108,-9,1780,-5902,3804
-70,106,65,-4442,-5059,10228
-103,-2,-107,-3149,-4820,8780
70,54,-90,7190,-5827,2146
-69,-73,6,-14409,11001,-9496
-77,-38,-89,4245,389,-4646
-94,47,93,2431,886,461
93,-59,110,1117,-1977,1345
99,8,-103,-755,-607,765
-53,25,-123,-1749,1219,796
18,-124,-121,-2635,426,347
8,-79,-107,-3642,367,-568
11,-98,-56,-2708,271,-791
-3,69,52,163,752,-116
3,88,-11,190,1094,-181
95,77,-109,3098,2832,-5625
-54,90,-74,1396,3422,-5602
33,63,68,-7435,6517,-7280
19,32,-1,-936,1522,-6916
57,49,-88,3510,-3117,-9338
37,-35,-128,-1948,4195,-8653
-31,24,-91,-6192,10321,-1174
53,-1,-102,-6138,4025,10744
52,59,-70,186,-3929,1811
44,111,-123,-12926,4535,-1638
-119,118,-32,10924,-14091,758
-35,-7,-54,2225,-4574,-4279
52,107,100,-2889,-775,-8659
-41,115,79,-63,4869,-5695
-54,-46,-105,-4761,8561,1551
-56,-22,52,-1482,6027,6166
-87,18,28,-4178,3060,3544
-13,106,-53,-7050,1301,2299
-120,124,85,-4061,-6003,1851
-48,113,116,-1200,-7937,5422
-61,78,-40,1119,-8767,4424
102,-22,67,-3696,-1942,2099
98,-72,66,2182,-4764,4380
-15,48,-2,2111,-2520,11013
52,7,14,-4752,-5161,8794
-44,58,-72,9376,-687,2629
-25,39,32,-2743,1848,-8938
-33,11,123,-292,2416,-4954
-69,-37,77,1449,1086,184
119,118,70,1344,-1495,1270
99,-99,106,346,-998,1094
-36,-47,-93,-327,-183,1435
9,38,-99,-1612,703,525
15,77,104,-2818,1300,-475
-23,16,122,-774,-888,-568
-19,35,-17,-740,-533,-278
28,43,2,-440,974,175
26,43,126,691,308,8
44,63,103,176,282,-315
56,55,80,-282,300,-201
-46,44,115,2076,2221,-7457
44,-77,30,-801,2425,-8280
107,-12,-93,-3023,5652,-8487
-103,8,86,-5939,4150,-6887
-71,27,-110,3201,-2220,-7523
82,-3,73,5446,-6003,-5789
75,99,-93,-4730,10303,-1955
7,108,-1,-5757,5857,4774
54,25,44,-5961,679,7564
-4,-10,54,-783,-3807,-590
-80,88,-43,-6329,-1420,307
-38,-59,-8,5563,-8544,-1601
-3,-25,-110,9676,-13102,-813
-101,-104,95,-7501,3084,-9627
-13,-55,55,-5228,7481,-7173
73,-19,-83,-2331,5868,2714
17,57,-83,-6234,4190,6527
99,25,-117,-1237,4791,2164
-39,94,-125,-8538,935,4411
-99,12,82,-3737,349,1652
-46,16,109,-3309,-5173,2518
-123,-120,-95,-1598,-8320,2898
-78,-103,-112,-510,-4849,5236
51,-20,58,-339,-7691,6021
87,-20,85,-7317,-4166,6128
92,126,78,-2643,-3982,3072
11,-67,-7,3266,-18526,10132
6,77,-82,9747,-453,-1072
-93,1,-24,-3680,5620,-8107
-100,67,45,581,5141,-4000
-87,125,18,841,-793,2696
61,0,65,2508,-3772,2375
-107,47,-104,-364,6,1055
13,-96,-67,-2916,483,663
33,-55,2,-1020,-1809,728
49,-33,-95,-2377,2863,-1230
-7,93,-77,-202,993,-1474
12,91,-114,-169,936,-849
-1,69,119,431,75,-212
-11,89,112,-43,-84,80
65,63,33,2682,1980,-7774
-60,-27,16,-1111,4378,-8063
22,-26,-119,-1110,5489,-6248
-121,106,-64,-4344,7603,-2661
-84,-4,0,-3164,3287,-2126
26,30,-63,5981,-4661,-7811
-112,100,-31,1955,1302,-4859
-11,64,54,-9060,10893,1180
20,33,61,-3460,1753,7565
-92,43,-34,1458,-1938,4898
98,4,-38,-6516,-709,-562
103,-86,-44,2280,-9849,-2499
-43,-34,-16,14859,-16510,-1591
122,120,63,-6659,4367,-8998
87,-99,72,-4304,9062,-6801
30,86,-70,-5582,7133,2172
51,89,-37,670,3995,2111
-67,12,-104,-5650,5248,5609
95,18,-36,-2887,-199,1822
31,-104,117,-4519,-2215,337
117,-92,1,-2219,-6784,4091
78,8,-28,8864,-8923,2592
82,10,-73,-5176,1702,3050
92,13,104,-2834,-5985,3311
-67,63,50,8,426,2847
-72,-9,27,-1563,-4560,8127
5,-113,48,-190,-10343,12826
-27,-24,105,5852,-8402,10007
43,115,-4,-1481,-648,-697
-24,108,-128,-3012,5593,-6547
-20,-55,79,1889,3595,-4884
-99,62,-45,2703,-1236,-242
81,8,24,-3796,-403,674
100,-1,-16,-2609,1014,354
-59,51,-19,-1185,869,71
-46,74,-72,-712,1334,-487
-40,58,-118,757,291,-712
-37,43,-128,931,-525,-261
-22,59,-119,89,-141,-191
-6,59,-117,-429,274,-257
-11,-5,-120,5868,210,-4572
10,-112,-111,682,1326,-5821
-63,-7,-5,-345,2025,-6348
-28,-10,48,-1461,2225,-6927
75,-65,28,-189,2892,-5647
2,115,-88,10422,-6707,-7010
-26,-57,-93,-8944,7862,-7158
-97,-29,13,-5061,6146,3900
62,-51,-56,-1745,1501,5503
55,-120,79,-2102,-4790,1219
119,-53,8,496,-4352,-2294
-64,70,100,10097,-14609,2045
79,50,79,-3158,253,-4998
44,-100,91,-3905,4293,-8046
34,27,-120,-1056,7653,-2009
7,-86,-13,-3758,6613,3726
-74,118,44,-3505,3807,4117
37,17,-43,-6725,6398,2403
-52,-66,-39,-2774,-1478,1367
-51,-24,-50,657,-5211,563
-94,25,-121,-5508,-2410,1648
69,14,50,427,-8134,1109
50,-5,-98,-1856,-5853,4730
-74,25,53,-1361,-2676,5241
-11,-15,21,-138,-1861,7292
127,36,-104,1506,-5477,7497
-110,-82,70,1812,-6695,6273
-57,-108,20,-3555,7357,-2520
116,-109,-25,2833,-1425,-4500
-110,88,75,1911,-963,-1585
