AccX,AccY,AccZ,GyroX,GyroY,GyroZ
126,17,-110,2067,-1017,-7736
72,28,25,-1932,-1433,-5548
-102,-66,-93,-9725,499,-4285
91,-10,58,-40,-5012,-8704
3,-75,57,1727,-654,-8275
25,85,7,-164,-2772,-4846
21,71,127,-4154,5101,3932
104,25,62,-3796,3434,7117
-21,-93,-19,1023,1706,8151
33,11,74,-1355,1398,1849
31,-71,5,1719,4185,1098
92,-94,10,4438,-1503,5099
107,23,-25,-472,1863,6950
-102,-77,-38,-525,1643,8479
100,52,60,-6514,4392,9900
65,10,-120,1737,-6144,5268
-14,16,83,-8611,-457,6852
93,74,64,1702,-2796,3378
47,-42,120,-2878,1902,-8481
102,42,-48,-657,3117,-4438
63,17,1,898,-679,715
-16,-56,91,-851,-1092,502
-38,-72,39,-319,859,83
73,-1,-101,-60,-942,404
117,18,-46,407,-689,499
-126,42,-28,-259,857,-51
91,8,115,360,-142,-344
98,-16,101,-512,716,-438
111,-33,92,-189,29,284
110,10,84,-333,-36,98
127,10,106,-320,-60,-165
-118,-6,-118,-245,-79,75
-122,8,-106,-75,1,67
-107,-3,-120,371,91,-27
-113,-6,106,239,57,-16
-121,-1,93,-224,-81,18
-103,-12,100,-46,-67,84
-90,-2,102,-209,-20,22
-87,4,106,-275,-21,-44
-89,0,117,-242,-14,-60
-124,-56,-62,4942,-1057,-4419
-35,101,-48,64,156,-7033
-18,-25,-83,2026,-2133,-6397
-105,-117,84,-9164,461,-10636
-98,-28,-118,1286,-5795,-10743
-82,-84,58,-1130,-4137,-9158
84,119,-14,-2335,1465,-5385
-50,-46,86,-1489,2504,8825
-92,-35,78,-5835,2358,10656
108,7,26,4811,-3614,7057
94,-11,115,-535,6233,-3195
110,-110,-67,9286,-2449,2562
12,126,-75,1274,834,4611
65,127,91,-543,2654,6829
31,59,116,-2850,1512,9103
-50,48,-125,-7428,-2075,9878
23,-25,-23,-8370,-3105,6435
96,-117,-34,16710,-11667,265
-115,0,90,-3135,8143,-6756
66,73,-20,-1766,3570,-1790
2,7,-40,-763,2312,-515
-70,-75,103,2723,-4998,-136
-15,104,90,-1211,1941,322
71,-75,91,-1218,785,1214
61,15,-112,-310,-2287,1331
-111,91,-29,440,421,196
-125,48,-61,49,364,-814
93,-18,69,-1353,773,-691
93,-25,85,-1139,505,-347
92,-35,75,-245,17,101
101,0,95,-398,-226,208
123,29,122,-363,-144,255
-117,38,-125,-264,-34,114
-108,46,-128,-290,111,-63
-105,32,118,-86,146,-105
-105,28,107,-194,144,-26
-103,35,96,-349,124,7
-93,40,90,-391,100,-29
-86,43,96,-399,47,-40
-83,41,104,-292,1,-25
-36,57,117,5088,-559,-6028
102,23,71,1745,-1104,-6793
118,121,26,-4417,-236,-9404
27,-8,65,-6845,-2716,-14256
-64,80,28,380,-4748,-8597
88,6,-37,3479,-1995,-3460
33,-50,116,1940,-700,2085
98,-41,75,-8669,7289,8581
-85,69,-118,3231,1754,13312
-66,-68,6,4565,-122,-3006
-93,-25,-72,-3661,8581,-351
102,102,-78,2968,-1094,3095
-70,63,50,-612,540,4848
40,-103,122,-3817,1133,6339
-17,-124,100,-4581,348,7743
-107,-104,-115,-4292,-3883,8305
29,47,-72,-3422,-3632,4621
123,-57,114,4034,-5680,1455
8,14,14,-592,8259,-2353
79,42,46,-1529,-767,-3204
61,67,-13,-3432,2996,-500
60,-45,118,-1190,-583,-1359
43,-121,90,-14,86,-597
56,127,61,-275,1233,317
73,-24,100,169,-1007,518
94,-12,125,-706,-289,301
-118,10,-117,-1109,372,213
-117,27,-107,-838,-195,71
-120,32,-115,-639,78,18
-126,30,-98,235,-517,70
-120,30,-105,160,28,151
-110,47,-121,-94,64,23
-103,45,119,-213,157,-46
-97,29,104,-183,170,-110
-93,19,104,-140,29,-10
-87,18,102,-261,33,-79
-83,13,99,-412,-8,7
-80,33,-123,-570,-28,234
-66,46,-119,-168,232,58
-69,41,124,195,96,-99
-89,-126,-43,-9882,-3418,-6338
-100,109,-123,1137,-7247,-9447
-11,-122,-93,-1078,1523,-4719
6,-45,-123,3499,-3105,-1284
-12,61,75,-4849,4463,8184
-19,71,78,3098,3797,8092
104,-34,46,2239,3466,2520
-20,-81,-87,1917,6073,-1534
72,-112,31,3480,-2682,2803
117,10,-58,-3884,4899,3434
120,125,-111,-1697,-213,6489
-89,-76,-60,-5089,1582,7966
48,100,88,1838,-2627,5690
-39,-53,-37,-8920,468,6006
-114,23,-10,-390,-4161,3509
102,24,3,7646,-6350,3378
68,30,-26,-5172,6584,-6143
-63,-51,8,1131,-1464,738
-81,106,105,-1087,1106,-1102
-48,101,110,-129,-1112,-183
-38,91,86,-1473,1090,140
1,-79,99,-749,-133,-38
70,-50,-76,839,-146,171
73,-52,122,1003,-49,165
61,-41,86,-123,99,-23
47,-70,65,-759,276,-241
56,-92,67,-142,-93,85
78,-60,99,-180,108,49
95,-45,92,-135,-83,137
94,-26,73,-408,6,-74
96,-22,69,-863,-148,31
97,-22,64,-814,-49,-88
106,-13,62,-530,151,83
98,-9,53,-316,-119,-7
113,0,52,-187,43,89
120,7,47,-57,-73,34
-122,20,45,-358,54,-57
126,8,39,-183,8,-12
123,8,53,-31,-27,-13
-117,16,32,-101,-65,-2
16,124,1,-2231,-2160,-7078
-89,-23,65,-6150,-4977,-9424
125,116,-127,-36,-8089,-11534
89,-126,24,-6600,5440,-6272
-27,-15,-50,10638,-2147,487
111,-14,63,-5926,408,3370
5,35,99,-5647,6526,8255
54,-94,72,4121,1136,10370
-9,109,86,3177,3623,-3093
-38,-96,-102,-552,3168,2279
-42,-106,-114,219,46,5274
-2,62,123,-2104,784,5657
83,87,-105,-6964,-61,6979
40,-126,63,-4939,-1512,9820
-109,-47,-126,-3768,-2593,6768
-77,-109,43,-2534,-5355,940
-51,64,61,6443,4837,-1858
-79,-58,40,-5665,2302,-4528
-19,120,56,-2555,3291,-1216
89,-103,37,1787,-1085,-607
24,-123,62,1407,-1183,-314
23,-99,51,-1361,1360,311
71,-25,89,-1042,-334,700
86,-21,98,-635,-847,954
98,47,-125,-913,-842,814
-117,68,-40,2745,-1053,111
-117,48,-55,340,944,-437
108,-3,40,-821,543,-398
112,0,52,-1131,415,-182
121,-19,44,-269,-102,311
-126,14,71,-138,-281,151
-108,37,104,-284,-180,93
-107,38,123,-266,-28,11
-104,31,-125,32,116,-57
-93,18,98,-120,243,-25
-88,22,82,-304,157,34
-92,27,72,-311,62,-32
-80,30,85,-350,112,-21
-79,31,85,-200,46,9
-61,28,92,-157,82,-5
-56,107,-118,2644,-1856,-7196
30,91,-89,-4552,-1269,-9488
47,-80,63,-7408,-5424,-11002
-3,-22,-60,1229,-5044,-8290
94,-107,-73,-1219,-1929,-6312
15,-115,-79,1746,5179,814
50,114,63,-2246,3742,10568
-106,-95,-93,239,3469,9373
14,63,112,1215,1799,1322
-127,-57,23,-1462,3768,-3118
101,4,-35,3844,-364,3128
117,38,97,775,569,5869
-105,-3,-73,-1453,1095,6552
-111,26,-38,-5077,1031,9159
-79,29,120,-856,-3211,8391
87,-38,-92,-4704,1144,5190
26,34,88,-2853,462,1855
-10,-60,-92,-2393,-4902,1525
24,-60,47,11699,-6653,-891
-110,-41,-78,-5035,3757,-4590
27,3,-61,-655,1460,-716
14,-124,114,-337,-642,-312
22,-108,79,-602,-6,214
67,-58,58,-1077,993,252
82,38,118,-1898,-582,-167
102,29,-97,-1529,-408,101
116,31,-40,24,317,-238
118,22,-86,182,494,-133
123,21,108,467,119,12
-128,27,99,9,106,-27
-112,24,89,-273,331,-73
-106,26,85,-227,-41,12
-105,28,90,-276,-21,-29
-97,34,108,-290,-66,-16
-95,40,120,-457,3,-41
-89,45,-120,-372,-21,24
-82,44,-115,-172,107,-5
-75,44,-121,-43,73,54
-64,44,115,-98,152,-29
-61,39,103,-31,12,10
15,56,7,-4478,-1318,-7078
-101,-124,-17,-4387,-4412,-8627
-109,121,-59,-325,-3060,-9185
-40,-92,55,1241,-7291,-5914
65,-123,-108,2698,394,-470
-74,-77,77,-5208,6976,5171
-30,56,107,-1029,3670,9617
67,19,-8,3444,4831,7331
-20,97,-30,4145,1407,-390
-45,89,-40,-2896,964,1071
52,-48,47,-3229,1515,3271
82,-85,104,-1621,-1017,5242
9,-57,115,-2568,-3099,6740
-2,68,101,-4341,-2576,6010
-84,109,-83,-4482,-2317,6841
-95,-99,-87,503,-2454,3513
45,-75,34,-2632,-424,1649
125,-35,106,15604,-3502,399
-75,-109,-105,-3774,2072,-3320
14,68,-10,-204,694,-1418
20,-67,-75,-3437,1615,-1501
49,94,58,-144,671,735
55,-107,22,184,809,1095
105,-12,66,-1117,-257,794
-102,31,91,-1758,-66,555
-75,57,108,-1168,-180,63
-88,73,120,-1120,-74,-576
118,85,-66,-1640,-412,-1003
127,-66,82,1790,228,523
113,46,-30,311,-3,180
-93,39,86,509,-45,307
-83,57,112,-200,182,-183
-80,35,94,-771,484,-100
-89,23,76,-145,-232,55
-87,28,95,-83,-200,-12
-75,49,-128,-690,-33,-117
-77,45,-112,-772,87,-81
-79,34,-97,-100,-227,74
-74,33,-92,303,43,155
-60,41,-113,325,35,122
-66,105,-23,4283,1655,-5001
110,-66,75,6299,-233,-7231
75,74,-98,-1399,-1919,-8262
86,-26,46,-8614,-3429,-9222
-75,92,29,1250,-8354,-7280
14,-17,47,454,-4327,-6973
51,-44,-114,1531,2066,-2023
-6,30,84,-3018,3201,3813
19,-97,104,-4741,6511,9619
-89,-83,-110,2946,4024,8418
76,52,-12,2415,770,-2525
57,-60,-47,-864,2853,799
-43,-76,-9,2118,-1771,5245
-3,-97,-99,-795,-275,7005
49,57,-84,-150,118,8443
8,74,27,-4185,3614,10093
-52,44,-39,-1637,-1332,7353
67,43,-34,-6386,-1212,4456
-96,68,62,19938,-15083,5505
99,95,-52,-8372,10607,-8824
42,-23,54,-4065,3346,-1346
44,-95,55,-1775,171,-1571
43,63,30,2607,-2254,1108
21,103,70,1970,237,1033
64,-59,117,21,-288,247
-119,-61,-118,-1904,176,99
-93,-52,104,-2422,664,-15
84,-9,-127,-2183,-797,-637
-4,-62,-11,454,-2598,340
76,-12,-26,1958,1789,9
88,-59,114,1580,47,490
-117,35,109,-2873,1258,-224
-80,10,64,-2703,1582,16
-95,2,40,-634,333,74
-117,3,70,654,-731,123
-101,25,95,407,-606,124
-84,49,125,-519,-133,-66
-81,54,-120,-1238,118,-204
-86,54,-102,-1185,95,-222
-93,46,-74,-401,-75,12
71,12,16,978,1887,-7252
14,-71,24,2462,-1670,-8125
114,86,10,-1069,259,-9136
-95,71,-20,-3628,-7138,-5379
70,-6,-44,-4697,-4833,-6999
-125,7,-78,1314,-4532,-8069
91,-84,-86,1050,3227,-1137
25,-18,72,1880,1269,2579
87,-13,66,-5444,5493,6380
-41,54,51,1536,2986,7953
59,30,24,1072,3098,-3116
-112,-100,-101,990,4744,1546
-102,24,-31,1896,-611,2842
-84,7,-113,-2755,2660,4416
-10,122,-70,-2626,306,7392
-48,88,-69,-3445,888,9386
-113,-29,-97,-4309,-2136,10047
65,118,66,-4636,-1110,5336
-30,-123,-81,-2746,-2407,3587
113,8,-31,8687,-8209,6771
-66,-39,98,-6584,3281,-6008
117,72,27,-6921,5634,-5321
-88,92,-65,-2199,5580,-2669
64,77,3,4748,-3715,1877
-11,-84,18,3357,-1828,1016
43,0,83,185,-529,113
96,2,-118,-1428,-5,-323
109,0,112,-2668,899,-626
101,34,-94,-3180,24,-983
73,-22,-50,-681,-1192,31
55,-17,-3,815,-11,378
93,28,-82,1180,668,365
-127,49,96,384,479,213
-113,67,88,-1142,482,-73
-103,54,74,-911,268,233
-102,63,86,-256,-152,112
-91,77,96,-487,-2,-22
-89,87,121,-624,-228,-143
-86,98,-89,-1116,-129,-122
-91,75,-54,-146,114,157
99,-22,6,4493,-215,-7466
-24,-74,33,-1132,-2186,-10539
48,27,-28,-5456,-7647,-10511
