AccX,AccY,AccZ,GyroX,GyroY,GyroZ
80,-47,87,-7414,7179,-748
2,-27,40,3050,-4240,-3384
93,-122,126,3063,-8842,-5313
-79,-66,45,-4357,-6812,-5887
63,77,-100,-5748,-10202,-5216
72,-55,84,-4330,-9201,-4447
-1,-116,-59,-2922,-6337,-2355
-16,126,-12,-3140,45,-1326
-31,58,90,-1906,931,47
-93,30,70,-5167,1512,-1302
-27,99,-80,2068,-531,1184
85,-14,-38,-1200,435,-181
-9,-12,-105,21,47,290
121,18,-41,-1270,31,272
-118,-92,-70,328,-216,267
9,-68,-66,604,370,441
53,-121,55,1526,-286,783
74,117,-76,1218,274,3697
30,-79,78,1003,5755,7768
51,104,-12,485,4643,9044
24,-96,89,2924,1940,11288
-19,-61,40,-1318,3427,12244
104,-114,57,5755,-6766,2300
76,-8,7,-11494,1345,6396
78,11,-112,18303,-5312,-5118
34,-62,74,-2162,1522,-3555
-69,-1,-6,-1792,2276,1492
-81,6,78,2965,-1777,-889
-125,50,-19,-813,-207,812
5,108,-40,-1957,1066,1218
17,-45,118,2728,-1051,359
39,40,103,-744,-423,-1014
21,-110,-57,-2374,1242,-825
-11,117,-71,-841,369,-665
-14,112,-41,158,-41,-41
1,-106,-31,207,-76,308
38,-66,1,585,-90,335
44,-51,-49,319,-322,129
61,-53,-48,-57,-12,-36
70,-56,-52,-204,188,-112
115,-5,89,3836,-6676,-7463
33,-57,25,-5138,-4754,-10868
-108,-94,-65,-3253,-12619,-5458
-36,-8,-123,-6142,-4670,-3256
29,-123,-96,-485,-3924,-2837
-23,-121,-51,-2144,-351,-1184
-49,-48,54,1689,-1395,3098
5,21,-64,1485,4168,1816
-13,-44,-32,2696,3360,4303
105,60,-78,4554,4722,6827
114,54,-58,-1831,6589,6603
74,30,-72,873,1755,11822
-115,-34,-57,-6010,2129,5689
111,1,-95,6340,-1604,6787
-96,-78,-77,-326,481,5648
23,-122,106,432,-511,1750
120,73,44,3048,-2929,-2704
47,17,80,2346,1481,-2873
-100,77,115,-821,194,-487
-63,105,-122,-350,-841,-63
74,-66,-48,-1944,667,169
92,10,-80,-2725,1329,-706
123,55,-82,-3207,1522,-1453
-98,29,-61,-2675,1520,-1356
-118,20,-57,-1546,583,-948
112,4,-73,-193,-289,-214
113,67,-34,-1302,316,-171
119,53,-46,21,-76,173
-122,67,-37,677,-334,273
-99,95,-17,754,-387,259
-86,90,-3,643,-215,158
-94,92,-41,429,-200,79
-97,71,-45,389,-115,33
-86,59,-41,161,25,69
-89,57,-46,120,-42,86
-86,54,-41,46,57,-30
-79,38,-40,-59,67,-6
-80,33,-44,-56,37,-20
-76,27,-43,-61,23,-19
-73,22,-50,1,-25,13
112,-61,-62,2837,-9810,-12032
34,14,124,-3690,-7136,-9429
119,55,-50,222,-9699,-8533
-46,-23,-35,-3173,-6727,-4747
21,103,-82,-3311,-3249,-1491
-68,107,52,-393,-2062,-2297
-96,-106,-74,-2294,8403,-156
-21,88,-126,1555,-909,3785
-110,26,-58,1570,4016,3473
53,-120,119,1010,2783,5318
119,120,68,258,5665,6472
-9,19,109,-658,1735,7688
