AccX,AccY,AccZ,GyroX,GyroY,GyroZ
99,112,-93,3266,-1728,-5111
20,30,77,2829,-5435,-12704
-96,-116,-39,1024,-2292,-13448
92,-76,18,3429,724,-5541
70,104,-104,-295,2390,10989
-11,121,123,-10257,5441,10584
-121,0,-87,2429,1223,2383
-91,92,-77,-2597,-6898,-14204
-90,-88,-55,4247,-979,-9247
-94,-44,-106,-2167,3285,10081
40,-3,24,-3992,1813,11024
67,114,46,-1794,-223,-8460
97,115,11,1897,-5549,-15762
65,25,-79,-2843,-2703,-13181
94,4,-110,432,905,-7802
-21,98,-20,723,2135,908
-58,-89,86,-2958,819,8805
51,68,125,-46,-6852,15153
-56,100,43,314,5001,2708
67,86,3,-4744,4646,1773
106,-25,-2,335,-2377,-392
-78,-33,-16,1293,-5949,3349
-69,-126,-13,-39,-1055,5605
70,23,21,2223,2851,11071
-119,-67,-14,2427,4927,7718
87,-44,96,-2419,-1405,5395
-48,75,34,555,-6274,3379
-65,55,-46,-1017,7398,-4130
-44,26,17,-2166,-296,149
30,33,-102,-1660,72,-1605
41,72,65,-1388,-1487,-2481
-111,47,-55,-3195,1798,-308
-103,67,118,-1107,902,648
-107,-89,107,-1050,450,-162
-98,-75,109,-775,361,-640
-85,-98,-125,-83,-69,-362
-72,-91,-116,-402,278,-246
-100,-94,110,11,221,-165
-107,-106,95,163,-24,-154
-83,-109,109,-318,-69,29
-22,-18,-40,10725,-2888,-9290
-55,-111,35,-5298,1447,-13572
61,90,120,1022,-1314,-13456
-110,-37,-101,13319,-3899,-7959
114,115,-57,-4920,7826,15734
73,69,-121,-9820,11085,10400
40,31,26,455,-5793,-14689
9,-7,112,-6962,10617,-7427
-103,117,-35,17428,-10665,-3589
-1,-47,-13,-9648,12799,10990
-18,6,-48,-8433,1256,12652
17,-90,-93,5150,-4301,-7446
115,-45,-31,1327,-3410,-13285
-75,1,16,-5420,723,-10112
113,113,-121,-2455,2372,-11650
-21,-15,70,4756,-1485,-2847
112,52,-124,-2234,1857,3122
-86,-122,-86,3373,2002,12125
10,23,79,-4855,2676,12515
106,-76,15,-5165,4347,5386
-33,55,15,-8303,3771,2716
-33,64,-51,5770,-3158,-877
44,-31,-9,1896,-4751,193
86,-128,-90,69,-2467,5343
81,80,-121,-1801,-34,7764
64,-115,-69,906,-869,7471
83,-54,-114,1359,-1580,3677
-65,-14,-61,956,3193,1066
-90,-97,95,-763,-2891,605
-84,68,-19,2189,-9467,-1343
-39,85,-27,-1004,5956,-1632
-40,56,-31,2674,34,-439
45,-118,-119,-374,752,-1224
83,44,49,672,1064,671
82,-112,35,-1617,995,94
92,-88,29,-2044,341,71
-128,-92,36,-777,-22,349
-95,-29,71,-1074,139,274
-97,12,70,-1324,27,74
-108,24,65,-889,-155,-145
105,-54,69,8332,-2459,-5895
-7,-89,29,-1614,1933,-12651
-66,-83,-89,-4335,2498,-11786
-20,72,76,10583,-3744,-11755
51,75,-35,-3665,2700,17675
-73,55,-15,-7294,8818,9734
-67,-89,87,11518,-12401,-10628
100,-6,-13,-6639,9063,-12612
96,-4,68,7268,-7765,3606
49,-128,-59,-4982,8609,10209
-109,113,-37,-2487,3539,12782
89,98,5,8380,-5187,-7732
47,-44,-40,-3693,-2232,-11887
59,-13,111,-3742,-1717,-10874
90,47,28,-1995,-288,-9915
67,-7,109,5729,-2570,-4273
-124,78,80,-773,525,6767
-50,-86,-70,2626,3902,11474
121,111,55,-4330,1469,9236
83,-14,-50,-12774,6894,3973
69,-19,57,-2490,1872,-2743
-111,-102,111,8011,-6800,-376
-52,-65,-23,271,-4972,4087
-116,-122,-45,242,-2295,7980
67,69,-124,1461,457,9468
-124,80,75,-553,2383,8746
