AccX,AccY,AccZ,GyroX,GyroY,GyroZ
16,35,119,5096,-3604,-4692
-52,-98,124,-1755,-2806,-8665
-61,-74,73,3407,-10746,-10089
-43,-64,-49,64,-12458,-6146
-110,43,7,5039,-6777,-1865
71,-98,118,1294,5877,-3075
-115,71,126,3240,15236,-10785
70,41,-8,11294,4107,-3728
105,-66,-46,-3425,-3626,7292
-98,90,80,-7212,-3290,6022
-48,28,-64,-5292,-894,2696
-122,83,47,-4106,-5795,1354
-21,-101,-91,-4121,-3594,2349
-97,70,106,-576,-2136,5845
-64,-54,-54,-780,6686,6558
53,-60,94,2411,5943,5383
-124,118,51,1109,7008,4434
31,9,75,-1494,2875,5038
49,-28,6,-11270,3081,5039
-76,-98,-70,2176,-3694,2541
124,51,-18,9197,-8394,6731
2,-100,-14,-4750,1340,1110
-71,126,-41,-1098,3385,-5371
50,13,102,435,433,-4894
-128,-125,59,-245,1597,296
41,20,45,126,-690,1108
38,113,68,720,-685,862
116,-112,88,-262,600,314
-93,-57,93,-1478,189,-92
-87,-38,94,-2082,347,-778
-95,-31,-126,-2230,739,-1242
-84,-89,-79,-1275,1190,36
-123,-83,99,894,-98,292
-99,-28,60,1341,-680,159
-66,-7,95,190,-269,-4
-56,-14,97,-345,260,-61
-73,-20,78,-264,-11,14
-85,-17,80,-52,-276,100
-81,-9,100,125,-255,148
-66,-4,117,271,-136,199
65,-1,27,5384,-2054,-4945
93,85,84,1141,924,-8372
-95,93,28,4902,-8913,-7869
-18,4,-64,-1661,-11301,-4188
62,76,7,-3508,-12006,463
57,58,-21,604,-7991,1209
-71,36,-73,833,13661,-3242
-4,37,-87,9761,10955,-6227
-6,82,-37,10432,7316,-5987
-5,2,60,-789,-5347,-2461
24,-47,77,-4255,1025,3741
-8,-100,-105,-2973,-6026,4772
80,62,-99,-7697,-6031,2432
-119,37,-103,-9783,-450,3654
-86,71,13,-3704,-1597,2659
-125,32,-108,3125,1725,5170
124,84,42,4288,5389,3635
-64,94,6,1267,6772,3603
75,-52,116,-299,2182,6346
-22,8,42,-3211,628,4552
-53,22,108,-2992,1866,4541
105,-122,-48,1598,-4856,5414
25,-58,94,-2309,-2470,3754
46,-92,-47,597,3351,-3280
-126,-95,103,-2458,1995,-3880
42,92,37,1871,551,-922
-24,-66,-105,2701,-1803,-308
-21,-40,-85,1073,-176,763
14,43,-114,-1212,1032,645
56,90,-116,-1799,104,513
105,109,-126,-1274,-71,587
-118,-110,-48,474,292,-408
124,-101,-68,-632,243,-506
94,101,126,-60,-117,-151
86,98,124,575,-120,-51
100,112,111,292,143,77
120,-123,96,-530,175,172
-126,-97,93,-573,62,84
-114,-91,94,-120,91,-75
-122,-91,95,78,-140,-110
92,114,-112,317,2811,-7758
-111,-105,-97,6921,-7696,-7177
59,74,-100,407,-9895,-5398
-80,113,-71,-4974,-15291,1214
-42,-2,-69,-4955,-10697,2702
-113,-6,-112,2861,6022,-1645
82,-23,-125,6438,7530,-6815
28,108,-64,4547,9288,-8055
29,26,21,9269,7537,-8175
107,-65,22,3307,-16447,4534
39,82,124,-10442,1975,6986
-107,100,126,-12166,5081,1213
127,-66,-32,-5784,-452,-54
-3,-50,-107,-7389,4512,1604
121,54,5,-8335,5718,6127
-9,-57,44,4860,-3273,6300
18,-114,91,847,-589,5130
85,53,8,-1944,530,5461
51,-69,100,-4484,2285,5622
-74,-45,-127,2777,-3693,5360
-10,88,21,1513,-4907,5192
110,42,66,2947,765,-3366
-118,-69,33,-5221,6142,-4895
118,-48,-26,-3020,3186,-2058
59,-68,-52,-2354,-659,419
14,74,-40,1363,-994,595
86,-106,83,853,-682,341
-107,14,-26,-4299,1563,-762
-67,-33,121,-2799,1749,-148
-110,-83,-122,384,-356,-166
-114,-65,70,551,-235,-269
-103,-63,74,807,-323,95
-106,-26,90,419,-299,187
-89,-30,78,361,13,157
-80,-13,89,327,-410,92
-83,-12,103,-135,83,-65
-75,-12,112,-191,9,-48
-71,-14,112,-359,216,-102
-73,-15,113,-278,98,-84
-75,-23,102,56,105,-33
-48,27,-23,-689,-966,-10883
107,28,-7,5650,-8348,-8900
9,48,-31,1966,-10547,-5810
2,-30,34,4127,-6787,-899
123,78,-64,233,7467,-2967
114,68,58,4039,11292,-6648
