AccX,AccY,AccZ,GyroX,GyroY,GyroZ
5,56,4,-1289,3943,-1828
90,-38,14,-1927,2785,-2232
-96,-15,27,-4953,1966,-3253
124,114,-71,-4367,4158,-3568
67,-80,-92,-5055,3133,-2794
-59,77,73,-2755,2277,-2054
44,31,-115,-2456,1676,-1468
-29,118,61,-1103,906,-670
52,44,98,10,-326,-285
86,-109,29,887,-1849,1138
-121,44,-44,2433,-2366,1925
109,6,94,5495,-950,2647
-4,-63,79,807,3452,-2156
-30,-79,77,-3830,3497,-4801
-128,-118,-33,378,428,-291
11,-54,90,2261,-1266,-383
101,-102,-117,-3905,-2471,-191
-36,-76,-102,9023,-3387,4588
8,-101,-72,13398,-1660,11082
122,18,29,-2978,-4779,2507
-118,32,-23,-320,-8117,3098
-7,120,39,775,-1045,-1163
115,-39,-85,1722,-937,1319
59,-21,112,170,-1003,857
-60,-10,57,2638,82,1704
96,-59,69,-2061,707,-1132
117,47,96,-1237,1478,-823
-114,54,54,293,1070,-170
-81,58,81,-424,121,-99
-98,115,110,-875,-150,-718
-34,88,61,29,491,-128
-63,97,95,-908,-254,-302
-58,104,45,128,78,57
-63,-126,79,-449,-68,-87
-65,-106,70,-307,-265,61
-59,-78,91,-180,-232,60
-69,-75,94,-171,-64,9
-73,-81,85,-132,-88,33
-76,-80,86,-213,-138,37
-65,-78,85,-26,-49,120
93,-63,8,-3414,2121,-2487
14,-105,-92,-2100,2958,-1654
-105,-35,-14,-5750,3128,-2279
126,-40,-40,-3775,3742,-2356
50,-79,118,-4289,3395,-2680
-108,65,38,-4761,1733,-2686
50,77,98,-1522,580,-431
124,18,-95,-348,-255,569
-17,98,69,-1357,-766,483
-35,-119,-41,-376,-1154,555
126,-6,27,1239,-2067,2115
-4,-80,-65,5786,1182,3557
73,-86,124,-2850,2156,-3782
91,-15,92,-321,2202,-2650
-7,-75,-33,240,681,-835
65,72,2,2959,226,50
-12,-78,1,148,-1093,679
-11,-62,0,3949,-1290,2997
42,64,28,3510,-2167,3825
127,-126,85,2845,-2105,4531
-96,-56,58,2550,-2195,4316
-10,63,-117,62,-2354,2522
84,84,-122,1398,58,2649
59,124,-49,-1437,-3409,1707
-74,20,11,-144,-2425,1491
1,84,21,1499,-2977,2400
-75,-83,-127,1021,-2292,2183
-116,-72,67,2594,505,775
73,-12,98,-997,823,-893
82,-87,-28,-3858,451,-2313
-81,83,49,-2511,883,-1384
-66,68,-33,965,335,705
-60,82,70,555,268,433
-58,-121,83,694,786,117
-109,-106,-121,-872,-20,-1095
-28,-111,111,-763,282,-880
-18,119,75,-607,202,-458
-63,125,53,-141,-265,-85
