AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-125,15,-109,-5029,-1542,-3206
35,-110,29,-1613,-1449,-1879
-31,-33,81,-6810,-1138,-1833
-98,64,-42,-6131,-2685,-684
-116,66,118,-7801,-2225,1038
-69,59,-119,-802,262,1276
-76,-20,-9,-2938,-1318,-1412
20,65,105,6965,-5997,1846
-33,-104,107,893,1264,-1252
-51,-116,-101,-598,6791,-2139
6,33,-7,-627,1727,-1180
-80,-92,118,3136,140,-1093
17,-84,-61,3128,-153,-564
-32,99,-97,2580,151,837
-28,84,-48,2768,395,2709
-72,7,50,2113,-2397,2905
-69,97,-63,4847,-1778,4527
-110,127,-53,1904,-2611,3567
-24,1,103,595,-2930,3202
-44,9,-84,853,-1616,2398
-122,35,-25,72,-2768,2506
106,-10,112,-1247,-2724,1768
-45,45,3,-4591,-5016,707
-72,-50,71,-497,-3187,390
-21,68,82,436,1175,-573
22,104,-14,1202,3662,-607
4,-50,15,-764,1461,-675
26,-56,-63,-1661,598,-1094
106,-93,92,-879,848,-1039
-102,-91,69,-870,1203,-990
-80,-75,41,-668,1113,-942
-84,-79,17,-269,835,-940
-84,-84,27,-212,258,-723
-81,-79,44,-455,-337,-509
-78,-74,50,-274,-777,-158
-82,-71,55,-98,-801,151
-101,-56,74,34,-1115,296
-116,-32,122,-233,-1285,413
-125,-5,-117,-143,-734,290
117,6,-94,-466,-431,-46
72,116,-66,-6072,-722,-2507
64,96,-92,-6477,164,-1951
44,-46,-105,-3509,3817,-759
49,-55,-6,-6452,854,447
-121,-6,-123,-6528,-2612,1623
-48,23,40,2805,-1702,797
-81,112,-113,-4388,-3660,-3582
66,45,33,13162,-5794,3534
-70,-92,108,-10795,3266,-4827
-88,-123,-115,1813,10521,241
-128,-104,-57,143,1326,-1112
-95,105,-108,9476,-5102,1484
-100,52,-31,1681,-3490,-2421
-76,40,-86,6768,13,1021
-71,77,42,1072,-373,1847
32,-95,-49,1269,-3365,2469
-124,-34,8,3136,-1626,2172
-125,-119,-24,-143,-1279,716
4,41,-54,752,-2369,1855
31,-71,-37,-878,-1982,1850
-15,-73,-20,-1288,-1452,1203
-75,-104,-15,1026,-448,1048
47,-42,45,1507,-1554,994
27,-47,109,-3153,-2257,-735
65,-123,-87,-1103,-28,-700
37,84,115,1313,456,-883
55,110,-111,1094,457,-441
62,-74,-78,1,65,180
56,-54,-89,-2300,-308,-535
79,-68,92,-823,-1,-543
108,-75,83,-502,382,-541
110,-54,71,-725,413,-651
-128,-33,69,-993,63,-678
-110,-29,61,-390,-130,-386
-112,-30,60,-267,121,-246
-116,-12,60,-582,77,-319
-112,7,41,-483,-169,-260
-119,24,50,-521,-583,-190
-126,21,65,-426,-727,-272
-104,-7,78,78,-255,-29
-66,57,-108,-5124,-690,-2217
99,-64,96,-10353,-125,-1761
-30,-2,31,-1933,2435,741
74,-125,87,-10522,-3113,1230
-44,-36,-76,-72,-899,2408
108,92,-124,-13980,2666,-8716
-46,-9,104,31360,-8032,8499
78,-106,16,-23160,1298,-7989
89,-4,-12,2828,11573,2178
-70,-110,4,5366,-2199,741
-110,3,90,1929,-1865,-3325
86,3,1,584,-2691,-1054
27,-25,53,4768,-451,1025
77,-73,-65,4768,-3845,829
-72,85,-74,1606,-2228,873
-91,-51,10,2352,-2316,77
-15,-34,23,5157,-1200,1335
-95,-79,9,-1,-2587,760
-16,-103,102,756,-1979,1334
-22,111,79,463,-1284,1232
-100,-74,7,1958,-899,680
84,-98,64,-251,-979,-481
68,-120,-10,-421,-182,-491
72,103,-84,-356,696,-297
61,105,-91,-291,316,-455
88,108,-128,2,332,-242
96,-114,-104,-863,-73,-476
111,-84,125,-1563,-303,-603
122,-79,95,-1710,-236,-703
127,-62,57,-1201,39,-585
-115,-30,45,-944,50,-482
-120,-8,58,-767,-347,-301
109,-4,57,-627,-350,-322
121,5,55,-632,-52,-233
-124,30,54,-480,-217,-97
117,48,60,-303,-461,-154
119,50,85,-410,-385,-175
-128,50,90,-419,-134,-183
-123,46,81,-110,98,-165
-112,33,77,301,286,-132
90,26,-111,-5500,3972,1980
127,-48,-71,-10382,-1090,1983
-119,93,-104,1225,709,2004
38,53,-33,-8586,-7430,-5114
96,-103,-113,16397,-4083,1382
