AccX,AccY,AccZ,GyroX,GyroY,GyroZ
22,-41,69,-4538,1728,-1086
35,41,65,2369,2150,708
-67,-60,-118,1010,1140,144
19,62,73,-7078,-162,-796
-118,31,-120,-5043,-410,469
-26,-37,90,2869,2518,111
14,107,-63,6766,4838,1344
-102,-41,98,2462,-49,-961
-123,-99,-103,-9359,-1016,-297
27,64,-124,-313,1023,2108
-115,71,-102,-941,2277,-594
44,40,79,-4231,-3424,-5683
-58,-5,42,7362,-855,5413
33,120,57,-1618,1645,-1761
72,-72,-25,-2500,-756,-2207
88,-52,74,877,2264,-879
126,-34,-91,-4772,-3682,-389
-117,117,76,4738,171,-1716
43,103,126,7215,-800,799
-6,5,97,-897,-4821,1019
5,-118,-53,2443,-3984,57
-115,-105,-23,5400,-2151,833
-83,49,-68,-286,-1365,609
-113,-111,-11,-488,709,-40
-86,-83,-55,628,273,647
-51,-63,-84,-955,-730,699
-8,68,-58,636,-1545,1970
-48,-42,-67,-157,-925,149
-64,-75,84,2242,658,518
-95,-115,-114,1443,742,534
124,-109,-68,-2001,-728,-212
-111,92,34,-949,-173,-654
-56,100,19,1204,973,98
-46,118,-99,-434,-57,427
37,-56,-8,-2282,-311,-142
-79,73,-29,-1405,2922,-203
52,-96,56,-1166,2037,-992
83,-35,70,-2516,194,-1735
-57,86,-106,-2802,1455,-491
125,-75,-62,-5556,912,-677
-43,16,4,1547,4731,-1646
-54,64,-52,9128,5818,2308
-45,59,-65,-11688,-1305,-2660
39,98,-29,736,847,3018
22,1,80,-9552,-3700,-878
37,-47,51,-9807,-8898,-4656
-39,60,75,7033,-320,-128
92,76,-102,18827,16243,11771
-51,-123,12,-19501,-8240,-8510
5,49,-55,-5585,-4844,-2397
67,-109,-40,5392,3176,1496
64,-125,-123,8771,2504,-9
-71,50,-96,607,-2657,-728
-106,60,49,-2567,-2958,-1027
25,113,114,5002,-1082,1359
-113,-106,1,4692,-2041,2539
-120,-60,68,638,-2620,1015
-100,-26,0,2518,-512,1346
-97,-30,48,-594,-1145,1414
-19,-8,-70,203,-1009,1371
5,40,-19,923,-1333,935
1,-86,-61,371,-2345,-147
-7,-54,98,4476,494,2022
79,-118,21,1765,37,1161
21,41,22,-3817,-1002,-1553
-93,30,32,-500,837,-714
-78,65,75,-132,580,490
-114,43,-121,-4109,-1423,-692
-89,79,-89,-837,466,-506
-95,77,-102,1990,1733,-70
-103,70,44,60,-328,185
-98,96,49,-988,-773,337
-99,108,-4,178,83,191
-90,99,27,144,3,39
-87,115,41,-226,-60,140
-87,117,44,-774,-356,103
-95,120,-1,-15,-20,113
-90,126,29,-529,-299,-31
-77,121,2,103,143,106
-82,-124,31,-402,-169,42
-103,-108,-104,-8871,-886,-1684
125,-14,-28,-3899,-992,-1132
-24,-73,-74,6414,8599,3369
-107,113,115,-3280,125,-3862
-109,-103,15,406,5175,-2885
24,-56,122,-5420,3564,-3521
78,-77,-79,-1842,400,1770
109,-45,-43,-494,308,1258
-117,-107,-110,-8480,-4571,1677
-39,112,-78,-12049,-8933,-5832
-101,29,-68,7474,-450,-5001
36,127,7,17398,16255,10780
-18,-65,-83,-17833,-8515,-6805
-124,33,-22,-12244,-6837,-4845
-51,104,-90,7696,6281,6638
22,63,-62,4449,-3938,-7941
-64,-20,37,11030,3023,2101
17,-2,59,3050,-3119,-504
-45,47,91,-2085,-3121,2755
-37,84,-80,3802,-2241,890
0,20,21,3204,-644,1754
-9,91,-124,-1267,-2978,1944
-104,-109,54,-1296,-1309,-1611
-121,-58,-112,4601,-593,3616
-78,-43,-61,612,-688,63
115,124,65,1832,1266,-348
95,-127,85,2052,1823,77
101,87,-74,-2945,-3,-811
-112,80,41,-3581,-1070,-856
-91,90,-87,-84,537,-88
-88,64,-39,425,253,-95
-83,73,11,-138,-83,-158
-74,87,11,-427,-19,47
-69,93,6,-707,-293,193
-81,93,-40,313,121,180
-80,99,-3,255,-46,257
-79,100,3,495,83,225
-77,102,7,654,488,123
-70,112,40,-530,-145,106
-75,111,12,-528,-186,13
41,-119,-68,-1929,4858,2880
-61,-4,125,-4130,-92,-3161
101,117,-53,105,1519,-961
13,-105,69,-2500,635,128
29,-20,90,-194,684,-1482
-4,-42,120,5858,6234,-2204
-36,-28,66,-6837,-130,-5270
-26,46,-50,-734,2827,474
-108,121,106,-4016,-146,1114
95,127,87,-6203,-1711,2285
-7,-116,19,-14817,-9884,-4546
-66,119,70,4630,-712,-4871
120,109,44,19881,16267,8690
62,9,-79,-18103,-9605,-6820
-82,-75,-35,-6202,-6205,568
-115,4,116,11610,6566,1173
-94,-105,-45,9258,-1020,-692
105,-106,-64,-1123,-5551,473
-89,105,-31,60,-4753,-1745
-104,27,99,7090,-2005,1090
-95,40,40,646,-1796,1560
-44,80,0,322,-383,1465
-29,125,-85,1720,-36,2858
-65,48,-71,-105,-759,1018
-80,-99,60,977,-911,-291
19,-23,29,2804,369,1500
-53,-76,111,1455,-490,999
-101,-113,-99,451,-857,652
92,125,-121,-762,57,51
102,70,91,-2344,69,-868
-104,69,-24,-909,1090,-565
-91,58,-35,-565,676,-417
-86,70,-28,-57,56,-29
-106,121,26,-1399,-994,-8
-100,-127,12,-2067,-1040,-259
-83,127,-92,220,470,59
-93,126,-23,-158,-220,70
-94,-125,-37,452,83,160
-79,-121,-5,144,6,294
-96,-95,6,-170,-215,278
-114,-61,-85,-1312,5789,888
-31,-4,78,-11300,-3654,-3389
69,77,-102,506,-1267,2128
-25,40,105,4717,4606,1189
25,-51,-102,-1121,1905,-2199
-44,-43,-126,75,2026,-3165
-79,-27,-26,3510,5038,-2368
-31,-83,-49,-6757,1220,-1869
-124,39,-49,-2432,2548,-206
-52,20,24,-3631,1432,3220
