AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-61,125,-60,-5429,1559,-224
83,106,-9,-7741,1657,-515
126,-11,48,-5187,2223,1279
-28,62,-88,-14016,-4013,-614
28,-112,-88,-12307,-2879,3357
104,51,-85,-2883,1897,10241
83,-64,14,-2556,382,5700
29,-46,121,3385,-1400,4981
7,104,-98,7075,-2363,2167
-96,-127,-77,4220,-5642,-2733
120,-125,27,19358,-9326,-4431
114,-22,68,1008,-11663,-9919
-63,81,-6,8631,-1704,3919
35,87,20,-10690,475,-4262
10,-39,43,1198,3002,-20
-60,-61,21,-1164,-1621,-617
63,-24,99,562,-155,-539
-97,60,97,74,1640,-76
-77,11,20,-52,316,-805
112,100,29,6092,-634,-115
-101,-10,-121,4186,-2954,2021
98,-40,27,2745,-4836,1595
-12,2,97,398,-3672,-805
-92,-71,65,6739,-1491,252
84,125,84,2721,-2986,802
84,32,10,2903,217,1164
88,112,-115,2908,2097,382
-28,78,-109,2504,1201,38
16,18,-72,1316,437,239
-6,34,-37,-718,-488,223
13,-63,-119,-253,-754,-383
61,-102,97,453,428,-246
86,-71,-102,-1407,352,-433
123,-52,16,-1215,1006,-484
-106,-25,-39,-1036,1040,-704
-83,13,-84,-571,1021,-534
-78,51,-93,-1682,284,-733
-68,83,115,-1814,-71,-706
-43,111,68,-1105,186,-544
-31,-120,54,-349,480,-318
-73,-95,86,-5295,1041,-1751
-16,127,23,-881,2919,662
63,-72,-98,-4866,869,-517
11,-105,-51,-5097,1536,28
-122,-94,16,-6329,935,-76
-120,-82,-55,-8549,1604,-183
84,-85,123,-8912,-28,-223
-112,-63,120,-6444,-175,1488
63,-16,-77,-13924,-3485,3121
-13,-113,-104,-5719,-1657,7847
-102,-68,-92,288,321,5749
20,-82,-110,6572,-3077,2372
45,-50,-45,3859,-2391,1595
-116,-12,55,9107,-5009,-356
119,51,-29,9575,-10105,-9385
106,-31,63,5095,-9472,-13980
-91,108,122,-224,-1934,-2335
39,102,-82,18812,1305,1378
33,18,21,-15313,-2411,-5380
-128,39,90,9377,465,1074
-38,-24,-25,340,-3383,-3119
-79,-70,-95,3328,-1737,-1811
-54,-34,-111,5666,-458,-622
-102,-32,5,3883,-927,306
98,-15,27,3503,-3766,-767
90,-78,-13,4595,-2125,662
4,36,89,1654,-641,-331
-91,23,-47,2321,2038,209
112,-36,-100,1430,2815,-138
62,-18,46,3488,3583,882
-19,-77,-94,1020,1756,-68
23,-100,123,1148,1066,135
59,123,-118,136,672,-296
-119,-125,-124,119,434,-437
-85,120,118,-157,313,-474
-67,114,99,-833,162,-742
-28,-110,35,-1332,-265,-461
-44,-86,-32,-1602,-685,-644
-23,-67,-112,-127,12,-208
-38,-25,-78,-297,148,-302
-38,-47,-50,3471,3987,2211
-88,112,-38,2164,3748,1009
-107,-58,-37,6045,6164,3250
-39,-58,66,2034,5511,617
8,-115,-100,3362,6044,1004
-60,-76,-84,-604,6329,-77
-13,96,10,721,6389,-359
-46,-81,94,-212,6356,-1292
-33,-36,117,1168,6970,-859
-98,13,34,4920,3023,-1582
11,-43,119,-6155,1570,-2874
100,-83,-103,10309,-475,-1711
-68,61,-127,1718,-632,-3572
21,69,27,7123,26,-1897
-26,31,-52,7850,-1453,-623
49,-74,-28,-943,-4014,-5547
-112,-55,-65,12448,-1891,-294
4,85,-82,9889,-6096,-1169
40,-71,62,-8119,-15179,-7463
64,-15,-19,-3076,-3168,-9453
33,-112,120,8866,6044,-587
9,60,109,8622,685,2082
16,34,94,3254,-6434,95
45,0,-51,3522,-2243,-920
-126,-49,-40,87,360,-713
104,-16,-80,3373,-624,1382
-58,87,29,-1470,-245,-1448
-16,86,6,4398,2534,1290
111,-122,-104,1394,-10,510
94,-124,-109,-766,-1176,50
-104,100,89,-1254,-1091,-355
-40,81,6,-194,6,-291
17,83,-63,1886,1684,309
4,88,5,808,1433,-175
