AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-24,89,110,2062,6052,1233
99,-126,-89,-139,7925,-1785
-3,6,45,-1560,7165,-2686
-43,21,-44,-1867,6407,-3188
93,71,45,-2715,5002,-3332
86,110,-15,343,7148,-3114
13,86,65,-5526,4683,-4507
-107,-11,95,-8910,985,-1565
18,-92,-111,-3416,1670,581
-35,-83,-70,-1390,-1768,-968
-87,-73,94,-3477,-7324,-19051
-123,-11,83,10954,-16590,-30666
-98,-61,-39,21495,9621,13510
-3,22,-87,18539,-563,11740
65,-111,-121,-21714,1531,-12714
-8,48,-24,6385,1060,1434
77,-85,-67,3639,514,380
83,106,22,-3312,-1642,-1956
-107,15,-41,4612,-119,-302
89,-114,-66,4941,999,723
-71,-128,76,-505,-1967,-314
71,-101,75,4735,-1126,2760
37,-91,9,1511,-1618,1880
44,-63,96,567,-1012,2736
-93,7,56,-802,-4295,1417
-34,-67,-7,1114,-2314,-238
9,4,-80,-424,-2672,-629
56,-48,-16,-1999,-1380,194
47,-83,-88,1947,-1339,1359
58,-52,7,1810,-1565,1412
68,-69,22,-579,-724,-208
72,-101,-103,565,1471,-167
69,123,-97,-730,700,-457
102,-119,-111,-847,-384,52
97,-101,122,-548,-497,236
102,-103,113,-505,-7,-233
127,-108,95,164,489,-46
123,-94,120,-454,-9,6
120,-80,109,-737,-277,-62
-118,-86,89,-184,68,29
-95,-122,47,-208,6324,-952
87,46,-16,-1256,5992,-2726
110,-82,72,-1050,6210,-4220
-67,127,110,850,5995,-4923
-69,90,-104,-4192,6688,-7788
43,-69,65,-11065,5189,-6515
-10,15,-80,-12573,2532,-2285
-116,56,88,-5234,-2093,-1144
127,120,-52,9666,-6943,-10334
11,-55,86,13852,1685,-3355
-46,-92,20,-1983,-21260,7903
92,16,25,-6502,7467,2358
41,88,47,17006,7597,1208
-57,-97,68,-11617,-3620,-4284
-117,94,-59,-2845,-3622,-280
-127,79,74,4883,635,-257
76,-128,-50,8008,78,2943
61,-121,-75,2722,-3038,1950
88,0,58,262,-1912,2941
-16,-20,33,976,-2492,1712
-51,-85,40,1418,-3242,2084
-41,-10,-13,83,-4003,1950
-14,-19,-67,1639,-4575,1987
35,30,-51,-10,-2536,281
90,-99,28,-1055,527,-861
26,-51,-55,1933,1020,874
25,-121,24,-3252,-991,-494
64,-84,102,-1580,-540,23
77,-95,58,-32,520,111
73,-101,96,-761,-124,-211
98,-106,73,-344,-188,-91
105,-121,77,216,-26,157
103,-117,107,97,-3,158
108,-92,122,-159,-43,237
105,-84,112,-374,-179,146
107,-85,88,-14,29,98
117,-78,99,-280,-65,1
