AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-86,-96,-96,-1270,11057,1255
-30,9,58,-9644,5021,2599
9,-55,25,-18599,-5330,-1353
-117,56,-82,-13509,-9112,-2098
67,79,-10,-26833,-12011,-4067
33,-72,-13,4914,14012,1455
-109,9,-44,-14985,-7980,-2605
93,46,-33,8629,-11698,-25614
65,-115,-101,11712,7134,13831
-60,-59,19,4982,5921,-4210
-85,-100,-117,-2889,17267,-7537
-122,22,-61,19733,-14120,-19866
-63,103,-124,-10560,18966,-25725
-9,67,-41,-3792,-17493,-5729
-20,-71,42,-10571,-1597,-10624
53,41,2,18101,2525,7362
-22,-100,70,-4223,-3319,-1443
12,7,-70,-11415,-5257,-5415
107,115,42,5433,1241,3355
-38,126,89,-205,439,2352
10,-29,-87,-5439,-2757,575
-41,101,30,-4076,-3042,1663
-82,84,-40,116,-2444,2387
-118,122,94,-1516,-3037,2667
82,-66,-93,-419,-3382,2465
-121,124,-99,-1535,-1454,1022
-29,-88,-21,-740,-2509,1329
-9,-96,-40,-361,-525,1136
4,104,13,-387,-820,-219
59,101,-51,1530,736,532
40,60,-8,-163,442,-408
63,67,-69,497,605,-187
80,45,-69,-382,84,-254
71,48,-110,-121,-268,-387
105,54,-126,72,615,90
105,36,-122,185,93,-102
111,31,-122,146,12,29
125,24,-127,585,339,123
-127,43,-68,-68,-93,-12
-123,45,-94,176,-9,-43
77,-27,-83,2105,5442,943
26,-3,-33,2127,12546,145
16,-9,109,-8746,14420,2266
-127,111,88,27883,-17910,-2921
22,24,-119,-2679,-30449,28669
-66,9,20,-15232,11403,10299
-118,60,122,-11955,-2248,14903
-120,100,-91,12330,-18562,28043
73,-9,26,738,11613,9782
-47,-47,-60,4606,22742,10069
-49,125,-46,-7680,14161,-7487
44,-111,-84,30763,-12433,1618
98,113,96,-31785,-14503,-6109
93,-74,-13,13161,580,569
23,64,86,8000,1699,-6070
-86,-9,-57,11814,-2166,5468
-104,99,43,-7130,-4673,-3840
119,-9,-116,-10499,-4958,-7389
7,4,-31,5591,2274,3355
106,-87,66,2015,505,1956
-74,-109,-44,-3935,-2139,-168
-128,-23,7,-2058,-1369,1979
56,64,73,-2250,-2783,2801
-86,97,113,-2557,-4275,3206
-87,-126,105,-2485,-3547,3709
-96,-106,-72,-1164,-3005,3419
-74,108,2,-1634,-2268,1649
-25,102,-14,-563,-1097,848
25,125,-55,625,-331,1653
-26,60,-9,-649,-2149,-238
51,50,112,2246,-308,63
-128,55,-65,2080,974,631
90,9,30,-1260,-1013,-621
120,4,112,419,-172,-39
-123,-21,50,2282,585,675
125,-41,-110,1090,-28,409
115,-48,-104,-86,-159,-206
-100,-56,82,178,175,32
-98,-54,70,446,363,176
-95,-57,82,244,226,-48
94,98,62,2304,4786,1703
-128,127,50,972,5818,-316
120,-65,-80,-1722,9067,-2129
34,-104,43,-1811,14854,-387
-3,60,73,-32150,-12955,-3894
119,58,90,-11780,-6680,8851
-32,-79,123,133,6695,7618
55,-66,-22,-4281,9490,-1125
70,68,88,-25887,-9283,-15449
94,44,-97,1263,-7520,-12005
19,-74,91,2925,18820,18014
-97,83,-97,-2258,15699,7062
-44,64,37,-19580,1734,-6322
76,-50,21,10246,-10588,15267
78,100,109,26896,-21456,-5528
-30,30,-117,6691,-288,-854
-61,-32,88,5807,454,-13754
88,12,-24,14677,189,10729
-11,127,-108,-16234,-8522,-4616
93,120,55,-12138,-5097,-4180
73,-99,63,4032,-661,2482
-21,-81,-66,-424,-894,3414
-12,-15,91,-2494,-3317,2436
100,81,81,-2036,-4679,2645
91,112,108,626,-4473,3392
74,77,-26,-130,-4316,1758
-124,-124,22,-918,-3149,823
-53,102,-113,1979,-220,636
49,114,-23,2630,1148,1428
55,98,35,819,-405,1124
52,116,-39,1087,-126,1706
3,44,-77,306,-162,405
28,26,120,863,538,107
46,-9,124,149,399,-334
88,-34,82,-339,487,-522
119,-27,51,203,499,32
125,-31,42,674,466,201
-128,-36,80,36,24,-215
-104,-39,54,168,176,-66
-101,-44,47,288,113,63
107,62,-21,-612,6474,90
86,-59,77,-2129,7188,-4158
94,-30,-43,8589,14272,567
-97,-11,20,-6802,13086,-1602
19,-70,-117,23526,-16975,-861
112,-20,-62,-1625,-15752,-12177
-91,-54,76,-16316,-1042,1588
95,-44,-53,-19995,-7458,-863
-76,80,36,5260,-11709,-27356
-55,-106,10,18561,27259,30280
51,-69,-70,-6102,12830,-15247
94,-51,-101,-19828,5105,-5568
40,-92,-65,2976,-24006,-1560
22,56,-45,-24640,-1783,-29176
-39,35,103,27008,-25662,30472
-49,46,118,-30206,22473,-7409
-14,-97,-29,11814,1379,28377
77,115,32,-24454,-10601,-13038
47,-75,-40,-18353,-1304,-10439
-83,-90,-51,17890,1650,9918
-96,-54,-82,-1853,-1661,109
29,-37,125,-6768,-3340,2549
121,94,-57,-2452,-4517,3764
57,125,0,-2316,-4250,3539
91,121,71,-123,-3478,2981
-111,-74,-84,-122,-3043,2888
-95,-89,20,5,-2761,973
-38,-116,-32,1163,-930,-183
29,-91,-78,3060,1228,1165
3,82,-2,-1,418,-180
14,76,-122,1499,918,352
48,19,-94,189,470,8
44,29,-118,-384,134,-85
70,13,98,-833,191,-394
114,34,41,291,642,128
113,19,60,25,575,-192
-122,11,44,493,695,-68
127,31,71,-75,300,-30
123,11,87,-362,-387,-642
-84,12,34,534,303,225
-64,-118,122,5846,8574,5198
-48,11,-67,-3639,2187,-8323
-23,17,-97,9010,14635,420
110,-128,-55,-18788,8628,-3251
-33,-110,0,-24812,-7641,-8016
92,106,-71,29962,10692,12304
-105,21,75,-4464,4202,-2253
43,8,60,25962,-18842,-1128
-55,-102,-59,-29845,-6067,24754
10,-63,-78,-7933,20828,29481
-67,-83,126,-325,20492,14500
50,-124,-49,-21166,3882,-17252
-3,25,67,20311,-17499,1071
-22,-22,112,20779,1757,-30031
