AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-83,-19,-42,-5129,-2223,285
-31,105,-45,-3605,-796,1085
-51,115,-82,-430,1056,836
-82,106,-122,2808,2400,39
-110,-108,-74,-424,1718,-558
-117,-65,-43,-4729,562,-1240
-55,-83,84,-2640,884,-681
-72,-128,64,421,1263,-358
106,114,80,253,904,-762
68,105,74,-274,234,-945
-116,-105,118,-1103,-1141,-658
85,-80,-82,-1507,-2353,-687
-46,127,33,-1745,-2987,-1373
126,-103,-105,-3341,-943,-1773
-13,-123,-117,-3444,2009,-2257
-63,30,35,-101,3479,-2742
39,-55,-11,2364,1873,-2777
-44,-110,56,-1536,-192,-2932
-118,27,-20,-1989,-842,-1416
73,-52,-81,-213,-875,-130
23,-56,-71,689,-1088,508
6,20,5,-141,-1860,952
124,117,47,-492,-2255,1369
105,30,112,1555,-2621,2760
94,-74,28,1,-3622,2583
35,-89,77,-2607,-2780,1173
77,73,44,-369,-190,993
71,56,7,465,1568,512
42,-119,-39,-954,1788,380
43,-51,-117,-2503,1462,162
30,-66,91,-1820,1068,210
29,-86,60,-899,1157,-69
62,-88,35,-811,1716,-307
72,-74,-26,-959,2347,-853
104,-70,-107,552,2420,-1070
-35,118,124,3154,94,-1351
76,42,-7,561,-3089,-2886
-87,21,118,-5238,-2758,-4172
-98,-79,14,-2967,1505,-2087
121,21,3,-427,1847,-2457
18,-2,125,-4059,2637,-655
70,17,29,-3230,2879,-1054
99,-48,-112,2021,3733,-920
77,-99,67,2405,3536,-1833
117,-124,56,487,2802,-1943
118,62,45,-821,1424,-1583
79,1,4,-787,-74,-586
68,22,44,-418,-938,281
84,-22,35,630,-677,1039
-58,37,106,1493,-958,2577
95,86,-48,2482,-2217,3245
-67,-47,-63,19,-1552,1029
107,21,95,-484,972,1199
1,-127,-98,-836,-33,1761
-120,94,10,4232,23,2876
-37,-29,14,4046,-168,479
17,-67,-109,1165,-1024,492
88,-52,-56,-1066,-1309,1488
30,-91,-90,431,-1354,802
6,87,-109,3148,-559,315
64,112,83,198,-552,-673
-35,-31,86,-2328,-56,-270
-110,-57,46,-1289,-575,-88
-42,43,-128,14,1732,-1343
29,-95,115,-2570,3964,-2505
74,64,67,-2460,4283,-1052
-9,17,-51,2658,3330,-260
-83,-60,46,1722,2107,-1451
-92,-74,86,-273,1477,-1529
-81,-83,61,-1446,667,-942
-71,-110,18,-632,19,160
-36,123,-10,669,-244,1541
-28,127,42,1227,-1075,2939
-57,116,47,1307,-1124,3308
18,-108,85,1525,-1530,3758
-40,-66,-35,1499,-2656,3981
95,125,-59,2193,-1315,3233
0,124,-116,3084,1304,2468
-106,97,-107,4129,1960,1610
19,22,-74,4032,1569,1108
123,-92,79,-1273,-7287,391
102,-53,12,626,-2658,611
-11,-15,-62,1731,3485,-134
-103,118,120,-1107,5785,-1878
10,-61,-29,-1986,4680,-490
96,-67,35,150,2261,108
61,118,-15,259,1323,-1147
-115,-123,-25,-444,1479,-923
-34,-84,-75,-1104,1397,-405
-12,-90,106,-215,1253,-239
-16,-96,76,1605,1169,65
-53,126,-106,1737,486,-309
-46,88,-45,1404,-300,-229
-7,53,30,764,-1233,329
73,55,75,-60,-1823,1504
-37,-95,79,-62,-2029,2662
111,-15,-85,2758,-3448,3408
-117,32,-19,3560,-2898,2064
-87,124,-27,-165,962,289
83,-10,-112,-2864,2906,-54
-126,53,-119,1565,3126,1336
105,-89,-126,6437,1078,616
79,-103,-117,3286,-604,-480
-58,-92,-21,-2258,-976,-770
34,99,-123,-1048,-609,128
27,-21,109,1670,-610,7
71,10,-33,2264,-620,50
104,75,-108,-2721,-1413,-300
3,-102,-67,-2591,327,894
24,50,-123,-1512,-374,1717
-61,16,111,-853,-949,829
-80,48,-93,-2040,2350,-850
-2,-45,116,-5483,3973,-1289
98,114,-52,-2428,3483,367
17,14,123,3277,2906,-303
1,-69,-76,3543,2366,-1765
36,-111,-2,2295,1361,-1880
72,111,86,12,-368,-1942
60,85,-114,-216,-2446,-1211
41,83,-38,-3369,-3907,-668
-121,0,-75,7571,-594,4763
58,-19,-79,717,-1762,2027
-114,-85,49,-2476,-731,632
-34,30,-67,-2182,-1012,546
98,-95,-4,4266,752,543
-34,57,91,2272,-175,-388
19,33,-87,386,-723,-40
77,11,-64,237,-1094,612
121,-80,-31,2095,-293,760
-112,111,5,4466,1129,950
-123,-79,-68,-494,396,61
-66,-32,99,-1406,277,676
56,96,26,-1098,-42,1083
85,100,123,-233,-1054,1226
-32,57,-5,-1478,2755,-839
96,-63,-65,-3311,4294,-1214
-45,2,86,-729,3412,-1764
-63,-52,6,4063,2946,-1192
-87,-91,-115,1322,1303,-2760
-90,-90,71,1706,918,-2036
-103,-123,127,537,-364,-1732
117,82,-116,347,-1676,-1208
103,51,-98,-1348,-2958,-997
-79,21,113,-4,-2641,1313
69,109,98,-586,-2374,2452
-63,10,99,487,-6912,3264
77,80,37,-239,-5433,1548
-101,-117,58,3531,3268,297
-73,28,-104,-371,6455,-3461
51,84,-66,13288,5814,6009
-19,84,-13,3417,2123,1017
53,-102,10,-3865,-101,-313
113,6,-86,472,-1778,2358
-4,-124,-89,-6774,-5215,315
-45,-40,114,-2846,-6239,-1403
-78,121,0,6204,62,-1022
81,19,-12,-1741,303,529
9,-40,-102,-3593,483,966
-41,115,-27,-2054,-211,-826
-8,76,76,-1488,2210,-1024
-15,-19,39,-3689,2933,-789
125,-68,42,-4080,771,422
88,-66,-38,33,1203,1278
93,-103,-72,1279,3142,263
57,99,-114,2582,4185,-700
81,59,-34,2241,2847,-1239
114,29,67,241,684,-1492
-126,34,77,-1928,-1282,-1278
-109,0,23,-76,-1858,-604
-107,-35,86,-441,-3137,519
-114,81,95,3551,-4628,1983
-44,41,-19,-1235,-3376,-77
-121,18,-80,-2202,53,1342
-14,90,-103,-1810,-411,772
63,32,50,1924,-563,212
-19,24,116,806,-1538,-332
23,87,-60,-1884,-2140,65
11,106,-37,-2168,-2163,106
-3,15,-71,232,-667,42
48,16,-68,1122,1096,-328
113,115,-15,-1756,1042,-707
13,3,-53,-2401,539,-465
-104,-23,-95,382,-840,61
-16,-91,-113,-2575,-209,-855
-98,56,79,-5285,1642,-959
-66,-100,97,-3986,759,32
