AccX,AccY,AccZ,GyroX,GyroY,GyroZ
79,-44,16,2511,-2034,-4129
-73,39,87,3711,-2342,-5608
-114,-121,89,3408,-1595,-4987
82,56,52,1653,-1876,-2425
-71,38,53,1562,-1055,-451
64,14,25,3273,124,-70
-71,-77,97,2579,1515,925
-4,75,-102,1407,4462,3211
52,-67,103,-1567,4768,5853
86,-14,-62,-8446,1355,5713
-125,11,74,-9496,691,2382
-1,97,-2,-36,735,2018
18,72,40,4270,-967,817
-43,-125,-36,3599,-2114,-465
-50,83,19,1261,-1545,225
-99,94,61,-372,-38,271
-108,110,32,-1088,1091,-896
8,31,-2,-539,1498,-2110
18,-112,33,130,697,-3340
78,-66,-3,1534,-1398,-4051
24,4,70,823,-979,-5996
-52,38,1,-3580,3619,-6182
93,-7,67,511,67,-6519
-88,58,12,4870,-3515,-4790
116,-27,-38,4382,-4692,-3101
-109,-17,51,2606,-4561,-1010
35,-5,1,-686,-2564,973
-10,-13,20,-259,-157,2411
67,-10,20,921,2922,3178
-101,-30,-83,1461,7033,3457
-51,19,73,2096,9863,4700
102,50,-32,-2612,7991,8659
100,27,-25,-3924,-829,9164
109,-56,98,-1118,-2784,4139
45,117,-46,1118,-2497,-1111
-23,-50,4,3505,-3050,-2231
18,44,-121,3782,-1808,355
-42,-102,-106,1670,578,928
-90,34,-113,-2759,813,39
-49,22,93,-4301,-120,-1427
108,-36,70,1579,2661,4049
-107,-47,72,1020,3389,4882
-55,91,-33,624,1036,4228
-115,-33,-78,129,-2028,2003
-9,-25,13,-115,-3855,-224
18,127,105,1245,-3286,-1465
-38,-14,-30,2515,-2602,-1512
-61,-76,46,2947,-1678,-610
-92,-65,127,1908,-1121,324
-110,-33,-89,986,-824,574
-109,-11,-66,229,-874,262
-113,-40,-60,818,-711,3
-102,-74,-62,1827,-500,-195
-104,-66,-58,1987,-583,-89
-96,-50,-28,1525,-605,-21
-87,-49,-3,1162,-411,178
-72,-58,-3,1414,-230,124
123,-15,-6,1030,-486,253
65,24,-2,626,-558,283
-96,28,47,-269,213,282
-69,34,12,-975,694,121
82,34,-85,-167,116,-371
60,-26,-100,1032,-864,-981
-100,-39,-27,-12,155,-1175
-94,-128,-49,-32,61,-151
121,-107,-74,462,-722,1179
121,3,-40,-77,-915,986
-117,82,-6,-1050,-288,431
-95,86,-32,-1210,665,64
-88,49,-103,-438,677,-143
-68,28,103,58,337,-434
82,9,97,11,528,-889
-106,78,39,-215,-864,-1072
105,120,84,-585,-1320,-1526
127,-23,-115,-91,692,-2932
-52,91,83,680,451,-3709
-122,12,63,942,-1186,-2452
102,44,109,927,-1342,-1093
67,81,-127,798,-539,-663
51,95,-110,370,302,250
33,-74,-51,938,2563,3828
54,113,-126,-1821,3310,3036
-99,-114,-40,-419,1065,1723
-12,12,-64,-243,-740,613
38,43,-64,65,-1198,-404
-116,-28,7,-511,-259,-1206
8,77,14,-712,-258,-1586
-32,49,-8,-956,-711,-1325
-10,62,-16,-1508,-589,-1675
50,20,-31,-1659,-92,-2646
105,-97,-70,-794,246,-2490
74,127,-101,355,-200,-1191
17,-116,-124,1174,-562,-543
23,-104,-99,1391,-475,32
31,-100,-82,1008,-306,433
30,-62,-46,-216,-529,938
76,-1,24,-2373,-94,1524
96,-16,-8,-1697,693,1610
-74,-52,-63,57,1313,2398
50,-128,123,-240,416,3013
-51,-17,68,184,-108,1718
89,-41,125,99,340,-50
73,-68,86,192,496,-505
-6,-76,52,479,-836,-1105
-14,112,93,1378,-1307,-1449
57,75,-95,499,-237,-1723
88,52,-109,-981,450,-1337
67,65,99,-1908,384,-549
70,119,63,-2582,211,69
118,-89,58,-2358,640,42
-84,-29,25,-1920,822,-231
-74,-12,-8,-1216,609,-787
