AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-86,-36,49,2546,2269,-3463
12,-20,46,1031,4417,-4079
91,-52,-87,1181,3566,-4118
-89,-27,106,21,5090,-4063
72,-15,-120,-44,4099,-3751
-123,-88,-85,622,4298,-2222
38,-13,-76,15,2497,149
-25,-4,-59,3220,1686,-3302
-81,10,-115,1215,-629,-4938
62,29,-36,2997,-1777,-4092
39,70,16,1985,-1397,-4894
31,118,11,1805,476,-2501
-111,94,-20,543,-232,3094
124,81,-6,-2398,729,4738
4,-126,-25,-2865,673,4718
126,-50,-78,-2651,449,4550
38,46,-101,-431,1396,3694
62,118,-115,-2094,661,1386
17,16,73,1088,504,-286
-41,-106,21,1606,-314,-1280
-71,107,22,2385,-1504,-3121
-38,-38,-5,3926,-1234,-3721
-37,12,53,3068,-1991,-4371
-103,-40,60,2780,-1661,-3883
33,-73,-98,2195,-1678,-2760
-62,67,51,328,485,-1762
-80,-26,57,637,1095,2835
29,31,81,-2828,-70,4583
-18,-2,-65,-2495,-755,4958
-94,-118,4,-1742,-1099,3994
26,-105,-31,-466,-1665,2213
0,70,97,-101,-3522,2538
-52,-78,27,114,-4732,2673
2,40,114,-157,-6150,3415
105,8,109,-531,-7272,5011
-119,104,28,-1062,-4571,4381
12,37,-74,-1053,-3767,4539
106,-42,110,353,-2963,4925
-40,-82,48,-303,-1170,2919
-46,52,-101,-384,-802,228
79,28,102,1724,3350,-2990
-28,18,-17,1723,3411,-3850
124,-1,78,908,3786,-3924
-71,-40,-16,890,3592,-3801
-27,-22,-50,970,3815,-3682
-62,-29,0,1111,2890,-2789
-66,-90,-21,2750,3464,-3927
49,-115,104,1315,1151,-3346
23,-15,-32,694,-1696,-3779
-18,-14,13,300,-2451,-4662
-118,-107,115,381,-1869,-4136
124,92,84,3606,1428,1700
-11,61,57,-426,2177,3354
-113,8,-97,-612,1564,3512
28,85,0,-1919,1280,3732
-106,96,-85,-2007,1278,3470
0,42,-121,-1729,651,4155
-56,-24,113,716,632,892
-48,106,-57,2173,-489,-3425
111,-67,-36,1538,-2941,-5888
77,-17,-62,2403,-2211,-5368
29,12,-116,2308,-1726,-5045
95,57,38,898,-201,-967
101,-63,19,659,-87,3635
-71,-73,25,-1867,541,5039
62,55,-117,-2052,-1540,4296
120,104,84,-562,-2443,4304
117,37,-113,-1459,-5244,762
-76,-73,32,430,-6958,2271
84,119,-6,-222,-6517,4356
34,-8,44,-563,-7013,5567
-12,-89,-117,-409,-3134,5069
87,-94,100,89,-2093,3513
-75,-18,-40,440,-2198,4334
-48,-35,-111,-851,-2369,2384
-20,-7,125,540,-528,-1694
82,-93,-48,2112,3147,-2562
-77,83,-66,388,-651,530
8,-77,-15,-57,-699,388
92,-76,9,210,292,-151
-82,87,43,5338,-1239,-1562
-114,-10,92,2318,1794,-4488
-74,45,30,679,4178,-5773
118,19,50,1907,5005,-5384
-114,-34,-92,1047,5026,-4196
-41,-68,-1,838,2649,-4999
106,115,-82,-469,3630,-5472
-47,-47,51,1319,-3236,-6662
82,84,31,969,-1661,-4658
-86,-90,-21,350,-2687,-5190
-105,37,-115,2470,1493,2456
-43,-2,-116,-136,2158,4198
21,-19,-71,975,2327,5955
31,-76,16,-452,2437,4961
-111,65,-119,-744,2183,4631
-61,-16,60,-1786,1621,1705
44,65,-81,-90,219,-433
-6,-28,-67,2007,-1015,-4127
-123,51,-52,623,-1734,-4937
-48,10,90,1191,-2540,-5520
92,97,-90,559,-3296,-6260
-77,48,63,3292,-2489,-4157
121,8,-108,477,212,-2717
-12,15,-128,1850,1987,2236
94,4,-47,-1705,1143,4583
-115,16,112,-1508,886,6124
-81,-66,-39,-1930,85,5677
108,-23,32,-235,-1412,2810
-1,68,1,-2760,-5152,-1450
-104,61,-16,-109,-5802,1806
28,36,54,1454,-8567,5303
11,-18,-24,-1905,-8958,7751
-18,25,-47,-2793,-5753,5864
-118,-18,-16,41,-2697,1236
-111,-23,-109,1680,-803,1711
-30,-121,-103,-343,-33,881
-126,123,-12,720,-193,-129
61,62,-125,636,745,-440
34,-17,58,688,546,-504
40,-53,26,748,-202,89
-72,-41,106,1407,3028,-3524
97,-121,64,146,2174,-5262
-24,-42,32,-99,2143,-6256
-69,32,69,-710,3145,-7404
-22,-96,-46,-883,3409,-5849
84,2,115,265,5199,-2536
-111,-127,31,2726,4467,691
82,99,60,-287,2648,3637
-72,-63,-73,-1467,2743,1727
-113,-49,-32,-3327,915,3245
-113,82,-32,-2243,194,2125
-16,122,122,1158,1664,-572
85,24,102,1765,-2574,-5772
73,16,2,138,-3393,-6961
-74,41,-67,995,-1818,-5192
99,30,84,2938,-3114,-4038
111,6,-18,1299,-1185,-566
-123,-3,-29,550,2966,3849
75,85,33,-1146,1892,5836
-106,14,-67,-1540,2593,4767
68,-1,82,-793,2373,5592
-52,45,116,86,3135,1936
48,-67,122,-196,1015,888
-12,114,-126,1924,-316,-2155
-74,-17,80,1252,-3203,-3524
127,-16,12,838,-3838,-5068
0,-99,-89,1915,-4033,-4030
73,-95,-90,959,-3990,-594
-18,80,10,1455,-3201,4903
87,6,-31,753,-2867,3801
-94,20,19,-515,-4024,5442
127,-46,-114,-1576,-7328,7663
75,99,-88,207,-6922,5652
-29,-48,-119,583,-3933,4406
-88,83,105,-392,-3200,4691
-94,77,-108,1058,-2725,4824
-99,108,22,1332,-3203,706
-81,9,104,746,-76,-1953
103,47,8,1179,2556,-1984
1,-21,83,983,1115,-1365
-28,31,118,1079,4343,-3969
