AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1,98,-105,2888,2040,-4119
88,121,-98,7961,532,-4705
17,-1,-92,3018,107,-4133
75,-110,-116,2625,1091,-4179
29,121,0,3040,-458,-4417
-44,-115,-65,2221,-348,-4802
-72,74,115,2000,-73,-4449
-43,23,70,2647,-1054,-4266
-68,-45,-40,1460,-1961,-2535
-116,-32,-118,-456,-6260,-3259
127,-51,38,-3466,-5126,-4100
-15,112,41,-4498,-2470,-5749
-15,87,-30,-22,3865,1197
-12,47,-86,-51,2105,9511
36,-54,-123,2567,5636,6709
-123,-17,-5,-2432,-3000,-4907
-52,108,-35,1369,-8556,-6703
-76,119,-70,-758,1191,-3901
18,108,28,152,4035,8864
-45,-75,-124,1599,7043,8575
-94,116,71,-3408,4089,1977
120,97,43,-1621,-6718,-11305
-42,-21,102,4231,-11857,-4661
-59,65,-108,56,-2185,1250
-40,84,125,387,226,7774
80,16,53,212,-2011,6823
31,80,93,-187,-4321,5345
44,18,-28,-5059,-3572,5100
-75,-19,-125,-3618,-4219,5718
-92,31,-85,-4272,-6118,4058
-8,-123,48,-1275,-3074,2157
-16,29,-61,1913,-1311,2316
-11,-19,95,2199,823,1655
-27,-58,-99,2548,-815,2642
-120,36,120,1888,-2762,1616
18,78,-90,710,-2175,-904
-12,-26,-49,499,-227,-2177
-3,-110,-56,-293,1534,-1985
-2,51,113,-508,1598,-1186
-30,44,78,-341,257,-562
38,125,-77,-4585,3016,-2635
21,103,-92,2497,1437,-6506
-111,30,74,6551,1730,-6862
60,75,126,5034,6682,-8340
102,18,117,5618,6589,-6829
-83,-119,105,5319,5210,-5369
88,57,106,1080,-2744,-1940
-49,80,-84,-4774,-9047,-7388
-124,-55,-99,-2737,2185,-7955
100,-82,-56,2435,4829,11633
13,2,66,3870,4405,6170
2,-74,25,-5255,-8512,-7696
44,-58,57,-3722,-7356,-9655
52,71,32,4020,6726,6616
-104,121,121,2482,8350,10606
-13,37,-85,1882,4441,-279
-120,-62,90,-8172,-14787,-6987
-95,108,-53,-8214,-15010,-2164
-68,-117,118,5200,-4382,7231
104,-88,-12,1431,-6553,8739
59,-42,82,-4964,-4131,5297
-24,29,59,-4314,-3674,5128
-10,112,39,-730,-2801,3097
108,33,-115,3185,-2497,1448
-7,67,58,1846,-1415,120
-49,32,37,2031,-1607,-5
-119,40,-24,1546,-7,108
-10,-12,-90,816,-319,-487
-26,-75,-91,208,-267,-284
-13,-118,-91,-474,227,45
5,120,-116,-463,427,-81
18,108,120,-160,305,-435
-13,38,92,1204,-237,-765
-18,42,95,585,-269,-372
-15,63,-127,-472,-193,557
22,77,102,-323,356,444
30,56,68,238,-54,-84
9,19,55,599,-928,127
10,16,87,399,-802,203
25,27,117,-230,45,90
43,-12,26,3638,2277,-3621
-21,-110,55,4533,2180,-6493
-128,-87,105,4734,2725,-8149
-75,37,-51,6366,4560,-7716
33,-63,89,4337,7286,-4914
-120,-75,-128,3998,7076,-941
39,18,-24,863,-8266,-1580
57,-64,26,-7706,-5441,-9535
89,-52,114,2896,3510,804
-118,-76,-85,3415,5103,10804
-40,94,45,-1855,99,530
64,34,73,-3209,-8327,-13243
51,-124,116,752,3706,-2963
89,117,95,1988,4615,15553
-47,31,-39,2753,7207,9406
-67,-118,-43,-7095,-10548,-12820
-67,-111,86,-6474,-5041,-9741
38,10,125,-2677,-16091,-2408
-58,-48,92,8830,-1338,8135
25,80,113,1337,-3978,7090
-1,-44,-94,-5271,-3306,6428
51,-38,-60,-1736,-5003,5053
-85,-80,43,-788,-3135,4057
-7,33,-64,114,-2578,4299
94,50,120,-603,-1271,2794
12,35,43,1088,-1119,1255
-87,-5,-26,1896,-1528,541
115,39,-44,950,-575,213
24,3,-92,515,-69,-1103
3,-86,-110,604,211,-1689
11,97,-109,284,429,-1525
2,39,-124,-247,455,-877
-7,25,115,-200,94,-333
-1,43,106,-141,-359,10
16,57,120,-364,102,-220
25,59,113,-602,442,-249
25,28,82,48,-169,179
36,48,90,216,-294,211
68,57,98,130,-186,234
63,77,97,-104,-262,42
72,53,114,1434,2439,-3698
-13,99,6,2414,2606,-5174
68,-108,98,1597,4216,-5959
-55,77,63,503,4633,-6095
-120,-117,-21,2336,5832,-2238
97,7,33,5874,7717,231
-72,69,40,8877,7151,2100
22,-9,63,-3317,-6478,-4052
106,106,-28,-6811,-7087,-7644
-51,-118,-73,2039,3931,-2115
-113,-93,-33,4464,4268,9097
-68,-46,-57,6778,5348,9019
-28,51,6,-5332,-2227,-6376
19,-44,125,-6118,-9727,-12214
-77,7,-84,3276,7965,-570
115,20,-56,2975,3399,12412
-63,97,18,597,4861,7350
-120,-89,-5,-5915,-8314,-10509
-71,85,-117,-4221,-7774,-6489
-38,126,119,584,-11763,1163
0,96,-119,3680,-7599,6070
-68,3,123,1779,-5254,7249
47,17,12,-3713,-4988,6845
-74,-66,-117,-398,-3313,4870
-118,-47,-29,-372,-1436,3172
30,116,101,1571,-1396,1600
-65,74,83,104,-1078,1455
106,-10,2,1060,-576,764
56,-49,-41,1914,-764,594
23,-75,-97,2467,-993,391
-25,-80,-120,1538,-622,-705
-30,113,-92,315,-113,-1076
-58,23,-105,394,86,-396
-54,37,-117,-387,402,-32
-51,38,117,-633,180,58
-37,31,100,-370,69,-10
-24,34,97,-323,123,-214
-13,17,91,-269,45,-183
-13,7,87,-59,-140,-60
-7,7,93,-10,-204,10
-104,49,79,652,2745,-6656
110,86,57,-354,2625,-7466
54,-79,-94,1474,6293,-7363
-74,-51,-3,3038,10117,-3774
37,-27,-73,2838,10235,-161
119,-42,-30,7410,5895,3088
112,-34,87,-2604,-11184,-3722
-35,66,38,-7488,-6927,-10680
9,125,-79,4061,6344,3680
-96,-124,-58,1167,5749,14030
-30,-17,-83,2070,964,341
-9,50,-50,-8049,-8669,-14662
-49,-21,-108,-4380,1230,-6982
-27,28,-104,8597,2100,14320
12,67,-48,4952,6445,10732
-77,124,1,-1702,-7041,-5495
-62,-79,126,-6592,-7952,-5207
-120,-59,-96,-4667,-13321,1267
-83,-81,-62,3580,-1474,7643
79,121,-40,704,-5821,8345
-41,-120,-87,-3476,-3150,4328
45,36,107,-4816,-3569,5201
120,43,-70,-1551,-3402,5725
-3,102,63,3052,-2589,2908
-111,107,25,2141,-1715,-612
123,37,-14,2003,482,-1436
25,80,-88,2499,1695,-818
66,35,101,1837,2113,347
58,1,57,1014,421,1550
32,41,62,174,-1120,1751
-7,53,107,35,-1919,986
-19,43,-100,220,-1244,98
-20,41,-85,-91,139,-574
-17,14,-101,-407,773,-681
-9,-31,105,-302,506,-553
-10,-37,93,-158,-150,-177
-5,-30,99,-169,-386,-118
2,-25,113,-264,-162,-217
11,-30,114,-269,53,-204
14,-35,104,-240,35,-46
80,-125,-52,-405,6841,-8038
127,-6,112,5612,2959,-7228
-57,-16,-115,3786,5839,-8208
45,94,35,3364,7780,-5987
12,90,30,3221,8360,-1360
41,-55,-6,5302,4562,3147
-11,-50,-117,1104,-6319,-934
101,74,0,-6326,-6226,-9530
-88,109,-47,-387,2086,-6161
-16,-104,117,820,3307,10943
-53,-28,68,2927,2787,9568
73,-47,77,-5799,-1950,-9333
-116,112,115,-164,-6384,-11392
-78,-57,-25,4232,2952,3115
98,-43,-107,1094,2152,9692
-107,-84,114,2740,3598,7536
-7,-65,115,7,-72,-4543
8,-23,-74,-4629,-8210,-3899
-30,2,-88,-5471,-14075,1672
16,-54,11,-2317,-7551,9500
85,-56,-3,-46,-7465,9716
0,-19,-105,-3674,-2083,3893
27,41,72,-3604,340,5290
52,66,100,-80,-2521,4095
8,58,69,1091,-2806,1017
-68,19,-90,4173,-1573,-1148
-57,-49,-96,2714,-979,94
-102,-49,-107,469,-953,2108
