AccX,AccY,AccZ,GyroX,GyroY,GyroZ
20,115,25,614,3691,-4498
-70,26,10,392,4496,-5719
-63,103,-79,46,3506,-5409
24,-113,17,246,4615,-4433
99,83,-30,-1,5464,-2875
-107,72,14,-453,3939,574
123,107,39,-1254,1284,1023
-26,82,-19,-2081,-363,1976
72,68,22,-1585,-1387,2331
31,-102,30,-1439,-2413,2055
62,105,58,-31,-3608,1439
-62,28,-7,1493,-3409,-1487
119,-69,-34,2009,-1085,-3740
-88,100,-50,2418,1546,-3371
54,20,-48,1886,2363,-2030
-24,-126,-73,231,2901,-362
-59,64,-95,-592,2193,1413
-48,57,124,-2043,898,3020
127,-123,100,-2092,-277,3136
49,-94,-113,-1668,-1958,3146
14,11,41,-1899,-6275,-146
40,-9,22,89,-5724,836
-108,65,-70,-1543,-8673,3080
-115,-1,29,-1976,-3896,4032
-109,94,31,-99,-6660,5752
-24,-65,-84,-503,-1494,4099
22,-2,115,251,-2341,4345
-42,99,14,1333,-1774,2562
12,-61,-33,3650,-1411,-369
-78,-64,-109,-637,850,-1045
53,-33,31,451,595,-447
41,-66,-12,1580,-211,76
101,-37,-25,789,77,-303
-125,-93,-45,985,317,-929
120,69,-65,1160,114,-1169
88,-13,-75,764,-13,-1011
85,-23,-65,375,-176,-323
78,-2,-63,186,-266,-126
116,46,-41,-254,-115,-20
111,63,-49,-121,-275,82
85,70,85,-1941,3224,-5649
-68,-34,121,686,2629,-5173
27,-17,77,-384,5981,-5400
-5,25,-55,-860,3594,-5729
-17,73,74,-83,4342,-3660
-51,-75,125,-572,3934,-2098
-102,2,57,-578,2968,83
-50,-96,-62,313,1621,1668
-59,80,52,-1673,502,1595
0,40,-26,-2165,-1756,2102
71,82,-31,-756,-2891,1613
-65,52,101,244,-3554,366
-117,-91,84,1744,-3146,-2100
5,11,120,1306,-1091,-3456
-73,-71,-82,1857,1294,-2675
33,-17,-88,2406,2920,-602
-4,2,86,502,2584,-243
-34,21,65,-694,1961,888
105,-121,103,-1669,998,1811
1,-119,-7,-1945,-138,2371
17,71,-64,-1842,-2147,2413
-40,13,-43,-1225,-3815,1072
109,-113,-95,1189,-2764,201
100,62,-112,1278,-3681,-757
17,83,80,1747,-3182,-2210
-12,64,-33,2215,-1604,-780
-84,67,-32,1607,-1869,-147
5,-71,100,-273,-1371,1482
37,110,-104,146,-1777,2394
-13,-89,51,-1170,-3130,3549
84,46,110,-577,-3561,5833
0,-3,-109,339,-3225,4516
21,-12,26,1863,-476,2896
41,48,16,1276,-518,2788
25,43,-4,803,-8,1969
-26,46,-8,203,58,1502
-78,16,-25,12,19,1142
-125,-4,-31,-319,181,704
108,-53,-26,-331,-225,225
101,-94,-41,160,-381,365
117,-20,-116,1626,2940,-5190
-83,-97,49,2008,3401,-5702
11,52,5,-200,2599,-5725
-16,94,-2,251,1806,-5042
68,6,74,-1169,2987,-4254
103,-50,101,-1137,2922,-1614
27,4,-36,104,1978,999
94,-78,11,-1868,835,1680
-67,113,-73,-2053,-588,2642
34,30,71,-1729,-2074,2681
94,-55,-124,-413,-3004,1305
-28,-68,95,932,-2855,-440
-1,-96,-2,809,-1721,-3424
7,-71,-73,759,-480,-3816
26,101,-82,2448,2567,-877
-45,-27,98,-16,2583,150
-38,-47,-1,-846,1743,1433
-53,-26,28,-1767,810,2033
0,-50,-13,-2059,-685,1814
58,108,-51,-947,-1866,2532
-107,-19,-76,-1008,-3568,1543
98,52,-127,369,-3032,-95
19,-127,-80,1832,-2643,-2140
-40,-121,-42,1801,-224,-3404
-103,-126,-105,2077,1524,-2802
37,-101,-80,2518,2071,-551
-37,77,-64,1913,994,285
109,-92,-51,-789,677,1238
-83,9,33,-1161,-920,2657
18,-66,-113,-158,-2033,4149
78,-14,121,542,-3113,3593
-124,-40,114,-1067,-3110,5246
