AccX,AccY,AccZ,GyroX,GyroY,GyroZ
96,-40,22,-2695,6222,3127
13,111,-116,863,7985,2530
111,-114,123,1001,3607,-3276
-2,61,-80,-3740,4606,-6364
109,-76,46,-4249,3490,-2872
-38,5,-23,-25161,-17827,-4324
113,23,13,6392,-363,-5295
107,114,-116,23039,26752,21178
-79,-79,-9,-13047,-12857,-8840
-68,96,-49,2720,2453,-4264
85,-5,12,-7283,1879,-3734
-23,-66,-112,-23254,-23411,-7336
85,24,96,22752,2456,2351
-28,-12,98,12813,7493,5155
-7,49,-97,296,-6988,-5944
-15,-64,-9,4024,-5572,-3331
36,103,-27,8667,-12787,-1021
88,-45,-97,-3365,-5575,-3157
-78,22,-11,-1933,-1078,-1192
-67,-4,-54,4658,3734,5766
-94,-75,-49,1482,-1165,2069
9,-56,-75,-1495,-4287,-2579
-91,-30,-64,2469,1262,-1032
-11,-78,-24,863,2329,37
9,-60,-5,-2261,1790,-118
60,-45,-108,-4235,-99,-780
51,0,7,-563,-851,92
-15,-4,-11,2818,229,524
15,-45,-88,-705,-758,-433
47,-17,123,-667,81,155
31,0,115,-583,-60,175
13,6,104,-503,-235,-152
20,14,107,-845,-408,-258
39,23,93,-780,-420,-132
40,32,66,-178,13,57
32,24,104,-607,-394,-313
65,31,72,-14,84,43
60,26,100,-449,-223,-137
67,32,75,-141,-53,39
63,33,89,-210,-127,-81
64,-75,-93,602,10225,4929
59,55,-75,-3823,3314,-5750
35,-113,-51,-2502,6449,-1707
-31,127,72,-6661,4692,-2567
-23,-23,48,-12762,-738,-1464
-15,-97,86,-22551,-21115,-1622
27,-18,-110,-23830,1924,6436
-119,40,-127,15194,3690,-822
49,79,79,-2275,-1257,-7179
47,92,-1,-4496,3263,714
94,-96,-77,-20152,-12396,-2708
-56,87,126,-2521,8464,-1697
-59,77,126,19264,17762,-3250
-106,94,5,-12308,-8116,328
6,-52,-23,-3214,-4902,4954
-3,54,-13,-2512,-7505,1534
-73,108,58,3148,-2412,-4801
30,-42,-56,6245,-7576,-8419
17,-99,-88,7400,-3036,-4860
59,84,-43,8865,-2127,3282
-62,127,111,-2999,-4164,-2024
49,125,-52,-95,1300,-924
