AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-35,-41,24,617,5345,1691
-2,-4,21,593,6791,914
76,82,-83,-2995,3619,-4393
35,68,-10,2316,4704,-6333
17,24,12,2818,2243,-10060
74,-99,-15,-2133,374,-12561
75,13,49,-15733,-2646,-13997
-67,-108,20,-9116,-141,-11282
-39,-117,-41,11566,2024,6700
26,49,-124,22061,3203,13879
-24,125,-121,-29887,-9249,8995
69,34,-3,-22276,3509,-12259
-69,-107,-128,7997,3491,-617
87,53,-9,-1790,-599,-1169
-22,-3,-36,-5221,-2900,1349
31,70,44,-1697,-3433,3166
-70,125,99,5593,-2495,6899
100,-56,-121,3774,-4790,5875
66,-36,-49,-3850,-6944,970
-101,96,68,1072,-5333,587
-43,-27,31,3036,-1656,-253
18,96,11,1248,30,-1767
117,-121,-49,1546,1145,384
102,-68,-34,4070,975,2703
-49,71,77,1633,-1121,699
-85,-29,17,1170,-462,-393
-28,-91,-9,-476,711,-721
33,-110,-88,-374,1677,-175
101,-96,123,-1029,1620,-100
120,-86,73,-361,1310,373
116,-89,49,269,1095,436
102,-93,111,-931,-414,-332
-128,-74,66,-550,-472,-227
-111,-78,65,-261,-380,-114
-108,-72,73,-45,-54,71
-120,-59,92,-489,-260,-28
-124,-53,79,-374,-296,-60
-122,-51,74,-195,-232,-52
-118,-45,87,-418,-238,-74
-117,-37,83,-394,-201,-81
3,-85,52,1796,5461,2528
84,121,34,-356,6498,-203
-63,72,-91,-1624,4759,-3191
-128,-68,-94,3175,5654,-4960
-94,50,51,-212,944,-11738
-55,4,-96,-4481,-528,-12400
3,12,-71,-12103,-917,-11979
38,114,59,-20504,-3609,-14376
-48,-75,-121,27799,4223,13146
-29,97,-119,24477,10639,22691
-124,90,46,-27425,-4898,-11493
-90,-64,-36,3605,3392,-5395
126,-90,14,4619,1653,-4368
-92,81,90,-10051,-3607,-4171
31,-118,-6,-9047,-4909,-2216
-66,-29,85,12799,-1136,11264
-115,72,-125,5939,-4340,4414
-96,64,3,711,-6266,3607
-87,37,-127,-191,-7743,-1293
39,56,27,6877,-2879,1203
87,-9,-103,2779,-2033,221
119,107,92,555,-343,-1055
-99,-96,33,2563,952,1671
61,71,22,3427,947,1375
-87,-6,22,2853,1099,527
-55,-114,22,-614,1535,-1116
60,108,-93,-728,2226,-359
-125,112,-110,-1067,1098,130
106,102,-116,-1521,-637,-218
111,107,65,-353,-229,-38
-124,125,76,264,4,-118
-122,-105,105,-183,-43,-186
-113,-100,114,-839,-122,-293
-98,-97,77,-736,15,-159
-98,-95,57,-403,-82,18
-101,-87,57,-141,-89,144
-108,-69,77,-463,-154,51
-101,-56,72,-373,-199,14
-104,-53,71,-289,-167,-130
-94,-49,75,-339,-161,-148
22,-49,32,-2064,7235,-563
7,-64,-51,-2508,3270,-5445
-90,67,-43,4587,5028,-6006
-15,27,62,-1124,1633,-10033
-2,-76,-87,-402,1553,-9183
-22,36,50,-7772,-2327,-11581
21,101,80,-20280,-5741,-14501
-84,-43,-110,24548,2719,-2082
47,0,-51,24600,8863,22056
-38,-96,65,-5467,-7749,-12346
77,-14,-81,-7691,2151,-7569
-111,116,-80,5830,2441,-1777
112,-95,11,-2830,-373,-410
18,30,125,-3104,-3054,3606
59,-32,103,90,-3879,4257
-80,29,-13,5799,-3678,6100
-30,-57,-128,2482,-3798,4376
-51,104,-64,654,-5736,2650
-26,20,74,2643,-2240,1067
33,-41,-98,1877,-2140,-219
103,112,84,2336,-1867,1022
68,104,62,1450,-989,1463
40,41,43,-2,-1191,154
39,15,-34,1305,-153,589
1,-61,-75,2153,1612,572
32,-110,-53,125,2047,-264
40,-82,25,-3309,-448,-1014
98,-82,102,-4041,-1125,-1150
97,-41,-19,657,331,321
101,-69,50,394,-113,-30
115,-41,101,363,250,225
107,-42,-127,-1030,-175,-377
127,-36,42,587,628,248
121,-51,97,-271,-171,-145
122,-45,86,-279,-236,-18
-125,-38,86,-299,-176,9
-123,-29,87,-189,-85,-8
-125,-15,93,-491,-154,-138
-124,-19,89,-724,-259,-282
-111,-16,60,-292,1,-98
-27,-30,93,-3687,6486,-4684
59,63,-58,-4548,5966,-9704
-2,-58,72,-7742,1531,-11256
-31,-6,94,-15728,-784,-11680
-69,-94,9,-8322,-2794,-9876
121,97,116,19730,166,7306
104,48,-49,22550,10959,24214
-125,47,-16,-32018,-4374,-14486
118,46,76,-2833,1003,-9190
-52,-128,-42,10234,2982,4741
37,37,-53,-2000,-2692,1263
88,36,-20,-1909,-5500,1774
126,-10,-90,6076,-2379,6588
119,76,116,6314,1308,7074
17,75,89,-2043,-5477,3370
-70,64,-59,2031,-6649,672
100,16,76,3523,-392,1284
-38,67,121,1804,1974,299
-120,-6,-26,3485,-312,5148
-53,15,52,-3774,-3337,72
-26,-19,-35,-777,-2022,-450
68,-18,-125,2400,1528,1516
41,-108,-50,-1057,594,-857
115,-92,116,-1029,610,-1058
-86,-94,101,-292,216,-371
-68,-103,93,-126,298,-274
-66,-105,112,-495,-50,-260
-70,-86,111,-962,-646,-169
-74,-76,76,-571,-453,-1
-81,-59,72,151,-102,384
-96,-47,114,-475,-491,132
-106,-33,108,-420,-481,53
-104,-26,103,-248,-282,2
-102,-27,119,-370,-249,-113
-102,-21,119,-471,-126,-112
-96,-19,99,-297,81,-83
-100,-18,104,-402,-26,-148
-96,-8,102,-521,-55,-197
-84,0,92,-451,-73,-203
-86,-4,91,-343,5,-222
73,85,-97,-1914,2316,-3790
73,81,-25,496,3945,-3399
-116,-26,28,1196,3472,-8030
-123,-79,81,-11714,-2153,-14464
58,75,-126,-17916,-891,-14728
-48,88,-34,-3194,-2459,-9701
-49,-31,-27,15187,-3123,6931
23,-81,31,22613,9670,23644
34,-45,-7,30843,-2009,-13720
-110,-27,48,-492,2199,-6478
51,-64,-23,8553,2731,1568
64,-92,-89,-3725,-2487,321
