AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-75,-88,-5,-991,2269,-5502
4,121,65,1431,1950,-7994
-25,-25,-117,2043,1198,-9917
-36,-32,111,411,1193,-10605
-104,100,85,-2088,1273,-9027
122,66,68,443,1037,-4001
-127,106,-68,1349,-587,1278
29,-99,94,1573,-1640,4294
-23,-89,-24,1120,-2504,4556
3,101,-67,928,-630,5731
106,-13,-14,2077,-1713,6493
-108,-3,8,-1997,-1720,2558
107,-13,-28,-1636,-1510,3420
94,-39,-33,1771,-1908,2572
-93,47,14,907,-622,3045
-59,63,117,-575,-2335,2358
-8,-15,42,1311,-967,1908
103,108,-7,535,-434,1582
52,-125,-52,2751,-537,2670
3,3,-30,1489,-872,715
41,-47,-87,1865,923,657
55,-94,-14,-831,197,-636
112,-108,-86,-1427,134,-424
-125,-106,100,-620,3,-170
120,-88,125,-1527,-647,-691
-121,-71,85,-1556,-584,-789
-86,-66,36,-479,53,-286
-81,-59,45,262,442,196
-106,-52,88,-435,-50,-182
-112,-38,90,-645,-305,-365
-95,-37,74,-342,-228,-248
-109,-26,100,-944,-477,-477
-98,-16,62,-393,-38,-264
-105,-15,83,-614,-254,-255
-105,-7,76,-400,-89,-161
-99,0,77,-328,-16,-54
-106,3,85,-436,-143,-169
-93,10,82,-296,-8,-50
-96,12,85,-468,-23,-154
-96,15,75,-375,-72,-195
-36,-97,35,455,5533,1162
-53,-66,-9,-4428,4248,-2390
-73,33,99,1701,3694,-2582
85,-46,24,3197,2334,-6790
-19,-37,-80,5608,1715,-8586
124,-56,-9,2978,182,-10566
-36,109,-117,239,86,-8694
-114,13,17,-2293,-287,-6799
112,-102,96,2965,-1585,2904
91,-102,26,2124,-3603,4311
-35,84,-85,716,-3958,5802
-114,86,-15,3355,358,10286
34,58,112,1383,-3790,2701
-3,109,100,-2505,-1601,1503
-81,-124,82,1549,-906,5668
125,-127,-66,-2147,-717,3076
-24,-30,66,-2575,-2364,1194
46,41,-65,2162,-1279,3279
32,-121,-48,944,-2281,837
127,83,-120,2687,-623,857
-122,69,-58,2565,84,1659
70,14,27,-165,-912,375
27,-2,-56,-602,-65,-78
58,-59,-70,-1893,-481,-1248
-114,-75,63,362,714,-195
-109,-64,106,66,629,91
-127,-50,-127,-1156,40,-462
-110,-39,78,-1107,-45,-767
-73,-44,52,-741,107,-563
-69,-31,51,140,170,-20
-87,-36,88,-590,-262,-308
-86,-27,85,-609,-339,-272
-82,-22,72,-35,-40,48
-94,-23,114,-653,-409,-195
-89,5,96,-486,-123,11
-106,11,97,-647,-201,-272
-90,13,77,-285,34,-128
-94,6,88,-441,-89,-232
-85,14,83,-327,-47,-64
-90,18,93,-482,-133,-196
-76,-117,17,2308,5605,943
-28,33,-63,-45,2038,-7774
10,58,-58,4924,501,-12318
-101,-73,-97,-360,-280,-12170
81,81,-93,-3538,449,-10602
-46,-111,90,-2650,808,-4882
62,101,-7,1909,-1976,2855
126,35,-103,5209,-3580,5062
62,58,-122,1991,-1387,7792
-121,106,67,1461,716,7901
105,4,-126,-3671,-4589,810
97,124,17,1520,-1376,3161
96,59,-114,-1283,-2086,3330
-118,31,-119,-2144,-1973,1372
-5,-32,-47,2086,-1061,2778
38,-19,-6,1425,-1935,2879
47,-105,-55,115,-1593,807
108,-106,-104,1482,-665,980
-109,115,-109,2535,-121,1682
77,49,-28,440,-771,424
41,10,-37,-670,-693,-234
49,-25,-90,-1200,-265,-764
93,-36,105,-588,344,-452
116,-37,75,504,892,54
110,-39,121,-546,406,-501
-127,-46,91,-729,232,-642
-101,-46,80,-675,47,-436
-94,-30,88,-1082,-341,-434
-94,-11,75,-1161,-403,-404
-94,-6,50,-603,-163,-253
-91,1,53,-20,103,12
-100,4,79,-343,-125,-84
-99,10,76,-260,-158,-35
-105,14,78,-176,-77,-4
-107,19,91,-520,-246,-122
-105,28,79,-422,-198,-103
-107,23,80,-294,-113,-209
-96,22,95,-548,-100,-246
-92,23,88,-542,-112,-208
-93,22,80,-539,-170,-217
-72,7,105,-3268,2222,-1990
-47,-3,37,-289,5188,-965
-76,-114,-75,2160,2722,-7099
57,39,86,4783,2925,-12106
-54,21,-116,-3591,-925,-14418
-116,92,90,-5034,1099,-10896
126,-17,-45,-1667,352,-4044
-83,-125,-26,8369,-849,6074
2,108,-121,4687,-3595,6064
-28,114,10,-2057,-309,8651
-74,106,15,1560,564,8367
31,124,42,391,-1101,3946
-116,111,60,-2154,-1369,3997
-127,-86,-82,-4160,-6040,1953
-44,-80,-11,606,-5034,-195
-33,-123,-41,8321,-167,5253
62,32,-127,370,115,2080
-17,123,38,-4765,-1402,-1589
87,102,47,422,-326,-236
113,47,105,3922,-545,1486
57,-1,-2,623,-1442,287
9,-17,-22,-1311,-522,-721
61,-38,-99,-1360,665,-869
119,-46,88,-278,1378,-391
-117,-52,81,62,1383,-351
-101,-44,91,-435,778,-466
-92,-44,89,-810,148,-463
-82,-25,72,-943,-265,-384
-71,-19,51,-570,-103,-225
-70,-10,56,-377,-97,-175
-80,-6,68,-398,-248,-174
-76,-5,69,-257,-231,-8
-85,-1,81,-445,-373,-34
-93,8,77,-213,-315,41
-100,11,91,-419,-342,-47
-94,17,91,-451,-262,-47
-103,17,83,-258,-106,-77
-98,21,87,-354,-32,-100
-99,22,89,-486,-168,-185
-96,24,79,-385,-108,-179
-111,-2,67,1539,4515,1765
127,41,109,-4802,3545,-3992
122,-81,-33,2138,6447,-3703
-17,10,99,8836,3260,-7212
84,-28,-19,-4859,-2394,-15797
90,-94,25,-1945,2020,-10049
-46,-33,-66,-3016,1491,-6865
-84,-62,-116,-2416,-327,-70
-10,47,32,3696,-1904,3970
-15,0,-109,4044,-1188,6542
16,36,104,2514,-1382,7941
-60,12,104,2427,-15,5357
-21,31,111,-3726,-3566,1116
109,114,3,1387,-474,4772
71,-61,-103,-5010,-4214,1675
-87,86,15,857,-2503,3529
-19,-28,81,-987,-1327,2001
58,-15,32,566,-926,2324
113,-85,75,422,-463,1942
108,67,43,-676,-1536,703
119,73,-40,1860,-685,1407
110,5,20,420,-1000,548
79,24,19,-500,-689,1
66,-10,-21,-925,-641,-637
109,-37,-107,577,248,-257
-122,-45,-96,839,790,-175
-97,-55,-70,-104,626,-453
-87,-52,-104,-507,218,-619
-87,-53,-120,-988,-452,-905
-71,-48,108,-788,-340,-589
-57,-33,92,-122,65,80
-71,-23,121,-537,-248,-80
-75,-12,111,-215,-185,-42
-79,-16,124,-312,-239,-107
-77,-9,125,-358,-209,8
-85,-3,127,-453,-272,-24
-83,7,122,-454,22,12
-88,13,-119,-611,-128,-102
-88,16,123,-215,-158,-124
-87,12,126,-188,-86,-161
-90,-12,33,443,3133,-6165
-8,51,93,871,2612,-11075
60,-18,107,-3600,4026,-13072
28,74,28,-6508,2026,-11109
97,117,-87,-10140,254,-7332
96,101,-97,2994,-416,2275
-87,97,116,6141,-3034,3221
-22,-44,123,6954,-1370,8926
-13,-22,-95,6583,438,13269
-99,84,5,-1685,674,3264
4,-101,-96,-8244,-6117,85
111,-88,33,2624,-3200,5463
-89,-18,-55,-2292,-5841,2487
75,32,99,-163,-4586,2097
-112,39,23,2385,-1139,1868
-106,18,-6,3871,-135,1701
95,-119,121,1789,-1876,607
65,87,92,-288,-710,1240
-10,-10,-115,1400,1409,758
-17,-37,-102,1937,1434,-111
46,-90,-9,-493,-80,-1139
-117,-103,-94,-301,733,-609
-107,-102,-120,-364,784,-303
127,-86,-74,-2026,-554,-1411
-80,-57,109,-2053,-402,-1368
-68,-48,76,-739,-3,-544
-95,-38,123,-1670,-878,-996
-86,-4,60,-247,-354,-240
-102,8,66,838,361,124
115,6,-112,-615,-681,-652
-128,22,114,-456,-512,-455
-120,24,116,-577,-277,-293
-120,24,100,-243,78,-40
-118,28,99,-246,149,-1
-121,31,95,-97,95,-76
-120,29,101,-249,-61,-170
-110,22,108,-485,-193,-191
-103,27,94,-266,-59,24
-113,29,103,-351,-195,-131
-109,33,108,-379,-205,-149
-88,92,113,-2896,4231,-2775
-92,-96,111,4832,5983,-3308
4,-11,-29,3203,1244,-12117
105,-87,-113,1146,478,-12908
105,9,-14,-2816,772,-10514
87,-80,92,-5358,1207,-7449
34,-4,8,4102,1450,5345
62,118,-78,11664,1958,11981
-128,89,33,-2085,2045,6916
61,-59,-22,-16839,-9614,-29
-105,-19,93,5527,-3386,4999
-53,50,12,2542,-465,6033
-96,-4,9,-6523,-5163,876
-98,48,-5,-124,-2012,2779
20,-2,71,6770,1504,9311
-112,56,2,-2116,-1540,2518
-103,-62,86,-2118,-3951,76
-118,-67,-73,5461,996,3924
-27,-13,71,-277,-958,-869
35,-49,-68,340,-610,-1780
123,-44,-97,591,221,-804
-126,-72,-67,-1681,-371,-1260
-98,-52,101,-1516,9,-837
-93,-52,77,-878,48,-886
-78,-57,66,273,210,-622
-69,-79,111,25,-2,-651
-67,-66,123,-473,-265,-542
-70,-49,-121,-1327,-709,-665
-64,-34,89,-1018,-525,-269
-67,-29,62,43,97,243
-80,-12,98,-389,-178,164
-95,12,103,-512,-318,149
-104,18,95,-518,-386,12
-109,17,93,-394,-356,-58
-101,24,98,-262,-90,-19
-108,25,105,-386,-128,-176
-105,22,102,-389,-101,-249
-94,20,105,-381,-49,-196
-92,22,103,-464,-15,-229
-91,23,96,-434,-53,-242
32,50,46,-988,6556,-3678
-75,93,-110,6289,4831,-11434
-40,-83,-83,1839,1532,-13540
-4,-111,-118,-6117,-479,-12600
108,-5,-9,-6915,1544,-7425
69,-44,78,315,-566,2823
1,-103,7,6019,-2194,7072
-40,52,-52,3727,-1920,9229
-95,86,-76,2700,-1474,9203
-44,-28,66,-6136,-3115,2474
79,-39,127,-2867,-4153,2965
-33,-83,115,2242,401,5450
-114,61,48,-4676,-3169,515
29,84,91,786,-27,2120
-1,-20,-36,-2262,-2057,112
70,-81,36,-147,-1616,701
127,-102,12,2782,76,2568
83,78,99,249,-1697,1113
92,46,34,1159,-1294,1235
45,12,64,432,-2336,323
46,2,-32,438,-2099,-428
70,-16,-80,288,-292,-1119
112,-12,-97,-363,893,-705
-118,-26,-103,-1825,297,-817
-118,-11,98,-988,136,-700
-97,-5,62,428,597,-180
-91,-24,-122,-749,-137,-484
-86,-8,105,-506,-103,-233
-88,-7,112,-626,-300,-310
-84,1,112,-462,-233,-141
-89,10,116,-534,-197,-97
-95,15,117,-518,-323,-50
-101,26,118,-365,-327,17
-110,30,124,-338,-360,-6
-109,33,-121,-516,-248,-55
-106,41,-125,-328,-100,-7
-110,43,-121,-429,-77,-171
-105,40,-127,-360,7,-146
-96,42,127,-440,42,-136
-97,43,125,-433,-57,-207
126,-116,-47,-494,3293,-4494
-47,37,67,4687,1499,-10557
-42,-62,-63,-474,21,-13879
35,37,-115,-3613,420,-11885
-118,-98,67,-17457,-2184,-12085
69,52,71,5318,278,1992
-37,-122,77,9361,-293,11252
-106,79,12,2901,-3647,5863
-57,-114,-85,2318,-2782,8459
-69,71,-20,5771,-449,6981
45,74,40,-7008,-2713,-493
-97,-105,84,876,-2274,4688
49,38,83,942,-42,4995
116,10,22,-1131,-798,3083
-116,60,-54,1309,976,4318
102,-105,59,-624,-1272,1207
100,59,22,-1250,-1936,-680
-107,24,-36,915,-764,357
107,-21,18,-227,-1051,-153
90,10,-68,1355,434,313
64,-41,10,-1516,-1323,-1252
98,-15,-112,36,-568,-810
115,-30,-113,-369,-629,-944
110,-29,-116,-957,-684,-1097
-114,-6,126,-1283,-353,-880
-98,-2,112,-1201,-283,-615
-128,-8,105,-805,-334,-339
-123,16,103,-726,-111,-100
127,39,104,-603,20,-226
-128,51,102,-415,-66,-225
118,44,115,-627,-306,-360
-123,48,108,-568,-218,-96
-126,57,101,-408,-200,41
-128,63,98,-356,-262,34
