AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-37,-127,118,8422,-1394,255
-67,-39,-21,5576,-3437,1377
-46,-16,30,-1740,248,-93
111,30,98,-6615,1913,-311
85,3,106,-4961,1438,-671
-59,87,-72,-6974,1540,-2183
-29,97,80,-8850,3079,-3081
105,14,-82,-3820,486,-1920
67,-12,-113,2901,321,1769
-26,-95,-31,73,243,-95
-7,-93,-5,408,201,144
50,-88,53,-509,1261,-410
52,38,42,-218,-121,970
-80,26,75,-768,-1086,1174
53,-128,82,802,-1235,1284
-36,120,-113,551,-1874,1550
-41,120,61,140,-849,533
-43,-57,94,-1131,-466,28
-87,49,103,-338,-451,778
70,77,39,26,-841,1621
77,24,17,-1496,-217,1723
-57,-116,66,-1535,57,1878
88,49,-124,-2043,-323,1892
-108,-13,126,-860,53,1591
-98,94,72,460,-477,2511
108,87,26,-602,-907,2499
91,109,48,-1302,-443,2280
105,84,83,-866,117,1647
-120,38,67,832,74,75
-61,-8,55,486,-92,420
111,42,22,-250,84,-492
-54,-73,-25,417,-519,72
-60,-12,18,-697,-428,37
-18,-38,67,-89,-129,326
71,-55,34,717,-195,356
119,-20,8,85,-294,413
66,-16,3,-235,-295,142
-13,-21,17,-576,-208,365
-15,3,45,-827,368,650
37,8,74,-816,766,790
-15,80,56,3313,1619,-3056
23,93,-127,7921,-988,-7001
-30,94,5,-1314,-297,-10044
-53,21,99,-1595,1084,-8956
-28,-40,-92,-685,-295,-5307
-93,79,108,404,-484,547
-110,-11,-112,37,-2467,5798
-55,109,40,-1515,-1390,8382
41,-49,-28,3459,1262,9132
14,-2,41,-5869,3385,2111
6,13,38,5406,-2299,-8422
-69,-17,-97,-2167,2345,-6046
19,31,-69,3278,-811,1591
-27,-93,46,-2544,-824,9387
-16,-61,-71,-1025,133,8246
37,54,-31,-7513,4700,-4910
116,42,39,-2689,1028,-10492
-18,-127,-63,-2162,-834,-10676
-9,100,-85,-4905,825,-3913
-46,-110,-90,-1823,-2865,-1321
-16,-119,-115,-2218,-4365,3089
-86,117,20,-948,81,2754
-128,120,-27,1246,5974,-5782
117,-109,79,822,-6,795
115,-93,-17,2491,-3586,3455
-52,-110,27,2479,-4265,8782
-63,44,75,3319,-2928,10273
77,-5,-52,-1337,2176,6098
-20,-48,106,-1023,-608,4429
-87,-21,-90,1022,-1689,6150
4,-32,-110,26,-1198,6129
-117,22,99,-2477,385,551
86,67,75,588,813,-4097
76,0,29,990,1375,-2658
-86,-85,14,1239,-789,-873
-106,-93,45,304,-143,457
11,-41,27,-101,411,-465
50,-88,-12,324,-89,-345
2,-52,15,-1152,-160,-144
-8,-21,13,-1434,-30,290
-52,-11,-95,4607,-1357,-1982
127,102,-7,1202,1454,-9309
121,-102,22,390,-1165,-9016
-36,63,9,-1426,933,-9295
67,-101,-47,-1465,1864,-6065
111,67,-125,886,-52,-1353
-127,-68,10,3353,-2896,6902
116,-57,-111,-149,505,9593
98,-64,-86,2882,1589,6452
-64,99,-41,-4682,259,-7873
127,93,-105,-463,1436,-6595
-110,52,-42,2870,-133,74
-58,-109,-43,-3137,321,6673
40,-54,-82,-3367,-435,10548
-128,25,-72,2334,-253,7849
-41,-80,-127,-5363,2616,-4700
95,-69,-83,-3468,679,-11253
53,118,-23,-1560,86,-11835
48,-84,-85,-5939,2377,-4646
71,-107,-81,795,-2108,-2516
-89,10,31,-1326,-3039,3063
-104,-31,63,-1627,-3168,4262
-52,-39,30,-2790,-1060,2729
-85,125,-36,3167,5231,-5706
34,32,75,2229,-2852,-2077
50,-64,124,254,-1544,3016
19,-111,96,2102,-3106,7546
-88,96,-112,2869,-2574,9757
107,-103,126,-215,1528,6798
83,40,97,-672,-2119,4323
80,54,-113,-55,1481,2362
120,-46,-70,-1008,-2012,4613
-90,-24,-117,3,-298,2226
-87,23,83,-267,51,-436
91,-125,55,182,760,-1870
-13,-16,26,-340,135,-1058
-57,-41,24,-636,-274,317
-13,7,36,-253,-49,143
33,58,33,-732,110,-205
29,32,26,-231,-61,-83
104,107,-31,9055,-485,-5781
-89,-89,70,-18,149,-9983
-14,70,-23,-1787,263,-8367
120,52,-16,-2307,-228,-6210
0,8,-111,248,-406,-3249
-95,-55,-26,1534,-858,2613
-18,90,-96,-1067,-97,7280
88,18,13,-123,-38,9040
-26,-86,114,5534,1239,6026
10,-27,-4,-839,-1595,-6528
61,83,-81,-1504,-1646,-9311
-70,-77,-13,-3075,-247,-6358
64,120,107,4210,-624,3969
79,1,77,-4157,-1124,10787
18,30,97,645,-351,10468
94,-122,44,-4772,3442,-609
-65,91,-64,-767,-4551,-6502
108,-57,69,-2983,1820,-12156
-109,-69,104,-2400,-829,-8045
55,-79,114,-2635,-731,-2937
-119,-51,-21,-2398,-2231,1953
-12,-41,93,-3507,-3789,4487
-5,-37,61,2184,-1723,4137
32,46,-43,-2783,2116,-3978
39,5,-25,3293,322,-3918
-93,-65,-100,796,-178,-1811
-41,75,22,-39,177,2753
-94,-50,-80,2778,-2060,6647
33,-121,-90,3439,-577,9060
-113,48,-6,-1597,1728,7786
-120,111,-11,3642,-282,3936
-79,-99,-7,-3088,662,4111
-60,-32,-17,427,-990,3954
104,119,91,-1504,-841,4990
121,20,85,-1118,91,2233
