AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-27,-81,11,3000,6151,3355
18,15,-99,654,9309,-2449
14,-63,-15,4177,5745,-6542
-27,84,-127,4779,4975,-7162
-62,-29,106,-2696,1164,-9394
7,19,97,-11331,-466,-8466
-1,92,-17,-15333,-6719,-7963
98,120,108,20415,-2204,14209
90,-13,113,-31644,10292,-30804
-125,-28,-40,-28583,-2757,-30564
-17,4,-71,14197,2107,-1232
13,6,49,-23761,-5318,-16627
15,-85,-105,1210,-5250,-10783
-103,29,0,32397,776,29819
-51,21,75,-31115,-2057,-10645
-127,110,93,23435,11460,1422
-71,-65,-106,-11033,-472,-22393
-84,-40,-2,-6718,5446,-9609
-126,73,-79,-24398,-4519,-12475
40,-127,20,18663,-3344,4136
-88,-3,-52,31263,2170,17478
1,86,-35,-19658,-1843,-3050
37,-54,-93,-16235,-8049,-12529
-37,33,9,16195,3285,7118
84,13,-36,4139,94,3317
124,-98,-128,-7276,-6054,-1357
84,62,110,-288,-2481,199
-101,97,-79,8334,-958,5714
65,-4,122,3293,-1047,5276
96,-25,82,-7104,-7323,-15
61,-91,43,846,-2922,2667
-119,-75,-93,527,-851,1176
-62,121,105,-1897,-249,-970
-9,-109,50,471,29,417
16,112,51,-85,160,1084
0,82,43,-988,-92,449
23,75,-23,71,142,646
22,65,-29,-204,-158,334
41,42,-32,-861,-294,-467
86,48,-60,-194,127,121
101,53,28,1319,6023,-2379
88,55,-6,660,3202,-7209
-8,-101,11,2035,5681,-6709
8,-78,0,447,2283,-8736
-4,-119,-30,-16156,-2114,-12169
-51,-127,-17,-12637,-8067,-17024
-92,84,122,25233,2485,19035
19,-55,34,-26733,15611,-20517
-111,-122,42,-24288,-5084,-30876
-52,-102,-75,8060,795,-6050
23,-34,-88,31641,-9520,-15265
-22,113,-36,25620,-4140,-5724
57,-45,-84,-21783,13346,-15418
-74,46,-103,20307,-1035,-32590
-78,81,8,27344,4657,-94
-118,88,38,-12083,-161,-18714
-57,-121,35,-28353,-819,-13807
75,65,-110,13758,-5408,-5440
32,35,57,30918,-3806,7519
-86,88,76,25273,9232,-29780
80,105,-60,32312,-11919,-25075
114,122,98,10910,3789,4263
121,-18,30,9180,2837,5010
85,47,83,-3681,-2983,-716
18,-7,-8,-6444,-4327,-2109
124,100,68,3116,-1233,3030
93,40,-46,5386,-1118,5416
-50,51,-65,-3567,-3241,1002
-24,-52,77,-2742,-3488,223
55,116,50,1394,-830,2061
33,-72,-90,-1686,-2103,521
109,97,42,-303,-1549,-8
-83,90,48,654,-1087,1047
-66,53,51,-707,-857,180
-45,82,11,398,-941,891
-53,-125,20,1209,-203,583
-40,80,64,-2405,-1380,-904
11,83,-66,-1542,-315,-996
47,70,-100,268,715,-9
52,39,-58,-927,-173,-382
63,-48,70,3408,6204,-2471
-104,-61,-35,-2165,7139,-7102
-96,98,122,4642,5130,-6624
-5,55,-96,-11054,-210,-8354
93,-115,-47,-32201,-9569,-16216
120,75,125,29500,5955,24303
109,98,-26,12613,-6263,-9209
-84,73,29,-4686,7252,-10090
-37,-56,26,-5879,387,-5456
-125,-71,-121,-19412,-10423,-15937
-42,62,-124,30162,5953,26023
21,-67,84,-25436,-5788,-12871
51,7,50,21312,12151,-1640
-34,3,46,-12835,-3315,-19718
98,111,-91,-28394,-219,-14615
-15,38,-81,17707,-6609,-12401
104,-32,-34,-30146,-938,15690
-63,-3,-30,14531,-3256,19588
-55,24,-47,-29537,-6662,-19174
-99,118,0,13008,4378,6212
-35,38,-50,10103,2447,5293
74,18,-41,-7811,-3090,-1936
-5,-114,37,-6999,-4644,-2240
-124,-99,70,8406,-902,5365
124,48,55,2322,-2179,4572
-29,112,-22,-4842,-3754,394
-2,-64,63,-595,-4279,1644
123,-99,53,1632,-1097,1748
-126,-53,-91,-898,-2570,919
-85,-90,85,-233,-1586,-5
-20,125,66,-960,-974,-394
-12,90,12,-1054,-1614,-82
3,96,-38,358,-1464,690
24,71,-72,120,-760,745
5,54,-76,-937,-959,-132
29,77,-76,-1412,-1334,-690
72,76,-87,-761,-875,-320
70,89,-116,426,163,360
42,79,-74,-922,-66,-398
67,78,-123,-677,129,-357
-116,-63,30,2717,3273,1105
-19,-91,68,4402,6500,-2369
55,116,-104,-4184,8635,-7708
79,26,26,3986,7511,-9424
-103,127,58,-12748,556,-13883
-83,108,-70,23268,-9041,-25097
-53,104,44,-29907,13024,-31585
116,56,-91,11130,-4864,9781
-2,100,114,-27462,-4061,-10095
-67,23,-10,23943,8318,-313
87,126,-85,-21174,-4859,-17162
-73,85,77,-18413,-8107,-24443
-104,-87,33,25512,6085,27158
8,-118,104,-1657,-5700,-8518
106,-100,114,14502,11353,-371
74,-106,4,-15608,-3449,-18703
-78,12,-126,-9014,3904,-8928
-39,-13,122,-6711,921,-4732
-82,-63,-116,-19283,-3589,-13322
-88,-118,46,29734,-1371,7433
83,-65,-118,30680,16936,31879
86,-99,-84,26742,-12255,-12996
119,108,71,1430,3607,-1720
4,87,116,13032,3636,6919
-128,-86,-115,419,-96,1548
59,-6,101,-7739,-4674,-2068
87,43,112,1122,-1013,1226
-117,68,-19,4321,-968,4465
114,-50,81,-2861,-2753,1247
41,105,42,800,-2981,2653
41,115,127,-2038,-2847,1601
25,78,92,-789,-2987,1129
106,-101,119,393,-1249,1084
-108,95,98,-601,-893,-301
-85,-90,12,2152,143,214
-31,41,113,-2310,-901,-869
19,61,-41,-767,525,35
2,59,-81,1150,773,594
-23,46,29,-1511,-1038,-699
32,55,-42,-721,-722,-243
-73,106,76,3795,8576,276
-45,29,118,2016,5594,-6435
3,-53,-63,1814,3893,-7355
-110,56,-65,464,922,-7916
-82,22,-76,-19958,-4325,-7197
-3,-115,-21,5279,-8799,-5508
-15,-48,-72,28562,895,23027
116,110,63,28789,-4611,-15087
-56,33,86,18417,7578,481
-70,35,46,3250,-116,-3296
84,-77,-121,-26420,-13032,-8814
-34,-49,-94,16729,-1925,11348
13,-69,24,-24308,-639,-11672
-52,101,-56,14321,10587,-3108
-47,-33,81,1080,-6375,-14091
46,-54,85,-22369,728,-16792
102,-1,19,-23113,-8732,-16482
-89,93,75,32477,2275,21106
6,116,-48,27301,7462,26325
-114,30,119,27428,-11502,-16311
-118,111,115,2840,4443,-996
41,-99,93,18108,3705,8729
120,-79,-49,-4625,-636,656
29,47,71,-11676,-6351,-3509
108,-82,27,5069,-1168,3741
80,88,-47,6240,-1033,6265
-12,22,-2,-9338,-5891,829
-1,-88,-14,-105,-6043,1619
-48,-86,11,3867,-428,3719
-110,117,-12,-5485,-4384,-1518
-8,-103,56,-1516,-1956,-743
66,-73,-41,3223,712,2078
-23,78,61,-588,-1315,-467
4,75,-23,-1112,-1271,-801
29,38,-116,251,-844,-879
74,65,-126,529,-5,609
40,75,-114,525,-4,458
15,50,-81,-1282,-592,-488
63,36,118,-936,42,-141
83,33,99,-568,400,103
-104,23,9,3696,5777,1855
-89,121,59,3121,7873,-3305
-35,-49,-19,-4150,3590,-9184
-25,-24,-54,4205,6675,-4752
24,-83,-38,-1255,2393,-8256
-39,72,120,-12384,-701,-9056
-2,-30,-14,-31160,-11602,-21480
1,79,-22,25504,6088,19655
-40,-27,113,25431,-11386,-14517
-94,-111,123,-14359,2950,-12345
102,-16,108,-17702,-5028,-6629
81,-42,65,15690,-5074,-104
-37,95,-121,-27793,13526,-21379
60,31,-31,20437,2631,-31298
-115,-79,-91,-30900,6868,5090
39,18,46,-9530,-819,-20638
-121,82,91,-15927,586,-14010
7,74,-36,-28499,-15708,-29959
118,-12,106,-22690,7974,20624
-104,8,49,23602,2173,-19445
-91,-113,-15,30942,-9074,-28265
11,-123,82,85,3102,1409
81,74,-27,18924,4149,8215
-87,14,111,-608,-2327,1672
-61,73,31,-13810,-5448,-3071
-1,118,113,6308,-755,4554
27,-32,-17,9594,2006,6337
-88,115,28,-9429,-3614,-1656
39,60,-58,-2620,-2169,973
-124,8,-93,814,-669,2278
-125,-81,11,-118,-2302,866
-71,-86,3,-386,-2751,758
-10,120,-51,1810,-2234,1363
-2,-71,-4,1051,-867,1039
18,-122,-21,-2787,-1222,-556
40,-112,-105,-1440,-816,-87
77,102,93,-351,-247,182
81,94,101,758,49,619
75,92,-102,-572,-554,124
80,85,119,-289,-197,3
-51,-69,-114,1140,6890,-22
117,-66,17,1030,7031,-6088
22,97,-35,3024,5468,-4331
77,-55,79,1682,2049,-8096
-16,28,-116,-1036,1455,-7867
6,6,55,-10686,-917,-9403
-114,122,-44,-26513,-10572,-13312
-67,90,51,27993,2535,18415
-127,-63,-16,28549,-6649,-4022
122,-83,116,-11385,6185,-7112
60,-53,-127,-2960,-227,-3135
89,54,-43,-15384,-10722,-10879
112,-10,-95,-32099,14080,-26112
-76,25,-29,26966,-7386,-24521
-116,2,-59,-30462,9501,3181
-31,-34,112,-10565,-6474,-18311
0,126,44,-20761,639,-18558
-4,8,-124,-17212,-10124,-18634
-86,-29,50,31141,3672,17194
77,-98,111,27019,13246,32119
-26,-96,68,26967,-13291,-20556
73,65,-79,-1558,-770,-1075
-109,36,-86,21789,3900,11044
-8,8,-122,4275,365,3603
-70,-54,-77,-18560,-6877,-5266
22,-58,51,1454,-986,1546
103,-40,56,10526,1002,5524
26,83,-43,-1881,-1970,2245
4,-37,70,-9503,-5250,-2328
68,34,-118,3337,-671,2554
-85,73,72,-745,-1531,977
-105,-123,62,-3174,-2739,-882
-19,123,-32,1328,-796,948
-8,-128,53,275,-1567,1024
-31,108,32,-736,-2218,-267
6,-122,-11,408,-1698,532
5,114,-39,-277,-620,-144
20,91,-75,-980,-158,-644
40,105,-116,820,302,494
35,86,-98,147,186,255
-59,57,77,2836,8378,2162
-107,112,-85,-3540,6309,-6178
50,88,46,5468,5886,-5021
-103,112,115,1965,5433,-8220
73,93,107,-3999,2545,-8691
-36,-41,-53,27766,-13753,-18371
5,-128,116,-26113,4375,5207
47,43,-57,18701,2249,24576
-84,-58,103,31995,-2932,-20607
-31,103,79,18718,5688,1723
-37,-115,-35,-14256,-2161,-5340
