AccX,AccY,AccZ,GyroX,GyroY,GyroZ
15,39,-124,5197,-75,-4414
92,115,-127,3517,-2394,-4947
69,-84,-66,196,730,-4876
-122,-33,-106,3576,-1839,-2176
58,41,80,2180,983,-1377
-56,-40,6,7691,1023,-1134
47,-85,-2,6351,1557,-1650
2,-91,-11,981,1734,-633
11,-38,23,-1712,2108,-491
-68,100,-91,-528,-341,-303
-97,63,-108,-1011,-1851,214
40,100,88,-6848,-2846,585
-60,56,18,-15875,-698,-815
72,52,-43,-9958,-1995,-658
109,-2,127,-8460,-4699,-472
-40,18,-23,-296,-5884,4475
-114,-108,99,1783,-8085,5729
-106,-51,115,-6007,-910,5598
27,43,-13,4093,-5096,3506
-95,44,47,3901,-1547,4840
126,38,49,-422,-1657,1362
-14,-117,43,749,-1816,-1696
-95,-112,1,1381,1999,-1303
35,72,88,-164,629,-13
35,52,101,366,-1381,657
99,31,-120,818,291,269
95,39,104,399,119,-241
83,-11,110,91,236,4
67,-2,93,-106,267,-114
78,8,103,-573,222,51
76,2,101,-345,-32,250
95,32,104,-195,-52,139
91,47,107,-549,101,36
67,34,100,-541,-220,270
73,53,122,-589,-132,272
79,64,-125,-483,-163,209
78,79,-125,-681,-163,177
58,88,-126,-998,-74,138
56,82,-111,-892,-173,248
82,89,-89,-631,-97,285
88,39,72,10406,-5486,-4149
84,-121,76,935,-1825,-5155
65,-84,-115,-359,-6893,-5932
73,0,46,-5109,-2953,-4581
-79,68,-87,880,-2366,-3777
5,120,-5,3485,-1835,-1450
127,-27,-31,3801,2355,-1564
-35,-54,-3,3903,4573,-1824
32,-109,-33,-697,3660,-21
0,-25,-89,-4664,933,-766
80,29,-104,-5912,-4397,235
37,-44,-60,-11949,-1080,-1464
48,-78,59,-7763,-3118,390
29,-70,47,-7072,-2128,2897
30,-26,-53,-2046,-4374,4103
81,52,105,-2829,-5704,6808
42,-108,-4,-1095,-1500,4260
-54,117,21,-3073,-3411,4175
124,48,-9,726,-4299,5226
-26,-53,-27,938,-2186,972
120,83,79,3133,-597,-3344
98,115,-13,-6,3505,-579
-69,-5,13,1266,-2069,995
60,66,101,649,-395,77
102,73,125,-825,1291,-599
11,-102,42,1011,-228,68
46,-14,63,-256,289,100
56,0,64,-122,120,50
55,-4,68,355,-29,69
52,9,69,-499,132,260
82,97,93,-1267,399,-154
70,42,87,-574,107,58
67,60,99,-462,-231,83
76,78,-116,-569,68,-43
60,84,-122,-711,54,-138
41,67,-119,-622,-6,84
52,93,-114,-621,-45,175
68,117,-108,-669,1,22
62,121,-104,-638,-73,71
51,116,-92,-220,-59,74
109,104,111,5632,-1359,-4328
-60,45,-15,4233,-1986,-3453
87,97,-53,3551,-5417,-5917
-18,-92,-20,1350,-2788,-3747
47,-13,-84,3381,-4333,-1714
-3,-44,-106,391,-1188,-1043
57,-2,38,3189,718,-646
-94,-33,42,3464,2867,-679
55,2,120,415,4166,-152
24,-23,71,-2840,3172,-336
120,106,28,-1695,-4041,-996
-35,126,-2,-7450,-3429,36
-18,91,118,-10617,-1961,-1208
-51,-97,60,-8759,-999,-1145
-16,-41,-64,-7076,-1079,1332
59,-21,108,-3020,-2669,3324
-9,-70,75,-2182,-4898,5642
-125,-30,-22,-1798,-4591,5665
70,-27,28,-447,-2291,4563
-84,-32,32,3153,165,3738
-35,67,5,638,-1757,6097
49,109,48,-3500,-3915,4188
64,-56,-102,-774,-1716,-3291
100,-30,56,4010,4459,-3702
-32,-111,15,-261,1334,1404
-47,91,80,-2036,-2617,1179
-117,83,-55,-241,-168,314
-109,51,-83,582,1274,-658
66,1,95,656,246,-525
71,-5,96,-258,384,-121
79,-13,79,-289,116,-33
79,14,92,-674,-30,-5
75,37,125,-937,-169,236
74,39,-114,-212,-133,101
60,38,-110,-259,-198,233
56,43,-109,-691,-260,478
67,74,-98,-537,-305,300
68,90,-82,-807,-150,317
57,96,-83,-498,-277,268
57,88,-75,-126,-305,398
-92,-56,12,2741,1466,-4321
-77,14,-67,4052,-1247,-3285
107,40,63,5755,-4225,-4885
-30,-80,-97,1729,-3883,-5139
105,-31,19,-1892,-1485,-4392
-87,68,-40,2450,-1705,-2183
-109,49,65,2238,-909,-444
-128,68,-92,2313,2129,-541
15,126,110,3862,2992,-399
126,77,66,1367,4093,-55
91,-43,-71,-1780,2702,303
-16,-18,-96,-679,-1695,-901
57,32,8,-7538,-4196,-955
88,60,-57,-7656,-2973,-1997
16,-123,9,-6472,-2720,-979
-27,19,-30,-6767,-676,309
-118,67,61,-4538,-2561,2077
-76,78,60,-2607,-3707,4269
-29,-96,126,864,-5054,5918
-63,-5,-23,-1816,-2446,5491
-63,-24,-14,-450,-1529,3821
-59,-46,-96,1520,-1293,3742
-88,54,17,1713,-366,4981
20,68,-39,-847,-2213,2762
-68,70,-61,440,-3067,-1728
-104,40,-4,1103,2979,-2538
42,-99,89,1086,2097,-367
-115,-72,8,-370,-1663,1913
39,9,93,-168,-770,887
120,16,-120,-238,472,-202
56,-45,104,-82,151,-350
27,-89,100,86,184,-128
38,-86,86,-32,192,-166
43,-98,80,-188,0,88
33,-67,88,-626,-130,315
30,-48,93,-572,-217,340
41,2,106,-699,-112,281
37,8,102,-634,-132,264
47,19,102,-645,-337,377
55,58,126,-902,-389,306
73,18,14,3957,-2149,-4799
-103,30,87,4039,-3516,-6258
-107,61,43,686,-2303,-4415
37,8,-127,3548,-2073,-1931
-2,116,60,3300,526,-833
23,-97,32,2673,3627,-535
-123,78,82,2740,3710,-262
-4,90,-62,874,3895,549
2,36,94,-1277,207,-831
76,-117,18,-2953,-4619,-449
-9,35,99,-7388,-3299,-1257
109,10,-90,-10181,-3412,-425
86,-12,58,-10866,-1186,-1435
104,36,124,-4837,-2688,1155
-69,22,33,-40,-3633,3635
-104,24,84,1490,-3792,5502
-27,-6,-61,-358,-3228,5477
-97,-19,-91,1045,-283,2807
55,20,-89,1353,-637,2303
-18,-9,-14,601,-2240,4373
125,-123,-41,1669,44,3732
52,-57,-10,2220,-1455,2053
-87,44,77,-1210,-945,-121
98,-110,87,-43,396,-851
19,22,11,936,293,-753
-22,37,-22,64,-302,-170
-2,76,-10,-1085,248,-121
32,88,-3,-1350,327,-544
50,88,7,-872,67,-719
71,75,40,-650,241,-864
27,60,30,-455,33,-813
1,64,49,-857,172,-516
18,23,21,59,436,-452
1,-11,-18,-34,-464,320
18,-107,37,-2167,-162,690
50,-114,58,-857,-200,391
17,-76,80,-223,-403,279
14,-63,82,75,98,-17
9,-92,50,106,-168,238
16,-90,56,-237,13,500
55,100,-81,2461,2703,-4213
14,110,-52,2669,-1882,-3586
22,87,-45,2634,-2452,-5497
28,92,-72,2425,-3618,-4142
125,23,-17,2829,-2474,-2862
111,54,80,4054,-871,-1675
119,-49,6,4817,1073,-1404
-24,59,54,3257,2496,-1200
84,-67,-58,5,4167,-514
112,119,90,-2308,2727,-994
-64,100,-51,-881,-2971,-55
51,106,103,-9992,-3094,-344
41,39,-4,-10097,-2832,-1686
-15,20,5,-8896,-1148,-1578
-10,-127,-99,-8236,-1064,496
117,94,-112,-4932,-2613,2088
-65,16,-84,-1038,-7200,5483
-27,-50,60,-1912,-7861,6436
-109,75,-21,-2153,-3490,4202
78,55,108,2937,-2228,4236
-13,-25,-80,1329,-1709,4431
-105,56,-3,368,-3023,-1572
-57,-7,77,492,1359,-1850
28,44,-94,836,1764,-458
2,-102,-110,-473,-1232,729
115,-88,-61,-1013,527,-289
-105,83,-83,-302,985,-924
121,43,-105,76,465,-285
113,63,123,-424,574,-519
104,91,-117,-1211,442,-82
109,86,-112,-587,306,-35
109,90,-120,125,267,-135
116,78,118,-111,155,-64
88,48,94,-212,-400,258
65,103,-122,-1077,-700,503
71,109,-92,-397,-467,594
98,-119,-83,-365,-201,397
89,-125,-97,-238,-499,390
75,-118,-86,-298,-475,408
83,-98,-76,-631,-28,236
-57,-126,37,2659,-1624,-2812
-72,-122,66,2522,-3820,-2894
-21,70,93,814,-4404,-5180
8,-57,-51,-921,-3271,-4521
-21,11,107,-1546,-2659,-3396
1,-83,-22,-1349,-1081,-2816
26,92,-98,-285,99,-1003
72,-8,-41,3315,811,-995
49,-109,8,5016,1559,-1005
-86,-104,-34,1990,4460,-1238
122,-14,29,513,2964,903
-104,-1,-14,-3590,-939,-450
75,-10,-9,-7976,-3964,-1197
-128,-56,77,-11224,-3193,-1625
-67,113,-18,-8343,-3064,-2178
-75,-102,-5,-6923,-2072,-1525
-38,125,28,-4564,-2909,453
61,-22,-83,1229,-4324,1950
44,-83,-46,2000,-4251,3190
-82,27,51,-1605,-4321,4600
-6,24,95,-434,-4151,4498
-126,32,84,1530,-1985,2369
-24,-23,107,975,-56,82
-46,63,76,735,-2035,2257
-100,21,-105,2212,-600,1363
104,-27,5,3354,-556,575
105,-72,15,1636,374,792
77,-86,13,79,15,962
54,-88,54,-503,-119,1161
14,-102,42,-525,-389,760
40,-89,63,-1127,-241,550
43,-116,54,-40,-649,357
37,-109,44,165,-371,-234
32,-103,18,-1045,227,-864
-7,-34,32,-123,55,-539
3,6,5,-863,612,-276
43,-40,-54,631,54,-350
10,8,-72,-463,136,-512
-53,32,-92,1762,-458,434
-20,-76,-38,-396,-728,442
112,61,17,1995,-1485,-5542
66,-118,79,1671,-1016,-4335
-122,120,-119,6471,-2822,-1027
-77,55,-113,4755,871,-1308
-22,113,7,5516,3888,-1295
-91,-17,-53,1193,3721,632
9,83,-56,-4169,2300,286
70,4,-35,-241,-1391,-1206
106,-1,-127,-5521,-3033,-1191
-1,110,-77,-10609,-3311,-1496
79,43,-38,-10962,-3394,-987
72,110,96,-9887,-1621,-187
121,-32,-89,-3865,-4277,1083
0,-123,70,1236,-5207,2868
103,-12,121,843,-6547,5523
-5,46,-3,-376,-2804,4008
85,98,-78,3583,-824,2107
-47,-40,98,4472,-3993,4120
111,-118,19,-2455,-2029,4547
100,87,-125,980,-1876,1113
-89,-21,-119,2910,-160,-1615
44,124,54,2084,890,-1404
-36,60,-16,600,-102,-509
-43,40,-30,-59,-86,275
-31,18,-42,155,-692,703
4,51,-28,-256,-448,-76
44,51,0,-1404,84,-477
6,15,14,-1565,304,-298
-14,20,25,-760,391,-453
-2,11,3,502,804,-403
50,51,-37,758,1391,-435
77,27,-96,687,-362,38
22,-123,-36,-2228,-559,-503
-13,123,6,-2043,-366,-208
-46,-128,88,-1242,-290,230
-4,-113,101,-456,186,307
44,-96,92,-195,199,309
48,-80,49,-145,-213,261
32,-52,63,-821,-166,43
37,-64,73,-796,159,139
-97,95,-83,1804,-1774,-5032
34,63,-24,1762,-1552,-5454
