AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-79,-96,33,-4409,3302,-2021
-33,-118,-51,-1493,3459,-2690
-27,-112,-37,7643,3077,-2128
-72,78,-101,19105,-3278,-46
51,67,88,29279,-15745,-1165
-13,-102,56,6585,-9178,-6912
-108,112,83,-1259,-237,417
75,-16,-97,-4808,4479,2063
-46,90,110,1110,-1469,144
39,49,1,-2906,1299,847
7,101,-13,-1879,925,1294
115,6,35,-6493,4212,2600
-105,-64,92,-11245,6749,2448
77,-32,59,-10094,5097,2119
125,57,-37,-8224,3881,2155
126,-109,115,-7097,107,698
-90,30,21,-1933,-1576,2384
56,-41,43,-3000,20,1166
39,-57,-32,-2040,-1480,1037
5,82,16,-671,-2335,1426
22,79,-7,682,-554,1533
41,102,-94,374,-500,1275
16,101,91,-154,-623,825
-34,27,98,563,-1783,759
-26,49,-128,154,-689,616
-77,38,124,298,-403,4
-86,16,109,580,48,-474
-99,-21,83,454,-6,-548
-98,-42,72,540,-153,-382
-82,-37,72,-94,299,-385
-94,-43,53,-238,-144,-377
-94,-73,70,48,-384,-80
-86,-48,100,-458,19,-20
-82,-48,89,-346,35,41
-82,-60,73,121,-169,167
-74,-33,73,-140,-76,116
-72,-42,68,-59,-105,135
-62,-30,68,-158,-8,16
-65,-48,67,-37,-103,125
-71,-33,66,-179,-244,49
43,90,-36,4156,2678,-3227
13,-119,-12,15808,2435,-3118
115,20,74,25342,-17628,-532
124,-76,35,13899,-15090,-6574
-31,-86,38,-2514,-2142,-767
-120,-61,-41,-6174,6329,-32
79,-5,60,225,-48,1840
102,108,63,-983,411,458
115,94,-108,-2264,1125,959
-60,51,-4,-5103,4316,1613
6,-114,-93,-10052,7023,2477
-53,-71,-116,-8791,6333,2129
-68,-33,-116,-8423,4486,1588
-53,47,-73,-9490,2289,1147
-64,-53,-28,-5168,-772,2046
-45,127,67,-1037,-3960,2729
88,-15,-58,-330,-908,1988
110,89,-57,-1985,-782,905
24,-32,-97,13,-1599,1229
-28,-61,120,2031,-1122,1086
-50,-30,101,1615,-474,441
-81,-56,101,948,-734,217
-122,-95,94,849,-781,15
117,-124,99,1088,-718,-482
95,86,104,1147,-394,-706
113,86,-118,26,260,-562
115,66,-127,-343,188,-228
125,53,105,-74,108,48
-124,68,106,-171,42,140
-125,83,94,-193,-152,52
-110,82,95,-84,-80,36
-116,84,87,-35,-137,29
-105,87,101,-326,-90,250
-106,116,94,-339,220,66
-118,107,74,26,-214,24
-107,113,85,-38,-147,50
-93,-128,91,-417,166,-19
-95,115,78,-116,2,70
-89,118,68,94,-154,-33
-85,125,76,-158,-104,-17
22,64,-16,-3865,2774,-3293
-1,44,-68,-1540,3493,-5163
27,-79,-46,4854,-35,-5374
-114,-120,93,24422,-16766,-2983
86,83,-51,21997,-19576,-5956
106,-65,117,-985,2485,-2900
-113,3,120,1016,-716,-2055
93,-14,121,-4837,3204,3283
122,49,-78,-3358,1289,1054
24,-18,-14,-1131,76,612
-94,4,-110,-5953,3981,1109
-35,-93,-66,-11038,6899,1352
-71,-127,-122,-9023,5871,1767
-119,-95,85,-5038,3607,1023
-77,-24,0,-5117,858,1356
22,56,66,-4527,647,2798
37,-115,79,-5312,-372,2278
17,124,96,-2170,-1391,1264
60,-59,-29,85,-1036,2486
19,11,-106,1193,-266,1958
-16,-27,125,1138,-297,1182
-23,-98,-122,1104,-680,1465
-57,-87,-107,746,-223,921
-103,-87,-112,433,-408,190
-113,-115,-106,436,-172,-166
-123,103,-111,213,-259,-468
-125,76,-117,528,-160,-423
-124,44,-118,627,-117,-352
122,42,-123,386,-397,-166
-128,45,-107,57,-206,59
-117,56,-108,-265,-24,-6
-115,62,-116,-443,-86,123
-114,77,-112,-470,-89,87
-107,86,-117,-234,37,26
-103,90,-126,-158,-39,-8
-100,94,121,-92,-55,29
-97,108,125,-242,73,-54
-94,97,106,-41,-80,18
-91,106,107,-148,-72,87
-85,123,107,-281,30,-16
58,21,-91,-3664,1320,-5340
0,13,-67,6264,-1420,-7327
-112,56,37,19024,-12817,-5310
118,126,-120,22359,-15778,-6229
-48,-21,-57,6327,-9144,-4287
-75,0,-79,-5012,2401,-516
23,7,-101,-2314,4054,1955
-73,-90,-100,-1783,1162,1002
-17,-53,-11,-2953,1691,1277
84,-30,75,-6187,4787,1944
91,38,-121,-9741,6470,2779
79,-70,-126,-9547,6371,2132
82,39,-31,-7601,4577,1465
-94,47,42,-5433,1501,962
-83,80,1,-3392,-1395,1793
6,105,-127,-1584,-677,2586
31,-84,-70,-3470,-369,3024
0,-107,-103,-2215,-780,2559
-34,38,-98,-178,-1680,1594
-8,5,-122,1621,-1041,773
-16,13,98,1574,-774,162
-50,-17,79,1287,-887,106
-95,-72,62,1386,-1219,417
-109,-53,86,669,-804,234
122,-53,99,-52,-81,-339
111,-95,82,26,51,-513
107,-122,68,288,-144,-407
109,122,72,269,-255,-240
119,127,76,48,-67,-206
-122,116,70,-9,47,-248
-119,117,64,-264,-16,-68
-125,123,62,-278,-57,97
-119,-123,56,-172,3,110
-117,-116,46,-129,-63,116
-112,-108,46,-212,-144,85
-105,-100,55,-279,-103,55
-105,-99,57,-155,-103,-11
-100,-98,55,-119,-63,-60
-93,-101,49,-223,-102,-37
-101,-95,52,-280,-110,16
20,17,-95,3105,-528,-4850
48,18,64,14795,-4898,-4461
33,109,38,23399,-23842,-6271
76,-14,14,6854,-7870,-9808
55,-1,9,1174,-6951,-1806
46,73,66,-8121,12068,3386
18,63,41,1914,-2563,-370
74,12,80,454,1043,209
-89,-16,-98,-2762,3775,1354
-106,-73,91,-3717,4096,1733
-58,64,98,-6498,5712,2049
-64,-125,-43,-8919,7318,2353
103,115,1,-8660,6293,1950
125,-76,-127,-7821,4853,2262
-77,-43,108,-5903,3448,2380
-68,1,-61,-4075,228,1700
-38,3,94,-1653,-537,1458
-40,-2,102,-722,-701,1508
-34,5,119,297,-411,1007
-43,-33,111,1104,-583,802
-39,-70,-123,892,-453,961
-47,-73,-128,329,274,1104
-98,-95,89,636,-324,724
-127,-119,94,691,-745,368
-124,-124,120,419,-505,-155
118,107,-123,97,-350,-348
118,86,-124,34,-143,-432
118,66,127,-99,-164,-230
119,62,122,-237,-128,-35
117,65,112,-102,-117,8
127,77,109,-294,31,16
123,80,91,-181,-78,119
-128,88,87,-81,-104,54
-120,96,85,-63,-14,-70
-119,94,78,-128,-117,70
-115,97,75,-107,-133,32
-113,109,83,-244,-88,69
-109,110,76,-153,-62,46
-110,116,75,-159,-83,35
-107,117,67,-39,-44,-11
-22,-120,100,-4271,2174,-2337
89,94,-76,58,2032,-3776
44,-5,-39,5376,-852,-4621
-29,-96,-98,16337,-8019,-5492
42,-19,113,26862,-23841,-8739
-17,18,117,3506,1902,-9810
102,34,27,-957,-979,1936
-30,-32,-36,-4982,3360,2722
0,-89,-85,2009,-2272,-619
-29,-55,-46,-4080,2084,2301
-80,-83,111,-5621,3805,2153
-66,54,-1,-9386,4860,3278
-93,-43,39,-11109,5670,2820
103,-38,6,-8020,4491,1917
-78,77,60,-7697,2739,2027
-77,99,-94,-5226,-465,1569
-34,-125,33,-2380,-2437,2945
29,-61,-83,-1644,167,2110
