AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-43,62,77,2120,6475,-2738
-28,36,-46,4601,91,-6191
-112,-64,-38,3007,-171,-6626
45,112,24,909,295,-8288
17,10,55,-2082,1933,-5652
-48,19,-52,-4264,400,-2130
-77,52,-78,-4149,-1913,895
-114,25,-55,-2954,-909,883
25,-51,39,-3436,-6279,5160
-52,98,-50,461,4615,-1843
70,-3,111,12461,2413,-3338
-99,113,47,2225,-3371,432
50,115,35,1892,-2687,261
35,120,38,212,-475,3088
30,65,-77,2360,-1681,5906
94,-17,15,770,-1362,6653
35,46,-42,-2411,1049,5259
110,-39,29,3040,-1947,3863
28,126,-84,-6336,242,2824
-8,126,18,-478,-3078,3262
84,87,29,13009,-3453,4390
55,82,-128,-4977,4085,-4009
-58,-73,-22,-3320,-102,-4351
-124,83,-121,-2128,107,-3021
59,25,-108,-847,649,-424
52,113,-91,27,-74,848
108,-52,-38,674,90,838
-72,32,-32,711,42,305
-58,44,-41,133,114,-408
-90,12,-28,113,188,-609
-114,-31,-43,133,134,-211
125,-14,-53,352,34,-60
-118,15,-39,109,219,-183
-106,14,-40,36,198,-271
-108,7,-35,58,143,-279
-114,11,-18,54,245,-288
-122,9,-33,20,153,-273
-120,9,-31,-13,223,-259
-120,12,-26,42,196,-249
-118,23,-14,-9,219,-299
-127,-77,101,636,3855,-4360
79,-106,-41,8604,4627,-6605
-36,-15,-43,1430,-1828,-8116
78,25,-65,1821,-240,-9600
35,21,-60,-2519,1754,-7454
44,118,-100,-665,4612,-3860
-52,107,99,-8410,-4813,888
-110,64,28,-7492,-4847,-316
14,74,114,-5076,1054,2477
-44,-14,-72,12842,5525,-2137
23,24,67,5094,-1238,-922
28,-84,96,-628,-1198,-1026
-6,-27,-128,3607,-4551,2442
33,-126,-64,1956,-3389,3796
-31,117,-109,1469,-1853,6080
37,7,38,-2572,75,5517
0,-67,-41,-2845,-2904,4557
3,-75,105,-2249,-504,4000
-126,-69,62,-431,673,2794
-8,11,29,-4697,-2187,3044
-57,109,-107,-205,-2196,179
-102,32,106,1737,-2412,745
-96,-35,25,1104,2493,-432
-21,-57,25,-5336,3711,-3286
76,-128,-79,2360,-671,-606
41,-72,-22,1531,-753,-107
84,-9,-15,1339,-127,84
-123,8,-47,1118,311,112
-99,55,-49,-246,251,-354
-113,27,-26,-623,13,-469
118,-17,-7,256,-16,-357
103,-19,14,400,49,-206
104,-14,16,748,80,-19
114,7,-10,810,-39,-190
-114,46,-19,96,2,-94
-58,-115,37,-1528,747,-1037
7,116,79,-622,638,-1566
-88,-76,-81,782,1624,-2687
-87,-92,33,6225,1091,-3703
-49,23,-26,1496,1520,-6515
-124,-90,-97,427,660,-8464
94,33,25,-116,1734,-8061
34,-121,8,-6102,7001,-6803
36,-49,49,-933,1602,-1151
-61,-127,-61,-10630,-76,904
-48,84,-5,-2456,-2040,161
-78,-89,113,-6752,-2074,3530
79,49,119,2575,957,-1607
-28,-64,-114,8522,-952,-3431
-67,-74,78,6564,1379,-2119
-13,-39,121,6497,-5329,143
79,-88,63,1748,-801,1482
18,-109,-125,4088,-316,5510
84,-40,103,3741,2237,6776
-102,-80,-49,-372,5094,7267
46,23,-124,-3244,-1116,4990
120,117,71,-3568,-2070,3693
-25,118,-74,11,-2893,6260
23,-24,86,18606,-7780,5332
-75,-108,-113,-6710,7490,-3827
113,6,14,331,-2975,-4256
127,-1,62,-3111,1192,-2617
45,-13,-79,-1032,1506,-1064
14,-39,4,1254,-136,441
107,67,83,210,789,1056
-75,-36,121,-1547,139,324
-88,-35,-51,-119,127,-900
-79,-90,12,175,542,-914
123,-121,-93,10,-212,-467
101,-113,-93,193,-80,-139
95,-71,-59,163,0,-32
123,-75,-84,586,369,152
-119,-32,-91,-177,143,-30
-119,-48,-96,477,1,29
-87,3,-57,134,-10,-225
-55,44,-23,-475,601,-930
-21,84,3,-1158,474,-1369
124,-82,81,-254,2391,-3023
-124,-40,-71,2189,2571,-3671
51,-2,93,1533,2504,-7215
-118,32,34,3794,2002,-7632
-119,-10,43,-388,2501,-8452
-50,3,-102,-3016,4582,-5984
-58,53,-43,-2472,1338,-3019
17,-99,-3,-7960,-660,67
-75,111,-18,-5089,-347,-1222
-48,97,59,-523,-4307,4249
-116,2,-119,746,4453,-634
-125,-33,58,8683,-2191,-4667
110,-6,49,3718,1686,-454
-71,102,4,3869,-959,-1438
-128,17,20,5517,-1925,606
119,46,-97,3036,-2924,758
87,76,14,3372,59,5671
-8,10,-95,1060,4448,8005
-32,29,-71,1442,2293,7926
45,-114,56,-5095,1770,2995
-101,-69,93,-3238,28,6732
41,122,60,1705,-4007,3237
69,90,-85,-3761,118,3141
35,117,38,6104,-245,-1161
47,89,22,-2826,1225,-3770
118,-4,26,-2057,-282,-1791
55,3,97,-517,-221,-799
64,28,124,165,397,128
88,71,100,1472,-12,997
-108,-94,-94,1468,205,420
-75,-60,-72,634,36,221
-72,-52,-98,134,35,-338
-89,-77,-107,-293,330,-593
126,-91,-109,-400,340,-398
-123,-85,-101,-228,262,-274
-109,-67,-90,-228,349,-328
-114,-60,-95,-166,286,-391
-115,-58,-74,-171,306,-262
-112,-45,-62,-147,251,-317
-124,-33,-69,-86,147,-214
-114,-20,-54,-239,327,-327
-117,-21,-64,-150,216,-242
-114,-8,-47,-108,311,-288
94,-25,-59,1448,2616,-5890
51,51,8,5092,1183,-7273
2,123,107,1535,-1792,-8958
55,31,-72,-2686,267,-6383
-107,45,124,-5152,3042,-4689
-11,0,-127,-5303,863,-2012
-63,-41,-37,-8248,-4011,1350
-28,-58,89,-7045,508,-2501
-113,119,-111,788,-654,5449
-108,68,53,14478,3989,-2746
51,60,-61,2152,-1798,-199
95,38,-76,2761,-754,-1488
-104,83,-16,2947,-2544,1416
0,93,-20,855,-2875,3716
-13,-122,62,538,-1175,5681
-94,107,85,3071,75,6493
-59,-125,98,1722,1039,6656
55,-50,45,-2676,-243,4367
-41,89,48,-8632,654,2166
-100,94,90,2883,-3842,1976
100,30,23,-732,-2829,6627
56,-104,-16,7084,611,1575
-68,-59,50,-1324,1852,-6355
-103,69,-75,-1893,-263,-3849
97,-11,-83,-516,-585,-553
41,96,-110,-964,866,29
51,105,100,1025,84,359
127,-70,-121,370,-384,765
-79,-25,-34,997,297,110
-72,-7,34,866,100,-273
-86,-31,-64,91,-106,-411
-113,-50,-68,104,100,-379
116,-49,-73,13,195,-271
126,-49,-79,170,234,-129
-118,-23,-60,-5,279,-302
-115,-21,-44,-96,283,-349
-120,-29,-43,-52,203,-372
-126,-38,-40,69,198,-257
123,-28,-46,185,131,-210
126,-16,-45,168,174,-203
108,53,-59,-1415,2571,-3447
-53,-115,80,3931,3490,-4040
50,100,53,6248,-10,-9001
-15,-54,71,1885,-824,-10029
-90,-74,101,-2256,4164,-8186
-118,125,-128,-3493,3185,-4051
52,97,-107,-9114,-1602,317
10,112,9,-7151,-3708,240
-67,62,-13,-4875,-8017,-1164
