AccX,AccY,AccZ,GyroX,GyroY,GyroZ
67,-109,-75,4979,2752,-1435
81,-66,-60,8602,3980,-4188
125,106,76,9626,1513,-7351
42,-11,-19,5140,3216,-8198
-69,-114,-43,4823,2700,-12044
-36,-76,-16,5474,5360,-10506
-20,-102,3,5550,-1751,-2938
-65,114,84,1014,-3416,-1095
127,13,-87,-3280,-5762,-1050
34,0,-119,-4912,-9966,4384
-18,43,26,-8463,-6153,1184
114,10,-63,-3824,-9133,-1352
24,124,50,4678,2651,1240
59,-42,97,6472,4074,-10718
-121,55,127,3741,-1150,-410
48,-57,63,-2270,-3603,-850
-30,19,28,3388,-3183,-30
42,55,106,4172,-2224,1250
120,-50,51,1894,-1704,1329
0,-120,61,3890,-1177,4480
-6,29,20,2619,-501,4020
-123,13,-18,3629,-160,4819
77,-38,-48,3189,-451,4632
-32,89,31,-1815,1347,2698
66,-2,99,4450,-1788,3753
-42,-73,-10,4207,-2377,2470
90,14,91,2066,174,-2090
-47,44,-91,-1010,285,-1452
47,-126,-82,-2613,575,-1956
31,73,-66,-2307,1071,-1252
34,64,-71,-1490,1114,-636
25,88,-86,-199,692,-411
46,113,-66,136,277,-358
55,-104,-41,-743,284,-466
50,-109,-33,-478,209,-186
59,-106,-20,314,-7,-63
69,-74,-19,511,36,-15
82,-36,-25,172,85,-50
94,-21,-31,-85,366,-175
94,-13,-42,-119,261,-277
69,-30,-115,4815,1898,-2906
87,51,-57,5503,4152,-5296
123,3,30,8343,3977,-4570
-11,14,-63,5705,257,-8185
107,110,-12,4878,-664,-11110
127,-116,5,4745,2659,-12577
-84,-37,0,5682,2064,-6783
54,-60,112,3446,634,-2073
118,-54,104,-3707,-8540,5374
-107,-26,-76,-7767,-13344,5737
-19,28,-16,-15123,-7550,984
107,41,-115,1073,-7156,-420
33,94,5,-1589,-2039,4397
24,-27,16,2604,3064,-4638
86,-105,-39,10085,-1093,-7236
79,74,-70,5360,-4313,-704
87,75,70,-3795,-2775,3798
32,104,67,-1960,-2304,-103
56,-74,62,5121,-3039,1447
-44,69,35,4566,-2684,1481
83,70,4,3703,-991,3008
-19,2,-25,2658,158,4807
-70,97,-111,3873,-466,7268
22,7,19,-47,-1973,5715
-99,35,2,1951,-5568,3579
16,60,80,3923,-236,-4121
34,29,-20,-6371,4360,-5194
27,-106,-23,965,549,-1139
-20,20,82,1951,-341,20
1,106,-121,1226,-137,-152
81,105,-106,706,588,-61
108,-60,-82,-1840,599,-545
84,-48,-7,-2280,430,-1267
90,-86,127,-1967,1335,-944
38,-126,-12,-432,440,-369
57,-103,-33,761,95,-194
91,-46,-19,521,316,-391
91,-37,-42,-29,825,-629
76,-62,-68,64,378,-531
64,-71,-66,34,31,-323
10,25,105,3057,2490,-2438
121,10,-115,4942,3484,-3532
121,32,61,6300,4746,-4554
120,110,-98,6414,3568,-7590
-75,75,53,4839,2103,-6789
100,-32,82,6070,1288,-8435
99,93,-67,7085,2006,-9341
94,97,-128,1335,1818,-3241
-102,96,10,3818,459,-407
-6,-83,-57,598,1434,-1867
-97,-29,-35,-1351,-3781,310
74,23,-107,-6555,-9811,4013
101,-77,-122,-9174,-11573,-212
127,-53,59,-5255,-9247,-2312
-58,105,2,-359,-11914,3985
-53,9,-39,3038,2622,-234
42,72,45,3991,1525,-7042
-10,67,65,5729,-3258,-2018
-81,-104,-115,-6224,-4246,1218
-94,-124,-52,-5420,-2553,-991
125,47,122,3251,-2923,-1030
113,-83,-75,3266,-2339,-1660
89,127,55,5184,-2433,449
-13,56,-44,3965,-598,1480
-73,-59,95,2601,-519,2427
50,-79,99,2477,-649,3578
46,-56,49,3845,-1605,3264
95,-73,-13,2778,-610,2080
31,98,-103,2697,-988,1887
-30,97,-58,3586,-1860,718
-59,69,31,3024,-800,-1104
-107,13,-36,82,899,-703
67,-51,-110,-2288,1272,-865
76,-44,-81,-3088,1204,-1039
90,-56,-70,-2735,1364,-874
79,-62,-61,-1677,1270,-869
87,-47,-34,-1342,978,-1260
97,-68,6,-1427,1100,-1621
89,126,-22,81,1006,-767
68,-87,-8,-972,1052,-1194
49,-9,38,2451,3186,-2651
32,-69,-63,7238,4463,-3425
94,-111,-128,7287,6264,-6765
-58,46,-34,9698,4566,-9569
-47,116,55,4832,2298,-12351
58,-106,84,7658,1684,-12122
-72,-89,-20,1927,2250,-2158
111,-67,-50,2802,3438,-491
-113,17,107,-3951,-7380,1422
45,7,-70,-10489,-17031,6537
24,0,112,-11212,-8883,1017
-110,50,-18,-5398,-12719,-1786
27,85,74,1882,1120,5599
1,11,77,1529,3658,-5702
114,75,50,2582,3154,-8937
-116,-86,-125,12813,-7795,-726
