AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-116,59,-56,-4265,1301,-4322
-38,120,66,1883,7532,-11976
-77,-28,65,12719,1457,-10449
127,-89,113,3147,12411,-5701
-15,-100,-70,12514,6629,8501
14,99,73,-4952,22061,575
26,39,40,-21721,10470,17087
-78,-52,90,-3064,-13772,-6531
7,-114,22,-7693,-10792,-18406
31,56,82,-11633,15698,-12028
-36,47,77,12530,8759,13039
-108,0,89,-7281,8559,14410
-92,-58,108,-3839,15663,12524
8,19,64,-5340,-13955,-18630
-112,-5,88,764,-18290,2381
-127,98,57,-5696,-10597,-13019
90,-53,101,-5281,-5548,-6318
3,-19,125,-1215,-9326,5830
96,36,45,-6017,-2351,-3041
7,86,70,-3009,-2108,-6339
61,98,-70,-496,270,-292
-16,-117,6,698,-875,1286
5,-1,-118,-70,812,4079
-33,65,-112,4830,1802,7695
-44,-27,-33,1452,3408,8540
-3,13,64,-4179,4581,7837
-65,43,49,3994,-2098,4414
-72,-116,-101,-4304,-2421,6338
62,-124,58,3619,-4074,1557
77,-103,84,2756,1143,-3576
118,4,64,-4047,2753,-3771
-76,29,-24,-2510,953,-2616
83,-49,34,-1157,497,-980
66,-32,14,571,-57,-69
98,8,8,931,-23,141
-116,70,35,-14,95,-141
-109,90,70,-891,239,-501
-118,70,-109,-260,788,-598
107,28,88,528,-136,-132
119,56,52,235,81,57
0,123,-33,6754,5694,-9471
-4,-9,78,17604,2229,-10990
15,74,-89,-3123,18786,-2988
-64,5,117,3946,21740,9177
53,-20,116,27972,-9686,14983
-19,-97,-73,-5184,-6378,-28104
61,-10,-58,-9516,13262,-352
17,21,122,10516,6018,8570
-57,-118,-82,-3408,9979,10582
82,-50,-77,3807,6958,17240
-116,5,-98,-7642,1342,-5759
78,-65,82,-4625,-7298,321
-15,-61,114,-2616,-7636,-9605
-3,-54,11,-572,-10423,-9774
-2,89,87,-3250,-4989,-2654
-125,-77,-40,-2507,-6583,-2491
-18,-80,-84,-3413,-1294,-1054
-119,-80,-59,-3884,903,-604
107,-66,63,2659,-144,300
77,-83,-86,-1866,740,124
-88,-103,25,80,-370,1106
-89,-34,-59,-1119,663,-79
36,118,-63,-2281,2394,1708
88,107,21,-1053,1639,3201
66,34,87,-1763,1792,4084
36,-74,104,-1032,1093,3709
-126,3,-36,-3731,547,4246
69,-71,-29,1171,-814,6554
-115,-104,77,-175,-262,2999
25,-80,44,-1677,-613,1176
65,66,97,-1514,-1257,-227
-91,-37,74,382,-544,-847
40,125,35,2066,-519,-981
12,87,-113,2010,1477,-602
-55,87,-16,-131,-564,-128
-46,62,-34,-591,-127,-418
-29,43,-51,-804,1041,-817
-9,-1,-74,-405,1479,-784
-81,11,-126,-345,603,-865
120,21,-66,-816,-374,-973
16,-112,23,3292,3820,-3818
15,-128,92,12109,2093,-9055
39,36,121,3907,3349,-9514
-110,-27,106,-7486,12815,-6664
-17,22,73,920,17784,8266
-52,-5,-65,-26769,8131,9683
63,-59,77,-4210,-20144,-2341
17,36,13,12,-4307,-11000
28,-82,42,1632,-3688,-12476
7,-5,-72,5159,11511,-5566
-102,31,29,-6428,16937,2151
-42,52,-8,-9857,2930,8136
15,-15,-116,-8106,3077,15028
108,-94,-97,-229,4649,-75
-99,103,24,-4679,-7993,-8728
110,-43,23,-226,-8742,-4328
-52,119,111,-967,-9676,-8366
-109,-93,116,-2435,-7708,-7807
-57,-66,-83,-1579,-4181,-9098
-25,-56,47,-5321,2040,-5989
110,29,114,-2843,-5946,398
27,-23,-21,-92,-1612,3015
-23,4,-85,-3021,-3504,463
-33,125,-112,-5596,-1260,-2922
99,70,-110,-724,-1035,1662
22,-51,-26,1795,-3057,3343
26,-47,5,1431,-1119,5593
81,-124,-37,-466,891,5701
-29,114,52,1527,-563,5607
-54,-58,-111,1739,-1863,5300
-126,21,-7,900,-5198,4106
-106,51,-97,-7025,1684,2599
17,48,123,7473,-1397,-959
-94,127,-104,7894,-2161,-2747
-23,-100,-1,-1434,-451,-66
-127,110,-68,-3079,-129,-1618
123,14,-49,-961,1104,-1036
-126,-41,-76,437,1452,257
-97,49,-98,-88,928,159
-83,108,-45,-1471,187,-962
-104,-88,27,-5757,3097,-6582
-33,98,3,14943,2831,-6585
103,-47,-79,9472,-3238,-10065
-22,90,-55,-897,10166,-5521
-47,-111,36,8756,11385,125
-33,120,-113,-5457,18796,5028
-31,77,-119,-16368,-16260,1746
-34,-118,81,-5219,-10113,-8417
80,-23,-117,1874,-1792,-13134
-31,10,-70,4690,6606,-3999
123,58,45,3025,10027,2509
-113,-14,-16,-7396,10120,5632
-128,40,-122,-6125,1938,11242
44,-34,33,-666,4818,10030
-125,63,8,-4797,1607,-2808
-45,5,-77,-871,-5470,-10957
64,-78,120,336,-11811,-3792
-68,-67,88,-3945,-7184,-6998
-78,-32,85,-3489,-4929,-8963
64,50,4,-4133,310,-8336
-60,31,58,-3571,-404,-255
52,-126,-126,-4709,-1432,-2555
60,-24,-14,-2373,-1909,-2997
-62,101,-106,-3098,-2278,-1843
-54,37,-8,694,60,-231
-73,-21,45,-813,-794,-148
113,63,-42,-803,-1784,303
-100,-36,-20,1842,-2688,3620
85,59,-23,3012,-2617,5568
88,42,-32,3731,-664,9686
-58,-44,-42,-795,1422,9563
10,10,-59,-1179,-2604,4625
1,-57,101,1248,865,2927
69,-25,82,-1506,-1757,-681
42,-36,-18,1159,-4069,-3402
61,60,45,1738,-1624,-1769
16,69,122,-63,5006,-1022
72,16,63,1620,-2484,1642
-77,102,-8,-45,-297,187
-51,109,-16,-1115,1097,-1049
-14,-56,-106,-2445,103,-4569
-65,-71,46,7269,2049,-6195
-117,-64,-105,11712,753,-9115
44,62,-35,3612,10633,-9909
-76,-89,-52,170,18754,2249
-36,-15,14,-12755,-805,7228
-104,-67,-29,-9878,-13583,9397
-47,57,-23,2959,-6078,-13377
5,74,15,-2862,-2168,-8358
13,-126,-53,2478,3349,-8224
118,121,124,4210,6754,-273
-56,-15,88,258,14637,2541
127,38,-33,-10388,10158,6537
80,19,102,-8749,-2013,12304
-124,20,109,6087,-2755,12246
-84,-42,10,-7695,1253,-15103
-27,-26,99,1792,-11135,-7716
9,37,-55,-433,-9115,-8199
-52,-40,36,646,-5558,-9545
73,-48,19,-6460,1797,-11673
-88,29,-22,-4389,-3705,-2080
21,28,56,-3250,-5650,-1148
-29,-127,-121,-464,-2544,-2186
105,-80,41,-3021,-1971,-2569
59,91,23,-253,-1699,-3425
-97,-8,-27,-280,-1433,-911
70,79,89,99,-3134,-4
-41,127,-115,377,-2099,1595
76,6,-22,2398,-2005,3585
80,-73,-58,3382,-594,4241
72,62,-34,1685,168,4016
-5,104,-18,910,-696,3963
-72,118,-48,2393,-2984,4148
82,-14,-124,-1770,294,1692
-4,-74,-110,2899,-168,3675
-127,-126,2,3872,-996,4376
-9,-85,33,1302,-2826,4161
-21,89,-70,-3455,-1070,581
104,63,-89,-3275,1001,-2035
-76,53,-114,500,1088,-1793
-24,-17,-115,9210,4208,-9063
26,54,65,9410,1904,-6793
-117,-117,126,1122,13875,-3528
-6,-13,-8,-3587,14777,7808
1,-11,101,-18329,-6767,7558
91,121,-92,2859,-11285,-3018
-13,99,14,-2004,-8192,-12181
-16,-109,-16,2228,3191,-7188
81,97,-120,6309,8521,-1708
54,-44,65,-2895,16294,680
1,51,100,-4757,8743,6718
75,23,95,-8918,-1300,12026
110,-22,72,-33,1120,8456
-47,71,82,-4217,-688,-12159
-31,108,-98,40,-12679,-9861
-10,-12,38,-658,-5113,-12757
63,36,-29,-1909,-7999,-12701
-23,-96,-47,-4712,4685,-7444
77,-90,-48,-4851,-5858,492
-59,49,-121,-616,-4385,-481
90,85,45,2182,-4763,-1448
121,-69,-97,-788,-302,-2778
4,94,-88,-2383,-2379,-1396
68,-36,0,752,-3285,1939
13,12,70,4225,-2562,4784
-107,103,-7,5272,1500,7914
77,78,-33,3312,3189,10119
95,-48,-89,-1665,-1860,4638
24,-21,69,-867,-122,5059
36,45,-14,2119,-4273,4088
50,-37,-111,14608,-12049,73
41,38,53,-2865,4329,-2986
-12,-67,-115,-2652,4521,-1672
-93,-71,75,-3148,2600,-1984
-100,101,40,372,673,-551
-105,102,82,1642,-818,263
-117,-38,-117,735,-1223,-56
-108,-12,-43,-779,-497,-647
-109,7,-8,-1602,357,-862
126,3,1,-1731,920,-939
-32,-64,-51,5235,1858,-6970
-68,1,-83,3736,2292,-10612
39,-104,-105,4236,3781,-10165
23,-115,62,6171,10583,-5213
-71,-66,-95,-1113,6215,2375
-102,-24,-75,-6721,14993,5862
-56,-90,37,-14210,-5685,15123
89,-35,-43,1585,-6718,-3386
-23,-58,-121,-4740,-14395,-15597
49,78,59,-1701,7534,-7647
-31,-49,-99,9607,6051,2808
-64,-24,-38,-7505,17971,3308
0,-95,-28,-8714,2397,12853
-79,73,116,7293,-280,2936
-102,-16,80,-3833,-3872,-3757
-119,91,97,-1268,-4582,-7525
-77,-19,-53,-691,-9054,-7866
64,119,22,856,-4054,-4547
97,79,-46,-3019,-4936,-10891
-90,124,-4,-2619,-2805,-7871
76,-13,10,1167,-8368,-2240
52,30,-10,-3475,-1794,516
53,105,109,-176,-2083,-523
-38,52,-123,-812,-1357,-1464
-128,12,-97,-687,-1482,1063
