AccX,AccY,AccZ,GyroX,GyroY,GyroZ
89,-37,-7,-10261,4250,1098
-120,-127,-2,6395,-2404,-4619
-10,-72,-104,-643,-1625,262
27,2,-67,-1894,871,-569
-33,-83,126,-454,1874,-835
-68,97,95,1108,944,-215
124,111,35,1722,-336,240
-106,124,36,1780,-938,917
-5,-69,74,803,-29,1531
96,-55,85,798,1472,529
-74,-89,-114,5201,1219,594
-80,30,39,4699,-735,2408
114,-89,45,2713,-1581,2551
-87,-68,121,1180,-311,1199
121,-80,123,704,550,1042
123,-111,103,838,19,1636
-81,-68,-121,70,-700,1930
-66,21,-54,-1308,-860,1484
-63,93,83,-1984,-772,927
-92,118,118,-335,-389,688
123,-80,74,173,13,-436
23,-32,50,1291,904,-2471
54,-71,46,584,876,-1350
-49,-38,-71,346,1180,-2855
-118,71,-74,-248,466,-4066
112,-25,-86,-615,-827,-3517
69,-77,-21,-177,347,-3453
49,-83,38,24,535,-2618
8,-37,30,-11,601,-2297
-114,-12,-28,1357,-67,-1485
78,108,-31,1093,-19,-1427
100,127,-26,1155,827,-944
103,85,-46,1443,1512,242
-59,97,-24,286,1889,-209
-82,-46,-66,1745,2680,1811
118,-36,-87,-922,2455,1224
-91,10,-58,-2110,1645,253
-107,-21,-47,-2746,1221,-891
127,-63,-23,-2637,-145,145
-116,-35,49,-2247,-796,-94
-119,-66,90,-4885,-648,2115
-96,-3,61,-4635,2925,-768
54,-50,-53,5018,2436,-960
-5,70,80,3265,1645,-3043
-20,-38,-13,1412,-498,-2907
69,-3,-61,1147,-168,-2367
-1,-127,-124,-2663,1335,-2214
-77,115,-31,-1855,1452,-3308
-62,93,-20,-891,-604,-2290
123,-84,81,-748,-1097,-1011
122,15,-87,-1172,-684,-424
87,82,-53,-1062,822,-1192
-86,56,-53,-376,697,-2022
-108,-3,4,-453,-779,-1795
30,-46,36,-400,-1294,-2398
-54,-115,109,-804,-1100,-2244
112,103,-39,-1113,-466,-1349
22,-28,-21,-51,1308,87
29,-1,-61,-1497,1593,-33
6,-40,83,536,508,-480
39,79,55,210,630,-875
62,88,25,-410,980,638
41,33,-37,-2104,823,2752
107,-50,67,2850,-2352,80
-45,-13,24,-1996,2751,-1968
39,-68,-79,-736,1452,-1853
99,60,119,376,-418,-1052
43,28,103,-703,-400,-488
65,58,-92,-1708,8,185
107,99,-84,-1439,-275,-435
50,-8,-14,53,-966,-215
102,-11,-113,-1580,2963,156
69,14,98,-2626,7183,-15
-99,60,69,1148,1383,537
-77,94,-32,579,-4766,732
66,-97,-77,649,756,-1715
-54,-125,89,-3681,5007,-1313
-33,-77,-2,1693,-1060,-164
-45,-51,-20,-1516,628,-657
42,64,-117,-114,-95,-496
-5,-84,102,2846,2746,-4657
-40,-34,-101,4404,1732,-3119
-94,-15,111,2619,-468,-2534
-95,-37,-92,928,-885,-2189
-6,-60,-115,871,-544,-2285
-114,-70,-78,47,-939,-1563
107,-39,7,-1539,-699,8
113,8,28,-1968,310,959
-103,47,27,-786,971,1751
-5,100,21,-256,1310,2070
-103,-91,49,-1013,1109,2412
-96,102,51,748,1740,1983
94,-112,-60,1858,-77,2100
-65,91,6,1,-3164,1483
-32,95,95,-7,-1660,52
-62,25,73,1976,584,-885
122,-49,-35,2922,820,-795
88,-53,-106,2061,-299,-143
68,-23,-100,540,-890,249
54,4,-16,-529,-734,-42
72,-28,61,-467,-511,-74
85,-38,85,23,-14,46
74,1,86,-140,221,-386
68,-15,68,256,333,-814
124,-101,23,988,606,-869
124,-52,-3,-176,543,-379
-79,-41,-1,-443,820,-1125
-100,-100,-49,998,554,-1285
108,-113,-63,1260,74,-2175
91,49,-71,1595,42,-1931
69,21,-72,839,202,-1405
20,22,-89,232,352,-1094
-35,-15,-113,632,123,-499
-51,6,-106,502,-187,245
-33,33,-78,136,28,796
37,80,-45,-334,548,1380
104,122,-27,-599,677,1635
-82,-96,-19,-297,750,1774
-10,-35,-26,-17,488,1493
46,-44,-21,804,233,822
-103,11,92,1523,2859,-2750
-117,-41,-13,1295,3106,-2705
55,-110,-112,1407,1263,-2883
19,64,-86,1741,-282,-3937
-45,-65,-68,2039,-167,-4318
94,-118,-84,1214,-142,-3479
-42,125,-77,-278,-40,-1729
-111,-112,-104,-209,252,-250
115,-54,-122,-295,364,184
112,22,-84,-1352,-21,1144
-41,-18,7,-1185,-227,2467
-55,36,102,-401,900,4403
49,-33,20,-359,1198,4113
-111,34,23,-1229,-227,2541
101,75,-42,-152,3797,-2355
75,97,-65,282,5319,-3104
31,-56,54,-129,3956,-2951
90,117,93,1245,320,-2490
-12,17,-49,-1274,371,-755
0,64,-109,-2033,2224,-2306
-99,18,-87,-764,1013,-2968
-123,89,-31,1557,-166,-2719
101,66,42,948,-1002,-2858
6,12,64,935,-905,-2649
120,-29,59,569,-617,-2111
55,-15,83,-1095,-164,-1173
81,107,117,-989,122,842
-41,77,-121,-2526,-640,443
21,-88,-32,-1585,2399,-20
18,-86,-117,-1910,4869,-963
14,27,-45,-1602,5775,-1843
-26,-50,28,-1608,4043,-2331
-16,90,-3,-344,1936,-2001
60,-109,11,679,355,-1925
7,104,0,1372,819,-3330
-113,-20,-20,1505,32,-2621
57,-104,56,-37,-396,291
84,5,88,-1517,25,449
-109,23,-115,-1037,-33,491
-35,97,-75,-1879,535,959
-31,-125,56,1395,2575,-3324
38,57,-67,-9525,4659,-4196
119,-40,60,-1984,1999,-6
-2,-109,-31,8783,-166,-1296
-72,105,122,5918,-2196,-4274
-29,-70,-33,3553,-2594,-1033
