AccX,AccY,AccZ,GyroX,GyroY,GyroZ
108,25,29,7360,844,1067
-88,106,104,3537,-93,-2802
-21,-90,-47,3830,5388,-6566
-11,-13,24,5569,2842,-6444
-47,-9,-90,2659,3921,-7118
-84,43,59,1648,7725,-5692
-110,-110,98,2766,3379,-5123
-51,29,5,943,5704,-5523
-72,-34,-4,162,-3069,-7275
87,85,-27,9847,-8679,-8815
107,-45,-41,-1018,344,-1481
102,-18,-101,-10105,3599,5847
-66,47,45,-2143,-326,5541
15,32,34,-3248,-2034,4026
-26,-110,-23,1472,1127,-1022
-86,83,126,8693,-4630,-8494
-16,-121,-46,578,2602,-9969
-42,53,-45,-2029,6609,2138
-105,-58,72,-9311,-987,7582
74,-94,-116,-2899,-1778,4831
1,80,-75,27,-2481,2874
15,-32,-23,1390,-3146,5613
-25,101,45,-4663,-1779,5053
-114,-5,-42,-5218,-3896,5275
71,107,57,-4352,-4711,3875
94,-25,38,-4614,-7653,3737
-45,52,125,587,-5818,5195
-71,-55,0,-518,496,2640
-41,-98,52,-1673,-1738,2703
-12,-107,-119,-2582,-2234,3996
-65,8,-79,-3823,-3511,-1457
-71,73,49,-8541,10581,-3994
116,-115,95,4897,-2241,-939
28,-75,98,-2436,-481,-1178
22,-95,99,-1378,301,-559
97,-102,-110,-820,878,911
41,26,-83,-2417,1887,1694
104,-111,-98,-3729,1907,1105
117,108,-109,-1155,1612,45
44,34,-106,1403,-546,-1498
-6,82,36,6351,-239,-2703
-40,47,-69,2952,2755,-5411
74,17,-100,963,4221,-6911
39,76,20,2137,5857,-7087
58,5,67,3749,5486,-6507
98,-76,-92,394,5221,-4323
-14,31,9,-3952,7927,-3102
-102,-107,53,6096,2248,-4880
-68,110,-59,10230,-6341,-9487
55,-30,53,-424,-350,-4725
-125,-82,-110,-5396,598,6573
-93,80,104,-5118,-1362,7396
-7,-83,-102,4374,-1890,1616
64,-54,-31,-374,543,-5611
-68,41,-108,4057,-2691,-3947
67,74,80,2807,2815,-4923
68,16,85,-7080,8725,1662
-67,-3,53,-8172,185,5997
-47,-95,9,-3606,-2902,5406
-62,67,-109,1053,-4379,4449
-121,98,-95,-1956,-4799,3024
-34,29,-58,-3119,-4042,2696
36,-32,27,-2788,-4236,3421
-17,110,66,-4893,-5761,3048
69,-31,31,2657,-7854,4846
-16,90,-26,-834,-4077,5835
-13,35,-63,-399,139,6057
92,-113,-116,-6277,-527,4476
16,-80,14,-4417,-8635,-3556
-3,47,115,-6379,7181,-3099
6,10,-120,3727,849,-4939
-90,77,-73,-1200,663,-272
-114,59,65,292,1012,1769
-93,-75,53,-85,1010,488
-44,-50,48,-901,587,587
27,28,72,-2044,407,808
16,41,85,-1459,198,-214
-19,-12,104,-36,-264,-999
-28,-37,-124,43,-527,-490
-18,-20,-110,-628,-153,-149
94,3,63,4805,857,-3512
-12,105,26,1763,2325,-4349
-47,-95,29,1014,2483,-6992
22,59,-12,-356,4374,-8266
-48,93,-115,1382,3873,-7556
-14,-4,-124,-2216,5378,-5369
-30,-50,122,896,2179,-3616
8,55,-2,2437,421,-5859
-53,20,-60,1844,-3919,-8854
-76,90,58,3900,-5316,-3549
106,50,103,-4026,3622,4812
28,-35,-127,-7686,2589,6048
114,-3,-77,2222,-2408,1446
-114,25,-84,782,-250,-7300
13,4,23,5074,-1935,-6023
115,-128,-29,782,4698,754
62,40,32,-12459,6208,7096
-73,8,-3,-1435,-3078,7064
-93,-28,-127,2202,-1520,2206
6,-92,61,-1376,-2487,3532
47,126,49,2451,-5677,6402
-75,64,96,-129,-3402,7903
80,-9,-34,-3653,-4077,8945
-64,-17,-105,-1113,-1945,6480
98,1,-120,-6403,-325,4938
109,-14,44,-5489,-2536,4734
-81,98,76,-1058,-4514,3076
-116,125,83,11408,-3189,-250
34,-109,60,-7303,6163,-4232
-64,37,114,1317,-1308,-1525
-119,-88,-15,-1651,-669,324
-71,-58,-72,-1027,2137,751
-24,25,88,-1226,2811,439
21,62,78,-1735,1613,288
55,81,101,-1719,718,-775
29,-30,109,932,-283,-963
-18,-59,86,2081,-764,-718
-59,-71,71,1368,-1203,-801
-78,-71,127,-229,-1070,-135
-35,-93,-88,-856,-56,309
87,9,78,4177,1640,-4482
33,-47,127,741,4419,-7088
-107,-82,-123,1366,5827,-7288
-96,53,-5,754,9250,-6511
-116,69,-34,-130,7216,-4283
79,2,19,-936,6955,-1204
-24,18,121,2623,14,-3830
-34,-15,58,5780,-3312,-9445
-12,42,-48,5171,-10682,-6235
72,-84,-41,-2581,2708,4856
30,53,-35,-10835,4439,8365
76,-128,-53,488,-1457,573
70,102,1,6461,-3241,-9161
-55,-66,96,-1188,2111,-8387
-75,55,59,3761,4474,3207
69,109,16,-11820,4483,7164
96,-5,-97,-5016,-3469,6717
-103,16,-128,6997,-4787,804
14,-86,-84,3769,2126,-13732
-99,-55,25,-2064,5517,-6212
121,9,118,3644,-1737,10375
84,109,73,-7468,502,7920
2,-70,-25,-4417,-1074,5891
-127,76,-116,804,-3636,5409
-25,-5,-61,-2117,-4886,6589
-25,49,-25,-1856,-2194,4057
63,-29,115,-5970,-4508,7997
-16,50,80,364,-6129,1531
74,110,-41,2384,-4562,9399
89,-16,-1,-4577,1258,4549
-40,10,-73,-6307,1854,2809
126,25,93,-1978,-359,-832
76,42,-124,-2421,3735,-2691
-78,-61,-29,927,3002,-3269
-23,-87,-112,-2712,2775,-843
-85,-109,0,-258,730,857
-119,-61,36,1248,-680,207
-74,-58,71,1493,-783,-29
-31,-65,78,740,-105,258
-25,-17,83,-1049,246,291
-94,-123,-27,6101,-610,-2385
85,-122,94,2334,2773,-4387
26,-59,-128,464,3604,-6781
-62,-54,-122,-235,5718,-7890
74,-117,15,1110,7091,-6268
-84,106,81,-701,7711,-3970
-112,-124,99,-1798,8165,-3257
69,68,-76,3717,790,-7812
104,100,21,7395,-4208,-8967
-70,-86,98,548,-788,-3583
51,-126,-65,-9713,4688,5391
-48,59,26,-4248,-3038,7555
104,-80,-2,-114,-2850,1062
118,-106,47,4284,-2512,-6520
-69,15,93,1434,1483,-9451
48,55,13,2986,6659,-4863
-29,50,60,-4404,2675,4978
19,-99,-1,-13303,-17,7213
-43,106,2,-1419,-4863,6653
-62,-56,54,2101,1725,5373
-105,55,-45,-3527,-3763,4078
116,0,-45,-3065,-4235,1905
-127,-50,106,-3314,-5244,3520
-94,-102,-101,-2850,-7324,5236
8,47,90,-195,-5278,3641
8,75,-102,997,-5089,6146
66,30,68,-3547,-1813,7821
1,-72,41,-9847,2498,3979
-50,5,-80,27988,-15585,-1492
-67,-51,-53,-12661,9772,-4456
50,-5,-12,-7490,3644,284
108,-63,38,-1694,2712,1669
-123,95,-89,-614,1436,587
-34,104,-55,991,163,72
98,98,122,1639,854,105
61,119,59,951,53,-772
-29,74,95,70,-1115,-1490
3,-26,80,461,-285,-1234
-9,-31,126,-1295,-297,-1211
-66,69,23,-5658,364,-1737
-13,21,-33,3917,2404,-3418
69,93,86,2324,3359,-5861
87,26,110,-40,5205,-7600
