AccX,AccY,AccZ,GyroX,GyroY,GyroZ
46,17,-16,26,3231,-4437
-18,82,30,517,2763,-6710
70,-27,17,-1614,4273,-9102
-101,-102,-70,1324,299,-11445
-35,97,43,-3433,4977,-8343
99,15,-24,-3788,4986,5118
117,-16,120,-2178,4805,5274
48,8,101,-6025,4625,2995
5,-122,-4,2274,-8707,-559
64,2,-57,10071,-6933,-2982
-6,-126,5,-3824,-10,-7110
2,17,-87,2444,5100,-3704
-105,81,-40,-1082,7451,-2066
53,6,80,-9093,5470,4051
-60,-100,-41,1404,1632,5886
29,-10,-61,-5784,3145,536
124,29,-36,-2780,-352,1310
-58,-13,4,-5769,-6034,1776
-117,75,-73,-6018,-9904,3986
98,-61,-104,-4332,-13511,7583
53,111,-99,-1518,-6129,725
108,-97,-119,6286,-2516,5092
93,-109,119,-5182,1180,7715
57,42,-26,446,-7172,-3627
-41,75,-24,-4252,4951,-5497
49,-39,-68,1469,1588,-2223
-34,70,125,-3414,1608,-1201
-83,65,-2,-312,816,823
-59,109,8,609,274,742
16,-78,53,-172,-253,197
70,-82,77,-564,135,-42
62,-80,61,-524,222,-676
59,-121,82,-798,55,-1260
10,120,125,-1594,-664,-1079
-62,109,17,-1668,-1074,-399
-2,70,30,881,1486,849
36,120,94,1213,623,496
97,-54,65,-510,798,74
93,-73,40,-969,796,-167
71,-106,21,-214,212,67
110,-85,38,-1959,4575,-1429
-3,-30,-2,4707,3720,-6020
-32,18,86,951,2844,-8090
-7,98,97,303,3808,-11948
-120,-47,70,-4674,7271,-8220
46,61,4,-2722,5824,-383
-125,-33,-4,-7112,-200,4777
-98,39,25,-2299,-1818,7183
20,-27,-44,2723,-386,1840
-47,2,-13,-1071,1068,-6805
-5,27,-82,3446,-6792,-3897
-74,113,-39,-204,5251,-6370
-117,46,91,-1315,11612,-1689
-38,2,-14,-1822,-764,7601
51,113,5,-3563,-401,6097
-61,-95,10,190,157,1259
-127,-81,88,-807,-2258,-2156
50,-2,-33,-1880,-2446,51
-38,-125,-67,-1978,-6934,2939
-44,-105,-104,-3749,-8553,7356
114,-76,34,-1514,-10099,6904
86,-51,63,125,-4098,4496
-23,9,71,-325,-2198,3762
38,-75,107,-2785,-1737,1823
-127,-5,85,7252,-5193,3170
-51,-66,-103,-5308,6793,-5563
-101,86,-44,-760,1658,-2179
-119,-36,98,-242,618,-300
114,14,75,1069,380,678
-103,49,56,1261,141,425
-44,62,76,181,-42,649
-6,113,109,-1356,-25,298
5,110,-128,-1527,97,-145
-8,95,-119,-1056,-11,-454
-88,63,-60,27,-1253,-70
-49,35,81,1626,665,148
-16,78,127,964,254,576
17,-116,110,-1575,992,-187
32,112,71,-1639,1236,-185
28,72,47,-470,490,-55
-121,123,101,-440,5268,-4151
-82,-101,-17,2943,5328,-7271
-59,-1,47,2429,1658,-9862
-49,-36,56,-2422,5981,-10042
13,99,111,-1859,6555,-3539
-16,22,-128,-993,4546,3174
54,2,-89,317,1293,9647
-106,-28,-114,158,511,5662
-49,-31,-24,-4095,3367,1376
104,-3,-57,2670,-7206,-4135
-27,-86,124,856,-4508,-8315
-86,-16,-53,483,955,-10450
24,-128,-18,-1224,5229,144
-92,23,5,-3321,4068,5441
25,-123,121,-3644,2586,6021
-48,-81,-23,-1549,-205,2311
-103,56,44,-1676,-3573,-6231
-73,-97,34,-2348,-4231,1114
35,-65,76,-1152,-6631,6477
57,-54,66,-1519,-3821,7309
34,84,-48,-3958,-5223,4573
100,-104,-100,-2122,-6582,3637
114,0,36,1651,-5895,5679
88,17,-124,609,-2656,3005
54,-65,-107,635,-882,-859
108,77,91,5783,515,-1236
-17,0,31,-533,296,-1623
-43,90,-65,-1979,1089,-729
-106,3,57,-559,528,-273
-98,66,88,-1018,460,-275
-47,82,-124,-1489,687,-258
-23,109,-65,-1906,875,-357
-13,66,-93,-342,255,-289
-5,60,-124,718,60,-248
-1,80,-125,569,48,-354
10,77,-125,-193,367,-369
16,72,120,-405,488,-203
36,69,107,-284,482,-60
52,81,104,-229,447,-127
78,73,101,-120,465,-94
22,-50,35,11360,3634,-1270
-97,-35,-47,-3386,3625,-3498
86,19,74,-1570,2069,-2101
65,-49,-105,-44,-1037,-3108
-13,8,124,891,-1417,-5846
3,86,122,2644,-2001,-9158
-113,82,-117,-416,852,-13548
-22,14,-99,-7075,10119,-8007
-108,51,66,-4302,4659,7747
-88,45,17,-441,1181,8213
106,21,-70,-8988,-37,320
-27,17,31,2646,-6843,-6627
-24,74,53,2468,-8723,-2743
-123,-110,106,292,6206,-11148
24,106,-48,-10790,8509,948
-9,56,-43,2445,2895,10524
104,-27,21,-759,3352,5976
73,-2,33,49,1751,-2812
5,-72,-91,-1149,-2754,-3177
-119,102,-30,-2733,-4968,1992
76,103,62,-4482,-6292,5121
22,60,-79,495,-6842,6959
107,-46,89,-6744,-4628,5468
-30,111,17,-3347,-6272,3420
116,-31,-22,4273,-6894,6189
-36,91,9,129,-3045,5254
-100,-67,-70,-197,-435,-1205
6,-69,-16,2364,950,-3703
-62,-104,-34,-1375,530,-1568
-108,36,-95,-1860,667,-542
-81,86,-103,-1790,1512,-475
-24,42,113,-257,1578,49
32,54,70,913,824,164
24,93,63,156,-211,-121
61,123,-105,-1495,-631,-648
60,-125,-67,-2171,334,-1013
15,110,-93,-1432,1058,-789
-25,114,-125,-564,1015,-422
-62,-125,88,95,697,-361
-51,109,58,795,400,-113
-23,29,-84,-2232,3609,-1795
108,71,-72,-3441,3117,-2676
-25,7,27,1488,2580,-6221
84,76,63,3513,3581,-7164
35,-101,68,-3994,7709,-9757
114,25,61,41,6356,-8278
3,70,29,1431,4995,-4787
-60,-98,120,-6770,4999,3383
-112,61,48,242,-145,9578
-13,-128,101,-2963,4559,4753
123,-120,-110,-1734,-2237,-3598
-52,4,-18,518,-7734,-903
30,-11,92,2333,-4194,-1322
-16,-120,-63,-600,3389,-7960
-126,116,-27,-6927,6441,-4026
-47,39,-87,-692,4380,5136
44,-124,-75,-1336,-314,5163
29,-1,30,-3611,3754,1310
-114,112,58,-1979,-2500,1727
74,54,-112,-2320,-3018,878
-41,-70,2,-1770,-3921,500
-76,24,88,-2051,-5183,542
55,-128,48,2325,-6661,1794
