AccX,AccY,AccZ,GyroX,GyroY,GyroZ
30,61,-13,507,2434,-5273
-48,89,-112,781,2607,-6976
-90,53,92,2230,1175,-6752
35,-75,116,351,1519,-6417
98,-10,88,992,739,-4189
-78,97,8,-175,426,-1410
106,-104,58,-1085,-1479,-6425
-44,60,-69,750,-4467,-11391
98,-9,11,1751,-9121,-9242
76,-1,104,-1771,5511,462
-54,106,54,-1262,1172,6361
-116,82,0,-3354,2388,6649
22,88,51,-2823,3304,3943
78,59,-28,-1037,892,-1845
115,104,-40,8542,520,2147
116,13,-66,286,2685,2573
7,50,80,-698,389,6053
10,-95,-125,-1314,1151,9083
-66,76,115,-2274,820,10277
-108,-5,123,-6216,1433,10454
27,-95,-17,-2191,-1231,2397
79,-96,36,-1725,-6166,5081
60,77,-41,-3545,-1149,5242
-127,-41,-44,10725,-757,-5131
66,-21,127,-2420,1868,-4166
62,-100,109,-1235,-780,-1124
105,-21,81,-1809,604,783
-83,38,56,-1145,1336,1359
33,-45,31,-2458,1307,309
115,-9,45,-3191,1794,-505
-127,-73,60,-1481,1802,-1350
51,71,56,1689,300,-2444
8,-37,45,3450,-955,-2196
-28,-95,15,3558,-1752,-1021
9,-28,81,90,-642,-600
17,-12,110,-2170,780,-599
-16,-30,56,-2539,1093,85
-32,0,71,-2218,28,848
-11,-39,-91,43,358,2292
95,10,-23,3825,-59,2244
-16,-105,22,481,765,-5830
-8,-79,48,1127,301,-5933
-11,44,63,705,418,-5197
-33,49,45,857,-28,-4349
88,-90,-83,274,-141,-5741
106,48,24,-1804,-3172,-7765
-81,-54,19,1363,-7120,-6611
-118,105,50,-4004,-2984,-8414
79,112,70,2214,1524,1853
95,-81,46,218,3557,3958
-86,0,-44,-4848,3184,5693
31,91,26,-2549,1859,9287
-99,-89,42,1882,-585,7973
43,-54,-94,1394,-864,3590
115,-120,15,-4385,2918,5101
-7,115,-83,-6338,1378,4234
-16,-21,-68,-3017,-3251,4137
59,-75,-122,1453,-5241,3800
-107,-61,53,-8,-3036,3358
-112,117,-109,-3741,-151,1713
60,127,-18,2120,185,3335
8,-73,89,2511,983,2303
-43,-101,-15,1637,-180,1153
42,-29,68,-2018,-2000,-244
-16,112,-116,1699,-2384,-1430
-122,123,-120,-1224,2817,-784
-53,43,84,-660,-272,-730
-47,-43,77,315,-441,-917
6,-68,108,-265,693,-498
-1,-53,65,-295,1364,-505
-13,-57,30,827,183,-900
2,-73,53,522,-540,-119
15,-57,67,143,-62,-122
28,-42,60,-355,504,-116
38,-40,54,-709,384,37
52,-36,48,-457,174,123
64,-18,60,-273,-7,70
80,-1,67,-434,127,79
91,16,83,-520,163,-42
93,5,66,-10,274,-117
-64,-93,-36,857,1178,-5309
-18,-113,-120,2052,-998,-5663
-102,79,-97,404,-471,-7087
-63,-54,-29,-460,-1698,-7260
-116,-48,-82,-2240,-811,-7600
86,-37,102,654,-4762,-7280
125,-101,109,-1854,-4101,-7626
-107,-43,-77,-1735,-1907,-5205
4,-37,79,2186,12,-146
23,119,35,-2822,3611,3474
125,118,3,-2712,3611,5709
26,100,7,169,2651,9017
96,50,-77,2903,-911,4892
117,-1,10,-3892,1418,1306
-23,30,-59,-1065,276,2456
7,-56,35,533,-1859,5364
-93,-35,78,-800,-1154,5906
-29,19,63,-870,-698,5578
86,46,89,1049,-1927,6010
-43,-34,-109,97,-620,4441
-84,-52,-104,894,-314,3423
2,12,-122,-2110,2013,1190
-15,-73,-94,-2203,644,1660
101,-88,111,-20,-789,681
40,-99,-119,2891,-1942,-825
-123,-81,122,-543,1585,-1437
-54,2,83,-479,-267,-1200
-36,-36,116,-544,66,-759
-46,-59,88,294,648,-235
-38,-43,68,510,439,-129
0,-26,60,-133,336,17
25,-15,47,-366,277,-87
34,-22,57,-149,124,-231
40,-34,61,139,17,-189
35,-26,67,-19,-34,-197
36,-28,74,-162,54,-120
46,-30,78,-134,80,-60
46,-25,77,-136,126,-56
55,-23,77,-242,162,39
69,-9,70,-270,256,79
57,122,12,1136,661,-6592
-118,112,32,1669,22,-6330
-88,-118,31,611,-592,-6447
124,104,-30,-1726,-936,-7383
-39,-101,118,-1796,-5121,-7129
71,58,69,-894,-7119,-7163
58,64,102,-4304,918,-5493
-44,-8,57,5938,1102,3916
62,-55,37,-5360,5099,4204
42,76,-2,735,4023,7331
35,-80,-37,1986,2949,8477
-30,-10,-22,5291,23,3237
30,51,51,-2042,496,3923
-79,-33,8,-4904,2308,3847
38,-27,-21,-3982,312,4699
79,-81,7,-1428,-1890,5358
70,66,-107,-558,-1074,4701
-53,-98,-70,112,-279,4090
-9,-16,-124,-1547,1060,3341
81,-41,-119,-1392,-38,2273
75,-91,115,-53,-239,2028
-102,-40,108,291,-1755,112
72,-117,122,1257,-2077,-323
120,-127,86,3273,99,-1288
27,109,-46,-701,359,-492
-35,2,100,-1020,-127,-553
-15,-53,95,-487,384,-636
-9,-44,79,-92,1042,-502
0,-48,58,-266,667,-506
10,-55,53,-136,72,-122
18,-40,58,-10,88,-270
41,-30,65,-245,326,-322
48,-34,62,-317,339,-323
52,-42,53,-179,153,-199
53,-41,50,-60,66,-161
60,-30,57,-331,38,-17
73,-13,62,-480,161,63
83,6,66,-502,222,21
96,7,64,-278,218,-39
100,7,54,-79,69,-54
55,-28,-67,54,855,-6784
-29,23,37,2989,-909,-5840
-126,6,47,487,-414,-6136
38,-16,87,-3533,545,-8747
117,-49,38,-1305,-7186,-8793
-105,-28,-112,-2593,-7732,-6846
37,-94,-75,-5147,5218,-5059
-73,60,48,5146,1375,8008
26,56,41,-3895,4437,7102
31,2,86,2614,4223,9165
27,79,69,2956,322,5378
-31,59,-32,1158,242,3673
-93,-52,-23,-2865,2658,4861
51,-15,-1,-4672,1438,5405
-70,0,0,-2625,-2195,4570
96,26,-99,-921,-2634,5022
-72,-66,-78,-1232,-460,3980
-66,19,-124,-790,863,2429
14,5,-116,-839,-194,1417
-41,-96,116,192,-144,1059
-79,-81,80,76,-660,461
47,-121,118,781,-1840,-720
54,65,-32,2883,62,-1080
23,76,-88,-971,760,-593
-30,-13,49,-615,226,-476
-7,-46,44,467,249,-54
7,-14,38,71,356,-254
20,-11,38,-635,325,-366
29,-25,49,-550,218,-305
30,-27,63,-272,109,-271
33,-21,72,-198,209,-286
39,-24,70,9,103,-221
50,-25,62,173,164,-143
58,-14,50,24,188,-117
73,0,40,-328,304,-136
82,-4,34,-190,272,-145
96,-6,29,-142,171,-106
104,3,31,-257,160,-149
106,11,34,-265,179,-236
109,3,41,-175,218,-228
-50,17,87,2956,896,-5634
-128,78,-122,531,1730,-7172
64,-35,-83,2213,-449,-7156
101,15,97,1082,-1649,-6601
116,30,-10,-3426,1930,-7659
12,35,35,183,312,-7472
-33,-37,16,-201,-5558,-8214
98,-122,-14,-1246,-4879,-5665
96,-20,29,828,-1766,-3431
-58,-50,81,-1528,3043,4757
-13,-52,53,-2045,3274,7164
45,4,-67,100,3587,9817
-37,104,46,6033,-1052,2184
-57,46,-78,5166,-1936,2426
104,127,54,-4551,2114,3212
-46,37,59,-5550,2187,4040
-70,26,0,-2389,-656,5614
-27,101,93,857,-1811,6402
69,-17,117,264,-374,3554
-127,-63,90,-598,224,3674
69,-37,84,-1866,558,2828
-47,-100,95,-478,-967,1749
-54,102,-127,310,-502,1197
-111,-118,111,-254,-273,624
54,121,113,-809,13,152
18,88,88,200,-821,-365
12,56,114,1109,-435,-665
31,61,-91,227,1037,-604
-10,0,68,-267,176,-127
-19,-24,61,375,273,-84
1,-21,64,327,489,-154
20,-29,46,111,526,-170
41,-36,39,73,255,-92
32,-40,39,44,71,-196
45,-45,44,34,142,-153
52,-38,45,-270,203,-106
59,-33,48,-283,161,-122
66,-34,51,-98,121,-154
73,-31,55,-142,117,-135
84,-26,56,-211,116,-149
88,125,36,727,1240,-6910
18,-116,-61,2406,248,-8099
-11,-99,46,1195,-1664,-7105
95,-124,122,14,-143,-5167
-65,-107,-104,4870,-1049,-2538
-109,-62,-29,-2021,-9582,-6860
-98,-100,-41,-9628,-11023,-10947
19,36,108,-7597,11792,-1549
-37,102,58,9878,-564,11641
68,44,39,-4356,5243,7128
94,22,12,1464,4951,5120
-65,-73,22,5022,1667,3607
55,116,-8,2024,125,5252
-100,-115,114,-4940,2485,5564
-47,108,-17,-6036,1233,4425
-105,-88,-41,-5345,-52,5910
101,7,88,-2339,-1920,6212
14,5,-37,-2119,-2230,2169
2,-7,13,-1265,-1179,1927
-90,39,108,13285,-4217,-2264
80,-4,-20,-973,1365,-2199
-85,-27,-55,-1990,-14,-1111
-41,-16,60,-2201,614,-851
-20,-53,28,-994,1462,-125
11,-30,5,-163,1107,235
54,2,-4,-530,240,522
80,58,-4,-698,-103,63
111,61,39,-900,-157,-332
103,44,44,-353,102,-594
82,56,47,-884,291,-593
47,51,84,-938,-630,-390
69,45,-84,-54,255,-224
83,24,125,1553,29,206
87,40,19,505,-26,93
111,57,16,-510,529,-102
105,50,5,-629,321,26
99,33,25,136,-86,113
107,24,29,828,-222,99
125,37,26,416,-18,-60
-125,35,24,-90,-94,4
-41,73,24,1104,1636,-4797
115,-114,-15,3985,162,-5339
-37,-2,25,4149,-1784,-6142
-50,-73,-81,-2010,-2130,-9373
120,41,42,-2928,-9471,-9058
85,-44,76,-6322,-7490,-9218
-66,-25,-96,1489,7004,823
-13,25,50,685,2293,8364
-94,-114,-34,-1845,3699,8073
-87,-2,-60,3289,3903,8535
33,-86,97,544,866,8374
-119,124,15,-4515,-704,5853
106,16,-111,-2907,1048,4278
-35,82,-56,-1490,-2693,1699
53,57,-82,-1675,-3141,2234
-125,12,-86,2853,-127,3114
0,-57,-81,638,-14,1476
-76,98,70,-395,499,1494
127,24,59,479,-746,2423
127,59,64,-243,145,2149
115,106,-63,2218,-1794,-15
-105,62,-19,6551,-1360,-800
125,82,-110,-2914,934,40
27,-3,99,-3260,780,-1202
18,-72,78,-2811,1569,-1375
