AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-48,79,-81,-1150,-5010,-6973
123,79,-37,-2141,-11177,-7642
84,-66,-93,-2532,-9540,-7580
-4,-38,14,1586,-9503,-5596
-93,-4,-6,-1249,-3618,-511
-60,57,-95,619,1693,-394
-113,-5,-118,-143,1023,-104
2,-112,-44,-385,-144,372
115,-35,-44,-1122,374,143
-89,-14,61,533,655,775
-4,-45,-56,1236,3064,2803
103,30,-69,323,5928,3353
-36,61,8,287,5916,4197
-95,62,53,2527,6363,5945
121,-115,-47,-3350,7146,6016
103,-61,-93,-1533,-371,5298
-3,-40,75,-6093,1779,4463
77,-38,59,1092,-1714,3041
78,-47,30,10014,-3897,2693
-118,-102,13,6540,-2770,1334
-80,107,-1,-3305,1312,-1546
-19,-19,101,-1537,331,-2405
-37,101,-118,-835,316,-960
-95,122,-124,-721,-26,34
-76,-91,126,-243,317,242
-7,-31,101,-476,601,148
37,-19,90,-682,468,-264
51,-43,83,-132,254,-311
53,-43,89,-293,346,-500
52,-40,110,-694,625,-442
41,-47,-120,28,198,-255
45,-54,114,360,-277,109
65,-29,101,78,-76,39
83,-12,91,-7,-37,-103
84,-24,74,63,19,-134
89,-25,72,-46,67,-178
99,-22,84,-144,230,-220
99,-21,89,-357,290,-253
105,-26,91,-422,247,-211
111,-27,85,-425,221,-154
-34,103,100,-1777,3670,-2814
45,11,112,4616,-2488,-7875
-118,90,-52,-3375,-5542,-10835
74,-85,-1,2112,-10544,-9449
-120,65,61,-2501,-7021,-6779
-62,-69,79,-225,-5132,-3934
114,37,-110,-367,-2269,-1648
75,69,54,5908,408,838
66,-20,112,-1794,138,1228
9,126,75,421,-639,195
95,38,117,-231,63,-144
-15,-83,122,-631,-16,42
-21,-125,92,-208,123,-104
35,126,93,5,124,20
30,-113,84,54,75,102
70,-94,76,129,198,138
119,-79,44,415,588,-453
-47,-122,110,426,1004,525
25,87,56,1051,992,12
-6,116,15,893,3072,-310
-92,-116,42,3352,3024,-876
-37,20,9,1342,8863,26
30,-10,-34,-1334,9002,3171
34,27,44,111,9045,6336
7,125,-92,-4672,7487,8504
-92,-37,70,-8874,1216,5844
-54,-108,93,-1211,-3601,5231
24,118,-83,2803,-2901,2488
11,-85,1,6687,-1699,-1711
45,105,58,1417,-782,-3781
-118,-39,125,-2351,919,-1784
20,108,117,-1144,892,-665
53,97,58,-445,313,322
124,-63,11,-357,-17,40
-92,-27,19,-836,248,-517
-94,-56,-10,-635,205,-508
-106,-73,-42,-105,92,-204
-97,-67,-53,32,25,-79
-79,-46,-55,260,-11,56
-51,-21,-44,3,80,-156
-19,98,4,-4329,6605,-4776
-9,48,62,5472,-1792,-4880
-2,78,70,2557,-4825,-10372
-39,6,-27,562,-9996,-11277
61,115,23,-965,-7892,-6652
39,-19,-25,2858,-7302,-3944
-3,82,21,-586,-3974,-1718
-122,59,-22,-6760,8660,-277
-118,-88,-61,2904,-2062,1778
-28,119,-88,1270,-1349,393
88,-49,13,-1078,-470,-764
38,-122,-76,-2226,409,64
34,-121,100,1676,-130,302
104,-60,116,334,520,411
-93,-15,-32,1822,587,1516
-44,9,-12,3655,2362,1367
74,-105,3,3587,5703,448
34,-60,69,-1673,9813,2019
106,101,-74,1105,8716,6209
-98,59,105,-1031,8632,7353
91,20,94,-8281,4258,7672
-116,89,27,480,-2560,4623
-28,29,95,27,-3046,2830
-94,-75,35,1286,-2760,2445
63,68,-68,2359,-2493,-1819
-89,121,-17,2161,-1124,-2826
-119,0,-2,531,259,-1746
115,-56,20,-2306,833,-668
112,-43,34,-2726,1863,-531
-106,43,-14,-3801,1009,-643
-77,-53,-74,-1358,531,147
-78,-25,127,-530,752,-445
-85,-53,91,1157,282,-482
-52,-24,97,357,72,-279
-43,-24,98,140,-453,276
-32,-7,124,657,-386,56
-9,7,-98,578,-26,-16
-2,8,-98,244,15,-128
-2,1,-117,108,32,-189
1,-18,114,101,129,-245
37,50,8,3461,663,-4252
21,-81,43,6677,-5824,-5564
9,95,-1,-2561,-5030,-7749
-78,92,-8,422,-6481,-6937
-33,-56,-106,-2164,-10487,-5562
-54,83,101,-2153,-7462,-3119
-68,22,78,-678,-3986,-1308
-14,-3,89,1883,-1649,-379
-31,125,-13,-3245,-1194,306
-2,-38,89,3537,128,1047
-1,64,-70,-488,-962,218
-44,-31,44,159,-847,-92
68,-33,88,-89,132,51
95,-75,116,-757,-4,116
-1,-35,-82,-834,756,-571
-60,-114,-50,3248,2549,328
61,126,-54,2659,6921,2192
-70,-36,-74,1248,10274,2214
-23,-71,125,2158,10456,6559
-90,-14,50,-1811,7912,5373
-67,-49,-119,-5588,4159,9044
73,76,-117,-681,-2070,4583
57,-15,-101,-3883,-1517,315
69,-75,-56,-925,907,21
28,-86,-77,45,-255,-1611
-53,85,-10,-888,-729,-2234
-28,78,4,-2511,-383,-1205
-86,47,35,-2037,998,71
114,19,-101,357,995,-991
-104,-29,114,921,445,-756
