AccX,AccY,AccZ,GyroX,GyroY,GyroZ
42,59,18,3925,-217,-7725
12,121,70,2066,-324,-9968
-86,-55,17,2176,887,-11570
100,-47,5,-1056,2749,-8583
71,-26,87,6116,-4375,1091
-98,11,114,-570,2897,5759
17,-84,18,-5506,1842,8128
70,36,-33,4267,2336,10213
45,14,-59,-2046,-2590,-12025
0,20,-36,5371,-1172,-8634
-71,37,80,-550,-1009,-7308
-40,-107,-38,6750,-1660,-858
79,-63,119,-686,5543,7621
17,-90,-89,-6653,2420,7939
78,102,89,-137,5003,3535
22,98,-17,6333,-9087,-8405
-70,-38,19,-317,-1057,-10847
1,-56,47,-531,-1811,-13039
91,-23,119,2063,-520,-10552
45,-40,-52,1386,1429,-5884
-82,13,-69,781,59,-1164
-8,89,13,5567,-3206,5596
-97,47,-93,-1126,7378,9418
-66,9,-118,-4964,6271,11456
58,50,-57,738,-2265,-615
2,-97,-104,-609,1242,-2232
64,-98,-53,6692,-4207,2358
62,15,119,-1812,1196,-1295
12,-75,-83,-2600,1792,807
102,-55,-93,-681,847,1761
-56,76,99,2987,1803,4565
40,-1,-123,-2052,4833,2901
-40,-54,-90,-900,2035,4617
50,-40,14,-539,-391,2866
118,-113,-124,-2176,-414,2545
-60,94,-125,2444,-1466,1641
-89,115,-12,-1067,1817,2279
60,-46,-91,-3030,914,83
-125,75,118,-869,-213,-1698
-126,-13,-87,2646,302,-1776
114,-98,-68,2184,3442,-4464
22,-105,11,8505,-1319,-10191
-22,46,25,1648,-120,-12877
-58,-28,1,3067,-718,-11919
-104,-51,121,7827,-3120,-5296
-2,-24,110,-5681,4267,8458
-35,-66,27,-4607,1860,9034
-82,22,48,6915,-2050,6039
-39,-98,32,672,-2621,-10016
22,-3,-111,3802,227,-8856
51,-28,-123,-1172,-1585,-8133
45,106,-68,6041,50,-1024
102,11,-55,-3696,4845,10946
-31,-81,-43,-3735,3729,7468
-85,-13,-108,2836,702,10415
-54,-112,-54,453,-792,-8781
6,-94,37,5156,-5171,-10407
-117,-109,-62,-982,-4067,-14261
45,-48,-68,1659,556,-13094
-95,90,-49,3160,292,-7095
96,41,-44,1915,-415,-3468
-27,92,46,415,768,2851
15,76,-7,-2060,625,11337
-126,-46,-93,1215,406,13130
12,79,97,3139,3338,4158
110,100,85,-13024,5625,-3430
16,-83,85,3283,-6633,-1510
-13,102,91,4763,-5497,-643
-44,127,2,-3101,1933,-1245
26,-61,-120,-4463,1718,-202
-40,26,2,104,-720,2125
97,123,100,-758,-1213,5018
6,-66,-45,3324,-1456,6896
-119,-35,33,1352,1090,3974
-2,-85,65,-3954,1500,2656
-98,97,110,2391,-1485,3844
5,-40,-118,4949,-2231,5422
46,41,121,-129,1944,2335
7,125,47,-3764,1598,-2907
95,58,41,-226,-1556,-3822
-69,87,71,-3196,4736,-3666
-23,99,-16,-2066,-137,-1047
104,47,58,-349,42,-1458
-126,45,66,781,404,-788
90,104,-5,-146,1136,-1333
105,78,-11,107,1034,-1454
118,20,4,3619,-309,-1671
120,41,56,1896,-1036,-1074
-123,69,72,-1644,561,-1028
109,63,72,-1105,794,-1241
112,50,84,180,453,-914
-109,107,-76,265,822,-1155
-111,89,-112,1064,-100,-579
-99,101,95,288,322,-808
-92,99,75,130,509,-825
-68,88,62,486,777,-805
-66,84,47,770,378,-882
-82,65,32,1165,45,-907
-82,28,31,1285,-8,-769
-81,25,34,960,93,-676
-75,16,42,935,-56,-528
-48,13,-89,2347,695,-955
-79,-17,115,1910,-434,-606
-90,-34,88,495,219,-721
-87,-47,78,296,293,-734
-67,-45,60,-70,522,-586
-62,-32,49,223,404,-703
-58,-34,49,704,298,-791
-52,-27,61,763,313,-915
-50,-27,66,218,540,-1018
-51,-35,75,80,593,-1100
-48,-45,89,118,484,-1012
-46,-50,82,444,326,-887
-41,-47,74,546,303,-867
-43,-44,65,693,305,-874
-41,-49,66,823,238,-808
-38,-43,78,848,251,-803
-31,-46,76,777,238,-811
-28,-45,76,601,295,-819
-28,-33,77,335,353,-887
-93,-28,119,3522,2590,-4788
