AccX,AccY,AccZ,GyroX,GyroY,GyroZ
57,-49,31,-3775,7586,-4795
10,95,59,3934,-217,-8803
34,-27,-14,3811,-2555,-9222
-39,47,33,13504,-12950,-7884
-18,-57,94,16834,-15470,-4349
-124,86,35,-6014,12383,-2417
-89,-126,-67,7965,9701,-4132
-75,53,12,9471,6361,-2075
-60,-28,-58,-6359,-3785,540
-98,119,29,-2988,-367,123
-101,-5,-18,-4138,-2070,94
106,102,-1,-14003,-1389,-3397
-89,27,120,-9123,-2333,-2237
-119,76,-25,-5270,-5274,1639
-39,-113,73,-2280,-2778,5520
24,-32,21,-845,792,7332
-9,6,3,-638,2739,6608
25,-43,40,-1303,408,6625
62,-63,116,-2945,1257,5595
88,96,80,1563,-1561,3653
70,28,47,9496,-7311,7092
80,-77,64,913,-3332,3367
-124,4,9,-5917,6131,-7016
-110,31,20,1085,2842,-3361
14,15,18,1401,-666,-789
-14,65,30,1304,-1622,1162
44,-70,76,-377,92,562
92,-43,54,-1013,745,-231
-121,-9,101,-2306,494,-616
-116,-16,-85,-2246,1265,-880
99,-77,67,-67,238,-445
105,-74,56,1011,-92,-259
118,-35,49,760,-33,-13
-126,-28,31,458,147,-84
-117,-26,24,-228,-45,-163
-126,-29,47,-512,-410,105
-116,-13,97,2,286,-169
-101,-5,-128,-134,444,-287
-120,-27,57,-104,-22,-233
-115,-29,55,-169,183,-228
-80,-104,-74,-2919,3374,-2797
23,60,-94,-3199,4308,-5046
108,56,36,4104,409,-7843
65,28,-20,6359,-3137,-12853
-54,-22,-113,11031,-10073,-8762
-4,-72,-71,7470,-4442,-3530
60,127,81,-1148,6092,-3776
-46,118,-27,11336,7629,-6213
-73,17,39,860,4844,-3858
26,-19,-63,-5087,38,723
-98,106,112,-6,-2311,1732
31,-81,-113,-6034,2245,-503
61,94,97,-4885,-4112,279
28,36,125,-10473,-795,127
83,126,7,-10615,-513,-1285
-123,-17,-24,-9040,-860,1779
-43,51,68,-1637,-2582,6793
-82,-7,-79,3783,-883,6519
-65,74,-98,-1925,2216,4917
-23,-101,110,-5228,977,6102
27,47,-51,-229,-3094,4640
72,-89,-46,3650,-3360,5670
6,-87,24,-2252,-1375,5554
-29,-127,7,-2,-3246,-2265
64,-123,-97,3412,2493,-4890
109,-118,94,398,3237,-6674
-33,15,55,-2251,354,858
24,103,-32,-381,-1845,1805
22,-54,54,1401,-1389,440
80,-40,57,1390,216,-268
-104,-4,81,-1034,1048,-768
-111,-13,98,-3446,781,-1470
-118,-98,126,-2150,1272,-535
67,-116,74,687,269,-309
78,-89,51,1672,-469,-25
105,-76,49,1773,-818,227
-104,-40,68,532,-284,394
-92,-2,70,-902,673,-144
-96,-9,41,-1123,710,-399
-120,-41,34,-125,-76,-384
109,85,110,-10389,10701,-4140
-72,-79,-66,5147,3601,-3724
77,-116,96,4255,-1019,-5203
-18,117,-64,12782,-3108,-6499
-50,-88,-52,18926,-20716,-6059
106,103,-101,5018,-4879,-2072
-48,-49,-51,1780,689,-3452
72,-30,48,2162,6110,-6208
114,-2,-63,6411,7277,-6684
18,117,-106,-2005,-391,885
116,-19,91,-2837,-2186,2706
-123,-47,80,-2581,-134,1354
-81,-127,-118,-8327,560,108
-69,10,97,-8574,-1142,-1543
58,-16,67,-12151,2477,-2964
-82,-55,1,-12902,3158,-5055
-13,82,-56,-8785,-3175,-3575
125,105,-98,3801,-9070,4627
-122,95,-128,5683,-4531,4294
96,41,-54,-984,-1838,5617
37,114,-122,-262,-1924,5804
62,60,0,3968,1358,7013
9,-96,90,2038,-1060,3685
25,59,-42,4048,-342,4661
5,-116,1,-3143,-3161,1393
-40,-61,-123,590,801,-2727
24,110,27,-1472,3501,-3734
108,107,-71,2004,-329,110
-68,79,0,620,-406,238
11,-63,75,-2110,898,-677
67,-86,49,-2236,1428,-670
93,-73,29,-1815,908,-834
56,-83,42,-539,-40,-624
41,-92,71,264,-31,-180
66,-94,59,880,101,115
81,-72,27,1121,-137,98
95,-55,23,642,-218,80
98,-43,43,-40,-71,3
109,-37,55,-372,234,-77
110,-29,46,-367,320,-288
-1,27,-14,-3496,4982,-1441
100,32,-85,-2920,4551,-3189
80,-119,124,4354,-444,-3814
63,70,43,6053,-6129,-8439
-94,-19,52,11123,-13401,-13085
-39,-103,-77,16408,-17697,-5780
-36,-30,-108,-7167,9640,-3842
-20,6,-118,4358,8497,-6206
52,-77,-117,13215,9814,-6673
-18,-21,61,-8163,-619,421
-74,-111,-118,-3371,-3081,1616
-92,-64,34,-9317,-224,50
14,-97,-105,-13427,-1445,-2495
116,106,-53,-13208,-452,-115
113,-103,17,-5454,683,6143
-29,-50,-35,-1385,526,6417
5,73,53,-1207,-2308,5940
-91,-25,-83,-5544,-1968,6317
46,-116,-54,-1998,-1968,1930
-80,70,68,12937,-12015,3206
0,110,35,9675,-1996,-1282
-48,63,-65,-6294,4939,-5476
49,55,106,183,1037,-653
-99,-16,57,-1212,682,-644
-63,7,53,-787,368,178
2,49,84,221,-313,491
82,-118,-77,-439,332,84
119,-101,-63,-638,431,-222
102,123,112,-437,334,-464
81,112,103,-454,369,-406
61,110,85,16,196,-134
76,-123,68,162,204,-255
99,-127,63,212,44,-115
108,-105,81,-233,9,-198
112,-94,102,-145,128,-344
116,-122,98,141,294,-345
106,121,84,165,-2,-111
113,-113,88,301,-50,-63
-127,-82,98,-143,272,-276
-125,-100,81,-31,267,-297
91,92,-101,-5245,1831,-1909
-41,-24,23,-53,1987,-5980
-52,84,7,3932,-486,-7500
-39,10,109,2218,-2507,-8506
-19,-44,-37,9961,-10464,-9205
30,85,34,6649,-9442,-3699
43,-42,56,1642,360,-1201
58,-78,51,5277,5155,-6226
120,61,45,10224,6891,-7527
-90,-2,72,-638,3522,-2868
-77,23,58,-3118,-1824,4206
0,127,10,-6655,-1641,3012
-117,-114,-83,-14667,217,610
-1,84,-39,-15452,2025,-704
126,36,39,-9451,25,3209
-29,46,84,-1771,-1744,7037
-72,-37,79,-232,68,5076
-122,64,91,-4022,1036,3280
-56,-7,-4,812,-6297,4006
125,-2,21,1056,670,2939
52,116,-107,2000,-3963,1034
124,-93,-2,13912,-9799,4066
55,-117,93,-5681,7952,-4724
55,-125,-93,-2323,453,-1490
-10,-24,40,33,216,-696
-80,24,87,122,-277,203
-25,65,74,896,167,894
35,-122,85,-220,1246,997
95,-60,26,-1378,1719,748
113,-32,16,-1975,866,-30
-91,-71,19,-1148,19,-935
-95,-95,64,-145,-749,-868
109,-79,-123,-651,-104,-1002
97,-98,2,-1667,1756,-578
54,106,60,1306,-214,-104
90,-102,25,1625,-650,-69
-122,-61,60,560,-358,226
-97,-24,61,-1055,829,-139
-105,-10,18,-1226,834,-336
-107,-48,6,-104,142,-356
-127,-122,60,-7693,7552,-3149
126,-60,52,523,4470,-6146
86,-45,-11,7638,-503,-7605
115,-60,66,9847,-8119,-10330
-3,102,-59,18018,-18903,-7550
-14,87,28,-1075,4705,-3783
-119,96,-46,4134,8090,-6270
-38,-18,114,9597,4405,-7411
-48,55,75,-1122,4709,-2908
-43,-17,33,-2842,-6476,4235
-105,-55,4,-6182,2030,1565
-48,-115,-108,-11459,-195,32
-87,-33,46,-15148,2078,-3438
105,-23,24,-13146,1846,-1750
87,24,-85,-6675,-366,4144
-86,-64,-101,1803,-3602,6549
-112,-16,-119,-110,-1194,5132
-6,-28,-11,-8748,-2635,4823
-72,-69,79,908,-1937,3681
95,68,116,5559,-5547,2322
125,41,97,225,-2850,1997
66,100,78,3687,-861,-634
-120,67,-60,250,4186,-4054
-56,-93,22,2568,-1018,-361
-56,23,99,-739,-544,463
-7,79,124,-1014,682,460
49,104,61,-1092,973,536
74,-103,73,-1411,56,218
101,-63,-75,-727,378,-694
101,-102,-80,-613,715,-787
71,109,80,205,206,-634
71,99,76,556,138,-413
72,126,62,156,161,-308
86,-117,63,-507,173,-158
102,-102,81,-733,100,-66
125,-89,110,-477,60,42
115,-61,91,96,445,-383
108,-96,57,517,59,-419
108,-91,59,-101,-108,-33
125,-63,68,-350,152,-153
-102,-28,-47,-7518,3228,-1431
-53,4,9,1508,381,-6718
30,124,-19,3910,730,-11142
18,-63,120,4578,-1399,-10648
89,96,-34,17939,-17146,-10975
-112,-104,25,4070,-9543,-627
69,115,102,-1438,12690,-8524
-127,-127,-104,10207,2779,-10139
59,-99,-15,-5545,6248,-2112
0,71,29,-755,-2263,3374
84,90,61,-4887,884,1530
106,101,78,-8061,-904,1464
-26,54,-36,-13484,659,-981
78,34,-102,-12722,476,-2673
-46,27,-91,-8545,715,1465
-3,-40,-104,-1298,-2998,5471
-59,-112,-55,533,-2666,5387
-1,-32,-128,527,-284,5110
83,87,-57,-2843,575,5791
53,50,73,-1136,1269,5571
-25,-100,59,1258,-653,3315
75,-51,92,463,-4071,4069
-22,-81,72,-2227,-1683,1127
-79,-95,-21,9679,-1699,-1459
44,16,119,-1353,3296,-3506
-33,-1,-5,1290,-303,-383
-30,70,72,-59,-319,694
28,-102,100,-1176,973,215
66,-104,27,-369,982,-43
106,-72,2,-866,451,-137
97,-70,49,-1204,-46,-761
71,-112,108,-671,-71,-716
96,-112,-87,-970,1059,-283
68,-116,93,333,16,-24
85,-91,55,745,-361,-24
113,-63,64,117,77,-75
122,-55,53,-199,447,-267
119,-60,32,-248,185,-256
116,-66,38,-50,-87,-163
126,-54,58,-196,164,-305
70,-123,-32,2149,3534,-2931
82,-19,124,928,768,-5031
-32,126,-90,5357,311,-3344
-118,-29,-74,4202,-9019,-8658
81,-7,-39,2250,-7965,-6283
48,3,43,14566,-14328,-4864
-15,-106,127,229,3005,-3006
-88,43,54,3785,5289,-5503
-61,30,-124,10219,5305,-6860
120,-19,-42,-2739,3053,-1616
-40,54,127,-3360,-1011,2223
28,-95,67,-2740,-3385,2526
64,-92,-23,-11536,695,-98
47,82,-35,-12654,646,-2999
36,105,-45,-12864,2462,-516
117,32,-73,-8092,916,4177
-80,18,-86,-926,-4482,6796
-57,-112,-128,1721,-4196,7352
-104,-7,-41,-440,-1407,4496
-55,127,109,-572,-22,3237
86,-81,54,1701,-2195,3024
0,-118,61,-2255,-2623,1309
-11,-22,4,11020,-3439,-2306
82,48,4,-3053,4606,-3085
8,-6,-7,-190,69,165
-1,113,58,-1639,679,98
41,113,15,-315,883,84
79,114,-9,648,268,266
127,-82,25,-207,-231,47
-126,-70,54,-850,-112,-371
111,-87,87,-757,-208,-543
-122,-65,10,-1098,1300,-795
82,-124,124,556,-265,135
86,-100,59,699,-314,-57
-126,-75,64,136,248,-161
-110,-68,47,-632,783,-266
121,-70,8,-452,21,-164
121,-68,34,-108,-364,-113
-110,-48,82,-142,263,-210
-98,-39,105,-265,496,-304
