AccX,AccY,AccZ,GyroX,GyroY,GyroZ
12,-128,91,-5976,4220,-2773
124,83,20,-6075,5519,-3553
19,10,-5,-15913,-1423,-2950
21,97,103,5076,9295,2740
74,55,32,-2299,4032,-1353
-86,-6,101,2324,5861,2902
3,96,0,-1944,1326,2058
-53,117,31,932,-1095,1533
26,0,-28,8301,-4958,-2822
-32,94,-128,-451,-5139,-8871
68,93,73,9697,10312,-6597
-26,67,-115,7481,1381,2475
7,95,87,-3708,-10000,-2095
-116,102,50,-2111,-2748,-5372
-81,-40,-96,13330,2124,2390
-68,53,58,497,-2799,-1006
56,-31,-52,-2005,-5224,-3735
119,0,-80,3242,-1636,-1160
116,37,-58,-256,-4358,-2277
72,-25,-89,3269,-2901,-1263
41,-49,29,-250,-3614,-2719
71,-92,-18,1670,-577,88
-62,18,14,1405,-738,-1085
117,29,-52,2085,984,840
-32,26,97,-2108,-1428,-926
17,-7,-111,-387,257,-248
38,-20,90,-949,848,-205
43,21,56,-2091,554,-272
82,65,-10,-2637,125,-261
127,126,-107,-2064,181,-272
-115,-100,109,-1917,236,-383
-98,-106,70,-1413,158,-452
-88,-102,72,-1231,-140,-420
-79,-109,66,-1090,-288,-443
-79,-111,88,-1220,-674,-425
-76,-110,93,-564,-388,-271
-87,-114,-114,-932,-775,-386
-78,-110,-113,-821,-611,-325
-117,126,-109,-1024,-908,-465
-113,-115,-98,-1337,-1071,-441
25,-49,28,-5986,1536,-3253
115,23,-97,-4361,4107,-74
-100,51,-107,-847,3026,-3196
-59,-22,25,-6991,-1528,-4318
69,-118,3,2758,5785,-2323
21,32,-14,-593,2414,-4059
74,81,-122,3425,5586,-1044
52,105,125,-396,2268,-1096
-81,-111,-81,-20,1922,-1109
118,-85,-10,5236,-2606,-1979
-128,-42,26,8558,-1705,-5022
-34,-20,12,4149,-2262,-763
-85,75,-33,-261,-5676,-3396
14,-118,82,-3290,-4883,-5443
99,-33,-60,-4842,-1854,-1147
-7,-103,52,14340,4503,3511
-91,43,-96,1259,-3432,-1767
-120,16,120,-4774,-6025,-6054
19,55,80,4256,519,-505
-32,-24,76,2107,-1476,-1372
-115,-54,84,1623,-2535,-2259
15,-51,-92,1016,-2211,-1609
-1,60,-40,2409,-1567,-1557
32,63,-110,547,57,-237
-86,53,-4,-396,-1323,-513
64,62,86,1004,33,110
75,13,-105,18,12,-313
72,42,61,649,1135,658
-11,19,78,-128,577,77
-17,10,92,-1107,-464,-298
29,8,30,-938,-28,-361
67,37,11,-1453,-19,-371
89,71,-11,-1940,-83,-492
111,88,-64,-1951,-43,-674
-94,126,-107,-1969,-84,-599
-93,-106,108,-1515,149,-369
-92,-105,119,-1730,-380,-686
-72,-80,100,-1309,-298,-563
-54,-75,100,-1388,-233,-460
-54,-69,69,-780,-97,-236
-36,-23,89,3548,4414,2861
82,-26,-2,1985,4203,1554
-41,82,114,1874,4763,579
-81,-118,-24,-1117,3587,-1315
-55,-94,52,146,4316,-531
-119,46,38,3451,6299,-805
-25,28,-41,-5707,235,-6336
82,-28,-111,-5463,1324,-5484
-53,-16,59,57,5477,-2637
81,-102,106,-2375,2301,-6047
40,117,-45,568,6151,-4196
77,-12,-100,-3085,3313,-2376
16,97,-75,-987,3510,2288
116,119,117,907,2752,1425
22,-12,-43,2325,-1457,134
-55,-74,-23,5557,-3443,-3462
41,-27,-113,3162,-3196,-2585
-29,-32,106,4038,-2737,-6301
-36,-48,-91,9798,1118,-1206
10,10,47,-10267,-7639,-3554
-114,68,-20,-1850,-1737,482
-58,-78,-23,8481,3031,1955
-75,-124,-50,-2299,-4615,-2092
-116,29,-114,458,-2462,-2149
-74,71,63,3890,-278,-280
-81,-33,-8,62,-2967,-1590
-85,17,-63,1653,-1677,-842
-87,67,23,1529,-2033,-1052
-76,30,121,2815,-2504,-486
-60,-94,-33,2779,-3275,-1048
57,-33,-24,2976,-1666,168
-47,87,-74,1706,-2052,359
106,120,84,2998,1016,961
-84,97,-48,-1930,-581,-552
-88,79,-13,-1774,59,-420
-82,36,-84,-2490,-762,-1126
21,-8,-12,-1235,675,-373
25,13,-23,-682,1100,223
15,48,8,-2066,-95,-497
98,92,-55,-1134,538,-419
-59,-71,-55,-3670,2135,-4877
-35,-122,-39,-687,4400,-3883
61,41,5,-5148,2712,-2497
-18,2,110,-290,4095,584
75,-32,-112,2062,3065,883
18,-31,-22,1182,-140,-348
-128,-42,-21,3129,-2632,-2023
-107,111,3,4070,-3681,-3678
-93,89,23,7432,-3028,-3874
-31,124,106,7993,1549,-647
35,-23,47,-1557,-7820,-1943
-104,55,45,-1428,-1014,-1330
86,-128,-93,5824,2797,2255
79,-101,34,-4364,-5479,-2764
103,73,-121,-32,-2848,-1285
-126,41,82,3972,-678,-684
117,4,-40,1217,-2893,-1092
-95,-3,60,1534,-3464,-1079
-88,57,40,5202,-1900,-125
-43,31,15,948,-2921,-217
-93,-42,35,2523,-1751,230
97,-83,-90,1332,-2504,-336
-101,91,83,1141,168,269
-6,109,90,-297,316,-184
-45,65,-43,-559,819,-221
-54,32,-76,-1302,545,-442
-45,24,115,-1998,-121,-672
29,34,1,-2388,-90,-760
81,67,-69,-1565,544,-226
108,103,-88,-1605,534,-357
-114,-128,115,-1967,226,-526
-122,-103,111,-1388,-89,-534
-98,-110,89,-1219,-336,-661
-102,-112,-128,-1538,-603,-731
-87,-107,107,-1157,-456,-540
-87,-106,97,-840,-400,-374
-100,-92,-112,-1193,-817,-558
-85,-87,-115,-947,-633,-375
-80,-88,-112,-657,-290,-230
-106,-84,-79,-1288,-881,-486
-125,37,68,-5310,1482,-6343
29,-58,2,10,5519,-3859
36,107,-22,-2967,4480,-2777
28,-12,-34,-1700,3669,1624
93,71,1,-286,3411,3541
-121,113,89,66,-491,2052
-51,110,93,4375,-2051,1512
-116,92,43,5684,-5116,-4265
-82,-77,121,6524,-2604,-1717
42,126,98,6008,-1127,-2875
-20,-87,-10,4616,-5727,-2530
-98,46,-17,2141,-3651,-1731
-38,-49,4,1668,-2422,-751
-26,41,64,4098,-3210,-1119
-57,-10,-73,-1872,-3907,-3618
53,-76,83,2744,-1293,-887
-57,-33,-114,2010,-2377,-1590
4,-63,-15,956,-3039,-928
-7,-108,-41,3043,-776,-73
-125,-80,-19,1969,-446,581
81,92,125,-1188,-2602,-939
64,91,121,2866,820,1070
-48,45,69,-506,-1255,-318
-44,33,-69,553,411,468
-67,1,-94,832,1259,481
-105,28,-36,-1158,507,-83
-67,34,124,-1712,542,-628
23,34,33,-1032,705,-199
73,51,9,-2118,644,-748
126,81,-69,-1671,278,-576
-93,96,-93,-1609,526,-670
-69,114,-107,-2019,-147,-840
-58,-122,90,-1484,-276,-466
-81,-108,97,-1031,-328,-489
-88,-68,-102,-1784,-644,-912
-72,-86,92,-926,-549,-639
-77,-112,122,-767,-822,-447
-80,-124,-112,-320,-464,-61
-98,-120,-70,-673,-721,-168
-112,-120,-63,-750,-876,-349
-71,27,-68,3277,4543,2809
-112,7,123,3129,5700,3096
115,-118,-33,2590,8298,2932
-126,44,79,-1564,7542,-756
104,54,116,-4,5403,-3371
-92,-31,-93,-6757,1317,-6896
-35,116,48,-1354,4914,-6190
110,-110,23,-2852,4072,-6156
-23,-35,32,-2474,4056,-5538
-35,117,-16,-3804,3329,-1940
-14,-51,33,-484,5093,1653
7,114,73,6641,2437,3074
69,97,-37,800,-5834,-2451
-113,11,48,10256,-4044,-6217
5,29,21,5702,-1980,1577
25,-5,13,5288,-3446,-2258
62,-55,-28,-455,-8793,-5930
27,98,116,-3445,-3206,-5882
-33,-101,121,6946,2775,-541
104,-19,41,59,-3657,-2999
62,-18,-60,1758,-2207,-2020
71,-41,-94,-439,-1337,-1856
60,-110,-63,2885,-1838,-265
-54,-52,-69,2042,-1164,643
-103,115,29,1916,-1135,448
53,-20,-97,2746,1599,2324
96,-77,19,196,166,-226
109,124,5,-1313,-1218,-503
-90,71,127,-910,-22,-117
-102,98,-125,-1788,-23,-577
-52,-122,90,-3151,-177,-1024
63,-86,-74,-4974,-1108,-1090
58,-3,46,-2726,-804,-297
77,11,2,-453,754,-218
85,-2,81,-1075,12,-495
81,-44,106,-2694,-1094,-1287
-116,-15,-11,-335,85,-66
122,-29,95,-1671,-946,-834
-104,-37,55,-584,-91,-273
-112,-63,101,-1313,-794,-355
-122,55,-65,2652,5537,2226
15,79,-53,-651,5632,232
-105,-49,-89,432,8105,1007
75,34,54,-5237,4203,-3061
60,-60,7,-3871,3857,-3040
-36,-114,-97,-2131,4250,-3369
-54,-28,-76,-6358,149,-5039
72,-79,41,1365,6832,-2515
113,-35,-75,-1606,5541,-3637
-49,-121,-107,-953,4597,-512
6,-5,75,-3091,2704,3405
121,2,80,3495,2330,2101
-124,-88,67,1801,-4863,-3258
38,-97,-5,5442,-3921,-5178
-39,89,82,7886,-2685,-1744
124,-97,107,7276,-202,-6407
85,-22,115,1095,-7187,-1203
-22,76,39,-2020,-6214,-3602
50,-18,0,7950,4432,-229
-18,83,-24,1630,-4182,-1469
-51,-24,92,-314,-3547,-3049
96,31,53,7200,771,2330
-101,21,-122,1052,-3257,-480
-67,18,65,1493,-2022,354
-121,-114,102,1791,-1766,574
87,-88,52,847,-566,633
-18,94,14,741,-151,665
-61,-116,-46,-531,952,229
-47,-103,-100,-2980,-170,-886
13,114,-66,-798,1036,-36
-18,113,-67,370,1291,348
-20,62,25,-1987,-1035,-1213
113,71,-70,-776,401,-288
-110,96,-33,-1436,144,-616
-66,98,-69,-1170,199,-456
-68,105,-61,-1974,-299,-721
-60,124,122,-994,-23,-204
-79,-121,-110,-1411,-569,-299
-91,-108,-121,-1219,-657,-403
-72,-98,-126,-591,-301,-12
-55,100,-63,4176,5228,2172
35,13,-6,10499,11228,4645
-125,57,-19,3062,4782,-1196
88,-94,-116,-8977,-2082,-5564
-94,42,-11,4480,6676,-1664
20,-92,66,-3893,561,-7475
-69,-100,-17,1495,4148,-5902
-122,24,-51,-4814,1572,-7458
-22,103,-121,2736,4931,-3661
-65,98,-8,-4836,1962,-4847
102,59,-22,-1094,2934,328
21,-85,115,967,2310,623
19,84,-13,2167,-1626,-1282
-113,-91,72,4228,-3026,-5175
100,46,-125,3877,-3091,-4537
-58,112,20,8968,-1185,-6072
12,-86,-54,7774,-833,2804
10,117,4,-8111,-9596,-7711
34,-75,-63,1469,1584,-1878
7,-101,-86,7922,1499,1390
111,-34,2,-3265,-5734,-4566
-39,69,-71,4288,-212,-726
-18,-11,-71,1777,-1749,-506
-63,-33,-68,2139,-1641,-962
-46,-45,-56,1622,-1310,-64
-95,-108,103,416,-2438,-247
115,-39,-29,1370,-287,781
8,-89,30,124,-1289,9
31,-110,96,928,1360,1238
-76,-90,37,2172,2277,1795
105,106,123,-1141,-390,221
-97,88,-30,713,547,579
-75,52,54,-1446,-920,-402
-15,50,-45,-119,163,-47
-5,48,-27,-934,-302,-363
14,31,-43,-1535,-818,-686
53,40,-84,-800,-180,-423
73,57,-77,-1125,-180,-402
71,63,-91,-1213,-224,-624
92,68,-87,-1666,-721,-829
-102,22,100,4168,4565,2564
39,8,-101,2373,4399,1592
-26,24,5,2182,5150,962
67,-98,-75,2260,5935,282
-52,-73,68,-950,3886,-2249
109,24,11,-1921,4177,-2725
36,101,48,-3569,3685,-3081
105,69,-20,-700,3652,-5287
98,84,-17,-5361,2130,-5913
-128,-50,-107,2535,5060,-5201
-120,-119,-86,-10992,730,-6953
61,7,6,-4490,3977,-105
-99,-121,-56,5816,5812,5345
-73,61,13,-6019,-398,-377
8,33,-81,3133,-1363,3554
85,56,-64,9136,-2742,-2004
61,-84,-78,2142,-5733,-8724
-63,85,-126,7586,-459,-3172
-83,6,106,6997,-3136,-2605
-112,-51,-51,4419,-4845,348
9,-54,-74,-3513,-5719,-4622
54,123,93,528,771,-820
-42,34,-95,2055,-1397,-956
-74,20,-30,2384,-2258,-1361
-90,38,42,4121,-2254,-427
-6,5,-39,-1713,-3581,-2118
23,-70,-97,4294,-1269,-170
2,-28,-50,743,-799,-359
-74,-78,-14,2311,-888,450
106,-83,-91,1955,621,1026
-7,-76,-24,1141,217,1009
-102,-117,-39,-275,-686,72
-70,80,-118,563,455,247
-94,49,-84,-442,-13,-159
-64,50,-107,-1074,-33,-387
-20,52,113,-1293,365,-801
76,72,49,-1572,864,-719
-126,85,-1,-2625,231,-1104
-71,96,-110,-1817,773,-685
-43,106,112,-1436,382,-564
61,35,-60,5681,5506,3549
-82,36,-93,3785,5288,2483
-18,102,107,2245,4186,1252
-92,-111,94,946,3576,-214
45,10,-104,908,3505,-1986
29,60,-63,-721,2182,-3329
82,0,63,-664,2715,-3181
44,107,-26,-806,2740,-3136
-78,-25,-30,-96,2174,-4888
-93,-22,-50,-1898,1756,-5227
-48,-27,-106,3537,4912,-3394
-47,-66,73,-6293,-1071,-8063
-5,-120,-11,-6521,3451,-3505
-13,117,13,-1606,4200,1638
105,70,-112,1997,2724,4586
8,-115,111,-2672,-686,3356
-128,90,-5,4411,-2248,2058
-42,-122,-79,7954,-2991,-2932
65,37,94,6769,-4497,-6702
53,57,-117,3559,-3731,-4201
-105,-28,-128,7025,-4756,-4196
-47,-122,-107,9262,-175,2950
-1,-30,-102,-9811,-9024,-6190
16,77,52,3607,2143,-550
25,79,88,9716,2070,3123
38,118,-108,-5671,-8464,-4168
-47,0,-77,4089,-732,-206
-15,-17,-122,1730,-1136,123
-94,-85,2,753,-2779,-1177
28,-69,125,-71,-884,-327
-122,-5,50,5153,1532,2206
-1,-85,74,-1481,-2303,-597
63,-104,68,2707,1000,1202
-8,-116,-123,2458,993,1769
-107,118,-54,1197,246,1314
115,-109,-25,665,296,891
94,-122,-2,-235,-183,244
78,92,-27,-911,107,-744
-98,72,-69,-1705,438,-1089
17,92,101,-1825,978,-1402
-127,-27,44,-4548,4880,-1377
-64,-53,46,-4918,-778,-4798
127,102,-45,-1225,2333,-1628
-28,42,-56,3412,3455,-1893
40,23,106,-3129,3405,-3158
110,117,-106,674,6186,685
-61,124,-16,53,3868,1969
-117,0,110,-402,1248,3466
-121,36,87,1339,-2140,2236
-51,81,-71,5749,-3613,162
71,-68,93,6107,-4684,-2819
-87,-86,119,5632,-5080,-3713
-89,34,72,5629,-2783,-3483
-95,26,69,6227,-4490,-406
-24,0,119,-3188,-7520,-3916
70,57,-26,-536,-1259,-4462
102,-90,73,8155,4046,1963
-55,15,-40,-673,-4015,-1579
-100,-36,108,3013,-4392,-1254
23,-70,120,4534,-1975,377
51,-20,44,3025,-1279,956
-94,43,-4,970,-2973,1242
