AccX,AccY,AccZ,GyroX,GyroY,GyroZ
54,-126,123,5243,2867,-4380
-52,21,11,4595,3834,-4512
-120,85,17,2375,4585,-6009
32,-52,-101,2378,4935,-5716
-30,99,40,472,4034,-6866
-78,96,-28,-1492,3764,-5369
-123,117,24,-648,1245,-3573
61,117,-64,-1069,-731,-1633
72,-85,47,340,-877,-1560
64,-22,38,915,-2568,-1266
82,126,-86,624,-1734,-1962
-103,101,45,2162,-3155,-386
59,-120,61,1497,-1911,-733
57,-116,67,1456,-2832,236
-9,104,106,152,-4078,1617
-94,-3,97,-1766,-1678,2102
111,-120,88,191,-3275,3113
122,59,-109,-2388,-1776,2230
-109,-21,-91,635,-1287,-320
-13,-21,-45,550,-927,-843
52,124,-113,-358,-666,-545
18,-106,2,-637,33,-581
18,83,-111,-10,-571,-664
-5,-29,-25,4,-843,-842
-19,-46,-58,-1072,-518,-1045
-59,-81,-101,-735,-508,-1261
113,-83,-120,-1115,-388,31
120,26,-96,-1939,579,743
-107,73,-98,-434,-1014,1563
54,-106,-64,537,-769,1569
55,-51,-81,815,-1235,1663
-65,-61,-49,779,-1013,2283
-35,-74,-92,1953,-1955,1984
11,-88,23,634,-107,1991
-40,96,-93,1271,81,1772
-44,61,-86,347,-1342,2421
-45,6,-22,482,-161,1817
-39,47,-48,450,-86,1078
-112,29,-89,707,-121,248
70,-14,-105,9,28,-634
49,97,98,6025,3339,-3774
-124,89,87,3910,2303,-5334
28,12,-27,3067,4832,-5465
71,-72,45,2346,4097,-5977
-32,-2,-28,484,5369,-7188
-18,-78,-69,1250,4534,-5782
-11,-78,114,-301,2337,-4027
95,-104,-43,1559,-1496,-1464
15,117,82,441,-2483,-979
-28,42,-118,674,-2436,-817
-66,-62,115,2126,-2004,-1594
-26,-63,14,2907,-2225,-1591
91,-26,125,929,-329,-1981
-48,-10,-14,2932,-2658,2480
15,101,-58,-3482,-3334,1874
-21,-83,120,835,-5279,5041
110,-52,-44,-7373,-2314,3350
77,-33,-96,2365,-40,-1457
-1,55,108,2467,-798,-2424
-110,-48,-30,-1190,-1272,474
-77,78,-41,-939,-302,-384
-24,12,92,429,-931,-405
-22,-65,-87,-208,-1350,-384
