AccX,AccY,AccZ,GyroX,GyroY,GyroZ
32,90,-94,-4431,5890,284
114,72,-123,-8357,3043,-2953
1,78,37,-181,2824,-1127
83,104,-63,-2428,539,-3805
97,117,-22,-2955,2600,-2059
104,-95,-59,-2927,-1629,-1464
-105,102,10,-3856,-2562,-2252
82,-23,105,2156,-5273,-3601
-62,-107,-59,11508,2596,4757
-59,105,25,6594,6367,5045
0,113,118,-12912,-7575,-9739
-5,64,-23,739,2326,875
3,-30,24,12604,7611,7116
-83,-81,121,-2872,-1888,-1759
-121,54,-31,698,-565,672
61,-54,50,4554,335,1191
104,-76,-45,5627,-1718,1761
98,74,-15,1169,-1336,1252
68,43,64,4232,-3488,1358
75,-9,-7,2920,-4291,231
79,67,-19,3351,-3555,-116
-8,99,-36,361,-3546,-2993
-44,-46,-27,4261,-2160,-202
-35,-44,-127,5197,-684,1137
17,-114,22,-341,689,199
-85,78,-14,-3008,1185,-430
117,103,89,-2514,-975,-116
-127,-123,94,3364,1951,963
-101,85,101,212,-45,-3
-86,-126,56,694,817,600
-69,-122,49,-538,35,-91
-51,-108,-3,705,764,460
-82,-109,0,345,468,178
-70,-125,0,-96,-106,-55
-59,-117,-42,987,502,339
-68,-119,24,132,-31,-21
-63,-114,31,21,-147,-111
-50,-107,-28,1130,743,307
-69,-122,35,69,-52,-144
-57,-117,1,411,156,-16
-71,79,-123,-8056,1684,-2593
89,-26,-34,-5631,6906,96
50,69,55,-5547,5237,-272
79,83,-69,-4633,2677,-1857
-110,13,-80,-4384,-2451,-3156
-21,-9,-34,-2693,3138,-720
105,-74,63,-2385,-1156,-2765
-69,-120,-117,-1054,-519,-1368
-50,-11,-53,973,-5102,-2420
107,96,64,10932,2536,5258
61,-20,-50,12430,8950,5465
-80,16,107,-17197,-9366,-10604
-63,-45,-82,-396,122,-493
-77,-120,-17,10706,8512,7022
-26,123,51,-1145,-127,398
-1,45,-28,-2187,-3335,-2382
121,35,-41,2971,-1048,498
88,-34,-127,7202,-187,2161
115,19,38,5796,-3651,181
-63,88,111,7442,-2341,2855
37,-10,-64,2174,-4578,-843
-7,122,-56,2233,-1739,94
74,84,96,-2655,-4431,-3256
-52,-14,-69,6416,-2096,99
-13,-48,89,6325,2458,2565
-97,73,-115,-4085,-129,-1623
-48,-121,-97,-6249,-2134,-452
120,-89,17,1474,986,41
-66,-126,-118,3399,1483,1386
-90,-125,93,-318,45,-2
-70,-99,35,-215,299,93
-68,-101,-23,536,459,270
-72,-96,-17,563,459,187
-75,-104,7,-27,45,-69
-71,-105,-31,510,250,63
-66,-102,-15,583,307,10
-52,-112,2,370,166,-18
-48,-103,-15,751,500,111
-43,-117,16,58,-14,-84
-46,-109,-17,553,312,91
-41,15,-104,-7092,4414,-2936
84,-38,-109,-7135,3477,-3128
123,94,-53,-7674,1138,-3202
-67,27,6,-6166,1249,-2656
64,-37,-93,57,792,-1489
107,18,3,-2381,-2860,-4040
105,29,-79,5866,-2185,-5736
67,-76,22,9276,4320,6119
106,-16,32,6332,11295,6962
-112,-79,87,-11935,-7973,-9121
8,59,90,-7761,-4018,537
-88,36,-52,11202,4641,2735
76,64,-47,5612,105,986
-21,-31,-24,2587,-2171,-1144
115,-85,-88,9316,-1117,684
56,-126,-115,9335,1426,3868
90,-28,-78,-382,-6245,-13
-65,-30,102,2093,-2371,-713
90,-117,-113,720,-2806,-2130
-30,-47,16,3354,-2419,-1399
23,-3,113,6386,2589,3112
-48,-113,92,-3495,38,-1453
-76,-55,-58,-6954,-2847,-953
83,-8,115,-2904,-1986,-943
-49,-6,-47,6775,3003,2281
-41,-88,91,1709,1180,1187
-64,-85,-106,-1554,-440,-470
-44,-63,-59,1155,951,496
-61,-86,-28,1006,356,165
-51,-82,-4,528,256,144
-48,-94,17,53,-235,57
-36,-90,-28,1170,712,421
-47,-100,44,41,-2,-18
-27,-103,-8,734,552,326
-47,-110,1,454,126,88
-39,-104,-1,637,412,183
-22,-109,3,413,253,109
-26,-111,2,496,186,108
-16,-100,5,462,447,204
-17,-90,-15,473,286,145
-93,-22,93,-6101,3648,-1752
87,58,-36,-7410,4433,-2537
60,-39,122,-7945,955,-2190
29,69,-100,-2348,2617,-2670
59,109,51,-3387,505,-3096
16,-31,52,-2322,-2064,-2889
-49,69,-54,2908,-2392,-2494
89,97,-100,7992,-206,557
46,73,-27,5262,8300,8703
-107,36,34,-4794,-1652,-5135
-68,-42,85,-7606,-3947,-3721
-51,0,-63,5186,2974,3843
-94,47,-35,5463,162,1783
67,115,38,608,-1193,2193
