AccX,AccY,AccZ,GyroX,GyroY,GyroZ
97,46,102,-4396,918,-5565
35,-13,122,-2644,1135,-4327
123,44,-57,-3632,1324,-3293
-28,107,-6,-578,796,-1554
6,-22,32,-2006,877,-291
-40,-46,104,2672,-1926,2198
91,16,-52,524,580,930
-128,-46,-105,292,-1119,-1663
-60,-6,52,-702,76,-934
-120,-26,-45,-711,-461,-167
-96,55,-96,157,-313,-844
-53,58,125,-66,-531,-767
-33,82,58,363,-681,-96
-70,97,82,344,-1098,852
-51,-89,33,-39,-71,1184
-12,24,66,-1394,-1820,2615
18,67,-91,556,-978,2055
-122,-114,-9,461,-909,2901
-110,-111,-19,1100,-539,1692
-64,34,-12,536,861,2458
-78,-10,96,1230,-250,2219
-82,-49,111,735,-87,2017
-114,-77,114,303,536,1413
120,-118,-128,465,153,1728
119,-62,115,117,42,791
67,-57,105,9,-227,-102
23,-106,-122,81,16,-785
-26,50,115,210,151,-954
-31,15,110,-182,42,-1153
-35,-54,118,-120,171,-1001
-27,-69,115,-414,170,-956
-35,-92,106,-268,-22,-854
-49,-66,115,-546,62,-901
-44,-69,123,-397,197,-753
-43,-53,117,-269,145,-654
-38,-28,116,-209,65,-688
-46,-19,121,-221,165,-640
-60,-12,119,-265,114,-533
-75,-7,121,-387,141,-343
-55,22,121,-563,115,-313
-48,-40,-60,-3580,1163,-5341
-69,63,-67,-1784,562,-4192
-123,-105,-80,-2415,1024,-3801
-11,-94,-124,-1256,474,-2459
71,-32,18,-1765,832,-1428
97,-39,58,-603,25,-871
-36,-77,108,639,-544,14
56,-27,-31,-1531,909,-521
-13,34,-98,1744,-659,811
3,108,-42,-804,148,954
56,-93,-12,-150,-451,492
49,126,14,-374,-347,-1210
-64,16,84,-579,10,-1541
-65,-43,58,-517,330,-1400
-99,-104,5,436,282,-771
-81,-42,-90,63,-1031,-1005
-85,-2,-117,-1056,-706,-650
98,-38,78,689,-1472,-1005
103,13,110,-748,-498,-335
-36,-49,88,-409,327,312
27,-95,61,865,-1288,1384
75,-101,40,1948,127,2873
-62,42,68,1120,-608,3388
126,125,27,970,1270,2817
118,115,16,603,-175,3335
17,104,73,-907,537,2760
-26,14,86,-174,-172,2565
60,-50,114,260,-478,2698
57,-84,105,190,-273,2052
-32,-64,-125,-241,-214,1408
-120,-58,104,-458,53,199
61,-111,100,-141,-170,-110
27,112,90,-504,-148,-431
14,103,65,-112,-133,-1052
-1,40,85,-504,434,-1000
-24,-20,67,-483,370,-999
-10,-44,56,-265,74,-1148
-25,-62,68,-402,130,-1113
-53,-99,77,-462,84,-694
-54,-44,84,-646,170,-697
-2,85,-9,-3907,2183,-6178
83,-107,56,-688,635,-3829
33,101,121,-2957,491,-1973
-81,77,18,-563,-455,-738
76,93,93,-850,-306,-534
95,34,-90,-1816,315,569
-128,-101,-75,838,-568,2409
35,40,28,-87,528,1070
10,-61,-74,-438,-739,-2156
58,-38,67,-450,-558,-2600
-27,58,-128,-1557,-133,-1650
-52,28,41,654,-1043,-652
-45,-108,38,364,473,-1990
-120,112,-75,227,-189,-951
89,123,127,-309,-594,140
56,116,113,330,-665,958
39,-52,66,-197,301,1129
-72,-70,76,722,-173,2347
-66,-10,26,1152,36,2755
-99,79,59,-314,301,3113
-118,-32,-8,2043,-506,3091
-2,88,49,-953,-242,2860
-49,-67,93,371,-771,3071
6,-32,124,-303,50,2464
-27,65,107,1014,-695,2979
18,-127,122,-259,-435,2153
-61,-84,-89,-762,-876,1388
-128,-48,-118,-307,-87,-579
19,119,80,592,-106,-1611
-10,10,90,266,215,-1522
-17,-35,80,-220,680,-1516
-19,-111,50,-187,146,-1376
-36,-123,53,-719,127,-1250
-38,125,65,-745,83,-889
-49,-126,60,-583,202,-773
-51,-105,60,-769,85,-518
-54,-73,62,-633,102,-361
-54,-40,66,-640,67,-310
-53,-22,75,-618,164,-241
-61,11,78,-567,4,-207
-80,57,68,-1571,6868,-2355
-8,-112,20,3258,-3919,-2075
-109,96,80,127,816,-2771
34,-36,43,1325,504,-2759
23,9,-35,1037,-61,-3078
35,-49,-4,612,-889,-4333
58,-72,99,-2457,-1075,-7496
-71,107,-23,-3287,650,-6618
-80,-99,90,-1785,-525,-3689
-18,126,-109,-1353,-293,-2204
70,87,-26,-929,-560,-1311
108,3,78,-1156,-390,171
-122,-122,-91,-857,91,1503
-101,123,124,-407,-413,1913
55,-61,-20,-1366,425,345
-102,-112,-51,1269,-1113,-2748
10,-91,80,-1303,232,-2200
-91,-7,106,822,300,-1151
-76,87,-1,1521,-952,-578
-59,-88,-27,319,334,-972
-113,-127,-126,-315,-425,-359
-122,-104,-128,-1187,272,550
-84,-18,79,-267,-365,783
87,-33,100,388,-114,1504
-20,1,75,-598,-4,1526
-114,-7,55,998,331,2854
-114,79,86,-277,655,2470
-84,38,29,848,334,2027
-115,-43,29,919,-193,2545
-61,-7,43,-593,9,2035
-52,-123,105,-76,10,2290
-26,56,86,354,162,2255
-27,40,79,93,65,2158
-2,-72,93,474,-188,2569
38,39,-126,-322,122,2037
-55,-104,86,-997,-265,414
80,119,67,-724,-407,-922
36,-21,84,349,-16,-960
11,-62,52,-146,-113,-1126
21,-89,45,-491,46,-1389
116,106,28,-5382,65,-7691
32,-112,-14,-4792,582,-7257
-97,117,72,-2069,1341,-3974
-82,56,-73,328,-500,-300
94,-97,-75,637,128,4453
-35,60,-38,-1432,-622,-2022
-115,49,-108,-969,-5,-2012
18,124,71,147,53,1069
-51,-20,115,508,-1827,446
67,97,72,-285,-992,134
-52,14,29,296,-957,666
-73,96,53,-810,-1522,2375
14,-49,31,809,-507,2480
-113,52,65,766,-1548,2906
-83,-116,-124,1094,-627,2172
-18,63,-117,495,-74,2506
-54,87,-121,741,-698,1985
-65,-19,-95,860,-190,1657
122,-13,-116,212,-83,1005
36,-90,-80,300,-676,1121
48,-19,-79,-625,261,253
-12,-80,121,-365,159,-176
-34,116,-112,47,-54,-860
-36,53,119,188,503,-1110
-47,-22,86,24,301,-1279
-48,-63,88,-532,239,-1219
-67,-108,89,-478,116,-907
-75,-105,89,-390,141,-824
-91,-113,91,-242,126,-518
-90,-85,88,-620,189,-217
-85,-42,88,-643,14,-203
-61,1,110,-523,166,-212
-74,19,110,-355,70,-279
-77,35,114,-326,109,-340
-77,39,117,-402,111,-343
-73,49,117,-432,167,-523
-79,31,122,-301,65,-570
-89,24,-128,-315,157,-523
-96,17,125,-317,154,-529
-99,10,125,-367,116,-489
-16,48,-54,-3463,1357,-7337
-70,-69,-17,-3824,772,-9684
-21,63,67,-2359,646,-5343
-123,-81,26,-505,487,-1011
-50,79,39,568,-1157,2684
116,69,0,-4576,-300,6109
-101,-89,38,1481,-653,-4777
-22,67,-35,-997,-839,-2136
72,2,-56,-238,93,-1079
126,-62,-40,1460,-514,-903
-48,65,92,361,-2466,-714
-101,56,-119,-583,-683,-637
64,68,78,-350,-733,314
58,82,123,190,-560,1275
-82,-108,54,607,-535,2182
-116,-26,80,1022,-1090,2396
-67,8,78,-210,312,2601
80,27,39,1513,-1436,2700
-4,5,122,-304,-278,3079
-88,-11,106,237,-362,2806
9,6,-90,-184,-572,2546
-51,-4,-99,718,-533,1825
-107,5,-63,-55,-662,1408
70,-14,-83,361,-22,160
-16,-89,122,256,21,-387
-34,108,99,-104,376,-806
-50,62,73,-394,225,-1006
-47,7,70,-590,289,-1311
-59,-31,62,-566,121,-1233
-68,-62,82,-312,158,-1170
-70,-68,90,-671,540,-1064
-84,-85,71,-518,-33,-935
-95,-88,96,-497,168,-655
-103,-78,91,-411,77,-365
-102,-39,95,-701,76,-263
-100,-16,112,-602,23,-106
-87,-5,-124,-324,144,-66
-85,20,123,-133,237,-177
-79,57,113,-530,129,-215
-81,56,117,-370,103,-280
-86,49,47,3572,-2596,-4470
60,23,-110,157,-209,-5164
-5,44,-75,-3559,-596,-8171
11,-49,-121,-4370,-1071,-7865
-49,-70,100,-2743,1526,-4042
-106,7,-40,-351,-526,744
-124,121,-57,-2021,-144,4564
104,28,25,-1941,90,-131
62,23,-90,-108,-643,-3562
25,84,82,-271,-301,-231
54,119,-68,536,-947,119
-70,48,114,461,-1095,-515
-52,31,43,95,-1172,59
-89,40,103,-1556,-72,1119
4,109,57,-350,-210,1372
38,-107,-2,899,-262,2074
14,-33,81,-72,-1144,2861
-10,29,89,603,270,2647
-16,55,49,644,-390,2295
-62,37,112,123,-799,2529
-47,29,125,472,95,1497
125,-52,100,-36,66,1746
94,-123,115,579,852,427
97,64,-123,459,112,1813
97,-99,112,-197,-128,1376
54,-69,124,-320,-700,237
21,-99,-113,-433,-148,-883
-35,45,121,-226,57,-1058
-40,6,98,-462,141,-1088
-25,-10,95,-694,184,-1142
-18,-32,79,-722,358,-1480
-28,-76,74,-203,53,-1490
-44,-111,78,-146,208,-1264
-71,-122,67,-320,82,-962
-87,-121,67,-531,93,-478
-91,-102,74,-586,106,-187
-79,-61,75,-563,72,35
-72,-32,81,-574,81,157
-59,20,89,-610,66,62
-62,29,99,-392,14,86
51,-118,120,-4979,-274,-8102
117,-86,54,-5788,1095,-7280
-7,81,71,-1937,61,-3269
-18,-123,9,1771,-1332,520
29,-53,-80,-1733,1310,3884
124,-100,41,-1919,-52,1550
104,-121,115,968,-1281,-3471
-25,7,126,-412,-1042,-1306
42,34,-1,-770,-1345,465
-85,-14,-62,1913,435,-1333
-47,-128,93,-1552,-6,-360
-115,36,56,109,-1283,567
-65,-128,86,-23,206,907
-110,-111,36,923,-580,2507
13,-5,67,805,-525,2552
-126,60,27,-263,133,3242
-53,93,59,1291,-339,2522
-8,33,63,310,-217,2844
-64,20,71,-31,85,2004
-83,-100,68,684,-180,2179
-128,91,49,937,-196,2034
-83,78,107,238,55,2169
-104,118,109,-377,6,1507
89,-90,118,-667,-168,655
43,-87,105,-444,-7,-527
5,108,93,-87,111,-1122
-26,27,84,-327,219,-1394
-27,-20,72,-449,225,-1560
-27,-55,71,-481,237,-1635
-32,-106,70,-358,192,-1540
-42,-122,68,-367,184,-1395
-55,124,66,-565,169,-1136
-74,122,61,-472,45,-809
-79,-128,69,-420,168,-498
-81,-87,63,-682,41,-220
-81,-69,70,-539,67,6
-73,-33,81,-647,69,113
-73,-1,86,-478,27,182
-64,22,95,-428,-46,198
-62,53,103,-355,-95,91
40,-58,-31,-6667,-374,-8606
-48,105,-97,-5227,-636,-5036
118,-111,7,-1568,-718,480
58,8,-18,1681,-91,3191
24,-81,1,-2206,2180,3055
83,-34,-89,647,-1689,-2189
-82,-12,84,-1896,-595,224
-110,-22,68,-161,-437,-561
-41,39,15,933,703,-375
35,-89,126,-158,-1057,-364
-45,109,83,269,-2131,586
-35,-93,102,-308,-350,724
-41,-112,108,-561,1491,953
-25,-109,59,1031,-405,2290
112,-85,61,1674,712,2027
86,-13,-47,249,207,2875
63,-13,39,-490,-41,2988
-2,63,-45,2978,893,3067
-98,-92,-5,125,-953,3576
5,-15,49,-1912,-2,1907
-36,-115,-105,553,-817,2527
-93,-68,-115,1731,-34,837
104,-66,115,236,216,135
30,121,79,-417,224,-720
-1,-8,75,65,124,-914
-8,-67,66,-297,184,-992
-5,124,71,-708,111,-1282
-46,58,80,-233,-56,-824
-69,80,88,-588,96,-458
-52,125,83,-579,116,-301
-38,-123,65,-410,179,-637
-49,-105,66,-527,156,-548
-36,-88,70,-696,102,-460
-63,-56,84,-715,74,-471
-50,-53,85,-242,247,-709
-56,-67,79,-125,160,-619
-57,-64,71,-420,132,-500
-68,-56,78,-498,140,-409
-64,-28,83,-406,132,-454
-74,-20,85,-312,73,-410
-55,6,-73,3159,1884,-6114
-35,-4,106,539,-1159,-4269
64,-120,26,-2802,-109,-6405
83,44,-67,-3607,-1575,-8221
-28,-28,18,-4500,-104,-7034
97,-69,59,-1574,-980,-2810
-123,-33,-116,702,-146,1482
79,90,-64,438,1431,4849
29,-119,12,-1343,-2118,-2653
26,117,-24,-552,277,-1719
46,96,48,-527,-712,-206
-104,73,68,353,826,-469
-79,85,-94,50,-865,-738
-46,14,122,507,-1007,38
-84,16,114,-613,-245,576
-124,94,74,-640,200,729
-101,123,65,-222,6,1566
14,-68,70,-114,240,2059
-45,-32,37,186,-394,2444
-70,-3,-110,-100,-600,2918
-76,-10,124,2059,-50,2266
-39,-12,50,732,584,1998
-110,-22,23,-243,-978,2159
-62,-50,-100,-1197,434,1534
-111,87,61,1326,-36,1184
103,86,56,349,-411,1153
75,50,90,-238,-188,1057
52,15,95,442,-187,798
39,33,86,74,-353,576
14,80,112,-644,-328,-86
-21,28,107,185,-58,-722
-39,0,102,-138,-61,-834
-52,-22,101,-974,76,-843
-50,-63,89,-412,0,-1027
-51,-77,89,-690,90,-978
-52,-84,79,-834,144,-1026
-65,-102,80,-561,21,-849
-72,-111,84,-354,247,-765
-75,-105,82,-349,226,-540
-76,-89,72,-459,157,-400
-12,-53,-15,-3473,-2099,-8377
45,-61,46,-4117,527,-8206
-22,64,-42,-47,-1882,-1557
106,56,69,-1791,-242,2923
3,-119,-48,-4246,1321,3800
-73,94,-25,1472,-1372,-5986
30,21,-77,-389,154,185
53,-62,-8,-1038,-80,835
-102,73,-43,534,-1437,238
-40,79,109,612,-1703,719
-37,-120,89,-1483,-561,719
-86,103,90,159,-246,1240
2,-41,40,-278,-376,1675
36,-27,14,994,-566,2107
84,36,69,93,-1015,2341
-66,15,92,145,-194,2486
-56,64,-122,1226,-53,1059
-9,-13,126,1034,821,1550
-68,66,91,-1297,-1300,2551
-123,-6,-52,-374,-870,2001
106,-75,-76,1052,-681,1774
100,12,-65,-673,-283,620
66,-6,-71,-690,-286,-67
-13,-115,-103,-25,-157,-484
-42,126,126,-937,-112,-515
-36,81,108,-988,34,-790
-34,37,105,-741,318,-1053
-45,-21,78,254,355,-1176
-59,-41,71,28,222,-1071
-76,-51,65,-232,89,-862
-78,-54,78,-354,130,-679
-90,-57,83,-100,42,-368
-86,-20,95,-397,193,-402
-81,4,98,-489,78,-136
-86,20,106,-382,79,-154
-78,45,114,-313,149,-151
-76,59,113,-388,144,-196
-73,62,114,-176,150,-323
-77,62,111,-105,74,-424
-86,61,118,-350,152,-536
73,-66,-117,-4858,-32,-7108
66,-79,39,-4259,-150,-8545
