AccX,AccY,AccZ,GyroX,GyroY,GyroZ
29,123,-49,8233,8056,2734
90,-9,-84,-13094,-1661,-11797
-39,-37,-74,3286,7709,-3916
-100,-18,-36,-2836,1137,-8976
-70,37,91,-2153,2695,-8320
-41,-10,115,-1795,3514,-6535
-96,-77,-15,-1673,3428,-4606
-18,-43,105,833,3406,-409
-101,-49,22,2074,2225,3085
95,-100,88,4400,2876,4523
7,-105,-38,-1049,-1053,-1419
33,-76,-77,-1368,-667,-397
-36,-117,127,745,-164,1568
-62,-106,34,-2094,-3068,1765
-111,87,-108,-3443,-5887,2746
126,73,-42,2546,-5897,4923
-64,61,54,7011,-3306,7627
28,-100,-78,6793,771,9906
30,-91,116,-4175,-7758,1629
43,-30,-19,1343,-7640,1152
122,102,53,9931,3397,7822
-85,32,-48,677,-616,-1147
83,-44,-18,-4349,-1877,-2818
-28,-98,119,-1259,-502,478
1,-113,1,4214,1912,1568
59,-101,-2,663,994,485
67,110,-64,-1358,-254,-654
-111,83,24,353,205,234
117,97,2,1745,1480,1433
75,51,71,-83,-31,268
111,88,19,383,100,551
75,117,0,1542,706,907
40,89,-126,-453,-704,-204
83,125,30,1434,1069,836
45,-127,-122,77,446,-207
105,119,64,631,810,123
118,-127,97,-82,157,-112
-98,-128,63,124,442,-137
-81,120,52,326,747,80
-71,117,21,754,940,301
119,-71,-64,2428,8645,1165
-78,120,-64,-5575,79,-8602
-125,-101,69,3186,3792,-5251
-12,41,-122,-1662,1927,-8424
32,9,-85,697,3396,-8642
-128,44,-77,-5152,235,-8647
109,-109,-44,774,5509,-3227
-71,-94,-51,1286,2883,-993
-107,27,-41,839,1099,1455
30,122,-115,3231,1784,3898
117,92,-20,-1170,-808,-387
27,-14,-79,-850,-237,790
-125,-47,-51,-950,-543,2292
80,44,-33,-2681,-3245,3242
94,-32,-103,-1614,-5504,4515
32,-122,116,858,-6790,4772
-59,120,-99,6306,-4422,5470
-18,-87,19,4741,-4338,6668
-91,-28,90,-1227,-5643,1970
15,9,103,6246,-2438,4232
-92,-97,-100,3398,1412,2206
-10,12,27,-2336,54,-1984
-42,-79,-12,-174,1356,6
-62,-115,-99,440,42,272
1,93,-120,1083,974,261
84,-115,-106,866,1774,320
120,112,-72,-1639,-584,-1065
-61,-108,19,622,818,242
-83,-103,83,762,862,386
-114,-106,-121,-754,-393,-542
-75,-93,36,1138,1027,572
-113,-99,126,-317,-249,-130
-106,-77,82,279,232,228
-101,-66,84,220,112,157
-94,-60,73,765,583,424
-109,-59,115,-32,-53,23
-97,-57,85,148,83,112
-81,-56,60,602,486,429
-106,-54,122,-397,-208,-161
-77,-46,68,757,605,502
-50,-32,-99,-7171,1447,-6803
111,106,-95,1864,7170,-3969
8,-31,-23,62,3510,-8080
96,-52,78,-2895,721,-9978
-110,81,67,-4598,1136,-8581
-125,-95,-57,1341,5726,-2281
-102,-27,-29,1614,2732,-1502
-127,-6,-47,3013,2418,3027
-3,-94,-39,2450,2277,3741
81,100,53,-2546,-2308,-1436
120,8,-61,219,256,1419
-70,-19,0,-1241,-950,2313
84,103,-60,-1765,-2961,3912
-124,-74,-124,-1551,-5453,4926
-99,69,66,1470,-7587,4825
-121,10,-95,9285,-719,8819
-59,-57,111,1717,-5644,7960
-50,4,67,-7373,-9848,-3700
-18,89,-14,10173,646,2137
-30,-60,61,9340,6801,7648
104,-56,-72,-12833,-7740,-7837
23,-35,-22,4366,4240,1727
22,76,-82,2348,2609,1111
34,57,12,-1444,-697,-838
-103,121,37,2162,2510,1083
117,74,-96,-196,538,-275
-108,80,117,-1026,-630,-522
-40,111,11,1495,1180,812
-91,117,-98,-782,-555,-214
-86,-108,49,940,821,555
-111,-118,127,-250,-218,36
-114,-86,73,440,495,306
-126,-82,115,-123,-35,-59
-112,-61,109,46,173,-36
-53,-53,91,713,741,414
-55,-58,121,188,477,143
-81,-88,60,923,924,358
-108,-114,118,-766,-505,-304
-54,-78,45,431,383,513
-73,-40,86,360,409,499
104,-71,-81,-1024,2575,-6505
-128,-99,-26,-1976,1536,-6211
97,64,74,916,3705,-5415
105,-74,102,510,2581,-4651
-14,-126,72,569,2590,-1328
-71,2,92,2592,2404,1818
30,-71,-15,-783,-134,862
107,-31,87,73,46,1101
-1,-29,102,-794,-740,-83
-38,-11,83,531,479,1507
-35,-87,-73,-1429,-1438,1976
-70,-37,120,-2574,-2706,3551
-34,-128,-50,-1923,-4613,4862
-37,-58,96,1634,-4626,6340
106,85,-100,5870,-1587,8759
89,-8,44,344,-4113,6007
-106,115,43,1293,-2944,3574
-41,-79,112,-2560,-6626,174
84,-81,-109,3873,-3605,2395
39,78,113,11069,6344,4557
6,-97,53,-3687,-1673,-2840
50,65,62,-4601,-1299,-869
-2,26,54,3890,1302,1977
13,-13,3,2132,1153,1048
45,20,42,-1597,246,-308
66,31,-124,78,757,27
-113,0,71,462,918,166
-127,3,99,278,259,241
-114,6,91,456,429,264
-112,9,106,178,224,290
125,28,107,312,135,204
124,35,126,-36,159,103
-123,56,108,92,159,197
-120,66,113,15,215,148
120,80,102,-257,122,-56
-122,102,63,105,105,60
112,110,106,-630,-468,-455
112,-123,84,73,11,-125
99,-125,-117,-1078,-649,-814
124,-98,72,-504,-185,-322
88,-116,76,-1910,2797,-5651
124,15,4,1394,4328,-6018
-114,81,-54,-2363,1609,-7974
101,100,30,3929,4150,-7360
49,-116,-76,-3562,549,-8910
7,-7,111,-2803,2188,-4145
-2,106,127,3783,4047,2088
47,-118,3,3586,1863,2952
81,-34,-66,1589,96,2157
-10,58,31,-1796,-1455,-480
65,-122,-40,-542,540,2519
0,-51,-54,-1706,-901,3732
-58,93,-110,-3241,-3721,4111
-58,-77,57,-5151,-9171,3158
-117,-73,29,8255,-5236,5003
-40,29,-37,10433,3112,9216
81,0,120,-4836,-9221,2998
-78,73,88,2747,-5992,1230
-73,111,97,9906,4618,7428
-4,70,-8,-5685,-4604,-5321
-119,-2,95,-795,1311,-175
-122,97,-95,2234,1450,722
-99,96,9,649,277,432
-12,-109,-6,52,941,-2
39,-63,-77,805,1710,200
59,-101,-55,-1562,-227,-978
85,-97,72,-715,309,-350
88,-51,98,-367,253,-137
112,-26,94,-470,427,-218
114,-22,88,-324,635,-142
114,-18,49,-510,44,-208
107,-12,24,440,111,179
102,-9,78,56,-178,2
114,-12,72,324,85,180
112,-5,96,175,-78,217
116,-10,71,848,463,535
105,-17,111,357,40,373
113,-23,101,424,164,522
117,-24,101,558,292,653
122,-14,94,888,629,814
-57,100,-63,-579,3951,-5738
75,123,-63,-1110,3680,-7255
103,-110,-66,-2269,2539,-7902
103,122,93,-4057,2514,-7569
105,91,94,547,5093,-3761
122,67,115,1977,4082,-1478
-94,-9,-96,-970,473,-436
-98,-56,-64,3545,2715,4106
-1,-99,40,494,-9,861
-27,-56,89,-526,-1623,-117
-100,-41,75,-1494,-991,2021
41,30,26,-1870,-4039,3136
99,-10,-66,791,-3684,5009
95,96,-36,1832,-4854,5291
75,28,-18,5341,-4275,6792
-17,-123,-70,5308,-2937,7470
66,-125,125,-3218,-7249,1352
6,119,-4,3543,-3680,2903
-108,78,112,3720,-321,3687
17,27,-122,-558,-400,-1728
-51,-107,-126,-1652,1312,-1424
-53,46,-119,-1870,-2782,-1453
-12,-75,-18,5463,2818,2162
-2,80,49,-1194,-731,-1093
51,-109,-76,-2594,-1581,-1227
108,-121,13,-657,-142,-127
107,-84,13,411,641,834
76,-90,46,-535,-114,-131
99,-53,31,-134,315,717
72,-48,51,-540,-178,178
93,-25,10,146,535,818
69,-30,68,-782,-327,-2
85,-11,31,79,363,515
89,-18,46,117,168,303
94,-15,62,261,385,359
108,-19,52,104,332,360
125,-18,51,316,518,773
108,-29,74,10,-84,246
-124,-33,40,647,661,569
-112,-30,65,426,506,743
-2,73,44,3037,8535,1735
71,127,-128,-2733,1952,-3789
-67,29,-126,1275,5983,-3250
22,122,-32,-1207,3716,-7827
-113,-40,7,673,3986,-7936
-112,-55,-95,-3595,1018,-9277
102,-65,72,-4409,2013,-7250
-104,10,-92,2159,6112,-468
-85,112,-37,1596,2565,368
-73,-2,17,3865,1822,3476
120,86,5,1075,675,1967
68,-101,2,-730,-1663,-294
-125,8,63,-2080,-393,490
-105,-34,-1,-1720,-1774,1801
88,86,-124,791,-2509,4979
115,-90,-40,-1273,-5095,4840
94,0,-73,1356,-6705,4678
117,-116,20,5833,-3797,7228
26,-118,49,755,-4611,4899
107,-15,79,-646,-4882,1914
-50,22,48,1866,-5704,-262
-87,83,-12,8621,4510,6668
-55,18,-75,-6046,-4689,-3874
-100,-49,-62,2298,2422,154
-2,76,-42,1065,1184,117
22,88,-94,1119,763,542
69,81,-78,1017,976,47
126,85,-83,94,587,-249
-99,56,-86,-1708,-835,-1091
-54,109,50,310,619,445
-76,97,72,275,425,507
-103,-116,93,-244,53,315
-117,-81,40,434,447,571
125,-61,80,-91,-122,148
117,-48,49,478,319,242
117,-63,80,54,-115,-52
-118,-69,66,702,510,288
-125,-88,106,-180,-125,-209
-99,-79,77,293,358,89
-80,-82,57,675,582,341
122,45,-83,-214,3287,-7313
-9,-43,62,-304,2821,-8244
98,21,123,-970,2618,-7648
106,119,38,-1752,2508,-6097
-96,104,-81,2658,4870,-2017
-68,-47,-11,1052,1849,361
-65,-89,-24,2070,1587,2904
43,33,47,-1935,-1289,54
-74,-95,-102,662,-662,701
-28,-21,23,-1606,-615,1456
-48,3,-67,-966,-1887,3037
71,-79,-117,-391,-2376,5288
89,-28,-80,-1686,-6474,5221
32,-109,77,4304,-3654,7255
-112,-70,-84,4695,-2453,7887
-49,-104,101,-2539,-7322,1899
-83,95,34,2889,-928,2889
111,5,47,1653,-2909,2449
0,-100,-43,1891,-393,1317
-110,0,-99,106,427,-326
-36,-58,18,-741,251,-636
18,-116,109,310,353,-13
43,117,46,2197,978,1099
42,111,-78,460,-187,148
88,117,-101,815,492,107
-81,94,-111,428,717,273
-82,83,96,209,471,136
-74,96,29,1657,1073,1082
-106,83,-128,-307,-525,84
-77,121,59,1023,632,815
-99,121,107,578,298,532
-109,120,78,801,473,599
-128,105,97,297,24,316
-115,116,83,721,528,462
-94,112,84,970,772,547
-114,90,-120,76,111,-37
-103,93,95,567,542,233
-97,91,103,295,310,60
-95,96,121,82,82,-56
-92,109,116,-109,71,-171
17,59,-81,-1481,6291,-9070
-113,-8,-73,-6008,1929,-10472
9,-10,-5,-7484,1870,-7573
75,-58,-102,-2332,5286,-4093
56,123,59,1653,4667,-1202
-106,-5,46,-555,399,702
85,30,-20,7317,4621,6766
-63,118,17,1488,727,1184
61,-92,123,-2542,-2445,-1544
-46,-76,-28,86,700,1773
-123,-104,9,-2336,-2706,1669
14,119,-120,-3193,-4738,2770
58,51,-8,3715,-3776,5654
109,98,-109,3295,-5849,5833
85,-108,-64,7917,-2462,6680
63,-27,20,3014,-4355,7497
23,28,77,498,-5985,2199
-71,-90,89,6983,2033,7119
-97,-36,35,-85,50,98
-89,-25,56,-166,84,161
-85,-29,36,-234,263,79
-73,-27,-7,452,642,358
-85,-19,15,-85,43,120
-76,-11,-14,576,391,286
-78,-9,36,77,63,159
-82,-6,23,300,312,185
-79,-14,30,127,135,114
-75,-7,23,269,243,163
-54,-13,7,539,445,313
-61,-7,13,467,330,270
-58,-1,27,229,59,99
-52,-7,21,434,271,241
-55,-12,29,232,267,148
-52,-11,20,289,242,183
-50,-8,13,529,473,275
-47,-18,41,-62,1,81
-41,-11,2,761,586,416
-45,-14,38,146,156,156
-40,-10,18,299,306,247
-45,-7,23,121,191,122
-13,51,9,2532,8124,1478
65,44,-111,-4837,3860,-4505
-108,6,-123,-454,5039,-4433
124,23,-58,-92,3216,-7439
41,-26,-53,618,4435,-7154
-19,-97,85,446,3355,-9139
125,69,76,-4261,1169,-8539
-15,-68,-105,-3524,2094,-4220
-44,-68,115,2927,3404,3200
-57,55,-107,2646,2226,4162
-78,29,125,2683,1043,2708
73,92,34,-1315,-2527,-1170
-48,-41,13,-1644,-675,1287
-60,-4,-76,-257,-1710,3239
4,-113,-54,568,-2045,5266
-17,23,81,-1562,-3988,4630
-105,21,-13,-43,-5167,4369
-76,-32,-89,3287,-5569,5415
-114,95,18,7460,-1344,8022
0,-4,-104,-5349,-8561,-433
-19,-119,-28,4977,-4400,3077
-69,-64,-125,3738,1300,4692
-67,11,87,-1881,-949,-3643
15,-70,45,868,2877,67
-3,87,-53,-1412,-333,-350
14,-124,45,1726,922,767
106,106,-93,615,840,481
114,-93,111,1296,1640,529
111,126,-74,-1241,-733,-950
-69,-115,68,439,873,250
-66,-120,87,160,605,82
-86,-85,58,821,999,549
-107,-97,110,-467,-347,-219
-90,-69,49,722,400,498
-107,-67,95,269,53,188
-109,-64,115,-87,-179,19
-99,-45,68,1185,859,596
-110,-76,-115,-330,-348,-155
-93,-58,82,895,610,463
-94,-81,-117,22,-19,44
-66,103,111,-607,3795,-6118
-96,19,117,-2761,2169,-8443
42,-89,-103,-3827,2615,-7720
-110,56,79,-1815,3743,-4093
124,-37,-78,1196,3851,-551
42,47,-81,830,1062,1479
-22,-108,120,2855,1022,2315
-3,-104,-56,2165,1045,2072
57,-110,124,-3014,-2836,-552
125,-25,-56,-947,-1978,2186
56,113,102,15,-3356,3890
95,-39,91,1226,-5619,4451
88,-83,121,5465,-2535,7421
-91,83,-8,3162,-3141,6543
66,-75,92,-1475,-5699,2569
-111,-104,3,1951,-5548,2514
-67,-47,94,3431,-2942,4147
-103,-91,-98,310,-1373,-544
52,-1,103,1086,2015,-729
-74,65,-123,-1147,342,-997
21,102,-65,-1524,-757,-290
51,-100,63,1883,1247,970
101,-89,-79,870,1306,509
87,-84,-65,-868,-202,-514
-123,-78,92,466,705,166
-116,-73,-116,254,730,285
118,-55,126,730,973,244
116,-62,-83,-300,105,-296
-94,-62,109,332,344,58
-92,-77,117,93,18,92
-91,-65,90,567,323,447
-91,-52,126,159,61,358
-78,-35,126,421,326,504
-48,-23,-128,663,422,783
-78,-28,108,875,662,709
-89,-58,-126,180,7,356
-65,-73,84,825,342,669
-62,-77,123,599,187,604
-65,-83,117,784,453,668
-60,-98,-123,357,196,531
104,-79,-123,-1809,3822,-5070
-46,102,-92,1607,5398,-5264
-97,-42,-38,-3600,2529,-9438
88,39,-39,-6415,582,-8776
-112,-106,-29,-139,6132,-2081
45,49,-93,4616,6336,181
74,56,-117,-949,-142,-556
-74,-71,-30,2451,1863,2600
83,21,-93,2526,1989,3452
102,107,18,-2236,-2385,-634
-118,43,-66,-133,658,1274
-43,-46,52,-1281,-1446,2369
79,65,-2,-1902,-2396,4454
93,-69,-44,-2363,-5213,4776
69,47,96,1063,-7651,5058
80,-117,-61,6417,-3150,7215
-89,94,69,8188,-2434,9650
-29,99,52,-7708,-6510,-1533
-97,-91,55,7916,-1157,4165
69,58,-80,7549,4992,5411
-59,46,-48,-9103,-7765,-4611
-72,-32,-34,-1579,37,-1651
94,110,3,3979,4945,2099
6,77,-54,936,1308,354
22,93,-46,-110,95,-59
95,86,-127,807,873,-43
-128,79,-76,-680,-148,-450
-82,80,98,202,640,178
-92,106,92,62,669,195
-113,-116,95,-654,-181,-213
-97,-102,45,-436,-130,-170
-85,-93,17,418,141,441
-101,-87,62,595,365,511
-122,-86,99,363,153,364
-124,-63,96,437,349,269
-110,-86,101,-19,-64,112
-113,-69,82,147,99,232
-109,-69,76,207,208,69
-97,-66,84,211,188,87
-84,-69,68,233,214,135
80,-95,117,-3431,2049,-4792
-30,-84,48,676,4869,-4000
52,47,-45,-761,3909,-8097
-87,-56,-126,-1967,2683,-9121
-12,50,-34,-5526,734,-8753
-77,44,-33,-1567,4255,-4047
-119,72,35,5239,6752,1384
-50,-46,62,1989,1063,538
26,-118,-4,826,485,1359
39,120,-35,698,-297,753
-2,-100,-29,-185,-434,503
-95,-58,3,-109,-1,1567
92,-29,26,-1123,-1339,2175
39,61,-43,-1532,-2376,3984
77,-102,-60,-1072,-4091,5383
106,-13,-76,256,-5428,5819
53,-85,8,5712,-2970,8424
40,-72,87,-4467,-7394,2746
16,109,-86,332,-8002,-901
-109,-75,-54,12919,3950,6709
127,-50,-66,654,-2557,4064
-70,58,64,-7141,-6352,-4784
37,-80,-80,3986,4890,1438
15,118,-23,2104,3499,1702
-64,98,58,-3125,-2091,-1186
18,95,75,-176,-814,-752
-125,-128,18,2307,2134,1339
70,93,-48,-2382,-1350,-916
115,-105,27,-550,143,19
-124,-99,-1,831,1104,577
113,-84,54,158,535,132
115,-69,70,-159,79,149
99,-55,65,-114,27,0
117,-53,53,251,337,97
125,-63,56,345,323,206
122,-55,51,659,527,317
-128,-67,81,194,156,91
-128,-51,93,-297,-158,-97
-116,-41,53,442,563,321
-121,-57,66,195,43,86
2,24,86,-432,7308,-2977
-41,18,78,4488,5920,-3276
42,-95,93,2016,1288,-6816
94,-54,11,-287,1121,-7400
-5,-45,60,550,2618,-5123
103,-19,-5,3298,3652,-1456
77,16,121,543,1088,-485
-88,-61,21,254,434,1658
-87,-81,-14,-328,-1012,1334
-45,-59,-46,-399,-1623,1760
-32,82,-21,-678,-1207,4297
10,-125,-22,-1166,-3039,5054
105,-51,-67,-1211,-4970,5510
-73,-18,-127,3514,-3340,8154
40,-111,-126,3722,-1763,9055
-78,-29,100,-2868,-6276,2924
29,-121,-65,1872,-7355,2349
87,48,-22,10282,3628,7644
-123,116,-21,-8292,-6559,-6628
26,-91,-24,-2328,1278,-1448
101,-79,124,6842,6493,4185
107,86,18,4516,1763,1853
-44,-2,-111,-3181,-2518,-2501
127,89,-122,423,1161,-21
-74,18,123,426,933,-192
-61,43,99,813,1208,432
-72,44,-93,-1278,-234,-605
-29,102,6,871,1362,716
-50,90,76,-116,190,111
-66,125,32,447,531,388
-75,119,54,-292,-390,-30
-77,-124,36,759,128,535
-109,-120,96,158,-289,35
-103,-122,94,63,-349,59
-104,-114,76,649,264,279
-117,-123,122,-19,-216,-138
-113,-120,109,159,37,13
-113,-112,110,-110,8,-97
-111,-92,121,-381,-85,-250
-81,-62,62,492,874,237
-92,10,89,-3000,3037,-4074
3,108,3,-1671,3289,-4135
81,34,-89,-2820,2562,-5569
39,-97,-85,-1597,2254,-1842
-16,69,110,8692,8893,-1041
-34,-29,65,-10886,-3565,-15132
42,29,13,-16433,-4476,-8916
-104,17,-45,9449,6601,8295
120,63,43,15867,6087,10513
-77,94,29,-1185,-144,779
-105,-99,-105,-5857,-6177,-1346
112,-125,123,2334,-362,4833
-118,58,108,3118,138,1399
-38,-116,52,-2466,-1372,-3509
-30,127,43,-296,510,-1187
68,84,106,546,513,537
49,115,-113,1200,862,220
106,127,-108,1408,1377,321
96,117,-12,-1298,-362,-1155
-91,97,100,-2060,-1327,-929
-78,-87,-32,2208,1765,1425
118,-118,-92,-704,-355,-141
-121,-47,88,8,382,208
-122,-63,69,213,235,203
111,-52,102,-236,-128,68
114,-43,80,57,227,124
126,-37,76,127,119,180
118,-25,82,10,99,13
-126,-26,72,143,283,41
-115,-18,80,-4,110,-74
-106,-22,54,245,276,80
-117,-22,69,-208,-80,-167
-105,-20,42,368,156,152
-105,-8,75,228,46,101
-107,-12,96,-92,-142,-10
-109,-11,63,540,551,324
-115,-13,80,-4,89,50
-101,2,59,323,267,202
-94,-2,77,96,122,138
-94,-5,73,150,260,174
53,-34,58,679,3015,-7806
96,-15,-62,705,2933,-7465
-28,102,21,1577,4264,-3559
-63,121,-4,3745,3595,550
18,-60,-113,-369,-46,312
-67,-123,8,-395,-553,1501
-32,124,-117,-80,-214,1140
-107,-3,-80,-415,-304,37
-65,-43,-48,-377,233,1089
-95,-42,52,-1767,-1201,2410
46,82,41,-2506,-2611,3783
62,-19,-48,1115,-1880,6733
12,-12,115,-3742,-5316,5175
-22,67,-58,-40,-5962,4816
116,-83,111,4635,-4743,5980
-98,127,30,-794,-5785,2158
63,-26,-93,9159,-814,6007
123,85,-103,1329,-335,5442
104,-70,117,-2977,-4742,-2837
-67,-121,60,1848,2418,-587
9,95,-12,1182,2052,664
-50,94,-64,1943,989,717
38,-5,-15,-234,-26,-843
-105,30,-128,1469,2098,446
-84,-6,-55,-798,-21,-725
-51,27,81,-222,148,-31
-67,75,75,652,552,448
-96,85,118,-127,-163,41
-119,118,116,38,-49,101
-115,-124,112,-27,-10,52
-101,-117,75,1228,848,659
-126,-125,-99,-505,-359,-267
-104,-105,109,97,198,9
-86,-98,94,468,578,232
-99,-117,-126,-569,-343,-193
-79,-86,55,556,623,376
-83,-77,54,449,368,207
-85,-78,92,-137,-379,-78
-75,-56,83,132,58,124
-78,-69,70,169,301,2
34,-2,38,-4241,1071,-4999
-2,71,-77,-1294,3563,-4738
53,-53,35,-1735,3539,-6240
61,-103,54,-1654,2628,-7508
85,123,12,-2472,2465,-7583
-97,81,126,-2686,3724,-5206
-104,-54,-98,1139,4868,-1246
107,-25,110,2074,2614,774
-70,107,-72,443,871,2369
-8,13,-20,-459,-1803,369
41,-107,-60,198,-1068,1060
41,-20,-24,188,-620,2569
-24,70,-69,-1,-2215,4105
27,-104,119,1561,-1249,6197
-67,-92,26,-958,-4635,5155
-80,4,-39,1452,-4558,5074
-118,-115,14,4794,-410,6974
-38,96,60,-2569,-5957,2550
51,23,48,-213,-5818,410
-38,50,13,8235,-1084,4214
23,37,90,4911,-162,2939
67,121,-74,-4861,-2485,-2661
-57,-103,69,-5081,-2583,-2805
11,113,-86,4190,1746,1504
-18,107,-92,1909,766,626
42,-128,-40,-1062,-96,-380
47,-118,104,42,354,172
78,127,85,-1380,99,148
67,-76,33,-180,342,794
89,-54,108,-1994,50,833
89,-15,21,-541,909,677
88,-29,36,-140,634,311
95,-19,52,-23,689,293
-119,-22,48,362,961,588
-123,-27,57,856,1023,650
-102,-40,95,265,630,449
-103,-49,96,154,142,300
-102,-40,69,685,585,432
-95,-46,108,-267,-227,-141
-69,-33,24,1538,1239,824
78,43,-101,-1896,4395,-4818
-30,99,-22,-2298,4904,-7408
41,127,-43,-2595,4424,-7649
-7,-51,57,-5007,1679,-7210
-65,-10,66,-3867,3746,-3015
-109,-20,84,2518,5049,2204
-109,-128,65,5641,3665,4474
-98,40,24,3603,1102,3050
-19,54,-73,-3827,-3411,-1284
-53,11,-62,-54,-417,1482
-30,-5,-17,-77,-1845,3525
115,70,-20,-905,-4306,4138
-31,68,-113,2282,-2856,7069
113,95,93,2119,-3704,7237
4,-103,-49,1199,-3689,6333
-107,-49,-5,2255,-4213,5147
-71,112,56,-316,-4642,2471
-83,71,-10,1673,-4580,2612
-64,-41,-105,-101,-3325,357
-109,-42,-14,829,865,-1193
-29,-118,49,3776,3838,1262
-67,87,110,-789,491,-753
25,81,-83,-588,-257,-246
64,-126,93,2157,1743,783
100,82,-27,-1132,-251,-1028
-84,99,86,154,840,-172
-60,104,88,273,806,114
-53,121,63,199,571,94
-80,-116,93,-374,142,-155
-68,-98,62,-44,23,33
-72,-74,49,586,548,348
-90,-76,89,97,27,26
-84,-85,69,425,25,262
-91,-79,87,591,69,281
-106,-85,-114,-244,-497,-79
-88,-83,89,686,298,378
-95,-82,-125,77,-34,170
-100,-73,105,531,389,380
-108,-65,126,-103,29,49
-94,-52,85,426,482,322
-68,-50,61,-2383,3281,-4733
40,42,-128,-1790,4045,-5882
-120,-80,-89,-981,3678,-9754
10,53,96,-6357,1678,-8675
-87,17,100,-5752,3426,-4818
47,74,-6,5695,8549,2983
-11,-28,-33,950,1230,-122
98,77,-72,1900,746,2539
54,103,-56,2107,536,2201
-55,-121,98,-2100,-2586,-842
104,6,-80,455,81,2947
-5,-6,-33,-348,-2084,4095
65,110,-18,-856,-3439,5129
78,-20,-38,-561,-5647,6046
64,46,-56,3293,-5274,6838
24,53,56,7799,-612,10881
-78,-73,-120,-6016,-6195,1813
10,112,-128,-3670,-10108,-4140
-1,-47,-53,8517,-211,1182
-97,-87,45,5539,2687,4205
-126,-98,125,-4664,-1425,-2753
-45,-38,-36,-1449,909,-100
-24,-105,-109,1094,938,639
-34,90,-58,-519,-283,-730
117,125,68,398,1318,499
92,-86,96,86,1012,190
97,-90,106,-1127,-371,-726
-117,-67,-1,794,938,368
-121,-83,59,46,324,70
-124,-78,36,366,382,187
118,-74,69,186,-68,23
-118,-65,64,475,231,275
-123,-67,83,201,96,135
122,-59,77,345,189,208
-118,-47,65,771,507,370
-123,-65,105,-109,-179,-26
-117,-59,62,1061,752,559
-116,-66,115,-363,-100,-122
-99,-48,48,521,591,301
-98,-58,75,160,163,88
-39,56,90,-2725,3548,-3741
84,2,101,-1967,4235,-4554
-98,-74,-103,-1707,3643,-6064
120,-59,72,-1173,3550,-6713
